Wavelength (nm)	M04 abs N
300.00	0.28049
301.00	0.27126
302.00	0.26299
303.00	0.25579
304.00	0.24899
305.00	0.24224
306.00	0.23554
307.00	0.22927
308.00	0.22296
309.00	0.21700
310.00	0.21135
311.00	0.20633
312.00	0.20177
313.00	0.19754
314.00	0.19375
315.00	0.19022
316.00	0.18704
317.00	0.18399
318.00	0.18091
319.00	0.17782
320.00	0.17486
321.00	0.17178
322.00	0.16868
323.00	0.16559
324.00	0.16260
325.00	0.15964
326.00	0.15658
327.00	0.15380
328.00	0.15118
329.00	0.14843
330.00	0.14601
331.00	0.14366
332.00	0.14163
333.00	0.13957
334.00	0.13786
335.00	0.13626
336.00	0.13489
337.00	0.13361
338.00	0.13262
339.00	0.13165
340.00	0.13066
341.00	0.13000
342.00	0.12933
343.00	0.12872
344.00	0.12795
345.00	0.12732
346.00	0.12684
347.00	0.12623
348.00	0.12586
349.00	0.12563
350.00	0.12518
351.00	0.12502
352.00	0.12482
353.00	0.12444
354.00	0.12425
355.00	0.12370
356.00	0.12321
357.00	0.12256
358.00	0.12181
359.00	0.12027
360.00	0.11905
361.00	0.11792
362.00	0.11757
363.00	0.11789
364.00	0.11805
365.00	0.11726
366.00	0.11518
367.00	0.11206
368.00	0.10935
369.00	0.10777
370.00	0.10769
371.00	0.10859
372.00	0.10916
373.00	0.10915
374.00	0.10857
375.00	0.10783
376.00	0.10724
377.00	0.10625
378.00	0.10535
379.00	0.10386
380.00	0.10267
381.00	0.10168
382.00	0.10104
383.00	0.10037
384.00	0.10020
385.00	0.10072
386.00	0.10134
387.00	0.10247
388.00	0.10424
389.00	0.10582
390.00	0.10789
391.00	0.11053
392.00	0.11314
393.00	0.11515
394.00	0.11697
395.00	0.11892
396.00	0.12081
397.00	0.12248
398.00	0.12446
399.00	0.12546
400.00	0.12695
401.00	0.12880
402.00	0.13023
403.00	0.13210
404.00	0.13442
405.00	0.13735
406.00	0.13999
407.00	0.14249
408.00	0.14594
409.00	0.14877
410.00	0.15142
411.00	0.15397
412.00	0.15587
413.00	0.15687
414.00	0.15651
415.00	0.15576
416.00	0.15326
417.00	0.14985
418.00	0.14539
419.00	0.14016
420.00	0.13382
421.00	0.12725
422.00	0.12035
423.00	0.11390
424.00	0.10716
425.00	0.10085
426.00	0.095406
427.00	0.090529
428.00	0.086733
429.00	0.083814
430.00	0.081827
431.00	0.080690
432.00	0.080475
433.00	0.081091
434.00	0.082443
435.00	0.084261
436.00	0.086985
437.00	0.089652
438.00	0.092953
439.00	0.096432
440.00	0.10020
441.00	0.10476
442.00	0.10876
443.00	0.11329
444.00	0.11808
445.00	0.12283
446.00	0.12803
447.00	0.13318
448.00	0.13852
449.00	0.14462
450.00	0.15061
451.00	0.15694
452.00	0.16343
453.00	0.16992
454.00	0.17736
455.00	0.18462
456.00	0.19231
457.00	0.20085
458.00	0.20907
459.00	0.21776
460.00	0.22673
461.00	0.23583
462.00	0.24512
463.00	0.25559
464.00	0.26603
465.00	0.27580
466.00	0.28539
467.00	0.29545
468.00	0.30626
469.00	0.31604
470.00	0.32709
471.00	0.33758
472.00	0.34816
473.00	0.35843
474.00	0.36798
475.00	0.37857
476.00	0.38874
477.00	0.39854
478.00	0.40927
479.00	0.42046
480.00	0.43159
481.00	0.44287
482.00	0.45469
483.00	0.46679
484.00	0.47999
485.00	0.49672
486.00	0.50787
487.00	0.51598
488.00	0.53758
489.00	0.55304
490.00	0.56874
491.00	0.58609
492.00	0.60313
493.00	0.62008
494.00	0.63699
495.00	0.65298
496.00	0.67095
497.00	0.68499
498.00	0.70048
499.00	0.71506
500.00	0.72854
501.00	0.74139
502.00	0.75069
503.00	0.76087
504.00	0.76837
505.00	0.77591
506.00	0.78304
507.00	0.78772
508.00	0.79230
509.00	0.79418
510.00	0.79651
511.00	0.79666
512.00	0.80115
513.00	0.80318
514.00	0.80525
515.00	0.80877
516.00	0.81097
517.00	0.81480
518.00	0.82083
519.00	0.82544
520.00	0.83188
521.00	0.84211
522.00	0.85018
523.00	0.86160
524.00	0.87276
525.00	0.88394
526.00	0.89927
527.00	0.91181
528.00	0.92595
529.00	0.93873
530.00	0.95057
531.00	0.96288
532.00	0.97296
533.00	0.98368
534.00	0.99152
535.00	0.99422
536.00	1.0000
537.00	0.99804
538.00	0.99441
539.00	0.98816
540.00	0.97715
541.00	0.96447
542.00	0.94834
543.00	0.92773
544.00	0.90455
545.00	0.87945
546.00	0.85010
547.00	0.81911
548.00	0.78563
549.00	0.75077
550.00	0.71534
551.00	0.67711
552.00	0.63847
553.00	0.60001
554.00	0.56255
555.00	0.52445
556.00	0.48656
557.00	0.45115
558.00	0.41624
559.00	0.38209
560.00	0.34884
561.00	0.31806
562.00	0.28937
563.00	0.26211
564.00	0.23611
565.00	0.21300
566.00	0.19094
567.00	0.17032
568.00	0.15157
569.00	0.13399
570.00	0.11898
571.00	0.10497
572.00	0.092758
573.00	0.081827
574.00	0.071317
575.00	0.062856
576.00	0.055379
577.00	0.047515
578.00	0.041693
579.00	0.036613
580.00	0.031776
581.00	0.026829
582.00	0.023695
583.00	0.021257
584.00	0.018244
585.00	0.015309
586.00	0.013618
587.00	0.011941
588.00	0.010368
589.00	0.0090725
590.00	0.0081781
591.00	0.0070291
592.00	0.0061067
593.00	0.0052842
594.00	0.0046743
595.00	0.0042042
596.00	0.0038200
597.00	0.0035514
598.00	0.0031028
599.00	0.0026533
600.00	0.0024434
601.00	0.0021385
602.00	0.0021385
603.00	0.0018195
604.00	0.0016927
605.00	0.0016050
606.00	0.0014595
607.00	0.0013644
608.00	0.0012833
609.00	0.0013085
610.00	0.0011098
611.00	0.0010725
612.00	0.0011350
613.00	0.0010912
614.00	0.00093261
615.00	0.00093914
616.00	0.00097924
617.00	0.00090836
618.00	0.00099230
619.00	0.0010044
620.00	0.00093168
621.00	0.00098111
622.00	0.0010305
623.00	0.00081417
624.00	0.00089717
625.00	0.00093075
626.00	0.00092329
627.00	0.00099323
628.00	0.00085427
629.00	0.00092329
630.00	0.0010184
631.00	0.0010613
632.00	0.0011257
633.00	0.0011238
634.00	0.0010100
635.00	0.0010371
636.00	0.0010044
637.00	0.00081977
638.00	0.00068174
639.00	0.00083096
640.00	0.00087292
641.00	0.0010464
642.00	0.00094101
643.00	0.00091769
644.00	0.00096992
645.00	0.0010828
646.00	0.0010660
647.00	0.00087759
648.00	0.00090090
649.00	0.00069666
650.00	0.00097831
651.00	0.00092608
652.00	0.00084774
653.00	0.00072091
654.00	0.0011611
655.00	0.0010361
656.00	0.00030972
657.00	0.00063697
658.00	0.00092515
659.00	0.0010147
660.00	0.0010557
661.00	0.00093914
662.00	0.00078060
663.00	0.00087479
664.00	0.00087572
665.00	0.00076008
666.00	0.00089065
667.00	0.0010259
668.00	0.00088505
669.00	0.00089531
670.00	0.00076940
671.00	0.00070879
672.00	0.00057822
673.00	0.00060247
674.00	0.00072557
675.00	0.00081324
676.00	0.00068827
677.00	0.00063697
678.00	0.00068547
679.00	0.00058848
680.00	0.00061832
681.00	0.00054464
682.00	0.00053159
683.00	0.00062672
684.00	0.00047563
685.00	0.00053345
686.00	0.00046817
687.00	0.00047470
688.00	0.00051107
689.00	0.00048216
690.00	0.00049335
691.00	0.00052226
692.00	0.00049802
693.00	0.00047657
694.00	0.00059407
695.00	0.00054558
696.00	0.00063511
697.00	0.00048216
698.00	0.00047377
699.00	0.00055770
700.00	0.00058754
