Wavelength (nm)	N03 abs N
200.00	0.63654
201.00	0.60042
202.00	0.61120
203.00	0.63305
204.00	0.66389
205.00	0.70142
206.00	0.73815
207.00	0.77642
208.00	0.81213
209.00	0.84099
210.00	0.86331
211.00	0.87439
212.00	0.87542
213.00	0.86841
214.00	0.85781
215.00	0.84352
216.00	0.82762
217.00	0.81045
218.00	0.79119
219.00	0.76975
220.00	0.74570
221.00	0.72031
222.00	0.69292
223.00	0.66587
224.00	0.63950
225.00	0.61499
226.00	0.59205
227.00	0.57196
228.00	0.55506
229.00	0.54174
230.00	0.53183
231.00	0.52680
232.00	0.52613
233.00	0.52958
234.00	0.53655
235.00	0.54567
236.00	0.55596
237.00	0.56674
238.00	0.57615
239.00	0.58342
240.00	0.58803
241.00	0.58756
242.00	0.58032
243.00	0.56453
244.00	0.54028
245.00	0.51026
246.00	0.47669
247.00	0.44359
248.00	0.41339
249.00	0.38680
250.00	0.36370
251.00	0.34422
252.00	0.32804
253.00	0.31489
254.00	0.30523
255.00	0.29839
256.00	0.29448
257.00	0.29176
258.00	0.28984
259.00	0.28668
260.00	0.28181
261.00	0.27408
262.00	0.26363
263.00	0.25126
264.00	0.23775
265.00	0.22415
266.00	0.21134
267.00	0.19953
268.00	0.18946
269.00	0.18032
270.00	0.17290
271.00	0.16653
272.00	0.16134
273.00	0.15713
274.00	0.15382
275.00	0.15098
276.00	0.14890
277.00	0.14731
278.00	0.14592
279.00	0.14483
280.00	0.14401
281.00	0.14359
282.00	0.14313
283.00	0.14290
284.00	0.14270
285.00	0.14209
286.00	0.14112
287.00	0.13969
288.00	0.13806
289.00	0.13592
290.00	0.13313
291.00	0.13017
292.00	0.12662
293.00	0.12317
294.00	0.11940
295.00	0.11583
296.00	0.11227
297.00	0.10892
298.00	0.10544
299.00	0.10238
300.00	0.099464
301.00	0.096780
302.00	0.094435
303.00	0.092219
304.00	0.090201
305.00	0.088375
306.00	0.086753
307.00	0.085270
308.00	0.083984
309.00	0.082442
310.00	0.081129
311.00	0.080233
312.00	0.079770
313.00	0.079234
314.00	0.079047
315.00	0.079317
316.00	0.080230
317.00	0.081564
318.00	0.083727
319.00	0.085846
320.00	0.088341
321.00	0.090757
322.00	0.093291
323.00	0.094692
324.00	0.095442
325.00	0.094894
326.00	0.093211
327.00	0.090187
328.00	0.086069
329.00	0.081328
330.00	0.076222
331.00	0.071135
332.00	0.066301
333.00	0.061920
334.00	0.057990
335.00	0.054584
336.00	0.051425
337.00	0.048815
338.00	0.046754
339.00	0.044867
340.00	0.043410
341.00	0.042165
342.00	0.040853
343.00	0.040270
344.00	0.039590
345.00	0.038599
346.00	0.038020
347.00	0.037562
348.00	0.037177
349.00	0.036626
350.00	0.036102
351.00	0.035513
352.00	0.035174
353.00	0.034672
354.00	0.034007
355.00	0.033346
356.00	0.032658
357.00	0.031848
358.00	0.031198
359.00	0.030691
360.00	0.029850
361.00	0.028929
362.00	0.028308
363.00	0.027299
364.00	0.026641
365.00	0.025799
366.00	0.024842
367.00	0.024026
368.00	0.023893
369.00	0.022931
370.00	0.022758
371.00	0.022376
372.00	0.021893
373.00	0.021384
374.00	0.021333
375.00	0.020890
376.00	0.021106
377.00	0.020708
378.00	0.020566
379.00	0.020577
380.00	0.020755
381.00	0.020384
382.00	0.020349
383.00	0.020531
384.00	0.020558
385.00	0.020775
386.00	0.021325
387.00	0.021136
388.00	0.021357
389.00	0.020951
390.00	0.021533
391.00	0.021688
392.00	0.021257
393.00	0.021326
394.00	0.021415
395.00	0.021656
396.00	0.021502
397.00	0.021384
398.00	0.021622
399.00	0.021418
400.00	0.021227
401.00	0.021234
402.00	0.021438
403.00	0.021283
404.00	0.021481
405.00	0.021720
406.00	0.022181
407.00	0.022287
408.00	0.022711
409.00	0.023168
410.00	0.023441
411.00	0.023758
412.00	0.024514
413.00	0.024579
414.00	0.025050
415.00	0.025756
416.00	0.026697
417.00	0.027126
418.00	0.027865
419.00	0.029001
420.00	0.029870
421.00	0.030829
422.00	0.031790
423.00	0.033108
424.00	0.034182
425.00	0.035333
426.00	0.037179
427.00	0.039212
428.00	0.040465
429.00	0.042643
430.00	0.044627
431.00	0.046942
432.00	0.049018
433.00	0.052107
434.00	0.054668
435.00	0.057475
436.00	0.060808
437.00	0.064069
438.00	0.067402
439.00	0.070549
440.00	0.074091
441.00	0.077859
442.00	0.081396
443.00	0.084727
444.00	0.088397
445.00	0.091842
446.00	0.095874
447.00	0.099593
448.00	0.10337
449.00	0.10743
450.00	0.11121
451.00	0.11516
452.00	0.11958
453.00	0.12466
454.00	0.13034
455.00	0.13592
456.00	0.14228
457.00	0.14950
458.00	0.15652
459.00	0.16495
460.00	0.17323
461.00	0.18304
462.00	0.19352
463.00	0.20523
464.00	0.21758
465.00	0.23019
466.00	0.24275
467.00	0.25552
468.00	0.26994
469.00	0.28297
470.00	0.29650
471.00	0.31063
472.00	0.32440
473.00	0.33590
474.00	0.34562
475.00	0.35657
476.00	0.36507
477.00	0.37323
478.00	0.37864
479.00	0.38379
480.00	0.38818
481.00	0.39072
482.00	0.39285
483.00	0.39661
484.00	0.40015
485.00	0.40535
486.00	0.41223
487.00	0.41662
488.00	0.42652
489.00	0.43862
490.00	0.45464
491.00	0.47122
492.00	0.48994
493.00	0.51238
494.00	0.53535
495.00	0.56139
496.00	0.59418
497.00	0.62464
498.00	0.65863
499.00	0.69488
500.00	0.73217
501.00	0.76892
502.00	0.80391
503.00	0.84350
504.00	0.88397
505.00	0.91782
506.00	0.94486
507.00	0.96383
508.00	0.98724
509.00	1.0000
510.00	0.99974
511.00	0.99104
512.00	0.97783
513.00	0.95841
514.00	0.92222
515.00	0.88377
516.00	0.83858
517.00	0.78069
518.00	0.72611
519.00	0.66310
520.00	0.60198
521.00	0.54059
522.00	0.48264
523.00	0.42490
524.00	0.37108
525.00	0.32346
526.00	0.27938
527.00	0.24041
528.00	0.20459
529.00	0.17495
530.00	0.14832
531.00	0.12479
532.00	0.10519
533.00	0.087908
534.00	0.074264
535.00	0.062701
536.00	0.053105
537.00	0.044803
538.00	0.037555
539.00	0.031709
540.00	0.027003
541.00	0.022154
542.00	0.019387
543.00	0.016564
544.00	0.014400
545.00	0.012627
546.00	0.010990
547.00	0.0092506
548.00	0.0082697
549.00	0.0075376
550.00	0.0067571
551.00	0.0058015
552.00	0.0055515
553.00	0.0048200
554.00	0.0044969
555.00	0.0038999
556.00	0.0036645
557.00	0.0033392
558.00	0.0036248
559.00	0.0032558
560.00	0.0026218
561.00	0.0024723
562.00	0.0025753
563.00	0.0020867
564.00	0.0020626
565.00	0.0026222
566.00	0.0015680
567.00	0.0016529
568.00	0.0016703
569.00	0.0017801
570.00	0.0016853
571.00	0.0013793
572.00	0.0013804
573.00	0.0014339
574.00	0.0012197
575.00	0.0012824
576.00	0.0010807
577.00	0.0012609
578.00	0.0011440
579.00	0.0010711
580.00	0.0010479
581.00	0.00099590
582.00	0.00095671
583.00	0.00074040
584.00	0.00069972
585.00	0.00075070
586.00	0.00083034
587.00	0.00070395
588.00	0.00062536
589.00	0.00056984
590.00	0.00042776
591.00	0.00049073
592.00	0.00037661
593.00	0.00050676
594.00	0.00036417
595.00	0.00038092
596.00	0.00051969
597.00	0.00051265
598.00	0.00033742
599.00	0.00027487
600.00	0.00024291
