Wavelength (nm)	548-24-3, Eosin B (EtOH) SL1.5
505.00	0.0070973
506.00	0.0075596
507.00	0.0080249
508.00	0.0086060
509.00	0.0088872
510.00	0.011237
511.00	0.012743
512.00	0.014543
513.00	0.017166
514.00	0.021005
515.00	0.024806
516.00	0.030747
517.00	0.036537
518.00	0.043214
519.00	0.052795
520.00	0.062167
521.00	0.075771
522.00	0.089536
523.00	0.10811
524.00	0.12675
525.00	0.14928
526.00	0.17463
527.00	0.20277
528.00	0.23508
529.00	0.27441
530.00	0.31056
531.00	0.35499
532.00	0.40308
533.00	0.45414
534.00	0.50074
535.00	0.55186
536.00	0.60228
537.00	0.65606
538.00	0.70546
539.00	0.75664
540.00	0.79826
541.00	0.84389
542.00	0.88191
543.00	0.91167
544.00	0.93961
545.00	0.96433
546.00	0.97533
547.00	0.99148
548.00	0.99055
549.00	1.0000
550.00	0.99903
551.00	0.99241
552.00	0.98082
553.00	0.97086
554.00	0.96185
555.00	0.94265
556.00	0.92505
557.00	0.90480
558.00	0.88376
559.00	0.86215
560.00	0.84591
561.00	0.82649
562.00	0.79664
563.00	0.77239
564.00	0.74850
565.00	0.72535
566.00	0.69757
567.00	0.66519
568.00	0.64211
569.00	0.60981
570.00	0.58572
571.00	0.56499
572.00	0.54668
573.00	0.52189
574.00	0.50408
575.00	0.48974
576.00	0.47398
577.00	0.45868
578.00	0.44441
579.00	0.43390
580.00	0.42087
581.00	0.41487
582.00	0.40323
583.00	0.39459
584.00	0.38635
585.00	0.37784
586.00	0.37106
587.00	0.36521
588.00	0.35793
589.00	0.35006
590.00	0.34805
591.00	0.33933
592.00	0.33586
593.00	0.32607
594.00	0.32370
595.00	0.31208
596.00	0.30832
597.00	0.30292
598.00	0.29172
599.00	0.28497
600.00	0.28087
601.00	0.27434
602.00	0.26693
603.00	0.25793
604.00	0.25105
605.00	0.24336
606.00	0.23975
607.00	0.23351
608.00	0.22526
609.00	0.21915
610.00	0.21071
611.00	0.20240
612.00	0.19723
613.00	0.19111
614.00	0.18543
615.00	0.18108
616.00	0.17389
617.00	0.16932
618.00	0.16202
619.00	0.15823
620.00	0.15184
621.00	0.14577
622.00	0.14568
623.00	0.14023
624.00	0.13285
625.00	0.12705
626.00	0.12168
627.00	0.11806
628.00	0.11249
629.00	0.10927
630.00	0.10448
631.00	0.10195
632.00	0.098613
633.00	0.094490
634.00	0.092352
635.00	0.089465
636.00	0.087705
637.00	0.084607
638.00	0.082827
639.00	0.079407
640.00	0.079946
641.00	0.075402
642.00	0.073708
643.00	0.069222
644.00	0.067906
645.00	0.068049
646.00	0.064133
647.00	0.062868
648.00	0.064111
649.00	0.061596
650.00	0.057683
651.00	0.055134
652.00	0.055207
653.00	0.052940
654.00	0.052597
655.00	0.049802
656.00	0.050788
657.00	0.048231
658.00	0.044863
659.00	0.044270
660.00	0.043587
661.00	0.041607
662.00	0.040635
663.00	0.039391
664.00	0.037570
665.00	0.036436
666.00	0.035625
667.00	0.034646
668.00	0.032657
669.00	0.032322
670.00	0.032930
671.00	0.031592
672.00	0.029790
673.00	0.029032
674.00	0.028404
675.00	0.027159
676.00	0.026025
677.00	0.026878
678.00	0.024057
679.00	0.024535
680.00	0.022434
681.00	0.023350
682.00	0.021941
683.00	0.022222
684.00	0.022108
685.00	0.021625
686.00	0.020302
687.00	0.019897
688.00	0.018484
689.00	0.017648
690.00	0.018242
691.00	0.017050
692.00	0.017457
693.00	0.017562
694.00	0.016550
695.00	0.017101
696.00	0.016747
697.00	0.015440
698.00	0.014487
699.00	0.014154
700.00	0.014064
701.00	0.013306
702.00	0.013114
703.00	0.013128
704.00	0.012535
705.00	0.012772
706.00	0.012238
707.00	0.010993
708.00	0.012440
709.00	0.011695
710.00	0.011793
711.00	0.0096695
712.00	0.011749
713.00	0.010833
714.00	0.011026
715.00	0.011105
716.00	0.010736
717.00	0.0091396
718.00	0.0089509
719.00	0.0084739
720.00	0.0094056
721.00	0.010930
722.00	0.0097169
723.00	0.0094407
724.00	0.0088335
725.00	0.0096592
726.00	0.0092527
727.00	0.0087668
728.00	0.0081764
729.00	0.0087289
730.00	0.0071989
