Wavelength (nm)	N05 abs N
220.00	0.28687
220.25	0.29326
220.50	0.28654
220.75	0.28076
221.00	0.27733
221.25	0.28227
221.50	0.27838
221.75	0.28133
222.00	0.26828
222.25	0.26753
222.50	0.27242
222.75	0.27137
223.00	0.26306
223.25	0.26761
223.50	0.25206
223.75	0.26319
224.00	0.25928
224.25	0.25194
224.50	0.25411
224.75	0.25817
225.00	0.25143
225.25	0.25498
225.50	0.25364
225.75	0.25309
226.00	0.25019
226.25	0.24965
226.50	0.24107
226.75	0.24965
227.00	0.24397
227.25	0.24292
227.50	0.24886
227.75	0.23539
228.00	0.24866
228.25	0.24557
228.50	0.24863
228.75	0.24094
229.00	0.23294
229.25	0.23989
229.50	0.23711
229.75	0.23775
230.00	0.24576
230.25	0.24336
230.50	0.23794
230.75	0.23675
231.00	0.23714
231.25	0.23876
231.50	0.23678
231.75	0.23409
232.00	0.23498
232.25	0.24152
232.50	0.24032
232.75	0.24371
233.00	0.23503
233.25	0.24146
233.50	0.23619
233.75	0.23830
234.00	0.23726
234.25	0.23873
234.50	0.24663
234.75	0.23611
235.00	0.24706
235.25	0.24169
235.50	0.24260
235.75	0.24957
236.00	0.24060
236.25	0.24393
236.50	0.24322
236.75	0.23620
237.00	0.24748
237.25	0.24423
237.50	0.24897
237.75	0.24616
238.00	0.24246
238.25	0.24928
238.50	0.24883
238.75	0.25196
239.00	0.25104
239.25	0.24577
239.50	0.24843
239.75	0.25576
240.00	0.25038
240.25	0.25519
240.50	0.25607
240.75	0.25069
241.00	0.25353
241.25	0.25112
241.50	0.25655
241.75	0.25708
242.00	0.26278
242.25	0.26123
242.50	0.25841
242.75	0.25369
243.00	0.25388
243.25	0.25802
243.50	0.25910
243.75	0.25530
244.00	0.25589
244.25	0.25188
244.50	0.25544
244.75	0.26291
245.00	0.25409
245.25	0.25583
245.50	0.25091
245.75	0.25044
246.00	0.25052
246.25	0.24423
246.50	0.24797
246.75	0.24918
247.00	0.24258
247.25	0.24682
247.50	0.24565
247.75	0.24520
248.00	0.24444
248.25	0.25059
248.50	0.25043
248.75	0.25075
249.00	0.25005
249.25	0.24433
249.50	0.25222
249.75	0.24914
250.00	0.24950
250.25	0.25258
250.50	0.24961
250.75	0.25417
251.00	0.25385
251.25	0.25133
251.50	0.24992
251.75	0.24594
252.00	0.25016
252.25	0.25104
252.50	0.25391
252.75	0.25066
253.00	0.24897
253.25	0.25298
253.50	0.25037
253.75	0.25532
254.00	0.25167
254.25	0.25221
254.50	0.25070
254.75	0.24937
255.00	0.25111
255.25	0.25829
255.50	0.25153
255.75	0.25253
256.00	0.24463
256.25	0.24522
256.50	0.24643
256.75	0.25217
257.00	0.24793
257.25	0.25595
257.50	0.25450
257.75	0.25597
258.00	0.25408
258.25	0.25654
258.50	0.24952
258.75	0.25548
259.00	0.25284
259.25	0.25483
259.50	0.25770
259.75	0.25539
260.00	0.25648
260.25	0.25086
260.50	0.25352
260.75	0.25470
261.00	0.24180
261.25	0.24928
261.50	0.24821
261.75	0.24660
262.00	0.23410
262.25	0.24161
262.50	0.23738
262.75	0.23085
263.00	0.22171
263.25	0.21685
263.50	0.21168
263.75	0.20191
264.00	0.20169
264.25	0.19744
264.50	0.18816
264.75	0.18334
265.00	0.17329
265.25	0.16826
265.50	0.15935
265.75	0.16086
266.00	0.15261
266.25	0.14706
266.50	0.13776
266.75	0.13630
267.00	0.12967
267.25	0.12274
267.50	0.11741
267.75	0.11230
268.00	0.10596
268.25	0.10402
268.50	0.097521
268.75	0.098320
269.00	0.091469
269.25	0.088735
269.50	0.082312
269.75	0.082879
270.00	0.076916
270.25	0.075425
270.50	0.069203
270.75	0.065372
271.00	0.067793
271.25	0.066904
271.50	0.062944
271.75	0.064514
272.00	0.055371
272.25	0.051497
272.50	0.056261
272.75	0.056811
273.00	0.052561
273.25	0.047801
273.50	0.053212
273.75	0.049177
274.00	0.047764
274.25	0.042870
274.50	0.041155
274.75	0.042088
275.00	0.041046
275.25	0.044108
275.50	0.036929
275.75	0.045083
276.00	0.042632
276.25	0.044898
276.50	0.043717
276.75	0.041542
277.00	0.042080
277.25	0.035502
277.50	0.036817
277.75	0.038691
278.00	0.036116
278.25	0.038896
278.50	0.030985
278.75	0.031387
279.00	0.037506
279.25	0.034555
279.50	0.034723
279.75	0.031287
280.00	0.030196
