Wavelength (nm)	N06 abs N
200.00	0.38541
201.00	0.39609
202.00	0.40408
203.00	0.41200
204.00	0.42167
205.00	0.43661
206.00	0.44696
207.00	0.45568
208.00	0.46436
209.00	0.47162
210.00	0.47585
211.00	0.48040
212.00	0.48483
213.00	0.48765
214.00	0.48944
215.00	0.49064
216.00	0.49014
217.00	0.48827
218.00	0.48493
219.00	0.48085
220.00	0.47533
221.00	0.46844
222.00	0.46000
223.00	0.45093
224.00	0.44054
225.00	0.42984
226.00	0.41767
227.00	0.40630
228.00	0.39459
229.00	0.38336
230.00	0.37235
231.00	0.36191
232.00	0.35216
233.00	0.34296
234.00	0.33436
235.00	0.32668
236.00	0.32026
237.00	0.31475
238.00	0.30962
239.00	0.30485
240.00	0.30046
241.00	0.29641
242.00	0.29297
243.00	0.28963
244.00	0.28663
245.00	0.28379
246.00	0.28108
247.00	0.27915
248.00	0.27818
249.00	0.27846
250.00	0.27979
251.00	0.28178
252.00	0.28389
253.00	0.28527
254.00	0.28542
255.00	0.28479
256.00	0.28294
257.00	0.28110
258.00	0.27979
259.00	0.27906
260.00	0.27898
261.00	0.27847
262.00	0.27644
263.00	0.27284
264.00	0.26598
265.00	0.25637
266.00	0.24311
267.00	0.22770
268.00	0.21153
269.00	0.19514
270.00	0.18009
271.00	0.16670
272.00	0.15522
273.00	0.14538
274.00	0.13728
275.00	0.12962
276.00	0.12240
277.00	0.11571
278.00	0.10914
279.00	0.10277
280.00	0.097390
281.00	0.092627
282.00	0.088571
283.00	0.085289
284.00	0.082540
285.00	0.079997
286.00	0.078030
287.00	0.076708
288.00	0.075540
289.00	0.074956
290.00	0.074795
291.00	0.075025
292.00	0.075510
293.00	0.076303
294.00	0.077317
295.00	0.078452
296.00	0.079843
297.00	0.081110
298.00	0.082251
299.00	0.083524
300.00	0.084979
301.00	0.086798
302.00	0.088660
303.00	0.090843
304.00	0.093534
305.00	0.096189
306.00	0.099028
307.00	0.10189
308.00	0.10471
309.00	0.10709
310.00	0.10889
311.00	0.10982
312.00	0.10996
313.00	0.10961
314.00	0.10868
315.00	0.10758
316.00	0.10595
317.00	0.10437
318.00	0.10237
319.00	0.10022
320.00	0.097731
321.00	0.095128
322.00	0.092390
323.00	0.089125
324.00	0.085825
325.00	0.082138
326.00	0.078884
327.00	0.075102
328.00	0.071711
329.00	0.068280
330.00	0.064698
331.00	0.061406
332.00	0.058328
333.00	0.055347
334.00	0.052629
335.00	0.050412
336.00	0.048466
337.00	0.046725
338.00	0.045668
339.00	0.044897
340.00	0.044468
341.00	0.044457
342.00	0.044645
343.00	0.045186
344.00	0.045682
345.00	0.046124
346.00	0.045979
347.00	0.045487
348.00	0.044414
349.00	0.042639
350.00	0.040231
351.00	0.037361
352.00	0.033905
353.00	0.030542
354.00	0.027303
355.00	0.024253
356.00	0.021550
357.00	0.019219
358.00	0.017182
359.00	0.015229
360.00	0.013735
361.00	0.012656
362.00	0.011574
363.00	0.010543
364.00	0.0097123
365.00	0.0093847
366.00	0.0087892
367.00	0.0088010
368.00	0.0086197
369.00	0.0083827
370.00	0.0086980
371.00	0.0083905
372.00	0.0084484
373.00	0.0086087
374.00	0.0088976
375.00	0.0093305
376.00	0.0092061
377.00	0.0092776
378.00	0.0097251
379.00	0.0097930
380.00	0.010301
381.00	0.010786
382.00	0.011010
383.00	0.011343
384.00	0.011480
385.00	0.011898
386.00	0.012249
387.00	0.012403
388.00	0.012680
389.00	0.012474
390.00	0.013006
391.00	0.013245
392.00	0.013411
393.00	0.013648
394.00	0.013737
395.00	0.014196
396.00	0.014671
397.00	0.014529
398.00	0.014749
399.00	0.015230
400.00	0.015842
401.00	0.015943
402.00	0.015856
403.00	0.016268
404.00	0.016214
405.00	0.016447
406.00	0.017217
407.00	0.017432
408.00	0.017493
409.00	0.017383
410.00	0.017710
411.00	0.017417
412.00	0.017391
413.00	0.017278
414.00	0.017368
415.00	0.017132
416.00	0.017156
417.00	0.016892
418.00	0.016703
419.00	0.016389
420.00	0.016023
421.00	0.015709
422.00	0.015441
