Wavelength (nm)	N07 abs N
200.00	0.48807
201.00	0.49622
202.00	0.49874
203.00	0.50554
204.00	0.49510
205.00	0.47958
206.00	0.46361
207.00	0.45142
208.00	0.43969
209.00	0.42749
210.00	0.41810
211.00	0.40898
212.00	0.40100
213.00	0.39436
214.00	0.38819
215.00	0.38334
216.00	0.37877
217.00	0.37431
218.00	0.37001
219.00	0.36651
220.00	0.36304
221.00	0.35962
222.00	0.35672
223.00	0.35363
224.00	0.34990
225.00	0.34560
226.00	0.34046
227.00	0.33397
228.00	0.32724
229.00	0.31967
230.00	0.31191
231.00	0.30434
232.00	0.29750
233.00	0.29156
234.00	0.28667
235.00	0.28304
236.00	0.28083
237.00	0.27972
238.00	0.27940
239.00	0.27998
240.00	0.28102
241.00	0.28211
242.00	0.28340
243.00	0.28479
244.00	0.28622
245.00	0.28781
246.00	0.28980
247.00	0.29181
248.00	0.29377
249.00	0.29544
250.00	0.29637
251.00	0.29672
252.00	0.29659
253.00	0.29681
254.00	0.29741
255.00	0.29831
256.00	0.29937
257.00	0.30032
258.00	0.30091
259.00	0.30154
260.00	0.30171
261.00	0.30182
262.00	0.30202
263.00	0.30250
264.00	0.30339
265.00	0.30362
266.00	0.30206
267.00	0.29815
268.00	0.29180
269.00	0.28203
270.00	0.26883
271.00	0.25415
272.00	0.23823
273.00	0.22183
274.00	0.20608
275.00	0.19194
276.00	0.17891
277.00	0.16693
278.00	0.15646
279.00	0.14705
280.00	0.13878
281.00	0.13173
282.00	0.12527
283.00	0.11958
284.00	0.11448
285.00	0.10985
286.00	0.10569
287.00	0.10200
288.00	0.098932
289.00	0.096351
290.00	0.094115
291.00	0.092554
292.00	0.091465
293.00	0.090861
294.00	0.090799
295.00	0.091159
296.00	0.091994
297.00	0.093218
298.00	0.094855
299.00	0.096792
300.00	0.099245
301.00	0.10134
302.00	0.10403
303.00	0.10665
304.00	0.10936
305.00	0.11191
306.00	0.11430
307.00	0.11695
308.00	0.11952
309.00	0.12197
310.00	0.12411
311.00	0.12632
312.00	0.12805
313.00	0.12992
314.00	0.13112
315.00	0.13163
316.00	0.13185
317.00	0.13147
318.00	0.13055
319.00	0.12923
320.00	0.12780
321.00	0.12537
322.00	0.12301
323.00	0.12044
324.00	0.11751
325.00	0.11405
326.00	0.11044
327.00	0.10670
