Wavelength (nm)	N08 abs N
220.00	0.43208
220.25	0.43234
220.50	0.43156
220.75	0.43458
221.00	0.43198
221.25	0.44151
221.50	0.44145
221.75	0.43818
222.00	0.43828
222.25	0.43963
222.50	0.44313
222.75	0.44261
223.00	0.43676
223.25	0.44060
223.50	0.43649
223.75	0.43840
224.00	0.43332
224.25	0.43845
224.50	0.43651
224.75	0.43433
225.00	0.43415
225.25	0.43451
225.50	0.43553
225.75	0.43224
226.00	0.43356
226.25	0.42963
226.50	0.42870
226.75	0.42634
227.00	0.42631
227.25	0.42554
227.50	0.42696
227.75	0.42376
228.00	0.41995
228.25	0.41748
228.50	0.41732
228.75	0.41391
229.00	0.41230
229.25	0.41180
229.50	0.41004
229.75	0.40588
230.00	0.40418
230.25	0.40272
230.50	0.40119
230.75	0.39800
231.00	0.39879
231.25	0.39220
231.50	0.38814
231.75	0.38796
232.00	0.38692
232.25	0.38499
232.50	0.38276
232.75	0.38066
233.00	0.37741
233.25	0.37547
233.50	0.37384
233.75	0.37165
234.00	0.36736
234.25	0.36672
234.50	0.36331
234.75	0.36290
235.00	0.35988
235.25	0.35887
235.50	0.35523
235.75	0.35171
236.00	0.35203
236.25	0.34685
236.50	0.34489
236.75	0.34291
237.00	0.34253
237.25	0.34053
237.50	0.33809
237.75	0.33749
238.00	0.33418
238.25	0.33429
238.50	0.33160
238.75	0.32978
239.00	0.32931
239.25	0.32411
239.50	0.32250
239.75	0.32112
240.00	0.31887
240.25	0.31817
240.50	0.31521
240.75	0.31503
241.00	0.31451
241.25	0.31086
241.50	0.31001
241.75	0.30763
242.00	0.30490
242.25	0.30141
242.50	0.30141
242.75	0.29868
243.00	0.29583
243.25	0.29701
243.50	0.29705
243.75	0.29713
244.00	0.29382
244.25	0.29227
244.50	0.28849
244.75	0.29063
245.00	0.28570
245.25	0.28512
245.50	0.28393
245.75	0.28457
246.00	0.28267
246.25	0.28069
246.50	0.28040
246.75	0.27937
247.00	0.27807
247.25	0.27598
247.50	0.27503
