Wavelength (nm)	N-8, 11121-48-5, Rose Bengal.ems
535.00	0.0077522
535.50	0.0086045
536.00	0.0094175
536.50	0.010247
537.00	0.011289
537.50	0.012142
538.00	0.013216
538.50	0.014484
539.00	0.016471
539.50	0.017981
540.00	0.019874
540.50	0.022160
541.00	0.023695
541.50	0.026961
542.00	0.028905
542.50	0.032472
543.00	0.035195
543.50	0.039575
544.00	0.042243
544.50	0.047801
545.00	0.052189
545.50	0.059121
546.00	0.063045
546.50	0.070944
547.00	0.076547
547.50	0.086763
548.00	0.092208
548.50	0.10250
549.00	0.11214
549.50	0.12626
550.00	0.13516
550.50	0.14852
551.00	0.16363
551.50	0.18273
552.00	0.19430
552.50	0.21381
553.00	0.23358
553.50	0.25700
554.00	0.27028
554.50	0.29799
555.00	0.32062
555.50	0.35011
556.00	0.36977
556.50	0.39753
557.00	0.42163
557.50	0.45759
558.00	0.47930
558.50	0.51151
559.00	0.53832
559.50	0.57268
560.00	0.59802
560.50	0.63060
561.00	0.65517
561.50	0.68956
562.00	0.71049
562.50	0.74128
563.00	0.76957
563.50	0.80103
564.00	0.81747
564.50	0.84556
565.00	0.86696
565.50	0.89105
566.00	0.90709
566.50	0.92743
567.00	0.93851
567.50	0.95446
568.00	0.96145
568.50	0.97868
569.00	0.98176
569.50	0.98943
570.00	0.99450
570.50	0.99772
571.00	0.99854
571.50	1.0000
572.00	0.99685
572.50	0.99602
573.00	0.99193
573.50	0.98279
574.00	0.97707
574.50	0.96685
575.00	0.95755
575.50	0.94239
576.00	0.93478
576.50	0.91982
577.00	0.90906
577.50	0.88871
578.00	0.87861
578.50	0.86330
579.00	0.84705
579.50	0.82802
580.00	0.81813
580.50	0.80219
581.00	0.78892
581.50	0.76948
582.00	0.75961
582.50	0.74058
583.00	0.72956
583.50	0.70666
584.00	0.69833
584.50	0.68146
585.00	0.66741
585.50	0.64758
586.00	0.63916
586.50	0.62109
587.00	0.60727
587.50	0.58897
588.00	0.58044
588.50	0.56438
589.00	0.55389
589.50	0.53558
590.00	0.52520
590.50	0.51295
591.00	0.50372
591.50	0.48567
592.00	0.47929
592.50	0.46640
593.00	0.45719
593.50	0.44327
594.00	0.43770
594.50	0.42614
595.00	0.41882
595.50	0.40515
596.00	0.40037
596.50	0.39099
597.00	0.38256
597.50	0.37302
598.00	0.36586
598.50	0.35724
599.00	0.35059
599.50	0.34403
600.00	0.33700
600.50	0.32982
601.00	0.32521
601.50	0.31718
602.00	0.31370
602.50	0.30756
603.00	0.30309
603.50	0.29812
604.00	0.29643
604.50	0.29326
605.00	0.28775
605.50	0.28586
606.00	0.28206
606.50	0.28080
607.00	0.27906
607.50	0.27701
608.00	0.27618
608.50	0.27272
609.00	0.27171
609.50	0.27049
610.00	0.26932
610.50	0.26769
611.00	0.26867
611.50	0.26546
612.00	0.26492
612.50	0.26398
613.00	0.26504
613.50	0.26392
614.00	0.26256
614.50	0.26342
615.00	0.26401
615.50	0.26168
616.00	0.26387
616.50	0.26331
617.00	0.26189
617.50	0.26050
618.00	0.26049
618.50	0.26066
619.00	0.25970
619.50	0.25783
620.00	0.25652
620.50	0.25729
621.00	0.25548
621.50	0.25451
622.00	0.25196
622.50	0.25141
623.00	0.24908
623.50	0.24823
624.00	0.24567
624.50	0.24371
625.00	0.23990
625.50	0.23434
626.00	0.23391
626.50	0.22944
627.00	0.22813
627.50	0.22309
628.00	0.22247
628.50	0.21718
629.00	0.21681
629.50	0.21292
630.00	0.20944
630.50	0.20726
631.00	0.20306
631.50	0.20098
632.00	0.19873
632.50	0.19637
633.00	0.19238
633.50	0.18854
634.00	0.18520
634.50	0.18111
635.00	0.17938
635.50	0.17440
636.00	0.17192
636.50	0.16689
637.00	0.16647
637.50	0.16205
638.00	0.15966
638.50	0.15532
639.00	0.15368
639.50	0.14833
640.00	0.14757
640.50	0.14400
641.00	0.14011
641.50	0.13785
642.00	0.13553
642.50	0.13131
643.00	0.12959
643.50	0.12639
644.00	0.12417
644.50	0.12268
645.00	0.11987
645.50	0.11722
646.00	0.11528
646.50	0.11092
647.00	0.10914
647.50	0.10708
648.00	0.10444
648.50	0.10298
649.00	0.10038
649.50	0.096845
650.00	0.095446
650.50	0.093188
651.00	0.091156
651.50	0.088664
652.00	0.087801
652.50	0.087209
653.00	0.083853
653.50	0.081511
654.00	0.081357
654.50	0.078433
655.00	0.077960
655.50	0.076350
656.00	0.076470
656.50	0.074093
657.00	0.071805
657.50	0.069767
658.00	0.068604
658.50	0.066395
659.00	0.066715
659.50	0.064172
660.00	0.063781
660.50	0.061959
661.00	0.060682
661.50	0.060098
662.00	0.059009
662.50	0.058003
663.00	0.056990
663.50	0.056798
664.00	0.055652
664.50	0.053968
665.00	0.053267
665.50	0.053443
666.00	0.052449
666.50	0.051257
667.00	0.050775
667.50	0.049304
668.00	0.048950
668.50	0.048749
669.00	0.046672
669.50	0.047031
670.00	0.046279
670.50	0.045478
671.00	0.044454
671.50	0.044886
672.00	0.044678
672.50	0.042858
673.00	0.044612
673.50	0.043657
674.00	0.041915
674.50	0.041806
675.00	0.041450
675.50	0.040956
676.00	0.040226
676.50	0.040325
677.00	0.040435
677.50	0.038383
678.00	0.039453
678.50	0.039588
679.00	0.039256
679.50	0.038223
680.00	0.037561
680.50	0.036335
681.00	0.036472
681.50	0.036122
682.00	0.036574
682.50	0.035148
683.00	0.035468
683.50	0.034486
684.00	0.035141
684.50	0.035517
685.00	0.034282
685.50	0.034059
686.00	0.033323
686.50	0.032747
687.00	0.033103
687.50	0.032016
688.00	0.031778
688.50	0.031799
689.00	0.031189
689.50	0.031512
690.00	0.030729
690.50	0.030253
691.00	0.030036
691.50	0.029241
692.00	0.029599
692.50	0.029551
693.00	0.028745
693.50	0.027738
694.00	0.028065
694.50	0.028694
695.00	0.028081
695.50	0.026733
696.00	0.027060
696.50	0.026359
697.00	0.024896
697.50	0.024899
698.00	0.025521
698.50	0.024890
699.00	0.024529
699.50	0.023770
700.00	0.024047
700.50	0.023648
701.00	0.023185
701.50	0.023219
702.00	0.021900
702.50	0.022158
703.00	0.022697
703.50	0.020868
704.00	0.020752
704.50	0.019635
