Wavelength (nm)	161265-03-8, Xantphos, CHCl3, SL2
285.00	0.079896
286.00	0.083345
287.00	0.070313
288.00	0.069855
289.00	0.081613
290.00	0.074723
291.00	0.080238
292.00	0.071133
293.00	0.080767
294.00	0.082458
295.00	0.087698
296.00	0.085373
297.00	0.085427
298.00	0.098624
299.00	0.098665
300.00	0.093868
301.00	0.097460
302.00	0.096409
303.00	0.11578
304.00	0.13876
305.00	0.15221
306.00	0.17605
307.00	0.21378
308.00	0.26254
309.00	0.30837
310.00	0.35233
311.00	0.38097
312.00	0.43828
313.00	0.46166
314.00	0.51657
315.00	0.53613
316.00	0.58485
317.00	0.63164
318.00	0.66493
319.00	0.69701
320.00	0.71416
321.00	0.75580
322.00	0.78250
323.00	0.83269
324.00	0.87773
325.00	0.90465
326.00	0.90741
327.00	0.95142
328.00	0.95465
329.00	0.95192
330.00	0.97454
331.00	0.98284
332.00	0.99600
333.00	1.0000
334.00	0.98968
335.00	0.99105
336.00	0.98137
337.00	0.99007
338.00	0.96132
339.00	0.95144
340.00	0.92981
341.00	0.90725
342.00	0.90451
343.00	0.89320
344.00	0.88115
345.00	0.85158
346.00	0.84532
347.00	0.83365
348.00	0.81282
349.00	0.79083
350.00	0.77702
351.00	0.74974
352.00	0.74134
353.00	0.72619
354.00	0.69431
355.00	0.66750
356.00	0.64853
357.00	0.62788
358.00	0.60428
359.00	0.58048
360.00	0.56015
361.00	0.53986
362.00	0.52132
363.00	0.50236
364.00	0.48019
365.00	0.47392
366.00	0.44682
367.00	0.43130
368.00	0.41415
369.00	0.39456
370.00	0.37445
371.00	0.36461
372.00	0.34374
373.00	0.32860
374.00	0.31433
375.00	0.29370
376.00	0.28390
377.00	0.27865
378.00	0.25542
379.00	0.24907
380.00	0.23922
381.00	0.22767
382.00	0.21498
383.00	0.20217
384.00	0.19060
385.00	0.18663
386.00	0.17761
387.00	0.16667
388.00	0.16409
389.00	0.15674
390.00	0.14578
391.00	0.13811
392.00	0.12974
393.00	0.12253
394.00	0.11761
395.00	0.11237
396.00	0.10794
397.00	0.10003
398.00	0.094120
399.00	0.092407
400.00	0.086712
401.00	0.086083
402.00	0.081872
403.00	0.076571
404.00	0.070566
405.00	0.071419
406.00	0.065447
407.00	0.063501
408.00	0.060070
409.00	0.057795
410.00	0.056823
411.00	0.051079
412.00	0.047547
413.00	0.045999
414.00	0.044949
415.00	0.042140
416.00	0.040061
417.00	0.036094
418.00	0.037641
419.00	0.035141
420.00	0.034230
421.00	0.032553
422.00	0.032253
423.00	0.031370
424.00	0.032791
425.00	0.028317
426.00	0.025920
427.00	0.025143
428.00	0.024913
429.00	0.026232
430.00	0.027979
431.00	0.024094
432.00	0.022888
433.00	0.024716
434.00	0.026114
435.00	0.026202
436.00	0.020903
437.00	0.018841
438.00	0.018885
439.00	0.019903
440.00	0.018216
441.00	0.017520
442.00	0.018284
443.00	0.016691
444.00	0.016635
445.00	0.016119
446.00	0.018514
447.00	0.014645
448.00	0.013452
449.00	0.015185
450.00	0.015371
