Wavelength (nm)	N10 abs N
220.00	0.22738
220.25	0.22757
220.50	0.22978
220.75	0.22679
221.00	0.22964
221.25	0.22858
221.50	0.22789
221.75	0.22864
222.00	0.22947
222.25	0.22836
222.50	0.23069
222.75	0.22836
223.00	0.22903
223.25	0.22993
223.50	0.23079
223.75	0.22954
224.00	0.22979
224.25	0.22948
224.50	0.23141
224.75	0.23218
225.00	0.23104
225.25	0.23114
225.50	0.23208
225.75	0.23072
226.00	0.23039
226.25	0.23226
226.50	0.23306
226.75	0.23319
227.00	0.23302
227.25	0.23390
227.50	0.23624
227.75	0.23274
228.00	0.23569
228.25	0.23586
228.50	0.23578
228.75	0.23608
229.00	0.23638
229.25	0.23578
229.50	0.23839
229.75	0.23714
230.00	0.23777
230.25	0.23952
230.50	0.24001
230.75	0.24128
231.00	0.24244
231.25	0.24201
231.50	0.24322
231.75	0.24138
232.00	0.24278
232.25	0.24478
232.50	0.24470
232.75	0.24667
233.00	0.24553
233.25	0.24587
233.50	0.24816
233.75	0.24801
234.00	0.24881
234.25	0.25093
234.50	0.25232
234.75	0.25186
235.00	0.25356
235.25	0.25366
235.50	0.25605
235.75	0.25781
236.00	0.26049
236.25	0.26352
236.50	0.26488
236.75	0.26779
237.00	0.27029
237.25	0.27484
237.50	0.27575
237.75	0.27874
238.00	0.28221
238.25	0.28514
238.50	0.29003
238.75	0.29328
239.00	0.29705
239.25	0.30181
239.50	0.30656
239.75	0.31085
240.00	0.31510
240.25	0.31838
240.50	0.32156
240.75	0.32858
241.00	0.33122
241.25	0.33433
241.50	0.33892
241.75	0.34323
242.00	0.34628
242.25	0.34794
242.50	0.35375
242.75	0.35550
243.00	0.36038
243.25	0.36157
243.50	0.36325
243.75	0.36631
244.00	0.36836
244.25	0.36939
244.50	0.36911
244.75	0.37299
245.00	0.37240
245.25	0.37285
245.50	0.37061
245.75	0.37166
246.00	0.37217
246.25	0.37102
246.50	0.36868
246.75	0.36392
247.00	0.36369
247.25	0.35924
247.50	0.35478
247.75	0.35073
248.00	0.34672
248.25	0.34032
248.50	0.33271
248.75	0.32738
249.00	0.31979
249.25	0.31159
249.50	0.30575
249.75	0.29707
250.00	0.28963
250.25	0.27993
250.50	0.27138
250.75	0.26369
251.00	0.25594
251.25	0.24556
251.50	0.23870
251.75	0.23056
252.00	0.22194
252.25	0.21528
252.50	0.20714
252.75	0.20014
253.00	0.19488
253.25	0.19026
253.50	0.18395
253.75	0.17999
254.00	0.17409
254.25	0.17033
254.50	0.16554
254.75	0.16189
255.00	0.15910
255.25	0.15638
255.50	0.15329
255.75	0.15069
256.00	0.14703
256.25	0.14583
256.50	0.14113
256.75	0.14004
257.00	0.13808
257.25	0.13646
257.50	0.13258
257.75	0.13241
258.00	0.13192
258.25	0.12934
258.50	0.12785
258.75	0.12830
259.00	0.12808
259.25	0.12766
259.50	0.12802
259.75	0.12677
260.00	0.12752
260.25	0.12708
260.50	0.12902
260.75	0.12939
261.00	0.12847
261.25	0.13003
261.50	0.12912
261.75	0.13028
262.00	0.13029
262.25	0.12970
262.50	0.13126
262.75	0.13058
263.00	0.13295
263.25	0.13337
263.50	0.13494
263.75	0.13536
264.00	0.13536
264.25	0.13547
264.50	0.13476
264.75	0.13891
265.00	0.13745
265.25	0.13840
265.50	0.13841
265.75	0.13918
266.00	0.13829
266.25	0.13909
266.50	0.13818
266.75	0.13835
267.00	0.13812
267.25	0.13784
267.50	0.13675
267.75	0.13551
268.00	0.13513
268.25	0.13354
268.50	0.13273
268.75	0.13220
269.00	0.13153
269.25	0.13045
269.50	0.12948
269.75	0.12730
270.00	0.12640
270.25	0.12468
270.50	0.12413
270.75	0.12329
271.00	0.12230
271.25	0.12132
271.50	0.11782
271.75	0.11588
272.00	0.11646
272.25	0.11450
272.50	0.11343
272.75	0.11252
273.00	0.10949
273.25	0.10950
273.50	0.10759
273.75	0.10660
274.00	0.10528
274.25	0.10405
274.50	0.10197
274.75	0.10135
275.00	0.099519
275.25	0.097279
275.50	0.098005
275.75	0.095643
276.00	0.095131
276.25	0.096293
276.50	0.093861
276.75	0.092286
277.00	0.091285
277.25	0.091323
277.50	0.091514
277.75	0.089205
278.00	0.088433
278.25	0.087355
278.50	0.088356
278.75	0.086965
279.00	0.086300
279.25	0.088005
279.50	0.086407
279.75	0.088677
280.00	0.087102
280.25	0.086888
280.50	0.085520
280.75	0.085902
281.00	0.087286
281.25	0.087638
281.50	0.086307
281.75	0.086544
282.00	0.086789
282.25	0.086078
282.50	0.086957
282.75	0.086429
283.00	0.086330
283.25	0.086361
283.50	0.087156
283.75	0.086705
284.00	0.087141
284.25	0.087997
284.50	0.086414
284.75	0.086468
285.00	0.086200
285.25	0.086751
285.50	0.087607
285.75	0.089633
286.00	0.088922
286.25	0.088677
286.50	0.090528
286.75	0.090757
287.00	0.090681
287.25	0.090084
287.50	0.089740
287.75	0.090306
288.00	0.089511
288.25	0.091797
288.50	0.092875
288.75	0.091124
289.00	0.093204
289.25	0.091690
289.50	0.092638
289.75	0.094970
290.00	0.094458
290.25	0.094244
290.50	0.096216
290.75	0.094374
291.00	0.093617
291.25	0.095031
291.50	0.096277
291.75	0.094993
292.00	0.094894
292.25	0.095329
292.50	0.095918
292.75	0.097019
293.00	0.097524
293.25	0.097287
293.50	0.096721
293.75	0.096897
294.00	0.097264
294.25	0.095368
294.50	0.097417
294.75	0.096904
295.00	0.094144
295.25	0.094221
295.50	0.094786
295.75	0.095513
296.00	0.094458
296.25	0.094939
296.50	0.094481
296.75	0.094037
297.00	0.093349
297.25	0.093135
297.50	0.092569
297.75	0.090298
298.00	0.089863
298.25	0.088219
298.50	0.087966
298.75	0.086819
299.00	0.085122
299.25	0.085803
299.50	0.082928
299.75	0.081368
300.00	0.080473
300.25	0.080290
300.50	0.078936
300.75	0.077736
301.00	0.075381
301.25	0.074861
301.50	0.071856
301.75	0.071229
302.00	0.068966
302.25	0.069586
302.50	0.067636
302.75	0.065594
