Wavelength (nm)	N11 abs N
220.00	0.26645
220.25	0.27132
220.50	0.27191
220.75	0.27195
221.00	0.27429
221.25	0.27277
221.50	0.27439
221.75	0.27571
222.00	0.27700
222.25	0.27804
222.50	0.28058
222.75	0.27933
223.00	0.27756
223.25	0.27647
223.50	0.28019
223.75	0.28252
224.00	0.28204
224.25	0.28323
224.50	0.28417
224.75	0.28211
225.00	0.28367
225.25	0.28195
225.50	0.28476
225.75	0.28250
226.00	0.28243
226.25	0.28168
226.50	0.28342
226.75	0.28405
227.00	0.28158
227.25	0.28103
227.50	0.28254
227.75	0.27737
228.00	0.28174
228.25	0.27890
228.50	0.27820
228.75	0.27852
229.00	0.27874
229.25	0.27553
229.50	0.27649
229.75	0.27559
230.00	0.27547
230.25	0.27567
230.50	0.27674
230.75	0.27550
231.00	0.27530
231.25	0.27561
231.50	0.27481
231.75	0.27188
232.00	0.27402
232.25	0.27551
232.50	0.27407
232.75	0.27465
233.00	0.27425
233.25	0.27429
233.50	0.27514
233.75	0.27453
234.00	0.27716
234.25	0.27798
234.50	0.27742
234.75	0.27903
235.00	0.27707
235.25	0.27718
235.50	0.27793
235.75	0.27992
236.00	0.28382
236.25	0.28324
236.50	0.28164
236.75	0.28159
237.00	0.28149
237.25	0.28264
237.50	0.28049
237.75	0.27893
238.00	0.27806
238.25	0.27766
238.50	0.27608
238.75	0.27513
239.00	0.27385
239.25	0.27201
239.50	0.26902
239.75	0.26667
240.00	0.26675
240.25	0.26347
240.50	0.26005
240.75	0.25756
241.00	0.25500
241.25	0.25055
241.50	0.24851
241.75	0.24463
242.00	0.24310
242.25	0.23616
242.50	0.23446
242.75	0.23077
243.00	0.23013
243.25	0.22911
243.50	0.22975
243.75	0.22945
244.00	0.22993
244.25	0.22985
244.50	0.22944
244.75	0.22965
245.00	0.23094
245.25	0.23146
245.50	0.23371
245.75	0.23341
246.00	0.23464
246.25	0.23649
246.50	0.23626
246.75	0.23696
247.00	0.23794
247.25	0.23805
247.50	0.23680
247.75	0.23593
248.00	0.23465
248.25	0.23232
248.50	0.23412
248.75	0.23509
249.00	0.23945
249.25	0.24314
249.50	0.24945
249.75	0.25307
250.00	0.25825
250.25	0.25959
250.50	0.26232
250.75	0.26535
251.00	0.26636
251.25	0.26871
251.50	0.27130
251.75	0.27258
252.00	0.27422
