Wavelength (nm)	3520-42-1, Sulforhodamine B (EtOH) SL1.5
525.00	0.0050462
526.00	0.0086097
527.00	0.012043
528.00	0.015773
529.00	0.020846
530.00	0.026098
531.00	0.031891
532.00	0.038412
533.00	0.045754
534.00	0.052768
535.00	0.063032
536.00	0.070945
537.00	0.082142
538.00	0.093082
539.00	0.10507
540.00	0.11754
541.00	0.13288
542.00	0.14637
543.00	0.16418
544.00	0.18113
545.00	0.20122
546.00	0.22220
547.00	0.24556
548.00	0.26820
549.00	0.29570
550.00	0.32350
551.00	0.35552
552.00	0.38684
553.00	0.42205
554.00	0.45748
555.00	0.49821
556.00	0.53744
557.00	0.57780
558.00	0.62216
559.00	0.66456
560.00	0.70805
561.00	0.75263
562.00	0.79603
563.00	0.83375
564.00	0.87045
565.00	0.90363
566.00	0.93273
567.00	0.95623
568.00	0.97734
569.00	0.99273
570.00	0.99764
571.00	1.00000
572.00	0.99880
573.00	0.98785
574.00	0.97390
575.00	0.95578
576.00	0.93136
577.00	0.90620
578.00	0.88155
579.00	0.85251
580.00	0.82000
581.00	0.79211
582.00	0.75433
583.00	0.72669
584.00	0.69604
585.00	0.66730
586.00	0.63357
587.00	0.60416
588.00	0.57583
589.00	0.54803
590.00	0.52357
591.00	0.49581
592.00	0.47456
593.00	0.45566
594.00	0.43133
595.00	0.41128
596.00	0.39743
597.00	0.37831
598.00	0.36214
599.00	0.34748
600.00	0.33390
601.00	0.32247
602.00	0.31052
603.00	0.30205
604.00	0.29353
605.00	0.28736
606.00	0.28168
607.00	0.27624
608.00	0.26990
609.00	0.26526
610.00	0.25951
611.00	0.25402
612.00	0.25090
613.00	0.24730
614.00	0.24451
615.00	0.24312
616.00	0.23698
617.00	0.23576
618.00	0.23194
619.00	0.22982
620.00	0.22479
621.00	0.22080
622.00	0.21694
623.00	0.21159
624.00	0.20772
625.00	0.20357
626.00	0.19899
627.00	0.19329
628.00	0.18609
629.00	0.18076
630.00	0.17459
631.00	0.16844
632.00	0.16310
633.00	0.15703
634.00	0.15116
635.00	0.14284
636.00	0.13736
637.00	0.13300
638.00	0.12514
639.00	0.11858
640.00	0.11247
641.00	0.10806
642.00	0.10301
643.00	0.098790
644.00	0.093560
645.00	0.088742
646.00	0.084080
647.00	0.079557
648.00	0.075224
649.00	0.071736
650.00	0.067503
651.00	0.064431
652.00	0.061710
653.00	0.057001
654.00	0.054573
655.00	0.051154
656.00	0.049232
657.00	0.046678
658.00	0.043888
659.00	0.041660
660.00	0.039128
661.00	0.037123
662.00	0.035906
663.00	0.033346
664.00	0.031984
665.00	0.031513
666.00	0.029099
667.00	0.028454
668.00	0.026101
669.00	0.025292
670.00	0.024590
671.00	0.023032
672.00	0.022469
673.00	0.021235
674.00	0.020546
675.00	0.018859
676.00	0.018819
677.00	0.018055
678.00	0.016345
679.00	0.015827
680.00	0.015535
681.00	0.014801
682.00	0.013913
683.00	0.013693
684.00	0.013393
685.00	0.013281
686.00	0.011736
687.00	0.011098
688.00	0.010486
689.00	0.0097998
690.00	0.0092178
691.00	0.0090554
692.00	0.0078274
693.00	0.0072270
694.00	0.0071373
695.00	0.0062561
696.00	0.0059073
697.00	0.0053387
698.00	0.0048843
699.00	0.0043788
700.00	0.0038207
