Wavelength (nm)	N14 abs N
200.00	0.65746
201.00	0.66511
202.00	0.67897
203.00	0.67879
204.00	0.66062
205.00	0.63693
206.00	0.62119
207.00	0.60061
208.00	0.58072
209.00	0.56343
210.00	0.54862
211.00	0.53729
212.00	0.52557
213.00	0.51449
214.00	0.50491
215.00	0.49685
216.00	0.48948
217.00	0.48273
218.00	0.47814
219.00	0.47482
220.00	0.47229
221.00	0.47224
222.00	0.47242
223.00	0.47418
224.00	0.47657
225.00	0.47969
226.00	0.48293
227.00	0.48587
228.00	0.48824
229.00	0.48994
230.00	0.49145
231.00	0.49250
232.00	0.49257
233.00	0.49154
234.00	0.48932
235.00	0.48620
236.00	0.48154
237.00	0.47646
238.00	0.47053
239.00	0.46480
240.00	0.45904
241.00	0.45334
242.00	0.44776
243.00	0.44233
244.00	0.43694
245.00	0.43111
246.00	0.42455
247.00	0.41764
248.00	0.41084
249.00	0.40433
250.00	0.39809
251.00	0.39304
252.00	0.38984
253.00	0.38875
254.00	0.38951
255.00	0.39257
256.00	0.39746
257.00	0.40295
258.00	0.40901
259.00	0.41581
260.00	0.42264
261.00	0.43000
262.00	0.43803
263.00	0.44532
264.00	0.45137
265.00	0.45548
266.00	0.45516
267.00	0.44996
268.00	0.43997
269.00	0.42570
270.00	0.40690
271.00	0.38775
272.00	0.36750
273.00	0.34769
274.00	0.32918
275.00	0.31227
276.00	0.29647
277.00	0.28231
278.00	0.26972
279.00	0.25880
280.00	0.24945
281.00	0.24138
282.00	0.23466
283.00	0.22925
284.00	0.22444
285.00	0.22065
286.00	0.21773
287.00	0.21539
288.00	0.21382
289.00	0.21236
290.00	0.21176
291.00	0.21191
292.00	0.21220
293.00	0.21330
294.00	0.21476
295.00	0.21670
296.00	0.21813
297.00	0.22006
298.00	0.22111
299.00	0.22228
300.00	0.22269
301.00	0.22262
302.00	0.22277
303.00	0.22291
304.00	0.22292
305.00	0.22267
306.00	0.22321
307.00	0.22429
308.00	0.22533
309.00	0.22640
310.00	0.22676
311.00	0.22623
312.00	0.22419
313.00	0.22052
314.00	0.21474
315.00	0.20662
316.00	0.19771
317.00	0.18715
318.00	0.17536
319.00	0.16379
320.00	0.15239
321.00	0.14174
322.00	0.13120
323.00	0.12147
324.00	0.11362
325.00	0.10685
326.00	0.10046
327.00	0.095693
328.00	0.091473
329.00	0.088114
330.00	0.085181
331.00	0.082507
332.00	0.080457
333.00	0.078583
334.00	0.076641
335.00	0.075078
336.00	0.073591
337.00	0.072515
338.00	0.071460
339.00	0.070971
340.00	0.070657
341.00	0.070809
342.00	0.071272
343.00	0.072218
344.00	0.073289
345.00	0.074423
346.00	0.076159
347.00	0.077674
348.00	0.078950
349.00	0.080283
350.00	0.081038
351.00	0.081268
352.00	0.081801
353.00	0.081651
354.00	0.081452
355.00	0.081381
356.00	0.081834
357.00	0.082800
358.00	0.084043
359.00	0.085651
360.00	0.088054
361.00	0.091314
362.00	0.094463
363.00	0.098294
364.00	0.10157
365.00	0.10480
366.00	0.10739
367.00	0.10945
368.00	0.10938
369.00	0.10930
370.00	0.10711
371.00	0.10423
372.00	0.099961
373.00	0.095675
374.00	0.090016
375.00	0.085194
376.00	0.079423
377.00	0.074060
378.00	0.069373
379.00	0.064521
380.00	0.060259
381.00	0.056529
382.00	0.053249
383.00	0.050243
384.00	0.047916
385.00	0.045385
386.00	0.043407
387.00	0.041821
388.00	0.041114
389.00	0.040013
390.00	0.039270
391.00	0.038610
392.00	0.037807
393.00	0.037552
394.00	0.037121
395.00	0.037124
396.00	0.036561
397.00	0.036487
398.00	0.036304
399.00	0.036290
400.00	0.036400
401.00	0.037000
402.00	0.037098
403.00	0.037160
404.00	0.037124
405.00	0.037679
406.00	0.037576
407.00	0.037820
408.00	0.038067
409.00	0.038476
410.00	0.038695
411.00	0.038779
412.00	0.038531
413.00	0.038765
414.00	0.038524
415.00	0.038308
416.00	0.038213
417.00	0.037738
418.00	0.037114
419.00	0.036947
420.00	0.036792
421.00	0.036207
422.00	0.035601
423.00	0.035517
424.00	0.034822
425.00	0.034559
426.00	0.033861
427.00	0.033547
428.00	0.033130
429.00	0.032824
430.00	0.032508
431.00	0.032219
432.00	0.031669
433.00	0.031538
434.00	0.031234
435.00	0.031057
436.00	0.030560
437.00	0.030302
438.00	0.029989
439.00	0.029763
440.00	0.029685
441.00	0.029447
442.00	0.028601
443.00	0.028571
444.00	0.028283
445.00	0.028186
446.00	0.027838
447.00	0.027681
448.00	0.027252
449.00	0.026641
450.00	0.026233
451.00	0.026399
452.00	0.026177
453.00	0.025961
454.00	0.025598
455.00	0.025392
456.00	0.025516
457.00	0.025306
458.00	0.025358
459.00	0.025807
460.00	0.025664
461.00	0.026006
462.00	0.025954
463.00	0.026623
464.00	0.026758
465.00	0.027456
466.00	0.028230
467.00	0.029172
468.00	0.029999
469.00	0.030837
470.00	0.031638
471.00	0.032704
472.00	0.033911
473.00	0.035215
474.00	0.036586
475.00	0.038356
476.00	0.039764
477.00	0.040648
478.00	0.043102
479.00	0.045106
480.00	0.046958
481.00	0.049002
482.00	0.051502
483.00	0.053037
484.00	0.054968
485.00	0.057971
486.00	0.059088
487.00	0.060985
488.00	0.063290
489.00	0.065050
490.00	0.068518
491.00	0.070275
492.00	0.072790
493.00	0.075978
494.00	0.078151
495.00	0.081082
496.00	0.084407
497.00	0.087979
498.00	0.091824
499.00	0.095367
500.00	0.10017
501.00	0.10546
502.00	0.10992
503.00	0.11582
504.00	0.12179
505.00	0.12841
506.00	0.13553
507.00	0.14390
508.00	0.15109
509.00	0.15981
510.00	0.16934
511.00	0.17896
512.00	0.18879
513.00	0.19845
514.00	0.20798
515.00	0.21787
516.00	0.22807
517.00	0.23801
518.00	0.24683
519.00	0.25646
520.00	0.26340
521.00	0.27185
522.00	0.27803
523.00	0.28472
524.00	0.29191
525.00	0.29746
526.00	0.30255
527.00	0.30665
528.00	0.31148
529.00	0.31560
530.00	0.31785
531.00	0.32375
532.00	0.32759
533.00	0.33254
534.00	0.33905
535.00	0.34526
536.00	0.35275
537.00	0.36197
538.00	0.37251
539.00	0.38383
540.00	0.39845
541.00	0.41394
542.00	0.43220
543.00	0.45071
544.00	0.47289
545.00	0.49580
546.00	0.52081
547.00	0.54911
548.00	0.57960
549.00	0.60874
550.00	0.63907
551.00	0.67540
552.00	0.70995
553.00	0.74308
554.00	0.77765
555.00	0.81067
556.00	0.84156
557.00	0.87110
558.00	0.90256
559.00	0.92992
560.00	0.95154
561.00	0.97137
562.00	0.98754
563.00	0.99346
564.00	0.99898
565.00	1.00000
566.00	0.99449
567.00	0.98329
568.00	0.96833
569.00	0.94572
570.00	0.92317
571.00	0.89124
572.00	0.85925
573.00	0.82033
574.00	0.78018
575.00	0.73807
576.00	0.69178
577.00	0.64344
578.00	0.60116
579.00	0.55528
580.00	0.50780
581.00	0.46194
582.00	0.42451
583.00	0.38691
584.00	0.34220
585.00	0.30704
586.00	0.27735
587.00	0.24386
588.00	0.21644
589.00	0.19317
590.00	0.16885
591.00	0.14832
592.00	0.12896
593.00	0.11279
594.00	0.099517
595.00	0.086845
596.00	0.076558
597.00	0.066620
598.00	0.058281
599.00	0.051123
600.00	0.045158
601.00	0.039682
602.00	0.035205
603.00	0.031118
604.00	0.027919
605.00	0.025122
606.00	0.022441
607.00	0.020427
608.00	0.018193
609.00	0.016930
610.00	0.015340
611.00	0.014243
612.00	0.013187
613.00	0.012233
614.00	0.011503
615.00	0.010887
616.00	0.010111
617.00	0.0095648
618.00	0.0090019
619.00	0.0085006
620.00	0.0080638
621.00	0.0079022
622.00	0.0073619
623.00	0.0071214
624.00	0.0066461
625.00	0.0064801
626.00	0.0061506
627.00	0.0059803
628.00	0.0056820
629.00	0.0054992
630.00	0.0052014
631.00	0.0049623
632.00	0.0049479
633.00	0.0049277
634.00	0.0050523
635.00	0.0050590
636.00	0.0046602
637.00	0.0043085
638.00	0.0041152
639.00	0.0039420
640.00	0.0035600
641.00	0.0031724
642.00	0.0030852
643.00	0.0029837
644.00	0.0026132
645.00	0.0028976
646.00	0.0027701
647.00	0.0032314
648.00	0.0024295
649.00	0.0023809
650.00	0.0024502
651.00	0.0021500
652.00	0.0021601
653.00	0.0023381
654.00	0.0020328
655.00	0.0019670
656.00	0.0018705
657.00	0.0016862
658.00	0.0015464
659.00	0.0013038
660.00	0.0014894
661.00	0.0010849
662.00	0.0012080
663.00	0.0016848
664.00	0.0013952
665.00	0.0010651
666.00	0.0011132
667.00	0.00081594
