Wavelength (nm)	41175-43-3, Rhodamine 101 (EtOH) SL1.5
535.00	0.0043998
536.00	0.0045247
537.00	0.0050704
538.00	0.0056203
539.00	0.0065245
540.00	0.0070442
541.00	0.0081068
542.00	0.0093158
543.00	0.010526
544.00	0.012326
545.00	0.014037
546.00	0.016409
547.00	0.018721
548.00	0.021779
549.00	0.025223
550.00	0.030029
551.00	0.035292
552.00	0.041142
553.00	0.048086
554.00	0.056074
555.00	0.065796
556.00	0.076770
557.00	0.089175
558.00	0.10355
559.00	0.12002
560.00	0.13800
561.00	0.15861
562.00	0.18215
563.00	0.21029
564.00	0.23796
565.00	0.26869
566.00	0.30357
567.00	0.34063
568.00	0.37968
569.00	0.42017
570.00	0.46395
571.00	0.51226
572.00	0.55855
573.00	0.59839
574.00	0.64522
575.00	0.69237
576.00	0.73535
577.00	0.77749
578.00	0.81884
579.00	0.85498
580.00	0.89014
581.00	0.91918
582.00	0.94427
583.00	0.96618
584.00	0.98356
585.00	0.99594
586.00	0.99985
587.00	1.0000
588.00	0.99525
589.00	0.98378
590.00	0.97438
591.00	0.95689
592.00	0.93742
593.00	0.91884
594.00	0.89283
595.00	0.86605
596.00	0.84011
597.00	0.81146
598.00	0.78008
599.00	0.75113
600.00	0.72107
601.00	0.69319
602.00	0.66512
603.00	0.63496
604.00	0.60695
605.00	0.57702
606.00	0.55472
607.00	0.53093
608.00	0.50537
609.00	0.48211
610.00	0.45990
611.00	0.43935
612.00	0.41992
613.00	0.40246
614.00	0.38491
615.00	0.36894
616.00	0.35459
617.00	0.34029
618.00	0.32732
619.00	0.31754
620.00	0.30613
621.00	0.29558
622.00	0.28777
623.00	0.27906
624.00	0.27380
625.00	0.26807
626.00	0.26189
627.00	0.25682
628.00	0.25014
629.00	0.24720
630.00	0.24271
631.00	0.23837
632.00	0.23575
633.00	0.23123
634.00	0.22865
635.00	0.22611
636.00	0.22154
637.00	0.21888
638.00	0.21365
639.00	0.21130
640.00	0.20876
641.00	0.20247
642.00	0.19926
643.00	0.19666
644.00	0.19121
645.00	0.18710
646.00	0.18376
647.00	0.17722
648.00	0.17344
649.00	0.16734
650.00	0.16389
651.00	0.15912
652.00	0.15419
653.00	0.14947
654.00	0.14397
655.00	0.13903
656.00	0.13465
657.00	0.12991
658.00	0.12501
659.00	0.12027
660.00	0.11640
661.00	0.11237
662.00	0.10762
663.00	0.10328
664.00	0.098767
665.00	0.094992
666.00	0.090333
667.00	0.086181
668.00	0.083827
669.00	0.079458
670.00	0.077977
671.00	0.073562
672.00	0.071350
673.00	0.067937
674.00	0.065767
675.00	0.062641
676.00	0.060789
677.00	0.057690
678.00	0.056651
679.00	0.053882
680.00	0.051950
681.00	0.050396
682.00	0.049232
683.00	0.046893
684.00	0.045941
685.00	0.044338
686.00	0.042177
687.00	0.041428
688.00	0.040793
689.00	0.039225
690.00	0.037758
691.00	0.037574
692.00	0.035638
693.00	0.035431
694.00	0.034227
695.00	0.033347
696.00	0.033088
697.00	0.031946
698.00	0.030883
699.00	0.030718
700.00	0.028863
701.00	0.028524
702.00	0.028743
703.00	0.027928
704.00	0.026623
705.00	0.027216
706.00	0.026048
707.00	0.025917
708.00	0.024488
709.00	0.024801
710.00	0.024176
711.00	0.022819
712.00	0.022582
713.00	0.022009
714.00	0.022091
715.00	0.021451
716.00	0.021107
717.00	0.020170
718.00	0.020061
719.00	0.019795
720.00	0.019356
721.00	0.018244
722.00	0.017748
723.00	0.016909
724.00	0.017659
725.00	0.017518
726.00	0.016067
727.00	0.015432
728.00	0.015842
729.00	0.015309
730.00	0.014321
731.00	0.013510
732.00	0.012994
733.00	0.013764
734.00	0.013531
735.00	0.013002
736.00	0.012758
737.00	0.011989
738.00	0.012066
739.00	0.011833
740.00	0.010946
741.00	0.011191
742.00	0.010331
743.00	0.0097695
744.00	0.010187
745.00	0.010061
746.00	0.010272
747.00	0.0099622
748.00	0.0092360
749.00	0.0091739
750.00	0.0088338
