Wavelength (nm)	O01 abs N
275.00	0.58422
275.25	0.56223
275.50	0.54447
275.75	0.52350
276.00	0.50342
276.25	0.48678
276.50	0.47148
276.75	0.45822
277.00	0.44615
277.25	0.43491
277.50	0.42392
277.75	0.41597
278.00	0.40482
278.25	0.39516
278.50	0.38734
278.75	0.38270
279.00	0.37203
279.25	0.36593
279.50	0.35988
279.75	0.35360
280.00	0.34865
280.25	0.34341
280.50	0.34147
280.75	0.33646
281.00	0.33236
281.25	0.32772
281.50	0.32650
281.75	0.32217
282.00	0.31821
282.25	0.31557
282.50	0.31652
282.75	0.31272
283.00	0.31032
283.25	0.30888
283.50	0.30629
283.75	0.30576
284.00	0.30201
284.25	0.30196
284.50	0.30133
284.75	0.30149
285.00	0.30173
285.25	0.30251
285.50	0.30179
285.75	0.30168
286.00	0.30089
286.25	0.30185
286.50	0.29964
286.75	0.29909
287.00	0.30148
287.25	0.30373
287.50	0.30293
287.75	0.30312
288.00	0.30531
288.25	0.30591
288.50	0.30763
288.75	0.31041
289.00	0.31148
289.25	0.31193
289.50	0.31408
289.75	0.31603
290.00	0.32075
290.25	0.32234
290.50	0.32364
290.75	0.32488
291.00	0.32839
291.25	0.32977
291.50	0.33339
291.75	0.33722
292.00	0.33830
292.25	0.34286
292.50	0.34483
292.75	0.34707
293.00	0.35034
293.25	0.35537
293.50	0.35685
293.75	0.36320
294.00	0.36469
294.25	0.36672
294.50	0.37175
294.75	0.37169
295.00	0.37376
295.25	0.37635
295.50	0.38017
295.75	0.38444
296.00	0.38664
296.25	0.39099
296.50	0.39542
296.75	0.40092
297.00	0.40340
297.25	0.40706
297.50	0.41333
297.75	0.41516
298.00	0.42102
298.25	0.42243
298.50	0.42685
298.75	0.43111
299.00	0.43632
299.25	0.44013
299.50	0.44371
299.75	0.44894
300.00	0.45190
300.25	0.45531
300.50	0.46350
300.75	0.46552
301.00	0.47085
301.25	0.47626
301.50	0.47974
301.75	0.48597
302.00	0.49237
302.25	0.49429
302.50	0.49888
302.75	0.50671
303.00	0.50772
303.25	0.51496
303.50	0.52154
303.75	0.52274
304.00	0.52952
304.25	0.53396
304.50	0.53775
304.75	0.54348
305.00	0.54637
305.25	0.55340
305.50	0.56038
305.75	0.56568
306.00	0.57225
306.25	0.57818
306.50	0.57868
306.75	0.58686
307.00	0.59233
307.25	0.59233
307.50	0.59958
307.75	0.60539
308.00	0.61120
308.25	0.61485
308.50	0.61920
308.75	0.62529
309.00	0.63123
309.25	0.63437
309.50	0.63807
309.75	0.62930
310.00	0.64008
310.25	0.63572
310.50	0.63858
310.75	0.65228
311.00	0.65258
311.25	0.65504
311.50	0.66898
311.75	0.65068
312.00	0.66297
312.25	0.68485
312.50	0.68432
312.75	0.68734
313.00	0.69191
313.25	0.69065
313.50	0.70394
313.75	0.70657
314.00	0.71005
314.25	0.71346
314.50	0.71380
314.75	0.72519
315.00	0.72161
315.25	0.72381
315.50	0.73504
315.75	0.74183
316.00	0.74302
316.25	0.75546
316.50	0.75573
316.75	0.74810
317.00	0.76222
317.25	0.77653
317.50	0.77026
317.75	0.76978
318.00	0.77780
318.25	0.78594
318.50	0.79120
318.75	0.79512
319.00	0.79426
319.25	0.79802
319.50	0.80248
319.75	0.80747
320.00	0.80535
320.25	0.80842
320.50	0.81868
320.75	0.82397
321.00	0.82309
321.25	0.83681
321.50	0.83377
321.75	0.83779
322.00	0.84192
322.25	0.85263
322.50	0.85131
322.75	0.85832
323.00	0.86486
323.25	0.86906
323.50	0.86318
323.75	0.86585
324.00	0.87554
324.25	0.87946
324.50	0.88748
324.75	0.88582
325.00	0.88052
325.25	0.89023
325.50	0.90171
325.75	0.89919
326.00	0.90590
326.25	0.90664
326.50	0.90790
326.75	0.92193
327.00	0.92274
327.25	0.91537
327.50	0.92169
327.75	0.92978
328.00	0.92221
328.25	0.94089
328.50	0.94703
328.75	0.94565
329.00	0.95196
329.25	0.94527
329.50	0.95035
329.75	0.95432
330.00	0.96935
330.25	0.96390
330.50	0.96993
330.75	0.97616
331.00	0.97915
331.25	0.97269
331.50	0.97998
331.75	0.97143
332.00	0.97631
332.25	0.97983
332.50	0.98718
332.75	0.97795
333.00	0.98615
333.25	0.98633
333.50	0.98004
333.75	0.98235
334.00	0.99683
334.25	0.99912
334.50	0.99722
334.75	0.99273
335.00	0.98462
335.25	0.99669
335.50	0.98924
335.75	0.99803
336.00	0.99316
336.25	0.99725
336.50	0.99597
336.75	0.99463
337.00	0.99536
337.25	0.99467
337.50	0.99656
337.75	0.99622
338.00	0.98837
338.25	0.99836
338.50	1.0000
338.75	0.99589
339.00	0.98802
339.25	0.99087
339.50	0.98899
339.75	0.98039
340.00	0.98229
340.25	0.99128
340.50	0.98386
340.75	0.98331
341.00	0.97913
341.25	0.97494
341.50	0.98065
341.75	0.97876
342.00	0.97574
342.25	0.97204
342.50	0.97019
342.75	0.97164
343.00	0.97361
343.25	0.96215
343.50	0.95971
343.75	0.95885
344.00	0.95838
344.25	0.94714
344.50	0.94435
344.75	0.94256
345.00	0.93989
345.25	0.94487
345.50	0.93913
345.75	0.93731
346.00	0.93164
346.25	0.93182
346.50	0.92304
346.75	0.92728
347.00	0.91298
347.25	0.91977
347.50	0.91334
347.75	0.90953
348.00	0.90696
348.25	0.89736
348.50	0.89917
348.75	0.89635
349.00	0.89483
349.25	0.88980
349.50	0.87404
349.75	0.87559
350.00	0.87137
350.25	0.86581
350.50	0.85549
350.75	0.85288
