Wavelength (nm)	O-1, 1091-85-6, Dansyl glycine, dioxane.ems
315.00	0.0098966
315.50	0.0098345
316.00	0.0095640
316.50	0.0094337
317.00	0.0094513
317.50	0.0099098
318.00	0.0097119
318.50	0.0099618
319.00	0.0098701
319.50	0.010129
320.00	0.010082
320.50	0.010367
321.00	0.010595
321.50	0.010911
322.00	0.011044
322.50	0.011580
323.00	0.011683
323.50	0.012321
324.00	0.012773
324.50	0.013515
325.00	0.014609
325.50	0.016935
326.00	0.018042
326.50	0.021260
327.00	0.022940
327.50	0.026143
328.00	0.027902
328.50	0.028980
329.00	0.028965
329.50	0.027584
330.00	0.026001
330.50	0.022784
331.00	0.020859
331.50	0.018651
332.00	0.017488
332.50	0.017130
333.00	0.016558
333.50	0.016583
334.00	0.016824
334.50	0.016569
335.00	0.017047
335.50	0.017002
336.00	0.017346
336.50	0.017525
337.00	0.017714
337.50	0.017954
338.00	0.018222
338.50	0.018737
339.00	0.019087
339.50	0.019582
340.00	0.020192
340.50	0.020622
341.00	0.021077
341.50	0.021339
342.00	0.021856
342.50	0.022410
343.00	0.022574
343.50	0.023155
344.00	0.023586
344.50	0.023921
345.00	0.024270
345.50	0.024628
346.00	0.024579
346.50	0.025282
347.00	0.025286
347.50	0.026154
348.00	0.025932
348.50	0.026350
349.00	0.026769
349.50	0.027879
350.00	0.028135
350.50	0.028271
351.00	0.028777
351.50	0.029561
352.00	0.029802
352.50	0.030207
353.00	0.030885
353.50	0.031365
354.00	0.031864
354.50	0.032117
355.00	0.031979
355.50	0.033041
356.00	0.033276
356.50	0.033278
357.00	0.033627
357.50	0.034383
358.00	0.034215
358.50	0.034609
359.00	0.034960
359.50	0.035355
360.00	0.035321
360.50	0.035591
361.00	0.035883
361.50	0.035724
362.00	0.036290
362.50	0.036261
363.00	0.036363
363.50	0.036701
364.00	0.036781
364.50	0.036899
365.00	0.036687
365.50	0.037298
366.00	0.037248
366.50	0.036959
367.00	0.037387
367.50	0.037966
368.00	0.037748
368.50	0.037948
369.00	0.038036
369.50	0.038492
370.00	0.038396
370.50	0.037638
371.00	0.038315
371.50	0.038269
372.00	0.038718
372.50	0.038169
373.00	0.037994
373.50	0.038724
374.00	0.038354
374.50	0.038354
375.00	0.038832
375.50	0.038703
376.00	0.039286
376.50	0.038978
377.00	0.039042
377.50	0.038968
378.00	0.038911
378.50	0.039435
379.00	0.039031
379.50	0.039731
380.00	0.039589
380.50	0.039355
381.00	0.039305
381.50	0.039167
382.00	0.038759
382.50	0.038683
383.00	0.038730
383.50	0.039111
384.00	0.038677
