Wavelength (nm)	O02 abs N
240.00	0.46351
240.25	0.45678
240.50	0.45084
240.75	0.44549
241.00	0.44092
241.25	0.43662
241.50	0.43311
241.75	0.43041
242.00	0.42950
242.25	0.42630
242.50	0.42496
242.75	0.42509
243.00	0.42473
243.25	0.42644
243.50	0.42666
243.75	0.42570
244.00	0.42816
244.25	0.42910
244.50	0.42986
244.75	0.43258
245.00	0.43525
245.25	0.43808
245.50	0.43989
245.75	0.44140
246.00	0.44398
246.25	0.44701
246.50	0.45173
246.75	0.45452
247.00	0.45836
247.25	0.46104
247.50	0.46370
247.75	0.46591
248.00	0.46999
248.25	0.47381
248.50	0.47810
248.75	0.48149
249.00	0.48412
249.25	0.48889
249.50	0.49309
249.75	0.49705
250.00	0.50127
250.25	0.50550
250.50	0.50980
250.75	0.51544
251.00	0.51915
251.25	0.52273
251.50	0.52656
251.75	0.53219
252.00	0.53458
252.25	0.53943
252.50	0.54253
252.75	0.54658
253.00	0.55175
253.25	0.55508
253.50	0.56078
253.75	0.56326
254.00	0.56719
254.25	0.57074
254.50	0.57265
254.75	0.57477
255.00	0.57642
255.25	0.58174
255.50	0.58281
255.75	0.58624
256.00	0.58781
256.25	0.59207
256.50	0.59479
256.75	0.59586
257.00	0.59738
257.25	0.60190
257.50	0.60097
257.75	0.60464
258.00	0.60774
258.25	0.60995
258.50	0.61162
258.75	0.61333
259.00	0.61445
259.25	0.61498
259.50	0.61764
259.75	0.62210
260.00	0.62420
260.25	0.62766
260.50	0.62801
260.75	0.63024
261.00	0.63272
261.25	0.63790
261.50	0.63919
261.75	0.64414
262.00	0.64595
262.25	0.64807
262.50	0.65375
262.75	0.65882
263.00	0.66180
263.25	0.66667
263.50	0.67050
263.75	0.67572
264.00	0.67897
264.25	0.68333
264.50	0.69033
264.75	0.69384
265.00	0.69735
265.25	0.70355
265.50	0.70861
265.75	0.71319
266.00	0.71984
266.25	0.72537
266.50	0.73347
266.75	0.73728
267.00	0.75003
267.25	0.75434
267.50	0.75919
267.75	0.76641
268.00	0.77386
268.25	0.78161
268.50	0.79033
268.75	0.79081
269.00	0.80177
269.25	0.80567
269.50	0.81560
269.75	0.82403
270.00	0.83168
270.25	0.83938
270.50	0.84239
270.75	0.85095
271.00	0.85822
271.25	0.86723
271.50	0.87343
271.75	0.87828
272.00	0.88568
272.25	0.89088
272.50	0.90142
272.75	0.90826
273.00	0.91146
273.25	0.91752
273.50	0.92656
273.75	0.93371
274.00	0.93551
274.25	0.94011
274.50	0.94566
274.75	0.94763
275.00	0.95787
275.25	0.96290
275.50	0.96466
275.75	0.97327
276.00	0.97687
276.25	0.98069
276.50	0.98182
276.75	0.98415
277.00	0.98875
277.25	0.99169
277.50	0.99214
277.75	0.99295
278.00	0.99374
278.25	0.99300
278.50	0.99701
278.75	0.99785
279.00	0.99716
279.25	0.99779
279.50	0.99764
279.75	1.0000
280.00	0.99866
280.25	0.99724
280.50	0.99429
280.75	0.99373
281.00	0.99161
281.25	0.99187
281.50	0.98789
281.75	0.98831
282.00	0.97948
282.25	0.98219
282.50	0.97684
282.75	0.96941
283.00	0.97215
283.25	0.96529
283.50	0.96056
283.75	0.95731
284.00	0.94746
284.25	0.94439
284.50	0.93741
284.75	0.93021
285.00	0.92526
285.25	0.91605
285.50	0.90989
285.75	0.90491
286.00	0.89744
286.25	0.88551
286.50	0.87812
286.75	0.87012
287.00	0.86183
287.25	0.85104
287.50	0.84059
287.75	0.83255
288.00	0.82091
288.25	0.81183
288.50	0.80571
288.75	0.79372
289.00	0.78347
289.25	0.77184
289.50	0.75963
289.75	0.74806
290.00	0.73949
290.25	0.72342
290.50	0.71551
290.75	0.70494
291.00	0.69495
291.25	0.68341
291.50	0.67239
291.75	0.66025
292.00	0.64783
292.25	0.63763
292.50	0.62699
292.75	0.61269
293.00	0.60409
293.25	0.59186
293.50	0.58261
293.75	0.57211
294.00	0.55962
294.25	0.55007
294.50	0.54017
294.75	0.53787
295.00	0.52780
295.25	0.51744
295.50	0.50533
295.75	0.49914
296.00	0.48647
296.25	0.47510
296.50	0.46519
296.75	0.45457
297.00	0.44370
297.25	0.43292
297.50	0.42158
297.75	0.41208
298.00	0.40108
298.25	0.39129
298.50	0.37865
298.75	0.36941
299.00	0.36027
299.25	0.35037
299.50	0.34201
299.75	0.33036
300.00	0.32299
300.25	0.31241
300.50	0.30342
300.75	0.29557
301.00	0.28461
301.25	0.27757
301.50	0.26862
301.75	0.26113
302.00	0.25366
302.25	0.24721
302.50	0.23929
302.75	0.23106
303.00	0.22518
303.25	0.21741
303.50	0.21066
303.75	0.20577
304.00	0.19990
304.25	0.19301
304.50	0.18738
304.75	0.18229
305.00	0.17806
305.25	0.17264
305.50	0.17039
305.75	0.16448
306.00	0.16085
306.25	0.15753
306.50	0.15244
306.75	0.14929
307.00	0.14462
307.25	0.14280
307.50	0.13907
307.75	0.13625
308.00	0.13534
308.25	0.13132
308.50	0.13036
308.75	0.12700
309.00	0.12546
309.25	0.12476
309.50	0.12386
309.75	0.13070
310.00	0.13151
310.25	0.12138
310.50	0.12312
310.75	0.12316
311.00	0.12412
311.25	0.11930
311.50	0.12066
311.75	0.12401
312.00	0.11621
312.25	0.11550
312.50	0.12157
312.75	0.11879
313.00	0.11924
313.25	0.11724
313.50	0.12085
313.75	0.11296
314.00	0.11621
314.25	0.11363
314.50	0.11578
314.75	0.11365
315.00	0.11118
315.25	0.11056
315.50	0.11546
315.75	0.11234
316.00	0.11469
316.25	0.10684
316.50	0.10758
316.75	0.10791
317.00	0.10425
317.25	0.10548
317.50	0.10125
317.75	0.10697
318.00	0.10539
318.25	0.10801
318.50	0.10809
318.75	0.10188
319.00	0.10443
319.25	0.10826
319.50	0.10020
319.75	0.10557
320.00	0.10071
320.25	0.10396
320.50	0.10270
320.75	0.10157
321.00	0.10084
321.25	0.10222
321.50	0.10353
321.75	0.10253
322.00	0.10115
322.25	0.10154
322.50	0.10134
322.75	0.10205
323.00	0.10075
323.25	0.10047
323.50	0.10146
323.75	0.10270
324.00	0.10237
324.25	0.10247
324.50	0.10118
324.75	0.10168
325.00	0.10037
325.25	0.10512
325.50	0.10439
325.75	0.10351
326.00	0.10446
326.25	0.10527
326.50	0.10612
326.75	0.10618
327.00	0.11222
327.25	0.11419
327.50	0.10745
327.75	0.11516
328.00	0.10808
328.25	0.11410
328.50	0.11219
328.75	0.11523
329.00	0.11701
329.25	0.11670
329.50	0.12128
329.75	0.11786
330.00	0.11546
330.25	0.11775
330.50	0.11763
330.75	0.11776
331.00	0.11814
331.25	0.11900
331.50	0.11752
331.75	0.11591
332.00	0.11392
332.25	0.11450
332.50	0.11385
332.75	0.11320
333.00	0.11494
333.25	0.11292
333.50	0.10914
333.75	0.11137
334.00	0.11178
334.25	0.10952
334.50	0.10958
334.75	0.11062
335.00	0.10909
335.25	0.11062
335.50	0.11022
335.75	0.10607
336.00	0.10562
336.25	0.10787
336.50	0.10846
336.75	0.10880
337.00	0.11048
337.25	0.10496
337.50	0.10519
337.75	0.10727
338.00	0.10781
338.25	0.10698
338.50	0.10564
338.75	0.10833
339.00	0.10481
339.25	0.10452
339.50	0.10568
339.75	0.10438
340.00	0.10612
340.25	0.10393
340.50	0.10646
340.75	0.10169
341.00	0.10303
341.25	0.10402
341.50	0.10272
341.75	0.10429
342.00	0.10778
342.25	0.10935
342.50	0.10833
342.75	0.10942
343.00	0.10957
343.25	0.11182
343.50	0.11607
343.75	0.11667
344.00	0.11987
344.25	0.12407
344.50	0.12607
344.75	0.12471
345.00	0.12862
345.25	0.13000
345.50	0.12983
345.75	0.13424
346.00	0.13761
346.25	0.13970
346.50	0.13808
346.75	0.13879
347.00	0.13814
347.25	0.13607
347.50	0.13373
347.75	0.13762
348.00	0.13497
348.25	0.13278
348.50	0.13130
348.75	0.13099
349.00	0.12861
349.25	0.12471
349.50	0.12408
349.75	0.12303
350.00	0.12100
350.25	0.11761
350.50	0.11138
350.75	0.11230
351.00	0.10942
351.25	0.10809
351.50	0.10509
351.75	0.10322
352.00	0.10060
352.25	0.10177
352.50	0.096201
352.75	0.096292
353.00	0.093800
353.25	0.094860
353.50	0.092878
353.75	0.091263
354.00	0.089784
354.25	0.089484
354.50	0.085840
354.75	0.091001
355.00	0.089431
355.25	0.089569
355.50	0.087999
355.75	0.085258
356.00	0.086390
356.25	0.085952
356.50	0.085193
356.75	0.084297
357.00	0.088640
357.25	0.086704
357.50	0.083741
357.75	0.085121
358.00	0.084029
358.25	0.087907
358.50	0.088071
358.75	0.085906
359.00	0.086998
359.25	0.086795
359.50	0.087861
359.75	0.087639
360.00	0.089627
360.25	0.088646
360.50	0.089202
360.75	0.091014
361.00	0.087423
361.25	0.092460
361.50	0.092133
361.75	0.093277
362.00	0.094965
362.25	0.093421
362.50	0.092296
362.75	0.095318
363.00	0.096253
363.25	0.096188
363.50	0.093022
363.75	0.095122
364.00	0.096914
364.25	0.097967
364.50	0.098824
364.75	0.099308
365.00	0.10098
365.25	0.10100
365.50	0.10122
365.75	0.10221
366.00	0.10308
366.25	0.10521
366.50	0.10729
366.75	0.10510
367.00	0.10814
367.25	0.10761
367.50	0.10991
367.75	0.10846
368.00	0.11162
368.25	0.11196
368.50	0.11470
368.75	0.11580
369.00	0.11545
369.25	0.11744
369.50	0.11625
369.75	0.11966
370.00	0.11656
370.25	0.11904
370.50	0.12143
370.75	0.12409
371.00	0.12254
371.25	0.12486
371.50	0.12451
371.75	0.12651
372.00	0.12792
372.25	0.12943
372.50	0.12803
372.75	0.13431
373.00	0.13309
373.25	0.13551
373.50	0.13570
373.75	0.13819
374.00	0.13548
374.25	0.13998
374.50	0.13962
374.75	0.13857
375.00	0.14102
375.25	0.14248
375.50	0.14207
375.75	0.14545
376.00	0.14654
376.25	0.14989
376.50	0.15245
376.75	0.15040
377.00	0.15535
377.25	0.15660
377.50	0.15611
377.75	0.15664
378.00	0.16080
378.25	0.16133
378.50	0.16456
378.75	0.16289
379.00	0.16652
379.25	0.16531
379.50	0.16624
379.75	0.17014
380.00	0.17186
380.25	0.17362
380.50	0.17685
380.75	0.17719
381.00	0.17850
381.25	0.17957
381.50	0.18035
381.75	0.18478
382.00	0.18394
382.25	0.18855
382.50	0.18934
382.75	0.18958
383.00	0.19349
383.25	0.19215
383.50	0.19504
383.75	0.19620
384.00	0.19924
384.25	0.20164
384.50	0.20166
384.75	0.20408
385.00	0.20616
385.25	0.20832
385.50	0.20998
385.75	0.20951
386.00	0.21335
386.25	0.21658
386.50	0.21614
386.75	0.21725
387.00	0.22320
387.25	0.22331
387.50	0.22434
387.75	0.22599
388.00	0.22746
388.25	0.22828
388.50	0.23175
388.75	0.23359
389.00	0.23793
389.25	0.23776
389.50	0.23869
389.75	0.24073
390.00	0.24428
390.25	0.24355
390.50	0.24788
390.75	0.24803
391.00	0.25049
391.25	0.25346
391.50	0.25449
391.75	0.25644
392.00	0.25903
392.25	0.26049
392.50	0.26377
392.75	0.26489
393.00	0.26714
393.25	0.26712
393.50	0.27199
393.75	0.27383
394.00	0.27270
394.25	0.27614
394.50	0.27913
394.75	0.28161
395.00	0.28317
395.25	0.28491
395.50	0.28706
395.75	0.28962
396.00	0.29205
396.25	0.29387
396.50	0.29682
396.75	0.29872
397.00	0.30145
397.25	0.30464
397.50	0.30512
397.75	0.30715
398.00	0.30710
398.25	0.31074
398.50	0.31217
398.75	0.31548
399.00	0.31607
399.25	0.31812
399.50	0.32199
399.75	0.32093
400.00	0.32495
400.25	0.32777
400.50	0.32925
400.75	0.32928
401.00	0.33056
401.25	0.33258
401.50	0.33549
401.75	0.33590
402.00	0.33865
402.25	0.34072
402.50	0.34154
402.75	0.34312
403.00	0.34693
403.25	0.34830
403.50	0.35146
403.75	0.35153
404.00	0.35448
404.25	0.35670
404.50	0.35709
404.75	0.36128
405.00	0.36175
405.25	0.36266
405.50	0.36619
405.75	0.36637
406.00	0.36992
406.25	0.37194
406.50	0.37290
406.75	0.37436
407.00	0.37758
407.25	0.37642
407.50	0.38019
407.75	0.38106
408.00	0.38286
408.25	0.38693
408.50	0.38645
