Wavelength (nm)	O03 abs N
220.00	0.61018
220.25	0.61249
220.50	0.60841
220.75	0.61114
221.00	0.61115
221.25	0.61346
221.50	0.61742
221.75	0.61871
222.00	0.62421
222.25	0.62679
222.50	0.63149
222.75	0.63262
223.00	0.63113
223.25	0.63594
223.50	0.63185
223.75	0.63501
224.00	0.63404
224.25	0.62845
224.50	0.63305
224.75	0.62825
225.00	0.62370
225.25	0.62093
225.50	0.61636
225.75	0.61554
226.00	0.61347
226.25	0.61204
226.50	0.61008
226.75	0.60980
227.00	0.60723
227.25	0.60535
227.50	0.60621
227.75	0.60366
228.00	0.60230
228.25	0.60294
228.50	0.60270
228.75	0.60369
229.00	0.60281
229.25	0.60627
229.50	0.60183
229.75	0.60556
230.00	0.60843
230.25	0.60769
230.50	0.60745
230.75	0.60872
231.00	0.61047
231.25	0.60847
231.50	0.61045
231.75	0.61206
232.00	0.61242
232.25	0.61081
232.50	0.61444
232.75	0.61256
233.00	0.61485
233.25	0.61567
233.50	0.61604
233.75	0.61703
234.00	0.61578
234.25	0.61576
234.50	0.61672
234.75	0.61683
235.00	0.61499
235.25	0.61573
235.50	0.61846
235.75	0.61528
236.00	0.61516
236.25	0.61401
236.50	0.61435
236.75	0.61458
237.00	0.61711
237.25	0.61621
237.50	0.61738
237.75	0.61653
238.00	0.61984
238.25	0.61676
238.50	0.61962
238.75	0.62011
239.00	0.62141
239.25	0.62440
239.50	0.62516
239.75	0.62853
240.00	0.63108
240.25	0.63068
240.50	0.63083
240.75	0.63348
241.00	0.63325
241.25	0.63475
241.50	0.63690
241.75	0.63541
242.00	0.63538
242.25	0.63505
242.50	0.63283
242.75	0.62940
243.00	0.62904
243.25	0.62759
243.50	0.62477
243.75	0.62050
244.00	0.61718
244.25	0.61381
244.50	0.60997
244.75	0.60480
245.00	0.60149
245.25	0.59644
245.50	0.59177
245.75	0.58838
246.00	0.58245
246.25	0.57546
246.50	0.57211
246.75	0.56649
247.00	0.56451
247.25	0.55961
247.50	0.55387
247.75	0.55083
248.00	0.54584
248.25	0.54263
248.50	0.53715
248.75	0.53437
249.00	0.53149
249.25	0.52381
249.50	0.52126
249.75	0.51909
250.00	0.51376
250.25	0.51038
250.50	0.50653
250.75	0.50122
251.00	0.49426
251.25	0.48965
251.50	0.48247
251.75	0.47601
252.00	0.46796
252.25	0.45944
252.50	0.44940
252.75	0.43862
253.00	0.43013
253.25	0.41815
253.50	0.40636
253.75	0.39453
254.00	0.38165
254.25	0.37154
254.50	0.36122
254.75	0.35583
255.00	0.34940
255.25	0.33796
255.50	0.32930
255.75	0.31821
256.00	0.30523
256.25	0.29650
256.50	0.28589
256.75	0.28069
257.00	0.27195
257.25	0.26598
257.50	0.25710
257.75	0.24963
258.00	0.24397
258.25	0.23898
258.50	0.23346
258.75	0.23096
259.00	0.22681
259.25	0.22230
259.50	0.22110
259.75	0.21836
260.00	0.21724
260.25	0.21380
260.50	0.21525
260.75	0.21145
261.00	0.21359
261.25	0.21129
261.50	0.21067
261.75	0.21150
262.00	0.21403
262.25	0.21253
262.50	0.21323
262.75	0.21488
263.00	0.21556
263.25	0.21850
263.50	0.21721
263.75	0.21962
264.00	0.22225
264.25	0.22285
264.50	0.22437
264.75	0.22484
265.00	0.22850
265.25	0.22819
265.50	0.23173
265.75	0.23333
266.00	0.23281
266.25	0.23740
266.50	0.23864
266.75	0.24037
267.00	0.24383
267.25	0.24479
267.50	0.24816
267.75	0.24910
268.00	0.25197
268.25	0.25384
268.50	0.25766
268.75	0.25975
269.00	0.26130
269.25	0.26365
269.50	0.26562
269.75	0.26861
270.00	0.26935
270.25	0.27284
270.50	0.27591
270.75	0.27818
271.00	0.28278
271.25	0.28318
271.50	0.28601
271.75	0.29052
272.00	0.29062
272.25	0.29504
272.50	0.29834
272.75	0.30161
273.00	0.30401
273.25	0.30634
273.50	0.30774
273.75	0.31082
274.00	0.31260
274.25	0.31553
274.50	0.31808
274.75	0.31911
275.00	0.32175
