Wavelength (nm)	O-3, 36322-90-4, Piroxicam.ems
376.50	0.072140
377.00	0.074662
377.50	0.076104
378.00	0.078250
378.50	0.079373
379.00	0.080234
379.50	0.083023
380.00	0.085348
380.50	0.087112
381.00	0.088880
381.50	0.092064
382.00	0.091346
382.50	0.098153
383.00	0.099331
383.50	0.10123
384.00	0.10278
384.50	0.10627
385.00	0.10649
385.50	0.11037
386.00	0.11283
386.50	0.11769
387.00	0.11884
387.50	0.12132
388.00	0.12376
388.50	0.12972
389.00	0.13205
389.50	0.13492
390.00	0.13696
390.50	0.14349
391.00	0.14512
391.50	0.14852
392.00	0.15290
392.50	0.15833
393.00	0.16273
393.50	0.16482
394.00	0.16864
394.50	0.17652
395.00	0.18058
395.50	0.18647
396.00	0.18982
396.50	0.19650
397.00	0.19686
397.50	0.20619
398.00	0.21139
398.50	0.21887
399.00	0.22059
399.50	0.22896
400.00	0.23558
400.50	0.24167
401.00	0.24599
401.50	0.25113
402.00	0.26136
402.50	0.26703
403.00	0.26735
403.50	0.27956
404.00	0.28479
404.50	0.29029
405.00	0.29406
405.50	0.30357
406.00	0.30874
406.50	0.32198
407.00	0.32736
407.50	0.33700
408.00	0.34314
408.50	0.35369
409.00	0.35480
409.50	0.36852
410.00	0.37321
410.50	0.37847
411.00	0.38331
411.50	0.39525
412.00	0.40393
412.50	0.41079
413.00	0.41636
413.50	0.42204
414.00	0.42879
414.50	0.44156
415.00	0.44658
415.50	0.45219
416.00	0.45902
416.50	0.47172
417.00	0.47694
417.50	0.48817
418.00	0.49273
418.50	0.50249
419.00	0.51105
419.50	0.51859
420.00	0.52133
420.50	0.53757
421.00	0.54496
421.50	0.55114
422.00	0.56420
422.50	0.57357
423.00	0.57721
423.50	0.58795
424.00	0.59577
424.50	0.60360
425.00	0.61009
425.50	0.62238
426.00	0.62637
426.50	0.64009
427.00	0.64588
427.50	0.65656
428.00	0.66424
428.50	0.67304
429.00	0.67783
429.50	0.68641
430.00	0.69331
430.50	0.70387
431.00	0.71106
431.50	0.72066
432.00	0.72210
432.50	0.73412
433.00	0.73711
433.50	0.74907
434.00	0.75325
434.50	0.76756
435.00	0.76823
435.50	0.77559
436.00	0.77818
436.50	0.78730
437.00	0.79711
437.50	0.80291
438.00	0.80695
438.50	0.81558
439.00	0.81437
439.50	0.82410
440.00	0.82801
440.50	0.83775
441.00	0.84346
441.50	0.84596
442.00	0.85162
442.50	0.85458
443.00	0.86338
443.50	0.86896
444.00	0.87466
444.50	0.88111
445.00	0.87990
445.50	0.88662
446.00	0.88695
446.50	0.89125
447.00	0.89829
447.50	0.90713
448.00	0.90817
448.50	0.91346
449.00	0.91878
449.50	0.91780
450.00	0.92141
450.50	0.92536
451.00	0.92661
451.50	0.93776
452.00	0.93971
452.50	0.94104
453.00	0.94291
453.50	0.95035
454.00	0.94979
454.50	0.95564
455.00	0.95215
455.50	0.96131
456.00	0.96268
456.50	0.96201
457.00	0.97048
457.50	0.96465
458.00	0.97059
458.50	0.97261
459.00	0.97621
459.50	0.97862
460.00	0.97807
460.50	0.97878
461.00	0.97871
461.50	0.98258
462.00	0.98369
462.50	0.98476
463.00	0.98758
463.50	0.98681
464.00	0.98566
464.50	0.99299
465.00	0.99068
465.50	0.99491
466.00	0.99409
466.50	0.99832
467.00	0.99881
467.50	0.99464
468.00	0.99790
468.50	0.99443
469.00	0.99166
469.50	0.99775
470.00	0.99510
470.50	0.99244
471.00	0.99608
471.50	0.99907
472.00	0.99949
472.50	0.99563
