Wavelength (nm)	O04 abs N
210.00	0.87000
211.00	0.85370
212.00	0.83405
213.00	0.81121
214.00	0.78932
215.00	0.77169
216.00	0.76204
217.00	0.75110
218.00	0.73606
219.00	0.72454
220.00	0.71950
221.00	0.72112
222.00	0.72517
223.00	0.73100
224.00	0.73865
225.00	0.74703
226.00	0.75556
227.00	0.76503
228.00	0.77501
229.00	0.78547
230.00	0.79720
231.00	0.80729
232.00	0.81803
233.00	0.83113
234.00	0.84468
235.00	0.85880
236.00	0.87253
237.00	0.88686
238.00	0.90147
239.00	0.91547
240.00	0.93047
241.00	0.94459
242.00	0.95806
243.00	0.96968
244.00	0.97953
245.00	0.98752
246.00	0.99315
247.00	0.99683
248.00	0.99947
249.00	1.0000
250.00	0.99696
251.00	0.99209
252.00	0.98751
253.00	0.97954
254.00	0.97212
255.00	0.96543
256.00	0.95801
257.00	0.95059
258.00	0.94486
259.00	0.93976
260.00	0.93592
261.00	0.93344
262.00	0.93004
263.00	0.92665
264.00	0.92270
265.00	0.91967
266.00	0.91219
267.00	0.90442
268.00	0.89920
269.00	0.89136
270.00	0.87852
271.00	0.86034
272.00	0.84253
273.00	0.82168
274.00	0.79890
275.00	0.77501
276.00	0.74615
277.00	0.71576
278.00	0.68371
279.00	0.64810
280.00	0.61227
281.00	0.57497
282.00	0.53732
283.00	0.49991
284.00	0.46170
285.00	0.42422
286.00	0.38735
287.00	0.35125
288.00	0.31630
289.00	0.28292
290.00	0.25023
291.00	0.21962
292.00	0.19108
293.00	0.16426
294.00	0.13986
295.00	0.11789
296.00	0.098726
297.00	0.081625
298.00	0.066888
299.00	0.054449
300.00	0.044230
301.00	0.035745
302.00	0.028856
303.00	0.022980
304.00	0.018692
305.00	0.015163
306.00	0.012324
307.00	0.010227
308.00	0.0085603
309.00	0.0071993
310.00	0.0062643
311.00	0.0052733
312.00	0.0046907
313.00	0.0040574
314.00	0.0036931
315.00	0.0033509
316.00	0.0030329
317.00	0.0028190
318.00	0.0027365
319.00	0.0026241
320.00	0.0023475
321.00	0.0020948
322.00	0.0024252
323.00	0.0022907
324.00	0.0020529
325.00	0.0021310
326.00	0.0019449
327.00	0.0018470
328.00	0.0019647
329.00	0.0017389
330.00	0.0016662
331.00	0.0017010
332.00	0.0014183
333.00	0.0015012
334.00	0.0015837
335.00	0.0015965
336.00	0.0014845
337.00	0.0014536
338.00	0.0014192
339.00	0.0013398
340.00	0.0013795
341.00	0.0012873
342.00	0.0012013
343.00	0.0010994
344.00	0.0012578
345.00	0.0013076
346.00	0.0010809
347.00	0.0010717
348.00	0.0011497
349.00	0.0011731
350.00	0.0010509
351.00	0.0010840
352.00	0.00091862
353.00	0.0011440
354.00	0.0010593
355.00	0.00098257
356.00	0.00077705
357.00	0.00082953
358.00	0.00088642
359.00	0.00090539
360.00	0.00075412
361.00	0.00091377
362.00	0.00075191
363.00	0.00065621
364.00	0.00063857
365.00	0.00069811
366.00	0.00068355
367.00	0.00091641
368.00	0.00087584
369.00	0.00062842
370.00	0.00081145
371.00	0.00072324
372.00	0.00099712
373.00	0.0010730
374.00	0.00091818
375.00	0.0010906
376.00	0.0010390
377.00	0.00097463
378.00	0.0010002
379.00	0.0010350
380.00	0.0010686
381.00	0.0010315
382.00	0.0010298
383.00	0.0012613
384.00	0.0011144
385.00	0.00077176
386.00	0.00089965
387.00	0.00091994
388.00	0.0010977
389.00	0.0011493
390.00	0.0011166
391.00	0.0012948
392.00	0.0012953
393.00	0.0011687
394.00	0.0010545
395.00	0.0011118
396.00	0.0012754
397.00	0.0014673
398.00	0.0012983
399.00	0.0012657
400.00	0.0011594
