Wavelength (nm)	O05 abs N
200.00	0.59166
201.00	0.60742
202.00	0.61243
203.00	0.61236
204.00	0.61609
205.00	0.62480
206.00	0.63813
207.00	0.65685
208.00	0.67847
209.00	0.70140
210.00	0.72304
211.00	0.74299
212.00	0.75789
213.00	0.76631
214.00	0.76571
215.00	0.75690
216.00	0.73765
217.00	0.70605
218.00	0.65666
219.00	0.59227
220.00	0.51964
221.00	0.45108
222.00	0.39191
223.00	0.34655
224.00	0.31295
225.00	0.28932
226.00	0.27277
227.00	0.26183
228.00	0.25438
229.00	0.24923
230.00	0.24544
231.00	0.24230
232.00	0.23952
233.00	0.23680
234.00	0.23460
235.00	0.23215
236.00	0.22968
237.00	0.22712
238.00	0.22405
239.00	0.22139
240.00	0.21911
241.00	0.21718
242.00	0.21586
243.00	0.21498
244.00	0.21471
245.00	0.21534
246.00	0.21705
247.00	0.21946
248.00	0.22248
249.00	0.22606
250.00	0.23038
251.00	0.23505
252.00	0.24073
253.00	0.24746
254.00	0.25493
255.00	0.26284
256.00	0.27032
257.00	0.27707
258.00	0.28364
259.00	0.29112
260.00	0.30103
261.00	0.31397
262.00	0.32942
263.00	0.34794
264.00	0.36890
265.00	0.39189
266.00	0.41801
267.00	0.44635
268.00	0.47610
269.00	0.50707
270.00	0.54027
271.00	0.57386
272.00	0.61069
273.00	0.64900
274.00	0.68993
275.00	0.73041
276.00	0.77074
277.00	0.80968
278.00	0.84509
279.00	0.87999
280.00	0.91319
281.00	0.94146
282.00	0.96678
283.00	0.98651
284.00	0.99698
285.00	1.00000
286.00	0.99787
287.00	0.98631
288.00	0.96735
289.00	0.93756
290.00	0.90042
291.00	0.85908
292.00	0.81153
293.00	0.76366
294.00	0.71591
295.00	0.66874
296.00	0.62395
297.00	0.58164
298.00	0.54302
299.00	0.50906
300.00	0.48008
301.00	0.45450
302.00	0.43151
303.00	0.41080
304.00	0.39207
305.00	0.37638
306.00	0.36269
307.00	0.35002
308.00	0.33911
309.00	0.32902
310.00	0.31950
311.00	0.31157
312.00	0.30471
313.00	0.29887
314.00	0.29359
315.00	0.28833
316.00	0.28298
317.00	0.27718
318.00	0.27047
319.00	0.26400
320.00	0.25721
321.00	0.24961
322.00	0.24104
323.00	0.23182
324.00	0.22238
325.00	0.21223
326.00	0.20288
327.00	0.19327
328.00	0.18314
329.00	0.17300
330.00	0.16300
331.00	0.15340
332.00	0.14354
333.00	0.13465
334.00	0.12631
335.00	0.11805
336.00	0.11040
337.00	0.10313
338.00	0.096521
339.00	0.090286
340.00	0.084514
341.00	0.079079
342.00	0.073471
343.00	0.068029
344.00	0.062455
345.00	0.057285
346.00	0.052418
347.00	0.047411
348.00	0.043059
349.00	0.038454
350.00	0.034219
351.00	0.030393
352.00	0.027043
353.00	0.024117
354.00	0.021567
355.00	0.019162
356.00	0.016966
357.00	0.015393
358.00	0.013928
359.00	0.012771
360.00	0.012220
361.00	0.011165
362.00	0.010285
363.00	0.0091005
364.00	0.0085709
365.00	0.0082714
366.00	0.0080303
367.00	0.0080027
368.00	0.0075080
369.00	0.0071356
370.00	0.0070461
371.00	0.0068565
372.00	0.0074632
373.00	0.0073497
374.00	0.0069351
375.00	0.0068617
376.00	0.0068471
377.00	0.0069107
378.00	0.0071237
379.00	0.0074424
380.00	0.0078965
381.00	0.0078772
382.00	0.0075387
383.00	0.0078725
384.00	0.0082141
385.00	0.0082558
386.00	0.0094197
387.00	0.0093405
388.00	0.0092510
389.00	0.0094811
390.00	0.010073
391.00	0.010263
392.00	0.010959
393.00	0.011506
394.00	0.011683
395.00	0.012212
396.00	0.012486
397.00	0.013231
398.00	0.013566
399.00	0.014111
400.00	0.014961
401.00	0.015119
402.00	0.015457
403.00	0.016072
404.00	0.017220
405.00	0.018304
406.00	0.018887
407.00	0.019478
408.00	0.019946
409.00	0.021125
410.00	0.022113
411.00	0.023269
412.00	0.024538
413.00	0.025279
414.00	0.025583
415.00	0.026437
416.00	0.027778
417.00	0.029150
418.00	0.030300
419.00	0.031082
420.00	0.032405
421.00	0.033582
422.00	0.034700
423.00	0.036046
424.00	0.037426
425.00	0.038798
426.00	0.039760
427.00	0.041049
428.00	0.042432
429.00	0.044076
430.00	0.045630
431.00	0.046906
432.00	0.048483
433.00	0.049917
434.00	0.051112
435.00	0.052950
436.00	0.054365
437.00	0.056022
438.00	0.057610
439.00	0.059155
440.00	0.060582
441.00	0.062338
442.00	0.063521
443.00	0.065350
444.00	0.066851
445.00	0.068407
446.00	0.069515
447.00	0.070959
448.00	0.072564
449.00	0.074416
450.00	0.076346
451.00	0.077663
452.00	0.078788
453.00	0.080111
454.00	0.082081
455.00	0.083358
456.00	0.085244
457.00	0.086442
458.00	0.087575
459.00	0.088023
460.00	0.089676
461.00	0.091188
462.00	0.092195
463.00	0.094033
464.00	0.094627
465.00	0.095332
466.00	0.095928
467.00	0.096818
468.00	0.098035
469.00	0.098672
470.00	0.099826
471.00	0.10057
472.00	0.10035
473.00	0.10089
474.00	0.10211
475.00	0.10261
476.00	0.10341
477.00	0.10308
478.00	0.10287
479.00	0.10268
480.00	0.10280
481.00	0.10306
482.00	0.10296
483.00	0.10291
484.00	0.10214
485.00	0.10123
486.00	0.10147
487.00	0.10059
488.00	0.10041
489.00	0.10044
490.00	0.097949
491.00	0.097760
492.00	0.096764
493.00	0.095923
494.00	0.094885
495.00	0.094376
496.00	0.092469
497.00	0.091115
498.00	0.090164
499.00	0.088553
500.00	0.087871
501.00	0.085996
502.00	0.084577
503.00	0.082986
504.00	0.080782
505.00	0.079726
506.00	0.077609
507.00	0.076370
508.00	0.074645
509.00	0.072928
510.00	0.070530
511.00	0.069143
512.00	0.068048
513.00	0.066183
514.00	0.065159
515.00	0.062170
516.00	0.060015
517.00	0.058263
518.00	0.056871
519.00	0.055421
520.00	0.053649
521.00	0.050890
522.00	0.049348
523.00	0.047711
524.00	0.045899
525.00	0.044656
526.00	0.043106
527.00	0.042548
528.00	0.040380
529.00	0.037694
530.00	0.036222
531.00	0.035139
532.00	0.033776
533.00	0.032500
534.00	0.030738
535.00	0.028738
536.00	0.027197
537.00	0.026086
538.00	0.025419
539.00	0.024114
540.00	0.022872
541.00	0.021373
542.00	0.020218
543.00	0.018918
544.00	0.018087
545.00	0.017211
546.00	0.016434
547.00	0.015344
548.00	0.013713
549.00	0.013177
550.00	0.013202
551.00	0.012432
552.00	0.011481
553.00	0.010599
554.00	0.0094827
