Wavelength (nm)	O06 abs N
220.00	0.79586
220.25	0.79910
220.50	0.80486
220.75	0.80489
221.00	0.80816
221.25	0.81362
221.50	0.81658
221.75	0.81478
222.00	0.81714
222.25	0.82157
222.50	0.82388
222.75	0.82305
223.00	0.82395
223.25	0.82549
223.50	0.82611
223.75	0.82898
224.00	0.82945
224.25	0.82828
224.50	0.82526
224.75	0.82558
225.00	0.82567
225.25	0.82529
225.50	0.82311
225.75	0.82122
226.00	0.81785
226.25	0.81760
226.50	0.81727
226.75	0.81440
227.00	0.81270
227.25	0.80550
227.50	0.80180
227.75	0.79961
228.00	0.79801
228.25	0.79253
228.50	0.78871
228.75	0.78238
229.00	0.77939
229.25	0.77664
229.50	0.77086
229.75	0.76265
230.00	0.75709
230.25	0.75203
230.50	0.74787
230.75	0.74152
231.00	0.73694
231.25	0.72857
231.50	0.72177
231.75	0.71790
232.00	0.70925
232.25	0.70275
232.50	0.69771
232.75	0.69248
233.00	0.68450
233.25	0.67598
233.50	0.67276
233.75	0.66508
234.00	0.65740
234.25	0.64985
234.50	0.64646
234.75	0.63784
235.00	0.63257
235.25	0.62345
235.50	0.61403
235.75	0.60670
236.00	0.59900
236.25	0.59339
236.50	0.58891
236.75	0.58090
237.00	0.57618
237.25	0.57294
237.50	0.56540
237.75	0.56036
238.00	0.55653
238.25	0.55193
238.50	0.54421
238.75	0.54116
239.00	0.53734
239.25	0.53235
239.50	0.52948
239.75	0.52391
240.00	0.51903
240.25	0.51618
240.50	0.51331
240.75	0.50889
241.00	0.50640
241.25	0.50454
241.50	0.50112
241.75	0.49820
242.00	0.49575
242.25	0.49223
242.50	0.48898
242.75	0.48730
243.00	0.48563
243.25	0.48377
243.50	0.48161
243.75	0.47886
244.00	0.47860
244.25	0.47821
244.50	0.47437
244.75	0.47437
245.00	0.47579
245.25	0.47423
245.50	0.47338
245.75	0.47186
246.00	0.47167
246.25	0.47287
246.50	0.47261
246.75	0.47157
247.00	0.47315
247.25	0.47360
247.50	0.47718
247.75	0.47653
248.00	0.47835
248.25	0.47994
248.50	0.48258
248.75	0.48325
249.00	0.48726
249.25	0.48910
249.50	0.49044
249.75	0.49275
250.00	0.49699
250.25	0.50056
250.50	0.50254
250.75	0.50697
251.00	0.51091
251.25	0.51293
251.50	0.51795
251.75	0.52325
252.00	0.52656
252.25	0.52917
252.50	0.53573
252.75	0.53960
253.00	0.54498
253.25	0.54902
253.50	0.55295
253.75	0.55929
254.00	0.56199
254.25	0.56860
254.50	0.57096
254.75	0.57411
255.00	0.57555
255.25	0.58031
255.50	0.58389
255.75	0.58828
256.00	0.59469
256.25	0.59709
256.50	0.60414
256.75	0.60718
257.00	0.61099
257.25	0.61476
257.50	0.61845
257.75	0.62285
258.00	0.62960
258.25	0.62961
258.50	0.63653
258.75	0.64014
259.00	0.64071
259.25	0.64525
259.50	0.64644
259.75	0.64871
260.00	0.65162
260.25	0.65218
260.50	0.65107
260.75	0.65436
261.00	0.65305
261.25	0.65272
261.50	0.65114
261.75	0.64922
262.00	0.65006
262.25	0.64558
262.50	0.64072
262.75	0.63759
263.00	0.63198
263.25	0.62662
263.50	0.62123
263.75	0.61573
264.00	0.61189
264.25	0.60248
264.50	0.59431
264.75	0.58749
265.00	0.57650
265.25	0.56838
265.50	0.55761
265.75	0.54731
266.00	0.53730
266.25	0.52694
266.50	0.51812
266.75	0.50753
267.00	0.49556
267.25	0.48501
267.50	0.47288
267.75	0.46236
268.00	0.44931
268.25	0.44144
268.50	0.42612
268.75	0.41821
269.00	0.40754
269.25	0.39711
269.50	0.38855
269.75	0.37784
270.00	0.36949
270.25	0.35913
270.50	0.35068
270.75	0.34096
271.00	0.33401
271.25	0.32445
271.50	0.31603
271.75	0.31037
272.00	0.30217
272.25	0.29594
272.50	0.29107
272.75	0.28242
273.00	0.27687
273.25	0.27144
273.50	0.26571
273.75	0.26048
274.00	0.25789
274.25	0.25440
274.50	0.24914
274.75	0.24732
275.00	0.24242
275.25	0.23709
275.50	0.23350
275.75	0.23119
276.00	0.22443
276.25	0.22336
276.50	0.22180
276.75	0.22072
277.00	0.21848
277.25	0.21579
277.50	0.21431
277.75	0.21334
278.00	0.21095
278.25	0.20968
278.50	0.20847
278.75	0.20698
279.00	0.20773
279.25	0.20600
279.50	0.20526
279.75	0.20534
280.00	0.20428
280.25	0.20261
280.50	0.20289
280.75	0.20134
281.00	0.20220
281.25	0.20113
281.50	0.20186
281.75	0.20207
282.00	0.20162
282.25	0.20357
282.50	0.20164
282.75	0.20278
283.00	0.20180
283.25	0.20236
283.50	0.20229
283.75	0.20281
284.00	0.20252
284.25	0.20347
284.50	0.20234
284.75	0.20339
285.00	0.20494
285.25	0.20647
285.50	0.20708
285.75	0.20611
286.00	0.20650
286.25	0.20892
286.50	0.20894
286.75	0.20928
287.00	0.20945
287.25	0.21149
287.50	0.21457
287.75	0.21505
288.00	0.21683
288.25	0.21781
288.50	0.21934
288.75	0.21886
289.00	0.21975
289.25	0.22014
289.50	0.22420
289.75	0.22364
290.00	0.22421
290.25	0.22804
290.50	0.22917
290.75	0.23058
291.00	0.23214
291.25	0.23460
291.50	0.23525
291.75	0.23736
292.00	0.24029
292.25	0.24188
292.50	0.24211
292.75	0.24475
293.00	0.24719
293.25	0.25024
293.50	0.25157
293.75	0.25387
294.00	0.25721
294.25	0.25883
294.50	0.26124
294.75	0.26143
295.00	0.26248
295.25	0.26563
295.50	0.26536
295.75	0.26872
296.00	0.27186
296.25	0.27474
296.50	0.27709
296.75	0.28011
297.00	0.28362
297.25	0.28606
297.50	0.29086
297.75	0.29347
298.00	0.29546
298.25	0.29715
298.50	0.30095
298.75	0.30612
299.00	0.31036
299.25	0.31273
299.50	0.31681
299.75	0.31939
300.00	0.32553
300.25	0.32928
300.50	0.33231
300.75	0.33469
301.00	0.33996
301.25	0.34560
301.50	0.35063
301.75	0.35549
302.00	0.35889
302.25	0.36416
302.50	0.36884
302.75	0.37180
303.00	0.37484
303.25	0.38128
303.50	0.38490
303.75	0.39131
304.00	0.39503
304.25	0.40088
304.50	0.40644
304.75	0.41109
305.00	0.41526
305.25	0.41874
305.50	0.42430
305.75	0.42862
306.00	0.43500
306.25	0.43959
306.50	0.44471
306.75	0.44858
307.00	0.45626
307.25	0.46151
307.50	0.46779
307.75	0.47234
308.00	0.47910
308.25	0.48393
308.50	0.49088
308.75	0.49465
309.00	0.50230
309.25	0.50780
309.50	0.51378
309.75	0.51753
310.00	0.49832
310.25	0.51349
310.50	0.51304
310.75	0.52212
311.00	0.52878
311.25	0.53138
311.50	0.53949
311.75	0.55414
312.00	0.56070
312.25	0.55769
312.50	0.56520
312.75	0.56312
313.00	0.57866
313.25	0.58350
313.50	0.58952
313.75	0.59493
314.00	0.59567
314.25	0.60872
314.50	0.61364
314.75	0.61697
315.00	0.62580
315.25	0.63462
315.50	0.63494
315.75	0.65066
316.00	0.65238
316.25	0.65821
316.50	0.67843
316.75	0.67260
