Wavelength (nm)	O-6, 28718-90-3, DAPI, H2O.ems
360.00	0.0041221
360.50	0.0039357
361.00	0.0037208
361.50	0.0035785
362.00	0.0035470
362.50	0.0034828
363.00	0.0034135
363.50	0.0033366
364.00	0.0032790
364.50	0.0032622
365.00	0.0032818
365.50	0.0033284
366.00	0.0033851
366.50	0.0035141
367.00	0.0035739
367.50	0.0036239
368.00	0.0037395
368.50	0.0038161
369.00	0.0039377
369.50	0.0041076
370.00	0.0041293
370.50	0.0042891
371.00	0.0043085
371.50	0.0043525
372.00	0.0044516
372.50	0.0045234
373.00	0.0044850
373.50	0.0046083
374.00	0.0047184
374.50	0.0048358
375.00	0.0049365
375.50	0.0050305
376.00	0.0052608
376.50	0.0054117
377.00	0.0058361
377.50	0.0060595
378.00	0.0064192
378.50	0.0068727
379.00	0.0071633
379.50	0.0076036
380.00	0.0082452
380.50	0.0086665
381.00	0.0091256
381.50	0.0097566
382.00	0.010498
382.50	0.011382
383.00	0.011870
383.50	0.013009
384.00	0.013815
384.50	0.015321
385.00	0.016079
385.50	0.017607
386.00	0.018980
386.50	0.021034
387.00	0.022533
387.50	0.024849
388.00	0.027107
388.50	0.030220
389.00	0.032825
389.50	0.036556
390.00	0.039804
390.50	0.044643
391.00	0.047757
391.50	0.053470
392.00	0.058284
392.50	0.064954
393.00	0.069112
393.50	0.076654
394.00	0.082643
394.50	0.090153
395.00	0.094980
395.50	0.10202
396.00	0.10689
396.50	0.11327
397.00	0.11709
397.50	0.12188
398.00	0.12628
398.50	0.12949
399.00	0.13164
399.50	0.13412
400.00	0.13654
400.50	0.13829
401.00	0.13917
401.50	0.14013
402.00	0.14172
402.50	0.14272
403.00	0.14422
403.50	0.14601
404.00	0.14807
404.50	0.15116
405.00	0.15370
405.50	0.15842
406.00	0.16282
406.50	0.16884
407.00	0.17343
407.50	0.18036
408.00	0.18598
408.50	0.19306
409.00	0.19851
409.50	0.20601
410.00	0.21253
410.50	0.22030
411.00	0.22592
411.50	0.23359
412.00	0.23996
412.50	0.24793
413.00	0.25296
413.50	0.26058
414.00	0.26624
414.50	0.27498
415.00	0.27916
415.50	0.28734
416.00	0.29349
416.50	0.30217
417.00	0.30779
417.50	0.31557
418.00	0.32203
418.50	0.33048
419.00	0.33522
419.50	0.34364
420.00	0.35068
420.50	0.35901
421.00	0.36516
421.50	0.37307
422.00	0.38056
422.50	0.38853
423.00	0.39464
423.50	0.40274
424.00	0.41094
424.50	0.41854
425.00	0.42519
425.50	0.43330
426.00	0.44093
426.50	0.44934
427.00	0.45625
427.50	0.46443
428.00	0.47224
428.50	0.48126
429.00	0.48765
429.50	0.49657
430.00	0.50380
430.50	0.51393
431.00	0.51967
431.50	0.52963
432.00	0.53649
432.50	0.54572
433.00	0.55147
433.50	0.55977
434.00	0.56599
434.50	0.57565
435.00	0.58263
435.50	0.59008
436.00	0.59741
436.50	0.60583
437.00	0.61255
437.50	0.61853
438.00	0.62553
438.50	0.63321
439.00	0.63864
439.50	0.64594
440.00	0.65271
440.50	0.65931
441.00	0.66487
441.50	0.67295
442.00	0.67945
442.50	0.68621
443.00	0.69191
443.50	0.69858
444.00	0.70535
444.50	0.71209
445.00	0.71722
445.50	0.72436
446.00	0.73025
446.50	0.73751
447.00	0.74133
447.50	0.74826
448.00	0.75633
448.50	0.76028
449.00	0.76562
449.50	0.77107
450.00	0.77769
450.50	0.78374
451.00	0.78904
451.50	0.79542
452.00	0.80029
452.50	0.80710
453.00	0.81061
453.50	0.81857
454.00	0.82285
454.50	0.82912
455.00	0.83362
455.50	0.83937
456.00	0.84497
456.50	0.84884
457.00	0.85229
457.50	0.85822
458.00	0.86189
458.50	0.86605
459.00	0.87047
459.50	0.87493
460.00	0.87790
460.50	0.88314
461.00	0.88745
461.50	0.89082
462.00	0.89481
462.50	0.89961
463.00	0.90217
463.50	0.90658
464.00	0.90934
464.50	0.91440
465.00	0.91634
465.50	0.92092
466.00	0.92473
466.50	0.92835
467.00	0.93107
467.50	0.93435
468.00	0.93708
468.50	0.94053
469.00	0.94397
469.50	0.94542
470.00	0.94720
470.50	0.95209
471.00	0.95553
471.50	0.95806
472.00	0.96075
472.50	0.96433
473.00	0.96733
473.50	0.96934
474.00	0.97189
474.50	0.97518
475.00	0.97594
475.50	0.97829
476.00	0.98085
476.50	0.98216
477.00	0.98300
477.50	0.98460
478.00	0.98752
478.50	0.98715
479.00	0.99060
479.50	0.99112
480.00	0.99068
480.50	0.99188
481.00	0.99421
481.50	0.99451
482.00	0.99550
482.50	0.99473
483.00	0.99581
483.50	0.99751
484.00	0.99663
484.50	0.99798
485.00	0.99914
485.50	0.99814
486.00	0.99921
486.50	1.00000
487.00	0.99956
487.50	0.99865
488.00	0.99832
488.50	0.99946
489.00	0.99954
489.50	0.99670
490.00	0.99791
490.50	0.99726
491.00	0.99716
491.50	0.99710
492.00	0.99789
492.50	0.99564
493.00	0.99695
493.50	0.99524
494.00	0.99526
494.50	0.99394
495.00	0.99353
495.50	0.99259
496.00	0.99171
496.50	0.98940
497.00	0.98918
497.50	0.98857
498.00	0.98598
498.50	0.98476
499.00	0.98468
499.50	0.98281
500.00	0.98191
500.50	0.97872
501.00	0.97772
501.50	0.97574
502.00	0.97407
502.50	0.97261
503.00	0.97016
503.50	0.96932
504.00	0.96561
504.50	0.96229
505.00	0.96062
505.50	0.96017
506.00	0.95732
506.50	0.95410
507.00	0.95213
507.50	0.94919
508.00	0.94708
508.50	0.94509
509.00	0.94115
509.50	0.93899
510.00	0.93731
510.50	0.93460
511.00	0.93125
511.50	0.93024
512.00	0.92810
512.50	0.92518
513.00	0.92270
513.50	0.92044
514.00	0.91749
514.50	0.91435
515.00	0.91449
515.50	0.91027
516.00	0.90749
516.50	0.90467
517.00	0.90306
517.50	0.89938
518.00	0.89684
518.50	0.89455
519.00	0.89120
519.50	0.88808
520.00	0.88436
520.50	0.88105
521.00	0.88056
521.50	0.87556
522.00	0.87346
522.50	0.86873
523.00	0.86601
523.50	0.86422
524.00	0.86077
524.50	0.85523
525.00	0.85299
525.50	0.84822
526.00	0.84611
526.50	0.84081
527.00	0.83889
527.50	0.83536
528.00	0.83048
528.50	0.82651
529.00	0.82324
529.50	0.81890
530.00	0.81445
530.50	0.81101
531.00	0.80866
531.50	0.80230
532.00	0.80014
532.50	0.79591
533.00	0.79266
533.50	0.78774
534.00	0.78397
534.50	0.77973
535.00	0.77770
535.50	0.77272
536.00	0.76996
536.50	0.76566
537.00	0.76432
537.50	0.75980
538.00	0.75618
538.50	0.75214
539.00	0.74955
539.50	0.74558
540.00	0.74182
540.50	0.73728
541.00	0.73482
541.50	0.72934
542.00	0.72619
542.50	0.72224
543.00	0.72018
543.50	0.71480
544.00	0.71052
544.50	0.70731
545.00	0.70265
545.50	0.69968
546.00	0.69626
546.50	0.69308
547.00	0.68900
547.50	0.68544
548.00	0.67969
548.50	0.67625
549.00	0.67371
549.50	0.66897
550.00	0.66680
550.50	0.66132
551.00	0.65781
551.50	0.65320
552.00	0.65064
552.50	0.64458
553.00	0.64164
553.50	0.63809
554.00	0.63388
554.50	0.62931
555.00	0.62742
555.50	0.62308
556.00	0.61839
556.50	0.61326
557.00	0.61254
557.50	0.60757
558.00	0.60572
558.50	0.59988
559.00	0.59823
559.50	0.59402
560.00	0.59131
560.50	0.58512
561.00	0.58445
561.50	0.58010
562.00	0.57645
562.50	0.57238
563.00	0.56984
563.50	0.56510
564.00	0.56142
564.50	0.55678
565.00	0.55476
565.50	0.55053
566.00	0.54717
566.50	0.54335
567.00	0.54184
567.50	0.53801
568.00	0.53425
568.50	0.53080
569.00	0.52889
569.50	0.52303
570.00	0.52028
570.50	0.51642
571.00	0.51379
571.50	0.51101
572.00	0.50704
572.50	0.50343
573.00	0.50150
573.50	0.49684
574.00	0.49457
574.50	0.49001
575.00	0.48700
575.50	0.48384
576.00	0.47893
576.50	0.47509
577.00	0.47302
577.50	0.46920
578.00	0.46662
578.50	0.46275
579.00	0.45854
579.50	0.45530
580.00	0.45286
580.50	0.44847
581.00	0.44607
581.50	0.44278
582.00	0.44168
582.50	0.43785
583.00	0.43571
583.50	0.43144
584.00	0.42916
584.50	0.42553
585.00	0.42317
585.50	0.42021
586.00	0.41745
586.50	0.41403
587.00	0.41034
587.50	0.40730
588.00	0.40394
588.50	0.40130
589.00	0.39969
589.50	0.39611
590.00	0.39406
590.50	0.39152
591.00	0.38848
591.50	0.38546
592.00	0.38240
592.50	0.37967
593.00	0.37745
593.50	0.37366
594.00	0.37122
594.50	0.36880
595.00	0.36626
595.50	0.36301
596.00	0.36043
596.50	0.35678
597.00	0.35718
597.50	0.35360
598.00	0.34907
598.50	0.34722
599.00	0.34464
599.50	0.34092
600.00	0.33786
600.50	0.33571
601.00	0.33344
601.50	0.33191
602.00	0.32877
602.50	0.32513
603.00	0.32436
603.50	0.32039
604.00	0.31841
604.50	0.31523
605.00	0.31401
605.50	0.31094
606.00	0.31063
606.50	0.30693
607.00	0.30550
607.50	0.30138
608.00	0.30174
608.50	0.29899
609.00	0.29657
609.50	0.29460
610.00	0.29243
610.50	0.28858
611.00	0.28778
611.50	0.28536
612.00	0.28216
612.50	0.28126
613.00	0.27973
613.50	0.27562
614.00	0.27514
614.50	0.27136
615.00	0.27049
615.50	0.26870
616.00	0.26659
616.50	0.26419
617.00	0.26217
617.50	0.26016
618.00	0.25897
618.50	0.25580
619.00	0.25471
619.50	0.25260
620.00	0.25074
620.50	0.24955
621.00	0.24797
621.50	0.24554
622.00	0.24479
622.50	0.24327
623.00	0.24055
623.50	0.24001
624.00	0.23792
624.50	0.23498
625.00	0.23413
625.50	0.23121
626.00	0.22953
626.50	0.22657
627.00	0.22439
627.50	0.22397
628.00	0.22048
628.50	0.21838
629.00	0.21869
629.50	0.21617
630.00	0.21351
630.50	0.21270
631.00	0.21093
631.50	0.20851
632.00	0.20845
632.50	0.20669
633.00	0.20560
633.50	0.20369
634.00	0.20118
634.50	0.20059
635.00	0.19820
635.50	0.19664
636.00	0.19515
636.50	0.19348
637.00	0.19148
637.50	0.19031
638.00	0.18833
638.50	0.18580
639.00	0.18492
639.50	0.18386
640.00	0.18161
640.50	0.18067
641.00	0.17900
641.50	0.17825
642.00	0.17611
642.50	0.17476
643.00	0.17349
643.50	0.17093
644.00	0.16978
644.50	0.17013
645.00	0.16784
645.50	0.16676
646.00	0.16512
646.50	0.16324
647.00	0.16255
647.50	0.16115
648.00	0.16078
648.50	0.15904
649.00	0.15769
649.50	0.15649
650.00	0.15433
650.50	0.15351
651.00	0.15233
651.50	0.15051
652.00	0.14999
652.50	0.14817
653.00	0.14698
653.50	0.14643
654.00	0.14479
654.50	0.14323
655.00	0.14241
655.50	0.14221
656.00	0.14092
656.50	0.13883
657.00	0.13903
657.50	0.13738
658.00	0.13636
658.50	0.13496
659.00	0.13456
659.50	0.13142
660.00	0.13195
660.50	0.13055
661.00	0.12961
661.50	0.12762
662.00	0.12726
662.50	0.12589
663.00	0.12583
663.50	0.12415
664.00	0.12352
664.50	0.12146
665.00	0.12116
665.50	0.12000
666.00	0.12011
666.50	0.11899
667.00	0.11794
667.50	0.11644
668.00	0.11586
668.50	0.11471
669.00	0.11496
669.50	0.11371
670.00	0.11249
670.50	0.11221
671.00	0.11147
671.50	0.11037
672.00	0.10943
672.50	0.10797
673.00	0.10756
673.50	0.10653
674.00	0.10563
674.50	0.10511
675.00	0.10409
675.50	0.10429
676.00	0.10213
676.50	0.10244
677.00	0.10109
677.50	0.099698
678.00	0.099735
678.50	0.098887
679.00	0.098308
679.50	0.096810
680.00	0.096586
680.50	0.095610
681.00	0.095339
681.50	0.093716
682.00	0.093263
682.50	0.093174
683.00	0.092089
683.50	0.091640
684.00	0.090404
684.50	0.089245
685.00	0.089619
685.50	0.087924
686.00	0.088346
686.50	0.087593
687.00	0.086695
687.50	0.086524
688.00	0.085799
688.50	0.084879
689.00	0.084974
689.50	0.083988
690.00	0.083643
690.50	0.083492
691.00	0.083242
