Wavelength (nm)	O10 abs N
250.83	0.36892
252.20	0.36400
253.85	0.35416
255.63	0.34050
257.00	0.32520
259.34	0.30552
261.26	0.28694
263.32	0.26726
265.37	0.25032
267.30	0.23611
268.94	0.22408
271.00	0.21370
272.92	0.20222
274.57	0.19840
276.49	0.19239
278.00	0.18583
280.33	0.18583
281.71	0.18419
283.08	0.17817
284.45	0.17216
285.96	0.16943
286.65	0.16178
288.16	0.16069
288.84	0.15467
290.21	0.15030
291.17	0.14593
292.68	0.14648
293.37	0.13937
294.06	0.13172
295.57	0.13172
296.66	0.12844
297.76	0.12243
298.88	0.11359
300.03	0.10767
301.17	0.11086
301.74	0.10494
303.23	0.10630
303.57	0.098561
305.06	0.094006
306.20	0.090818
307.57	0.086264
308.95	0.087175
309.52	0.081709
309.98	0.077610
311.12	0.079887
312.15	0.081254
313.29	0.077610
314.44	0.073966
315.12	0.069412
315.58	0.065313
316.72	0.071689
318.21	0.070778
319.58	0.072600
320.73	0.076244
321.41	0.071689
322.21	0.070778
323.01	0.075333
324.04	0.078976
324.61	0.073966
324.84	0.071234
325.64	0.075788
326.33	0.081254
327.25	0.077610
327.82	0.083531
328.96	0.078976
329.88	0.077154
330.79	0.083531
332.16	0.089907
333.76	0.094917
334.56	0.099016
335.48	0.094462
337.08	0.10312
337.42	0.11222
338.00	0.12224
339.25	0.11951
340.74	0.12179
342.00	0.12224
343.03	0.13135
343.60	0.14228
343.83	0.15367
344.86	0.16187
345.20	0.15549
345.66	0.15003
346.00	0.14638
346.80	0.15413
347.14	0.15777
348.06	0.15413
348.17	0.16551
348.52	0.17872
348.75	0.19147
349.89	0.18783
350.35	0.18328
351.49	0.18920
352.63	0.18464
353.55	0.18145
354.92	0.19330
355.95	0.20423
356.98	0.20149
357.89	0.21652
358.92	0.21151
359.61	0.22837
360.53	0.25068
360.87	0.25843
362.01	0.25387
363.27	0.25934
364.07	0.27209
364.76	0.28257
365.79	0.29350
366.13	0.30443
366.93	0.31445
367.73	0.30443
368.76	0.32128
369.56	0.33449
370.47	0.35225
370.70	0.36090
372.19	0.37229
372.19	0.36045
373.68	0.38140
374.71	0.39643
375.39	0.41237
377.11	0.42831
378.25	0.44607
379.74	0.46338
381.00	0.48069
382.71	0.50483
383.86	0.52624
385.46	0.54400
386.94	0.56586
387.97	0.58727
389.46	0.60776
390.49	0.62735
391.98	0.65149
393.81	0.67881
395.06	0.69931
395.75	0.71571
397.58	0.73529
398.84	0.75260
399.75	0.77127
400.90	0.78858
402.84	0.81090
403.98	0.83094
405.70	0.85325
406.61	0.86965
407.87	0.88422
409.36	0.89789
410.27	0.91246
410.85	0.92157
411.99	0.93068
413.48	0.94252
414.96	0.95664
416.79	0.97122
418.74	0.98351
420.34	0.99080
421.48	0.99627
422.51	0.99834
424.00	1.00000
424.57	0.99900
425.37	0.99986
426.86	0.99718
428.23	0.99262
429.37	0.98625
430.86	0.97850
432.12	0.96848
433.38	0.95801
434.52	0.94389
436.35	0.92658
438.41	0.89789
440.01	0.87557
442.18	0.84278
443.55	0.81727
445.73	0.77901
447.44	0.74850
449.04	0.72163
450.76	0.68610
452.59	0.63828
453.62	0.61642
455.22	0.57360
456.82	0.54035
458.65	0.50027
460.14	0.46156
461.62	0.42467
462.65	0.39780
463.80	0.36409
465.51	0.32993
466.88	0.29577
468.71	0.25752
469.97	0.23110
472.03	0.19785
473.75	0.16415
475.00	0.14638
476.60	0.13181
478.21	0.11314
479.12	0.10585
481.06	0.094006
482.89	0.080343
485.07	0.066679
487.13	0.057114
488.84	0.046639
490.79	0.040718
492.16	0.033886
494.45	0.029787
496.96	0.024777
499.59	0.018856
502.22	0.013390
504.97	0.012480
507.37	0.011569
509.77	0.0092913
512.29	0.0074695
514.23	0.0065586
516.40	0.0065586
518.35	0.0074695
520.86	0.0051922
524.07	0.0056477
527.04	0.0061031
529.78	0.0051922
532.87	0.0047368
535.85	0.0042813
538.59	0.0033704
541.91	0.0047368
544.54	0.0033704
548.20	0.0033704
551.28	0.0029149
554.37	0.0026479
557.92	0.0016489
561.92	0.0024595
565.81	0.0017427
568.44	0.0017427
571.76	0.0020040
575.07	0.0017883
577.93	0.0017427
579.99	0.0029149
582.39	0.0017883
585.36	0.0020040
589.02	0.0017883
592.68	0.0020040
596.12	0.0020040
598.97	0.0020040
600.00	0.0020744
