Wavelength (nm)	O11 abs N
250.00	0.75020
251.00	0.74677
252.00	0.74349
253.00	0.74215
254.00	0.74041
255.00	0.73918
256.00	0.73979
257.00	0.73890
258.00	0.73850
259.00	0.73989
260.00	0.73909
261.00	0.74077
262.00	0.74188
263.00	0.74415
264.00	0.74522
265.00	0.74585
266.00	0.74416
267.00	0.74534
268.00	0.74348
269.00	0.74205
270.00	0.74063
271.00	0.73832
272.00	0.73240
273.00	0.72674
274.00	0.72192
275.00	0.71458
276.00	0.70895
277.00	0.70330
278.00	0.69930
279.00	0.69358
280.00	0.68701
281.00	0.67978
282.00	0.67151
283.00	0.66432
284.00	0.65785
285.00	0.65263
286.00	0.64956
287.00	0.64607
288.00	0.64144
289.00	0.63787
290.00	0.63306
291.00	0.62929
292.00	0.62484
293.00	0.62199
294.00	0.61851
295.00	0.61515
296.00	0.61289
297.00	0.60987
298.00	0.60510
299.00	0.60307
300.00	0.59859
301.00	0.59357
302.00	0.58838
303.00	0.58152
304.00	0.57538
305.00	0.56655
306.00	0.56011
307.00	0.55255
308.00	0.54411
309.00	0.53777
310.00	0.52968
311.00	0.51984
312.00	0.51110
313.00	0.50255
314.00	0.49467
315.00	0.48549
316.00	0.48021
317.00	0.47052
318.00	0.46112
319.00	0.45474
320.00	0.44553
321.00	0.43717
322.00	0.43054
323.00	0.42223
324.00	0.41282
325.00	0.40564
326.00	0.39815
327.00	0.39114
328.00	0.38342
329.00	0.37527
330.00	0.36929
331.00	0.36298
332.00	0.35526
333.00	0.34886
334.00	0.34339
335.00	0.33686
336.00	0.33030
337.00	0.32551
338.00	0.32113
339.00	0.31623
340.00	0.31181
341.00	0.30625
342.00	0.30247
343.00	0.29796
344.00	0.29636
345.00	0.29161
346.00	0.28879
347.00	0.28592
348.00	0.28315
349.00	0.28152
350.00	0.27621
351.00	0.27508
352.00	0.27371
353.00	0.27075
354.00	0.26989
355.00	0.26739
356.00	0.26438
357.00	0.26436
358.00	0.26200
359.00	0.25956
360.00	0.25835
361.00	0.25471
362.00	0.25377
363.00	0.25359
364.00	0.25286
365.00	0.25263
366.00	0.25123
367.00	0.25054
368.00	0.24859
369.00	0.24837
370.00	0.24907
371.00	0.24767
372.00	0.24600
373.00	0.24558
374.00	0.24602
375.00	0.24567
376.00	0.24240
377.00	0.24175
378.00	0.24248
379.00	0.24226
380.00	0.24254
381.00	0.24255
382.00	0.24274
383.00	0.24114
384.00	0.24278
385.00	0.24307
386.00	0.24154
387.00	0.24390
388.00	0.24289
389.00	0.24515
390.00	0.24371
391.00	0.24710
392.00	0.24602
393.00	0.24367
394.00	0.24317
395.00	0.24363
396.00	0.24306
397.00	0.24581
398.00	0.24493
399.00	0.24593
400.00	0.24602
401.00	0.24724
402.00	0.24553
403.00	0.24848
404.00	0.24903
405.00	0.25072
406.00	0.24761
407.00	0.24777
408.00	0.25100
409.00	0.25196
410.00	0.24931
411.00	0.25119
412.00	0.25490
413.00	0.25314
414.00	0.25443
415.00	0.25608
416.00	0.25806
417.00	0.25875
418.00	0.25991
419.00	0.26361
420.00	0.26352
421.00	0.26623
422.00	0.27024
423.00	0.27284
424.00	0.27363
425.00	0.27777
426.00	0.27928
427.00	0.28551
428.00	0.28471
429.00	0.29090
430.00	0.29537
431.00	0.29808
432.00	0.30035
433.00	0.30515
434.00	0.31062
435.00	0.31549
436.00	0.32175
437.00	0.32795
438.00	0.33301
439.00	0.34011
440.00	0.34345
441.00	0.35070
442.00	0.35553
443.00	0.36232
444.00	0.36663
445.00	0.37305
446.00	0.38093
447.00	0.38573
448.00	0.39207
449.00	0.39897
450.00	0.40594
451.00	0.41455
452.00	0.41887
453.00	0.42675
454.00	0.43145
455.00	0.44011
456.00	0.44847
457.00	0.45684
458.00	0.46275
459.00	0.46794
460.00	0.47537
461.00	0.48173
462.00	0.48852
463.00	0.50031
464.00	0.50770
465.00	0.51524
466.00	0.52007
467.00	0.52721
468.00	0.54158
469.00	0.54951
470.00	0.55610
471.00	0.56490
472.00	0.57397
473.00	0.58656
474.00	0.59175
475.00	0.60333
476.00	0.61080
477.00	0.62134
478.00	0.63144
479.00	0.63705
480.00	0.64811
481.00	0.65837
482.00	0.66500
483.00	0.67597
484.00	0.68373
485.00	0.69713
486.00	0.69949
487.00	0.70030
488.00	0.70895
489.00	0.71911
490.00	0.72634
491.00	0.73674
492.00	0.74408
493.00	0.75683
494.00	0.75825
495.00	0.76576
496.00	0.77431
497.00	0.78173
498.00	0.79213
499.00	0.80138
500.00	0.80442
501.00	0.81590
502.00	0.81941
503.00	0.82905
504.00	0.83764
505.00	0.84418
506.00	0.85376
507.00	0.86074
508.00	0.86862
509.00	0.87934
510.00	0.88630
511.00	0.89416
512.00	0.90292
513.00	0.90710
514.00	0.91671
515.00	0.92211
516.00	0.92894
517.00	0.93749
518.00	0.94499
519.00	0.95201
520.00	0.95703
521.00	0.96163
522.00	0.96496
523.00	0.97197
524.00	0.97666
525.00	0.97941
526.00	0.98623
527.00	0.98694
528.00	0.99216
529.00	0.99039
530.00	0.99706
531.00	0.99872
532.00	0.99820
533.00	0.99706
534.00	0.99794
535.00	1.00000
536.00	0.99238
537.00	0.99085
538.00	0.98912
539.00	0.98151
540.00	0.97763
541.00	0.97272
542.00	0.97094
543.00	0.96380
544.00	0.95926
545.00	0.94972
546.00	0.94146
547.00	0.93151
548.00	0.92421
549.00	0.91254
550.00	0.90333
551.00	0.89494
552.00	0.88570
553.00	0.87058
554.00	0.85502
555.00	0.84394
556.00	0.83018
557.00	0.81736
558.00	0.80434
559.00	0.79354
560.00	0.77886
561.00	0.75943
562.00	0.73996
563.00	0.72582
564.00	0.70893
565.00	0.69086
566.00	0.67578
567.00	0.65526
568.00	0.63823
569.00	0.61988
570.00	0.60274
571.00	0.58337
572.00	0.56541
573.00	0.54722
574.00	0.52873
575.00	0.50978
576.00	0.49108
577.00	0.47374
578.00	0.45551
579.00	0.43844
580.00	0.42176
581.00	0.40411
582.00	0.38857
583.00	0.37158
584.00	0.35616
585.00	0.34109
586.00	0.32592
587.00	0.31062
588.00	0.29804
589.00	0.28321
590.00	0.27160
591.00	0.25932
592.00	0.24704
593.00	0.23430
594.00	0.22255
595.00	0.21237
596.00	0.20392
597.00	0.19303
598.00	0.18377
599.00	0.17429
600.00	0.16685
601.00	0.15858
602.00	0.15067
603.00	0.14490
604.00	0.13687
605.00	0.12992
606.00	0.12465
607.00	0.11823
608.00	0.11476
609.00	0.10861
610.00	0.10299
611.00	0.099611
612.00	0.094442
613.00	0.091638
614.00	0.086844
615.00	0.083511
616.00	0.078702
617.00	0.075071
618.00	0.073825
619.00	0.070798
620.00	0.069255
621.00	0.066245
622.00	0.063722
623.00	0.060386
624.00	0.058006
625.00	0.058352
626.00	0.054724
627.00	0.052963
628.00	0.051694
629.00	0.050173
630.00	0.048297
631.00	0.047968
632.00	0.045849
633.00	0.047072
634.00	0.044930
635.00	0.044669
636.00	0.043077
637.00	0.041516
638.00	0.038936
639.00	0.037636
640.00	0.037060
641.00	0.033904
642.00	0.032667
643.00	0.036364
644.00	0.029769
645.00	0.028265
646.00	0.033546
647.00	0.032409
648.00	0.027561
649.00	0.027684
650.00	0.029903
651.00	0.024857
652.00	0.023088
653.00	0.026730
654.00	0.025874
655.00	0.022732
656.00	0.021770
657.00	0.021252
658.00	0.020702
659.00	0.020565
660.00	0.020253
661.00	0.020905
662.00	0.019310
663.00	0.020072
664.00	0.020536
665.00	0.015687
666.00	0.017941
667.00	0.019113
668.00	0.019639
669.00	0.015244
670.00	0.017469
671.00	0.015361
672.00	0.015779
673.00	0.012675
674.00	0.012912
675.00	0.015645
676.00	0.013880
677.00	0.015224
678.00	0.014215
679.00	0.015046
680.00	0.012517
681.00	0.012469
682.00	0.010936
683.00	0.013439
684.00	0.011478
685.00	0.010948
686.00	0.010739
687.00	0.011294
688.00	0.010845
689.00	0.011867
690.00	0.011014
691.00	0.0089232
692.00	0.0099398
693.00	0.0087514
694.00	0.0095876
695.00	0.010464
696.00	0.010115
697.00	0.011186
698.00	0.0086998
699.00	0.010876
700.00	0.0090263
701.00	0.010418
702.00	0.0093556
703.00	0.0086368
704.00	0.0061854
705.00	0.0095561
706.00	0.0088258
707.00	0.0065520
708.00	0.0082187
709.00	0.0069472
710.00	0.0075514
711.00	0.0077147
712.00	0.0074340
713.00	0.0064804
714.00	0.0053807
715.00	0.0067639
716.00	0.0083562
717.00	0.0070875
718.00	0.0074999
719.00	0.0039774
720.00	0.0036595
721.00	0.0063143
722.00	0.0077204
723.00	0.0070474
724.00	0.0045903
725.00	0.0030352
726.00	0.0047392
727.00	0.0044700
728.00	0.0037798
729.00	0.0067753
730.00	0.0072822
731.00	0.0053578
732.00	0.0051058
733.00	0.0045989
734.00	0.0063171
735.00	0.0046390
736.00	0.0046762
737.00	0.0050141
738.00	0.0040061
739.00	0.0041722
740.00	0.0038571
741.00	0.0057730
742.00	0.0055554
743.00	0.0058332
