Wavelength (nm)	O12 abs N
200.00	0.75923
201.00	0.85387
202.00	0.91911
203.00	0.96160
204.00	0.98720
205.00	1.00000
206.00	0.99897
207.00	0.99132
208.00	0.97652
209.00	0.95583
210.00	0.92921
211.00	0.89402
212.00	0.85167
213.00	0.80154
214.00	0.74773
215.00	0.69368
216.00	0.64374
217.00	0.60178
218.00	0.56666
219.00	0.53860
220.00	0.51519
221.00	0.49575
222.00	0.47876
223.00	0.46380
224.00	0.44988
225.00	0.43685
226.00	0.42400
227.00	0.41130
228.00	0.39840
229.00	0.38575
230.00	0.37345
231.00	0.36180
232.00	0.35125
233.00	0.34166
234.00	0.33383
235.00	0.32762
236.00	0.32360
237.00	0.32167
238.00	0.32204
239.00	0.32464
240.00	0.32955
241.00	0.33676
242.00	0.34611
243.00	0.35767
244.00	0.37109
245.00	0.38585
246.00	0.40217
247.00	0.41949
248.00	0.43752
249.00	0.45566
250.00	0.47438
251.00	0.49307
252.00	0.51071
253.00	0.52725
254.00	0.54129
255.00	0.55191
256.00	0.55824
257.00	0.56000
258.00	0.55733
259.00	0.55105
260.00	0.54237
261.00	0.53301
262.00	0.52372
263.00	0.51542
264.00	0.50822
265.00	0.50141
266.00	0.49436
267.00	0.48539
268.00	0.47283
269.00	0.45541
270.00	0.43261
271.00	0.40481
272.00	0.37226
273.00	0.33707
274.00	0.30192
275.00	0.26985
276.00	0.24263
277.00	0.22136
278.00	0.20591
279.00	0.19544
280.00	0.18904
281.00	0.18564
282.00	0.18453
283.00	0.18502
284.00	0.18673
285.00	0.18921
286.00	0.19215
287.00	0.19549
288.00	0.19899
289.00	0.20251
290.00	0.20596
291.00	0.20909
292.00	0.21198
293.00	0.21446
294.00	0.21657
295.00	0.21840
296.00	0.21985
297.00	0.22110
298.00	0.22211
299.00	0.22299
300.00	0.22381
301.00	0.22459
302.00	0.22528
303.00	0.22593
304.00	0.22670
305.00	0.22738
306.00	0.22804
307.00	0.22875
308.00	0.22944
309.00	0.23016
310.00	0.23095
311.00	0.23208
312.00	0.23332
313.00	0.23491
314.00	0.23673
315.00	0.23898
316.00	0.24148
317.00	0.24443
318.00	0.24776
319.00	0.25151
320.00	0.25545
321.00	0.25984
322.00	0.26451
323.00	0.26979
324.00	0.27507
325.00	0.28069
326.00	0.28668
327.00	0.29264
328.00	0.29901
329.00	0.30547
330.00	0.31217
331.00	0.31884
332.00	0.32580
333.00	0.33281
334.00	0.33996
335.00	0.34696
336.00	0.35407
337.00	0.36144
338.00	0.36871
339.00	0.37572
340.00	0.38301
341.00	0.39004
342.00	0.39704
343.00	0.40402
344.00	0.41075
345.00	0.41737
346.00	0.42379
347.00	0.42991
348.00	0.43565
349.00	0.44123
350.00	0.44632
351.00	0.45101
352.00	0.45527
353.00	0.45887
354.00	0.46229
355.00	0.46502
356.00	0.46717
357.00	0.46868
358.00	0.46958
359.00	0.46983
360.00	0.46953
361.00	0.46858
362.00	0.46660
363.00	0.46401
364.00	0.46048
365.00	0.45649
366.00	0.45152
367.00	0.44593
368.00	0.43961
369.00	0.43253
370.00	0.42461
371.00	0.41614
372.00	0.40711
373.00	0.39761
374.00	0.38740
375.00	0.37678
376.00	0.36567
377.00	0.35428
378.00	0.34224
379.00	0.32993
380.00	0.31761
381.00	0.30503
382.00	0.29200
383.00	0.27894
384.00	0.26569
385.00	0.25236
386.00	0.23889
387.00	0.22546
388.00	0.21250
389.00	0.19985
390.00	0.18689
391.00	0.17420
392.00	0.16207
393.00	0.15036
394.00	0.13937
395.00	0.12859
396.00	0.11820
397.00	0.10827
398.00	0.098992
399.00	0.090437
400.00	0.082529
401.00	0.074908
402.00	0.067804
403.00	0.061210
404.00	0.055202
405.00	0.049550
406.00	0.044747
407.00	0.040358
408.00	0.036120
409.00	0.032388
410.00	0.029003
411.00	0.026216
412.00	0.023361
413.00	0.020867
414.00	0.018865
415.00	0.017077
416.00	0.015343
417.00	0.013914
418.00	0.012742
419.00	0.011527
420.00	0.010606
421.00	0.0097503
422.00	0.0089062
423.00	0.0082817
424.00	0.0076685
425.00	0.0072048
426.00	0.0068533
427.00	0.0064359
428.00	0.0060572
429.00	0.0059516
430.00	0.0055022
431.00	0.0053270
432.00	0.0052132
433.00	0.0050565
434.00	0.0047473
435.00	0.0046953
436.00	0.0045000
437.00	0.0043949
438.00	0.0042815
439.00	0.0041960
440.00	0.0040393
441.00	0.0039512
442.00	0.0038126
443.00	0.0037461
444.00	0.0035529
445.00	0.0034669
446.00	0.0034653
447.00	0.0033020
448.00	0.0032391
449.00	0.0031314
450.00	0.0030727
451.00	0.0030593
452.00	0.0028681
453.00	0.0028006
454.00	0.0027496
455.00	0.0026517
456.00	0.0026372
457.00	0.0025115
458.00	0.0024270
459.00	0.0025069
460.00	0.0023971
461.00	0.0023672
462.00	0.0022982
463.00	0.0022348
464.00	0.0021462
465.00	0.0021570
466.00	0.0020498
467.00	0.0019864
468.00	0.0019504
469.00	0.0019437
470.00	0.0019236
471.00	0.0019246
472.00	0.0018860
473.00	0.0017360
474.00	0.0017509
475.00	0.0017602
476.00	0.0016963
477.00	0.0017525
478.00	0.0016747
479.00	0.0016721
480.00	0.0017633
481.00	0.0017376
482.00	0.0016804
483.00	0.0016294
484.00	0.0014531
485.00	0.0014974
486.00	0.0015982
487.00	0.0015052
488.00	0.0016484
489.00	0.0014351
490.00	0.0014696
491.00	0.0014212
492.00	0.0013851
493.00	0.0013835
494.00	0.0013006
495.00	0.0013552
496.00	0.0014804
497.00	0.0013001
498.00	0.0013645
499.00	0.0013382
500.00	0.0012583
