Wavelength (nm)	P01 abs N
200.00	1.0297
201.00	1.0222
202.00	1.0190
203.00	1.0182
204.00	1.0162
205.00	1.0162
206.00	1.0152
207.00	1.0092
208.00	1.0000
209.00	0.99060
210.00	0.97842
211.00	0.96031
212.00	0.93801
213.00	0.91595
214.00	0.89693
215.00	0.87932
216.00	0.86142
217.00	0.84408
218.00	0.82688
219.00	0.81023
220.00	0.79305
221.00	0.77485
222.00	0.75461
223.00	0.73267
224.00	0.70729
225.00	0.67935
226.00	0.64837
227.00	0.61618
228.00	0.58229
229.00	0.54893
230.00	0.51543
231.00	0.48341
232.00	0.45339
233.00	0.42430
234.00	0.39702
235.00	0.37076
236.00	0.34608
237.00	0.32200
238.00	0.29894
239.00	0.27717
240.00	0.25606
241.00	0.23573
242.00	0.21660
243.00	0.19806
244.00	0.18052
245.00	0.16417
246.00	0.14850
247.00	0.13395
248.00	0.12045
249.00	0.10813
250.00	0.096795
251.00	0.086521
252.00	0.077669
253.00	0.069831
254.00	0.063024
255.00	0.057114
256.00	0.052169
257.00	0.048140
258.00	0.044574
259.00	0.041298
260.00	0.037897
261.00	0.034946
262.00	0.032646
263.00	0.030922
264.00	0.029112
265.00	0.026854
266.00	0.023709
267.00	0.020288
268.00	0.017577
269.00	0.016053
270.00	0.015258
271.00	0.014186
272.00	0.012191
273.00	0.0095937
274.00	0.0070624
275.00	0.0051645
276.00	0.0037819
277.00	0.0028576
278.00	0.0022500
279.00	0.0018290
280.00	0.0015951
281.00	0.0012769
282.00	0.0011642
283.00	0.0011380
284.00	0.0010074
285.00	0.00095183
286.00	0.00092823
287.00	0.00087318
288.00	0.00085536
289.00	0.00082390
290.00	0.00078668
291.00	0.00081446
292.00	0.00081708
293.00	0.00083229
294.00	0.00083753
295.00	0.00077304
296.00	0.00081289
297.00	0.00080555
298.00	0.00087056
299.00	0.00078458
300.00	0.00086322
