Wavelength (nm)	P02 abs N
300.00	0.35123
300.20	0.35294
300.40	0.35431
300.60	0.35597
300.80	0.35705
301.00	0.35863
301.20	0.35997
301.40	0.36146
301.60	0.36265
301.80	0.36452
302.00	0.36490
302.20	0.36600
302.40	0.36694
302.60	0.36866
302.80	0.36989
303.00	0.37019
303.20	0.37141
303.40	0.37260
303.60	0.37311
303.80	0.37452
304.00	0.37539
304.20	0.37611
304.40	0.37744
304.60	0.37779
304.80	0.37832
305.00	0.37948
305.20	0.38002
305.40	0.37983
305.60	0.38197
305.80	0.38316
306.00	0.38290
306.20	0.38361
306.40	0.38480
306.60	0.38484
306.80	0.38520
307.00	0.38612
307.20	0.38641
307.40	0.38703
307.60	0.38684
307.80	0.38796
308.00	0.38771
308.20	0.38822
308.40	0.38904
308.60	0.38859
308.80	0.38893
309.00	0.38845
309.20	0.38876
309.40	0.38904
309.60	0.38850
309.80	0.38871
310.00	0.38834
310.20	0.38871
310.40	0.38902
310.60	0.38850
310.80	0.38788
311.00	0.38739
311.20	0.38696
311.40	0.38650
311.60	0.38599
311.80	0.38548
312.00	0.38466
312.20	0.38517
312.40	0.38453
312.60	0.38307
312.80	0.38221
313.00	0.38266
313.20	0.38055
313.40	0.38036
313.60	0.37962
313.80	0.37798
314.00	0.37805
314.20	0.37704
314.40	0.37516
314.60	0.37476
314.80	0.37425
315.00	0.37274
315.20	0.37195
315.40	0.37053
315.60	0.36825
315.80	0.36808
316.00	0.36725
316.20	0.36630
316.40	0.36424
316.60	0.36277
316.80	0.36148
317.00	0.36072
317.20	0.35897
317.40	0.35742
317.60	0.35666
317.80	0.35381
318.00	0.35325
318.20	0.35227
318.40	0.35056
318.60	0.34848
318.80	0.34707
319.00	0.34513
319.20	0.34390
319.40	0.34216
319.60	0.34021
319.80	0.33867
320.00	0.33763
320.20	0.33627
320.40	0.33368
320.60	0.33214
320.80	0.33086
321.00	0.32816
321.20	0.32673
321.40	0.32464
321.60	0.32314
321.80	0.32186
322.00	0.31944
322.20	0.31768
322.40	0.31604
322.60	0.31386
322.80	0.31127
323.00	0.30983
323.20	0.30812
323.40	0.30607
323.60	0.30432
323.80	0.30135
324.00	0.29986
324.20	0.29722
324.40	0.29558
324.60	0.29335
324.80	0.29114
325.00	0.28972
325.20	0.28694
325.40	0.28500
325.60	0.28265
325.80	0.28084
326.00	0.27833
326.20	0.27616
326.40	0.27431
326.60	0.27182
326.80	0.26951
327.00	0.26792
327.20	0.26543
327.40	0.26341
327.60	0.26064
327.80	0.25895
328.00	0.25686
328.20	0.25435
328.40	0.25181
328.60	0.25034
328.80	0.24761
329.00	0.24535
329.20	0.24347
329.40	0.24139
329.60	0.23934
329.80	0.23694
330.00	0.23457
330.20	0.23289
330.40	0.22970
330.60	0.22861
330.80	0.22650
331.00	0.22425
331.20	0.22178
331.40	0.21971
331.60	0.21812
331.80	0.21587
332.00	0.21345
332.20	0.21180
332.40	0.21053
332.60	0.20742
332.80	0.20563
333.00	0.20366
333.20	0.20184
333.40	0.20005
333.60	0.19849
333.80	0.19695
334.00	0.19488
334.20	0.19333
334.40	0.19193
334.60	0.19068
334.80	0.18804
335.00	0.18628
335.20	0.18489
335.40	0.18286
335.60	0.18139
335.80	0.17949
336.00	0.17864
336.20	0.17714
336.40	0.17581
