Wavelength (nm)	P03 abs N
350.00	0.21551
350.25	0.21523
350.50	0.21526
350.75	0.21194
351.00	0.20995
351.25	0.20703
351.50	0.20835
351.75	0.20542
352.00	0.20693
352.25	0.20985
352.50	0.20544
352.75	0.20557
353.00	0.20404
353.25	0.20126
353.50	0.20106
353.75	0.20156
354.00	0.19948
354.25	0.19631
354.50	0.19693
354.75	0.19437
355.00	0.19433
355.25	0.19264
355.50	0.19046
355.75	0.19010
356.00	0.18794
356.25	0.18423
356.50	0.18516
356.75	0.18677
357.00	0.18149
357.25	0.18019
357.50	0.17946
357.75	0.17714
358.00	0.17863
358.25	0.17839
358.50	0.17372
358.75	0.17717
359.00	0.17237
359.25	0.17198
359.50	0.16999
359.75	0.16771
360.00	0.16543
360.25	0.16584
360.50	0.16288
360.75	0.16401
361.00	0.16305
361.25	0.15786
361.50	0.15927
361.75	0.15896
362.00	0.15893
362.25	0.15540
362.50	0.15608
362.75	0.15171
363.00	0.15042
363.25	0.15014
363.50	0.15028
363.75	0.14844
364.00	0.14434
364.25	0.14378
364.50	0.14466
364.75	0.14385
365.00	0.14047
365.25	0.14191
365.50	0.14175
365.75	0.13843
366.00	0.13606
366.25	0.13494
366.50	0.13379
366.75	0.13383
367.00	0.13147
367.25	0.13003
367.50	0.13109
367.75	0.12871
368.00	0.12847
368.25	0.12738
368.50	0.12560
368.75	0.12566
369.00	0.12297
369.25	0.12354
369.50	0.12280
369.75	0.12007
370.00	0.11991
370.25	0.11626
370.50	0.11432
370.75	0.11405
371.00	0.11192
371.25	0.11398
371.50	0.11238
371.75	0.11114
372.00	0.11189
372.25	0.10911
372.50	0.10597
372.75	0.10827
373.00	0.10629
373.25	0.10572
373.50	0.10185
373.75	0.10396
374.00	0.10242
374.25	0.10379
374.50	0.10093
374.75	0.098879
375.00	0.10029
375.25	0.099509
375.50	0.099696
375.75	0.099574
376.00	0.095267
376.25	0.097882
376.50	0.096004
376.75	0.095341
377.00	0.094490
377.25	0.093295
377.50	0.096820
377.75	0.090788
378.00	0.092872
378.25	0.090700
378.50	0.091550
378.75	0.088511
379.00	0.090020
379.25	0.088640
379.50	0.084353
379.75	0.086802
380.00	0.088110
380.25	0.087505
380.50	0.084491
380.75	0.086359
381.00	0.084235
381.25	0.083325
381.50	0.083341
381.75	0.083676
382.00	0.083358
382.25	0.084182
382.50	0.083021
382.75	0.080166
383.00	0.080165
383.25	0.080294
383.50	0.080920
383.75	0.081369
384.00	0.078568
384.25	0.078266
384.50	0.078956
384.75	0.077699
385.00	0.074899
385.25	0.074716
385.50	0.076517
385.75	0.073578
386.00	0.074259
386.25	0.073182
386.50	0.073482
386.75	0.074754
387.00	0.075055
387.25	0.073177
387.50	0.071253
387.75	0.072599
388.00	0.070435
388.25	0.069081
388.50	0.069149
388.75	0.069191
389.00	0.069405
389.25	0.068022
389.50	0.067333
389.75	0.065434
390.00	0.063716
390.25	0.065566
390.50	0.064576
390.75	0.064039
391.00	0.061478
391.25	0.060059
391.50	0.062251
391.75	0.060906
392.00	0.059261
392.25	0.059912
392.50	0.058793
392.75	0.058516
393.00	0.056012
393.25	0.056144
393.50	0.054915
393.75	0.054796
394.00	0.053246
394.25	0.052074
394.50	0.052379
394.75	0.051532
395.00	0.049522
395.25	0.046283
395.50	0.050346
395.75	0.047082
396.00	0.044146
396.25	0.044144
396.50	0.044057
396.75	0.042704
397.00	0.042262
397.25	0.043127
397.50	0.043208
397.75	0.040048
398.00	0.038981
398.25	0.039530
398.50	0.040544
398.75	0.037177
399.00	0.035949
399.25	0.037139
399.50	0.037910
399.75	0.032154
400.00	0.035615
400.25	0.033094
400.50	0.033521
400.75	0.031745
401.00	0.030933
401.25	0.031722
401.50	0.028546
401.75	0.031723
402.00	0.030882
402.25	0.029972
402.50	0.028448
402.75	0.028796
403.00	0.028782
403.25	0.028797
403.50	0.028513
403.75	0.027558
404.00	0.025853
404.25	0.025101
404.50	0.023419
404.75	0.023879
405.00	0.024009
405.25	0.022497
405.50	0.024734
405.75	0.022114
406.00	0.023274
406.25	0.020677
406.50	0.022456
406.75	0.022076
407.00	0.021083
407.25	0.021575
407.50	0.021348
407.75	0.018018
408.00	0.020177
408.25	0.021542
408.50	0.019906
408.75	0.018535
409.00	0.020241
409.25	0.018311
409.50	0.018878
409.75	0.017397
410.00	0.018103
410.25	0.017409
410.50	0.020520
410.75	0.019164
411.00	0.018458
411.25	0.018826
411.50	0.018774
411.75	0.017736
412.00	0.018118
412.25	0.017713
412.50	0.017411
412.75	0.018376
413.00	0.017523
413.25	0.015134
413.50	0.016378
413.75	0.017436
414.00	0.017075
414.25	0.017664
414.50	0.016699
414.75	0.016467
415.00	0.018739
415.25	0.017138
415.50	0.015467
415.75	0.018992
416.00	0.016358
416.25	0.016197
416.50	0.017419
416.75	0.018953
417.00	0.018370
417.25	0.018562
417.50	0.017153
417.75	0.018229
418.00	0.017731
418.25	0.019090
418.50	0.018372
418.75	0.017973
419.00	0.018226
419.25	0.017875
419.50	0.017509
419.75	0.017935
420.00	0.018123
420.25	0.018943
420.50	0.019218
420.75	0.020444
421.00	0.018875
421.25	0.020309
421.50	0.020213
421.75	0.020972
422.00	0.020247
422.25	0.021725
422.50	0.020250
422.75	0.021582
423.00	0.021118
423.25	0.022448
423.50	0.021484
423.75	0.021145
424.00	0.020622
424.25	0.021925
424.50	0.023241
424.75	0.023964
425.00	0.023526
425.25	0.024259
425.50	0.023058
425.75	0.024823
426.00	0.025907
426.25	0.023080
426.50	0.024700
426.75	0.023855
427.00	0.023983
427.25	0.024378
427.50	0.025730
427.75	0.026034
428.00	0.025380
428.25	0.026938
428.50	0.025949
428.75	0.026033
429.00	0.027112
429.25	0.026512
429.50	0.026862
429.75	0.028945
430.00	0.027669
430.25	0.028314
430.50	0.029650
430.75	0.029146
431.00	0.027873
431.25	0.030814
431.50	0.029845
431.75	0.030333
432.00	0.031430
432.25	0.033355
432.50	0.030997
432.75	0.032897
433.00	0.033139
433.25	0.031475
433.50	0.033782
433.75	0.033331
434.00	0.034654
434.25	0.036239
434.50	0.034321
434.75	0.037136
435.00	0.035890
435.25	0.037147
435.50	0.038029
435.75	0.037329
436.00	0.038822
436.25	0.039905
436.50	0.041220
436.75	0.040668
437.00	0.040325
437.25	0.040458
437.50	0.043124
437.75	0.043403
438.00	0.044507
438.25	0.045024
438.50	0.043421
438.75	0.045977
439.00	0.047437
439.25	0.046289
439.50	0.049146
439.75	0.048202
440.00	0.049730
440.25	0.049873
440.50	0.050185
440.75	0.051315
441.00	0.051917
441.25	0.053935
441.50	0.053574
441.75	0.054485
442.00	0.055872
442.25	0.055393
442.50	0.057275
442.75	0.058322
443.00	0.058357
443.25	0.058272
443.50	0.060993
443.75	0.062254
444.00	0.062770
444.25	0.062184
444.50	0.062196
444.75	0.064525
445.00	0.065991
445.25	0.065965
445.50	0.067067
445.75	0.069091
446.00	0.069134
446.25	0.068770
446.50	0.071218
446.75	0.071456
447.00	0.071576
447.25	0.073256
447.50	0.076086
447.75	0.075597
448.00	0.076811
448.25	0.078608
448.50	0.079021
448.75	0.080509
449.00	0.081698
449.25	0.083913
449.50	0.082346
449.75	0.085527
450.00	0.087311
450.25	0.087002
450.50	0.088844
450.75	0.088645
451.00	0.092017
451.25	0.092097
451.50	0.091850
451.75	0.094277
452.00	0.096678
452.25	0.096112
452.50	0.096565
452.75	0.10007
453.00	0.10033
453.25	0.10149
453.50	0.10190
453.75	0.10356
454.00	0.10469
454.25	0.10680
