Wavelength (nm)	P-3, 865479-43-2, BDPY (phenyl).ems
495.00	0.045116
496.00	0.059994
497.00	0.079141
498.00	0.10084
499.00	0.12909
500.00	0.16052
501.00	0.19887
502.00	0.23752
503.00	0.28757
504.00	0.33694
505.00	0.39826
506.00	0.45269
507.00	0.51538
508.00	0.57250
509.00	0.63490
510.00	0.68388
511.00	0.73960
512.00	0.78525
513.00	0.83311
514.00	0.87229
515.00	0.90783
516.00	0.93649
517.00	0.95978
518.00	0.97794
519.00	0.99234
520.00	0.99883
521.00	1.0000
522.00	0.99635
523.00	0.99174
524.00	0.97990
525.00	0.96292
526.00	0.94888
527.00	0.92668
528.00	0.90549
529.00	0.87882
530.00	0.85511
531.00	0.82934
532.00	0.80266
533.00	0.77807
534.00	0.75692
535.00	0.73302
536.00	0.71374
537.00	0.69269
538.00	0.67453
539.00	0.65430
540.00	0.63938
541.00	0.61786
542.00	0.60440
543.00	0.58812
544.00	0.57368
545.00	0.55813
546.00	0.54608
547.00	0.53246
548.00	0.51971
549.00	0.50634
550.00	0.49410
551.00	0.48036
552.00	0.47016
553.00	0.45547
554.00	0.44501
555.00	0.43013
556.00	0.41913
557.00	0.40662
558.00	0.39664
559.00	0.38351
560.00	0.37378
561.00	0.36168
562.00	0.35208
563.00	0.34094
564.00	0.33145
565.00	0.31915
566.00	0.30989
567.00	0.29902
568.00	0.29013
569.00	0.28061
570.00	0.26990
571.00	0.26005
572.00	0.25049
573.00	0.24079
574.00	0.23137
575.00	0.22131
576.00	0.21326
577.00	0.20391
578.00	0.19595
579.00	0.18807
580.00	0.18108
581.00	0.17350
582.00	0.16754
583.00	0.16110
584.00	0.15549
585.00	0.14876
586.00	0.14508
587.00	0.13887
588.00	0.13408
589.00	0.12932
590.00	0.12476
591.00	0.11923
592.00	0.11588
593.00	0.11136
594.00	0.10727
595.00	0.10345
596.00	0.099777
597.00	0.096126
598.00	0.092838
599.00	0.089290
600.00	0.086201
601.00	0.082905
602.00	0.079558
603.00	0.076718
604.00	0.074025
605.00	0.071361
606.00	0.068428
607.00	0.066539
608.00	0.064199
609.00	0.061678
610.00	0.058906
611.00	0.056764
612.00	0.054726
613.00	0.052867
614.00	0.050584
615.00	0.048774
616.00	0.047220
617.00	0.045020
618.00	0.043557
619.00	0.041967
620.00	0.040354
621.00	0.038887
622.00	0.037431
623.00	0.036215
624.00	0.034694
625.00	0.033262
626.00	0.031635
627.00	0.030040
628.00	0.028908
629.00	0.027484
630.00	0.026606
631.00	0.025272
632.00	0.024585
633.00	0.023435
634.00	0.022552
635.00	0.021804
636.00	0.020413
637.00	0.019788
638.00	0.018731
639.00	0.018026
640.00	0.017243
641.00	0.016881
642.00	0.015785
643.00	0.015278
644.00	0.014622
645.00	0.014245
646.00	0.013489
647.00	0.013132
648.00	0.012992
649.00	0.011831
650.00	0.011940
651.00	0.011048
652.00	0.010891
653.00	0.010067
654.00	0.0099920
655.00	0.0095119
656.00	0.0095278
657.00	0.0086757
658.00	0.0084952
659.00	0.0080556
660.00	0.0076486
661.00	0.0072405
662.00	0.0073620
663.00	0.0068912
664.00	0.0067233
665.00	0.0064637
666.00	0.0062019
667.00	0.0061718
668.00	0.0055011
669.00	0.0055074
670.00	0.0052458
671.00	0.0051364
672.00	0.0053566
673.00	0.0048491
674.00	0.0048904
675.00	0.0045153
676.00	0.0041383
677.00	0.0041587
678.00	0.0036856
679.00	0.0036573
680.00	0.0036713
681.00	0.0033918
682.00	0.0034120
683.00	0.0033111
684.00	0.0032238
685.00	0.0029044
686.00	0.0029036
687.00	0.0029516
688.00	0.0025932
689.00	0.0022026
690.00	0.0026229
691.00	0.0022970
692.00	0.0023408
693.00	0.0022324
694.00	0.0020449
695.00	0.0020824
696.00	0.0019475
697.00	0.0011905
698.00	0.0015640
699.00	0.0017443
700.00	0.0012728
