Wavelength (nm)	P-4, 8641167, BDPY (4-iodophenyl).ems
490.00	0.010838
491.00	0.0049984
492.00	0.0031561
493.00	0.0036363
494.00	0.0054143
495.00	0.0080391
496.00	0.011054
497.00	0.015502
498.00	0.021086
499.00	0.028454
500.00	0.037958
501.00	0.050788
502.00	0.065042
503.00	0.085516
504.00	0.10904
505.00	0.14128
506.00	0.17497
507.00	0.21783
508.00	0.26166
509.00	0.31495
510.00	0.36314
511.00	0.42249
512.00	0.47576
513.00	0.53672
514.00	0.59133
515.00	0.65298
516.00	0.70601
517.00	0.76154
518.00	0.80715
519.00	0.85215
520.00	0.88836
521.00	0.92417
522.00	0.94989
523.00	0.97188
524.00	0.98817
525.00	0.99743
526.00	1.0000
527.00	0.99999
528.00	0.99213
529.00	0.97987
530.00	0.96403
531.00	0.94042
532.00	0.91780
533.00	0.88883
534.00	0.86534
535.00	0.83426
536.00	0.80762
537.00	0.77552
538.00	0.74928
539.00	0.71669
540.00	0.69012
541.00	0.65902
542.00	0.63455
543.00	0.60752
544.00	0.58457
545.00	0.56037
546.00	0.54086
547.00	0.52072
548.00	0.50228
549.00	0.48577
550.00	0.46961
551.00	0.45512
552.00	0.44404
553.00	0.43046
554.00	0.41883
555.00	0.40791
556.00	0.39852
557.00	0.38987
558.00	0.38254
559.00	0.37290
560.00	0.36638
561.00	0.35834
562.00	0.35111
563.00	0.34211
564.00	0.33502
565.00	0.32641
566.00	0.31857
567.00	0.30957
568.00	0.30159
569.00	0.29260
570.00	0.28391
571.00	0.27464
572.00	0.26573
573.00	0.25626
574.00	0.24708
575.00	0.23807
576.00	0.22968
577.00	0.21928
578.00	0.21049
579.00	0.20097
580.00	0.19300
581.00	0.18348
582.00	0.17670
583.00	0.16855
584.00	0.16206
585.00	0.15441
586.00	0.14831
587.00	0.14139
588.00	0.13588
589.00	0.12883
590.00	0.12390
591.00	0.11812
592.00	0.11393
593.00	0.10881
594.00	0.10413
595.00	0.10007
596.00	0.096287
597.00	0.092704
598.00	0.089065
599.00	0.085246
600.00	0.082447
601.00	0.079118
602.00	0.076473
603.00	0.073276
604.00	0.070928
605.00	0.068477
606.00	0.066127
607.00	0.064078
608.00	0.062197
609.00	0.059827
610.00	0.058520
611.00	0.056303
612.00	0.054707
613.00	0.052568
614.00	0.051144
615.00	0.049091
616.00	0.047789
617.00	0.046526
618.00	0.044914
619.00	0.043335
620.00	0.041868
621.00	0.040712
622.00	0.039410
623.00	0.038236
624.00	0.037148
625.00	0.035434
626.00	0.034005
627.00	0.032802
628.00	0.031248
629.00	0.029720
630.00	0.028786
631.00	0.027680
632.00	0.026596
633.00	0.025350
634.00	0.024580
635.00	0.023431
636.00	0.022407
637.00	0.021343
638.00	0.020395
639.00	0.019546
640.00	0.018812
641.00	0.017986
642.00	0.017250
643.00	0.016434
644.00	0.015789
645.00	0.015078
646.00	0.014483
647.00	0.013905
648.00	0.013313
649.00	0.012796
650.00	0.012204
651.00	0.011459
652.00	0.011090
653.00	0.010549
654.00	0.010235
655.00	0.0097606
656.00	0.0092951
657.00	0.0089515
658.00	0.0086703
659.00	0.0081564
660.00	0.0077665
661.00	0.0074923
662.00	0.0072302
663.00	0.0068590
664.00	0.0066385
665.00	0.0064086
666.00	0.0060095
667.00	0.0058651
668.00	0.0056196
669.00	0.0054021
670.00	0.0051889
671.00	0.0050051
672.00	0.0048023
673.00	0.0043919
674.00	0.0044065
675.00	0.0042187
676.00	0.0040556
677.00	0.0038530
678.00	0.0036356
679.00	0.0035147
680.00	0.0033185
681.00	0.0032361
682.00	0.0030058
683.00	0.0028704
684.00	0.0027335
685.00	0.0025404
686.00	0.0024669
687.00	0.0023505
688.00	0.0023197
689.00	0.0021164
690.00	0.0021331
691.00	0.0020493
692.00	0.0018854
693.00	0.0016887
694.00	0.0016861
695.00	0.0015453
696.00	0.0015289
697.00	0.0012668
698.00	0.0014228
699.00	0.0012118
700.00	0.0011313
