Wavelength (nm)	P-5, 9294810, BDPY (2-trimethylsilylethynyl).ems
495.00	0.00054304
496.00	0.00097666
497.00	0.0017142
498.00	0.0027606
499.00	0.0040033
500.00	0.0060150
501.00	0.0084963
502.00	0.011267
503.00	0.015757
504.00	0.021214
505.00	0.029214
506.00	0.038098
507.00	0.050340
508.00	0.064339
509.00	0.082744
510.00	0.10124
511.00	0.12549
512.00	0.15053
513.00	0.18338
514.00	0.21464
515.00	0.25615
516.00	0.29559
517.00	0.34195
518.00	0.38794
519.00	0.43848
520.00	0.48626
521.00	0.54071
522.00	0.59116
523.00	0.64459
524.00	0.69556
525.00	0.74739
526.00	0.79141
527.00	0.83401
528.00	0.87133
529.00	0.90930
530.00	0.93730
531.00	0.96146
532.00	0.97847
533.00	0.99065
534.00	0.99786
535.00	0.99956
536.00	1.00000
537.00	0.99125
538.00	0.98270
539.00	0.96783
540.00	0.95470
541.00	0.93249
542.00	0.91202
543.00	0.88622
544.00	0.86119
545.00	0.83379
546.00	0.80900
547.00	0.77926
548.00	0.75198
549.00	0.72607
550.00	0.69698
551.00	0.66995
552.00	0.64674
553.00	0.61765
554.00	0.59407
555.00	0.56911
556.00	0.54861
557.00	0.52648
558.00	0.50934
559.00	0.49113
560.00	0.47620
561.00	0.46050
562.00	0.44774
563.00	0.43325
564.00	0.42179
565.00	0.40870
566.00	0.39898
567.00	0.38861
568.00	0.38118
569.00	0.36948
570.00	0.36015
571.00	0.35013
572.00	0.34086
573.00	0.33163
574.00	0.32334
575.00	0.31435
576.00	0.30580
577.00	0.29632
578.00	0.28777
579.00	0.27855
580.00	0.27089
581.00	0.26194
582.00	0.25527
583.00	0.24634
584.00	0.23918
585.00	0.23070
586.00	0.22334
587.00	0.21568
588.00	0.20837
589.00	0.19981
590.00	0.19272
591.00	0.18556
592.00	0.17920
593.00	0.17221
594.00	0.16568
595.00	0.15961
596.00	0.15339
597.00	0.14626
598.00	0.14104
599.00	0.13534
600.00	0.13044
601.00	0.12439
602.00	0.11978
603.00	0.11393
604.00	0.10944
605.00	0.10475
606.00	0.10112
607.00	0.097145
608.00	0.093744
609.00	0.090012
610.00	0.086972
611.00	0.083396
612.00	0.080634
613.00	0.077720
614.00	0.075054
615.00	0.071350
616.00	0.069685
617.00	0.067094
618.00	0.065325
619.00	0.062785
620.00	0.060732
621.00	0.058869
622.00	0.057291
623.00	0.055437
624.00	0.053663
625.00	0.052012
626.00	0.050122
627.00	0.048336
628.00	0.046880
629.00	0.045026
630.00	0.043235
631.00	0.042642
632.00	0.040782
633.00	0.039426
634.00	0.038382
635.00	0.036706
636.00	0.035894
637.00	0.034429
638.00	0.033149
639.00	0.031997
640.00	0.031152
641.00	0.029770
642.00	0.028750
643.00	0.027778
644.00	0.026854
645.00	0.026118
646.00	0.025157
647.00	0.024142
648.00	0.023283
649.00	0.022301
650.00	0.021428
651.00	0.020421
652.00	0.019621
653.00	0.019142
654.00	0.018398
655.00	0.017369
656.00	0.016853
657.00	0.016150
658.00	0.015520
659.00	0.014946
660.00	0.014231
661.00	0.013821
662.00	0.013316
663.00	0.012844
664.00	0.012240
665.00	0.011540
666.00	0.011512
667.00	0.010594
668.00	0.010328
669.00	0.0099967
670.00	0.0098804
671.00	0.0093248
672.00	0.0090282
673.00	0.0086701
674.00	0.0084536
675.00	0.0083028
676.00	0.0076747
677.00	0.0076242
678.00	0.0074496
679.00	0.0067879
680.00	0.0069380
681.00	0.0064601
682.00	0.0064925
683.00	0.0062442
684.00	0.0059331
685.00	0.0053942
686.00	0.0055429
687.00	0.0052176
688.00	0.0050157
689.00	0.0048642
690.00	0.0047795
691.00	0.0045780
692.00	0.0044391
693.00	0.0042394
694.00	0.0043273
695.00	0.0040208
696.00	0.0038354
697.00	0.0037748
698.00	0.0035767
699.00	0.0034754
700.00	0.0034602
