Wavelength (nm)	P-6, 11327052, Bis(5-phenyldipyrrinato)zinc.ems
470.00	0.0054000
470.50	0.010310
471.00	0.012360
471.50	0.0087300
472.00	0.010200
472.50	0.020090
473.00	0.023110
473.50	0.018890
474.00	0.023480
474.50	0.017800
475.00	0.031960
475.50	0.038060
476.00	0.037710
476.50	0.035890
477.00	0.054000
477.50	0.050320
478.00	0.069260
478.50	0.071900
479.00	0.080570
479.50	0.087170
480.00	0.10190
480.50	0.11177
481.00	0.11957
481.50	0.13216
482.00	0.14326
482.50	0.17245
483.00	0.16475
483.50	0.21129
484.00	0.22339
484.50	0.24825
485.00	0.26432
485.50	0.30432
486.00	0.33543
486.50	0.35049
487.00	0.38545
487.50	0.42284
488.00	0.43319
488.50	0.48225
489.00	0.50505
489.50	0.53599
490.00	0.57665
490.50	0.59824
491.00	0.63396
491.50	0.67094
492.00	0.70771
492.50	0.73494
493.00	0.76760
493.50	0.78332
494.00	0.80761
494.50	0.84522
495.00	0.87129
495.50	0.87912
496.00	0.89503
496.50	0.92165
497.00	0.94572
497.50	0.95730
498.00	0.96323
498.50	0.97142
499.00	0.98332
499.50	0.99274
500.00	0.98153
500.50	1.0040
501.00	0.99998
501.50	0.99641
502.00	0.97408
502.50	0.99135
503.00	0.97794
503.50	0.96783
504.00	0.95807
504.50	0.96621
505.00	0.93646
505.50	0.94732
506.00	0.92454
506.50	0.91486
507.00	0.91725
507.50	0.89677
508.00	0.87963
508.50	0.87000
509.00	0.86541
509.50	0.84107
510.00	0.83571
510.50	0.80814
511.00	0.79518
511.50	0.79213
512.00	0.78463
512.50	0.79563
513.00	0.75760
513.50	0.75170
514.00	0.74564
514.50	0.72386
515.00	0.71337
515.50	0.72534
516.00	0.69595
516.50	0.67048
517.00	0.67095
517.50	0.66276
518.00	0.65126
518.50	0.64577
519.00	0.64464
519.50	0.64154
520.00	0.61983
520.50	0.61634
521.00	0.59970
521.50	0.59846
522.00	0.59117
522.50	0.57802
523.00	0.57354
523.50	0.56003
524.00	0.54000
524.50	0.54551
525.00	0.53584
525.50	0.52737
526.00	0.50830
526.50	0.51415
527.00	0.51705
527.50	0.49683
528.00	0.48128
528.50	0.48255
529.00	0.45959
529.50	0.47185
530.00	0.46251
