Wavelength (nm)	P07 abs N
300.00	0.059220
300.50	0.057051
301.00	0.055102
301.50	0.052874
302.00	0.051204
302.50	0.049795
303.00	0.048376
303.50	0.047286
304.00	0.046187
304.50	0.045057
305.00	0.044418
305.50	0.044018
306.00	0.043408
306.50	0.043088
307.00	0.042819
307.50	0.042459
308.00	0.042289
308.50	0.042419
309.00	0.042549
309.50	0.042109
310.00	0.041979
310.50	0.042039
311.00	0.042239
311.50	0.042299
312.00	0.042359
312.50	0.042699
313.00	0.042669
313.50	0.043178
314.00	0.043248
314.50	0.043528
315.00	0.043728
315.50	0.044268
316.00	0.044408
316.50	0.045187
317.00	0.045257
317.50	0.045707
318.00	0.046387
318.50	0.046847
319.00	0.047086
319.50	0.047456
320.00	0.047976
320.50	0.048496
321.00	0.049165
321.50	0.049645
322.00	0.049955
322.50	0.050375
323.00	0.051034
323.50	0.051614
324.00	0.052394
324.50	0.052804
325.00	0.053023
325.50	0.053983
326.00	0.054373
326.50	0.055152
327.00	0.055522
327.50	0.056212
328.00	0.056772
328.50	0.057371
329.00	0.058311
329.50	0.058821
330.00	0.059240
330.50	0.059940
331.00	0.060390
331.50	0.060980
332.00	0.061709
332.50	0.062229
333.00	0.062759
333.50	0.063398
334.00	0.063918
334.50	0.064598
335.00	0.064908
335.50	0.065317
336.00	0.065917
336.50	0.066107
337.00	0.066877
337.50	0.067196
338.00	0.067626
338.50	0.067986
339.00	0.068306
339.50	0.068436
340.00	0.068776
340.50	0.069285
341.00	0.069055
341.50	0.069525
342.00	0.069465
342.50	0.069485
343.00	0.069755
343.50	0.069995
344.00	0.070145
344.50	0.070245
345.00	0.069765
345.50	0.070435
346.00	0.070445
346.50	0.070525
347.00	0.070215
347.50	0.070445
348.00	0.070505
348.50	0.070295
349.00	0.070485
349.50	0.070725
350.00	0.070545
350.50	0.070495
351.00	0.070735
351.50	0.070175
352.00	0.070395
352.50	0.069685
353.00	0.069425
353.50	0.068965
354.00	0.068676
354.50	0.068786
355.00	0.068386
355.50	0.067656
356.00	0.067336
356.50	0.066737
357.00	0.066317
357.50	0.065597
358.00	0.064658
358.50	0.064078
359.00	0.063578
359.50	0.062559
360.00	0.061909
360.50	0.061279
361.00	0.061049
361.50	0.059860
362.00	0.059140
362.50	0.058441
363.00	0.057651
363.50	0.056822
364.00	0.055882
364.50	0.055252
365.00	0.054343
365.50	0.053363
366.00	0.052524
366.50	0.051854
367.00	0.051104
367.50	0.050195
368.00	0.049515
368.50	0.048896
369.00	0.048506
369.50	0.047536
370.00	0.046947
370.50	0.046167
371.00	0.045737
371.50	0.045287
372.00	0.044798
372.50	0.044328
373.00	0.043708
373.50	0.043238
374.00	0.042579
374.50	0.042309
375.00	0.041769
375.50	0.041229
376.00	0.040600
376.50	0.040160
377.00	0.039710
377.50	0.039150
378.00	0.038471
378.50	0.038081
379.00	0.037501
379.50	0.036862
380.00	0.036392
380.50	0.035622
381.00	0.035032
381.50	0.034443
382.00	0.033813
382.50	0.032874
383.00	0.032274
383.50	0.031504
384.00	0.030905
384.50	0.030125
385.00	0.029415
385.50	0.028776
386.00	0.028026
386.50	0.027226
387.00	0.026547
387.50	0.025797
388.00	0.025017
388.50	0.024368
389.00	0.023658
389.50	0.022849
390.00	0.022199
390.50	0.021549
391.00	0.020950
391.50	0.020290
392.00	0.019680
392.50	0.019130
393.00	0.018541
393.50	0.018091
394.00	0.017631
394.50	0.017101
395.00	0.016682
395.50	0.016212
396.00	0.015942
396.50	0.015512
397.00	0.015202
397.50	0.014943
398.00	0.014723
398.50	0.014433
399.00	0.014323
399.50	0.014043
400.00	0.014023
400.50	0.013873
401.00	0.013823
401.50	0.013853
402.00	0.013703
402.50	0.013783
403.00	0.013773
403.50	0.013913
404.00	0.013953
404.50	0.014113
405.00	0.014243
405.50	0.014463
406.00	0.014563
406.50	0.014813
407.00	0.015092
407.50	0.015282
408.00	0.015592
408.50	0.015962
409.00	0.016172
409.50	0.016532
410.00	0.016912
410.50	0.017251
411.00	0.017641
411.50	0.018081
412.00	0.018461
412.50	0.018891
413.00	0.019340
413.50	0.019630
414.00	0.020190
414.50	0.020600
415.00	0.021109
415.50	0.021699
416.00	0.022329
416.50	0.022859
417.00	0.023548
417.50	0.024208
418.00	0.024838
418.50	0.025547
419.00	0.026297
419.50	0.027066
420.00	0.027866
420.50	0.028586
421.00	0.029495
421.50	0.030385
422.00	0.031384
422.50	0.032254
423.00	0.033293
423.50	0.034393
424.00	0.035492
424.50	0.036712
425.00	0.037971
425.50	0.039230
426.00	0.040630
