Wavelength (nm)	P-7, 11327059, Bis(5-mesityldipyrrinato)zinc.ems
470.00	0.0062800
470.50	0.0074400
471.00	0.0096800
471.50	0.0090900
472.00	0.010550
472.50	0.011750
473.00	0.013700
473.50	0.015170
474.00	0.016970
474.50	0.018770
475.00	0.022150
475.50	0.024880
476.00	0.028400
476.50	0.031420
477.00	0.035940
477.50	0.042210
478.00	0.047830
478.50	0.056190
479.00	0.062570
479.50	0.070800
480.00	0.079670
480.50	0.087070
481.00	0.098650
481.50	0.11078
482.00	0.12403
482.50	0.14005
483.00	0.15430
483.50	0.17121
484.00	0.19201
484.50	0.21102
485.00	0.22824
485.50	0.25568
486.00	0.27616
486.50	0.30816
487.00	0.33336
487.50	0.36134
488.00	0.39443
488.50	0.42572
489.00	0.46122
489.50	0.49104
490.00	0.52862
490.50	0.56478
491.00	0.59545
491.50	0.63561
492.00	0.67547
492.50	0.70534
493.00	0.74134
493.50	0.77194
494.00	0.80286
494.50	0.83678
495.00	0.86214
495.50	0.88034
496.00	0.90891
496.50	0.92410
497.00	0.94421
497.50	0.95933
498.00	0.97238
498.50	0.97957
499.00	0.99044
499.50	0.98797
500.00	1.0000
500.50	0.99471
501.00	0.99150
501.50	0.99179
502.00	0.98522
502.50	0.97532
503.00	0.96259
503.50	0.96048
504.00	0.94099
504.50	0.93444
505.00	0.91818
505.50	0.90616
506.00	0.88802
506.50	0.87679
507.00	0.86061
507.50	0.85121
508.00	0.82881
508.50	0.81481
509.00	0.79587
509.50	0.77776
510.00	0.76412
510.50	0.74227
511.00	0.73076
511.50	0.71940
512.00	0.70235
512.50	0.68600
513.00	0.67706
513.50	0.66018
514.00	0.64302
514.50	0.63198
515.00	0.62165
515.50	0.60627
516.00	0.60090
516.50	0.58222
517.00	0.57800
517.50	0.56765
518.00	0.55383
518.50	0.53994
519.00	0.53520
519.50	0.51984
520.00	0.51890
520.50	0.51133
521.00	0.49882
521.50	0.48651
522.00	0.48038
522.50	0.47351
523.00	0.46445
523.50	0.45410
524.00	0.44533
524.50	0.43655
525.00	0.43660
525.50	0.42194
526.00	0.42102
526.50	0.41285
527.00	0.40819
527.50	0.39896
528.00	0.38695
528.50	0.37878
529.00	0.37505
529.50	0.37009
530.00	0.35687
530.50	0.35113
531.00	0.34942
531.50	0.33571
532.00	0.33693
532.50	0.32730
533.00	0.32283
533.50	0.31320
534.00	0.30841
534.50	0.30418
535.00	0.29570
535.50	0.29023
536.00	0.28416
536.50	0.27879
