Wavelength (nm)	Q01 abs N
300.00	0.050141
300.25	0.053928
300.50	0.052440
300.75	0.051422
301.00	0.049924
301.25	0.053583
301.50	0.053859
301.75	0.052185
302.00	0.047730
302.25	0.052598
302.50	0.056388
302.75	0.048201
303.00	0.046964
303.25	0.051118
303.50	0.049502
303.75	0.048343
304.00	0.050800
304.25	0.047709
304.50	0.051102
304.75	0.051735
305.00	0.049369
305.25	0.053151
305.50	0.054501
305.75	0.052491
306.00	0.046359
306.25	0.052651
306.50	0.044047
306.75	0.054208
307.00	0.049045
307.25	0.047374
307.50	0.053017
307.75	0.051546
308.00	0.047575
308.25	0.049549
308.50	0.049046
308.75	0.049152
309.00	0.053622
309.25	0.051203
309.50	0.050457
309.75	0.049664
310.00	0.049218
310.25	0.053037
310.50	0.050389
310.75	0.055128
311.00	0.049387
311.25	0.051820
311.50	0.049097
311.75	0.051328
312.00	0.045257
312.25	0.051755
312.50	0.054774
312.75	0.054087
313.00	0.048683
313.25	0.050783
313.50	0.046759
313.75	0.047600
314.00	0.056751
314.25	0.051813
314.50	0.049704
314.75	0.054182
315.00	0.054940
315.25	0.055954
315.50	0.050442
315.75	0.051542
316.00	0.052796
316.25	0.052521
316.50	0.052893
316.75	0.048444
317.00	0.057827
317.25	0.049273
317.50	0.059784
317.75	0.048659
318.00	0.055976
318.25	0.061849
318.50	0.051453
318.75	0.054452
319.00	0.055200
319.25	0.054563
319.50	0.057811
319.75	0.061578
320.00	0.060445
320.25	0.054673
320.50	0.058399
320.75	0.054487
321.00	0.057952
321.25	0.056367
321.50	0.055361
321.75	0.057694
322.00	0.059424
322.25	0.058331
322.50	0.054826
322.75	0.059090
323.00	0.060779
323.25	0.060250
323.50	0.057664
323.75	0.055126
324.00	0.061241
324.25	0.059049
324.50	0.056944
324.75	0.063601
325.00	0.063708
325.25	0.062259
325.50	0.059257
325.75	0.063763
326.00	0.061148
326.25	0.066289
326.50	0.066363
326.75	0.064934
327.00	0.063166
327.25	0.066836
327.50	0.068093
327.75	0.072622
328.00	0.063125
328.25	0.070638
328.50	0.070370
328.75	0.069869
329.00	0.067203
329.25	0.065022
329.50	0.069479
329.75	0.073454
330.00	0.074796
330.25	0.072448
330.50	0.078445
330.75	0.070315
331.00	0.078072
331.25	0.076979
331.50	0.080414
331.75	0.086747
332.00	0.085879
332.25	0.086419
332.50	0.083320
332.75	0.083798
333.00	0.086703
333.25	0.087138
333.50	0.082748
333.75	0.083982
334.00	0.086991
334.25	0.085917
334.50	0.085260
334.75	0.087366
335.00	0.093919
335.25	0.089752
335.50	0.087195
335.75	0.092663
336.00	0.097010
336.25	0.097207
336.50	0.090488
336.75	0.096380
337.00	0.091268
337.25	0.096489
337.50	0.095018
337.75	0.095749
338.00	0.095966
338.25	0.099241
338.50	0.10104
338.75	0.095545
339.00	0.097925
339.25	0.097223
339.50	0.10255
339.75	0.10356
340.00	0.10117
340.25	0.096870
340.50	0.10036
