Wavelength (nm)	Q-1, 101-60-0, H2P.ems
550.00	0.00062958
551.00	0.00069402
552.00	0.00068012
553.00	0.00070533
554.00	0.00080870
555.00	0.00090016
556.00	0.0010472
557.00	0.0012505
558.00	0.0014962
559.00	0.0017571
560.00	0.0021070
561.00	0.0024551
562.00	0.0027166
563.00	0.0029539
564.00	0.0032141
565.00	0.0034628
566.00	0.0039201
567.00	0.0043778
568.00	0.0048940
569.00	0.0054329
570.00	0.0058973
571.00	0.0060475
572.00	0.0065491
573.00	0.0066661
574.00	0.0069896
575.00	0.0072117
576.00	0.0074689
577.00	0.0078991
578.00	0.0081946
579.00	0.0084766
580.00	0.0090650
581.00	0.0092048
582.00	0.0094971
583.00	0.0098080
584.00	0.010082
585.00	0.010814
586.00	0.011551
587.00	0.012451
588.00	0.013443
589.00	0.014238
590.00	0.015245
591.00	0.015261
592.00	0.015368
593.00	0.015371
594.00	0.015295
595.00	0.015579
596.00	0.016371
597.00	0.017619
598.00	0.020130
599.00	0.023224
600.00	0.028133
601.00	0.033786
602.00	0.041604
603.00	0.049188
604.00	0.057286
605.00	0.065852
606.00	0.075910
607.00	0.088025
608.00	0.10293
609.00	0.12430
610.00	0.15540
611.00	0.19211
612.00	0.24441
613.00	0.29710
614.00	0.35395
615.00	0.39551
616.00	0.42659
617.00	0.43271
618.00	0.41474
619.00	0.38196
620.00	0.33498
621.00	0.28982
622.00	0.24058
623.00	0.20262
624.00	0.17001
625.00	0.14546
626.00	0.12927
627.00	0.12006
628.00	0.11308
629.00	0.10822
630.00	0.10274
631.00	0.096898
632.00	0.091252
633.00	0.084636
634.00	0.079140
635.00	0.075401
636.00	0.073456
637.00	0.074793
638.00	0.078969
639.00	0.085287
640.00	0.096585
641.00	0.10901
642.00	0.12378
643.00	0.13723
644.00	0.14990
645.00	0.16085
646.00	0.16908
647.00	0.17559
648.00	0.18149
649.00	0.18843
650.00	0.19884
651.00	0.21236
652.00	0.22961
653.00	0.24860
654.00	0.26767
655.00	0.28345
656.00	0.29891
657.00	0.31142
658.00	0.32048
659.00	0.33038
660.00	0.33970
661.00	0.35243
662.00	0.36589
663.00	0.38233
664.00	0.40235
665.00	0.42727
666.00	0.45745
667.00	0.49198
668.00	0.52754
669.00	0.56863
670.00	0.61139
671.00	0.64655
672.00	0.68107
673.00	0.70586
674.00	0.72348
675.00	0.73955
676.00	0.76091
677.00	0.78522
678.00	0.82089
679.00	0.86244
680.00	0.91066
681.00	0.95391
682.00	0.98570
683.00	1.0000
684.00	0.98716
685.00	0.94772
686.00	0.88188
687.00	0.81296
688.00	0.72810
689.00	0.64632
690.00	0.55909
691.00	0.49876
692.00	0.43882
693.00	0.39073
694.00	0.34975
695.00	0.32194
696.00	0.29425
697.00	0.27145
698.00	0.25338
699.00	0.23454
700.00	0.21534
701.00	0.19652
702.00	0.17738
703.00	0.15986
704.00	0.14386
705.00	0.12892
706.00	0.11480
707.00	0.10294
708.00	0.094150
709.00	0.085720
710.00	0.080011
711.00	0.075342
712.00	0.071147
713.00	0.068128
714.00	0.065617
715.00	0.063091
716.00	0.062166
717.00	0.060511
718.00	0.058884
719.00	0.057956
720.00	0.056740
721.00	0.055716
722.00	0.053077
723.00	0.051816
724.00	0.049886
725.00	0.048909
726.00	0.047504
727.00	0.045877
728.00	0.044849
729.00	0.044086
730.00	0.044236
731.00	0.044292
732.00	0.044033
733.00	0.043483
734.00	0.042413
735.00	0.042097
736.00	0.042653
737.00	0.042378
738.00	0.042189
739.00	0.042756
740.00	0.041687
741.00	0.041240
742.00	0.041973
743.00	0.040223
744.00	0.041086
745.00	0.039566
746.00	0.039102
747.00	0.038206
748.00	0.038317
749.00	0.037691
750.00	0.037605
