Wavelength (nm)	Q02 abs N
300.00	0.021867
301.00	0.022570
302.00	0.023205
303.00	0.024379
304.00	0.024982
305.00	0.025741
306.00	0.026980
307.00	0.027846
308.00	0.028597
309.00	0.029414
310.00	0.029731
311.00	0.029719
312.00	0.029342
313.00	0.028776
314.00	0.027781
315.00	0.026404
316.00	0.025022
317.00	0.023656
318.00	0.022281
319.00	0.020782
320.00	0.019329
321.00	0.018547
322.00	0.017467
323.00	0.016459
324.00	0.015191
325.00	0.014620
326.00	0.013572
327.00	0.012993
328.00	0.012347
329.00	0.011834
330.00	0.011612
331.00	0.011194
332.00	0.010753
333.00	0.010498
334.00	0.010616
335.00	0.010601
336.00	0.010362
337.00	0.010413
338.00	0.010459
339.00	0.010421
340.00	0.010499
341.00	0.010403
342.00	0.010625
343.00	0.010593
344.00	0.010774
345.00	0.010903
346.00	0.010962
347.00	0.010867
348.00	0.011153
349.00	0.011298
350.00	0.011317
351.00	0.011564
352.00	0.011562
353.00	0.011810
354.00	0.011914
355.00	0.011745
356.00	0.011981
357.00	0.012262
358.00	0.012619
359.00	0.012973
360.00	0.013630
361.00	0.014083
362.00	0.014339
363.00	0.014858
364.00	0.015246
365.00	0.015752
366.00	0.016186
367.00	0.016891
368.00	0.017731
369.00	0.018101
370.00	0.019120
371.00	0.020203
372.00	0.021638
373.00	0.023968
374.00	0.027382
375.00	0.031727
376.00	0.037285
377.00	0.044856
378.00	0.054230
379.00	0.064203
380.00	0.073695
381.00	0.080321
382.00	0.083241
383.00	0.083464
384.00	0.082880
385.00	0.081326
386.00	0.080475
387.00	0.081340
388.00	0.085034
389.00	0.091321
390.00	0.10136
391.00	0.11365
392.00	0.13466
393.00	0.16662
394.00	0.21005
395.00	0.26136
396.00	0.31936
397.00	0.39508
398.00	0.50527
399.00	0.65106
400.00	0.81146
401.00	0.94703
402.00	1.0000
403.00	0.95837
404.00	0.85252
405.00	0.72092
406.00	0.58943
407.00	0.46445
408.00	0.34663
409.00	0.25432
410.00	0.18127
411.00	0.12699
412.00	0.086895
413.00	0.060298
414.00	0.043051
415.00	0.030327
416.00	0.021724
417.00	0.015756
418.00	0.012320
419.00	0.0094540
420.00	0.0077560
421.00	0.0063504
422.00	0.0053994
423.00	0.0046714
424.00	0.0048431
425.00	0.0045751
426.00	0.0042991
427.00	0.0037779
428.00	0.0036404
429.00	0.0032101
430.00	0.0029874
431.00	0.0031202
432.00	0.0030698
433.00	0.0027671
434.00	0.0028266
435.00	0.0028426
436.00	0.0027392
437.00	0.0029149
438.00	0.0025052
439.00	0.0026826
440.00	0.0028188
441.00	0.0024528
442.00	0.0031233
443.00	0.0029302
444.00	0.0027115
445.00	0.0027342
446.00	0.0028741
447.00	0.0030864
448.00	0.0027028
449.00	0.0026664
450.00	0.0026498
451.00	0.0027682
452.00	0.0027995
453.00	0.0027523
454.00	0.0027810
455.00	0.0022791
456.00	0.0030017
457.00	0.0031760
458.00	0.0027839
459.00	0.0026492
460.00	0.0031228
461.00	0.0027013
462.00	0.0032527
463.00	0.0028735
464.00	0.0030211
465.00	0.0029586
466.00	0.0033785
467.00	0.0033134
468.00	0.0027090
469.00	0.0034814
470.00	0.0037311
471.00	0.0033079
472.00	0.0030298
473.00	0.0033522
474.00	0.0029546
475.00	0.0032805
476.00	0.0034146
477.00	0.0036029
478.00	0.0034989
479.00	0.0033705
480.00	0.0032956
481.00	0.0036889
482.00	0.0035655
483.00	0.0033777
484.00	0.0037329
485.00	0.0037809
486.00	0.0036199
487.00	0.0046146
488.00	0.0047393
489.00	0.0042930
490.00	0.0048441
491.00	0.0047556
492.00	0.0053551
493.00	0.0054570
494.00	0.0059720
495.00	0.0061462
496.00	0.0056221
497.00	0.0055062
498.00	0.0055642
499.00	0.0058775
500.00	0.0059857
501.00	0.0063520
502.00	0.0058155
503.00	0.0057599
504.00	0.0058527
505.00	0.0051568
506.00	0.0058894
507.00	0.0053873
508.00	0.0048856
509.00	0.0052383
510.00	0.0051952
511.00	0.0053420
512.00	0.0058008
513.00	0.0049550
514.00	0.0056740
515.00	0.0070755
516.00	0.0059485
517.00	0.0068539
518.00	0.0064676
519.00	0.0076820
520.00	0.0078884
521.00	0.0085629
522.00	0.0099544
523.00	0.010950
524.00	0.012986
525.00	0.014282
526.00	0.017141
527.00	0.018907
528.00	0.020334
529.00	0.021760
530.00	0.023181
531.00	0.023948
532.00	0.026119
533.00	0.029137
534.00	0.031576
535.00	0.033349
536.00	0.035122
537.00	0.035580
538.00	0.035493
539.00	0.035140
540.00	0.033837
541.00	0.031887
542.00	0.029881
543.00	0.027545
544.00	0.024717
545.00	0.021871
546.00	0.020489
547.00	0.019132
548.00	0.018077
549.00	0.017106
550.00	0.015444
551.00	0.014140
552.00	0.012547
553.00	0.011805
554.00	0.010182
555.00	0.0088062
556.00	0.0081474
557.00	0.0080117
558.00	0.0069555
559.00	0.0069027
560.00	0.0068488
561.00	0.0066851
562.00	0.0066726
563.00	0.0064455
564.00	0.0066756
565.00	0.0071206
566.00	0.0076099
567.00	0.0074746
568.00	0.0077709
569.00	0.0082750
570.00	0.0082742
571.00	0.0089271
572.00	0.0090304
573.00	0.0090421
574.00	0.0089646
575.00	0.0087380
576.00	0.0080746
577.00	0.0074638
578.00	0.0065992
579.00	0.0059889
580.00	0.0052223
581.00	0.0046789
582.00	0.0041809
583.00	0.0044181
584.00	0.0039444
585.00	0.0035288
586.00	0.0034767
587.00	0.0034117
588.00	0.0031611
589.00	0.0031503
590.00	0.0032498
591.00	0.0029796
592.00	0.0031123
593.00	0.0027633
594.00	0.0030416
595.00	0.0028604
596.00	0.0027889
597.00	0.0027678
598.00	0.0027621
599.00	0.0025453
600.00	0.0026039
601.00	0.0025809
602.00	0.0025933
603.00	0.0025337
604.00	0.0025001
605.00	0.0026044
606.00	0.0027125
607.00	0.0027790
608.00	0.0029829
609.00	0.0029879
610.00	0.0029008
611.00	0.0030142
612.00	0.0028855
613.00	0.0030426
614.00	0.0029753
615.00	0.0030648
616.00	0.0028300
617.00	0.0030131
618.00	0.0026713
619.00	0.0027839
620.00	0.0022929
621.00	0.0021954
622.00	0.0025362
623.00	0.0021853
624.00	0.0021359
625.00	0.0023641
626.00	0.0022237
627.00	0.0021786
628.00	0.0019168
629.00	0.0020262
630.00	0.0019266
631.00	0.0019473
632.00	0.0020760
633.00	0.0018295
634.00	0.0017465
635.00	0.0016944
636.00	0.0018551
