Wavelength (nm)	MgP, Toluene, SL2
525.00	0.00035373
526.00	0.00043950
527.00	0.00040952
528.00	0.00047258
529.00	0.00040706
530.00	0.00095408
531.00	0.0015691
532.00	0.0023248
533.00	0.0028584
534.00	0.0041610
535.00	0.0051043
536.00	0.0064739
537.00	0.0080559
538.00	0.0094922
539.00	0.011205
540.00	0.011872
541.00	0.013236
542.00	0.013559
543.00	0.014624
544.00	0.014835
545.00	0.015648
546.00	0.016560
547.00	0.017708
548.00	0.019854
549.00	0.021096
550.00	0.021576
551.00	0.022102
552.00	0.022748
553.00	0.021563
554.00	0.021485
555.00	0.020190
556.00	0.019435
557.00	0.020402
558.00	0.021022
559.00	0.023845
560.00	0.027407
561.00	0.030445
562.00	0.034960
563.00	0.040953
564.00	0.047522
565.00	0.058002
566.00	0.069877
567.00	0.089476
568.00	0.11194
569.00	0.14168
570.00	0.17913
571.00	0.21917
572.00	0.25775
573.00	0.29114
574.00	0.30853
575.00	0.31264
576.00	0.29513
577.00	0.27137
578.00	0.23590
579.00	0.20130
580.00	0.17064
581.00	0.14317
582.00	0.12270
583.00	0.10910
584.00	0.10010
585.00	0.093473
586.00	0.090683
587.00	0.087312
588.00	0.084525
589.00	0.082333
590.00	0.081391
591.00	0.081294
592.00	0.083788
593.00	0.088452
594.00	0.097395
595.00	0.10896
596.00	0.12360
597.00	0.14029
598.00	0.15601
599.00	0.17034
600.00	0.18394
601.00	0.19689
602.00	0.20550
603.00	0.21458
604.00	0.22996
605.00	0.24092
606.00	0.25598
607.00	0.27763
608.00	0.29715
609.00	0.31808
610.00	0.33763
611.00	0.36189
612.00	0.37608
613.00	0.40291
614.00	0.42894
615.00	0.46469
616.00	0.51191
617.00	0.56259
618.00	0.61875
619.00	0.67830
620.00	0.73082
621.00	0.78055
622.00	0.82111
623.00	0.85838
624.00	0.88534
625.00	0.91731
626.00	0.94293
627.00	0.96734
628.00	0.98975
629.00	1.0000
630.00	0.98846
631.00	0.96504
632.00	0.92014
633.00	0.85232
634.00	0.78354
635.00	0.69639
636.00	0.61836
637.00	0.53489
638.00	0.46467
639.00	0.40070
640.00	0.35132
641.00	0.30836
642.00	0.26982
643.00	0.23918
644.00	0.21673
645.00	0.19304
646.00	0.17515
647.00	0.15371
648.00	0.13838
649.00	0.12386
650.00	0.11165
651.00	0.10014
652.00	0.089921
653.00	0.082538
654.00	0.074773
655.00	0.066592
656.00	0.063649
657.00	0.059537
658.00	0.055755
659.00	0.052075
660.00	0.050549
661.00	0.049602
662.00	0.047962
663.00	0.046888
664.00	0.046039
665.00	0.044795
666.00	0.044534
667.00	0.043977
668.00	0.044107
669.00	0.041324
670.00	0.041687
671.00	0.041292
672.00	0.041599
673.00	0.041351
674.00	0.040601
675.00	0.041025
676.00	0.040027
677.00	0.039045
678.00	0.039405
679.00	0.037845
680.00	0.036876
681.00	0.037441
682.00	0.035062
683.00	0.034220
684.00	0.034195
685.00	0.034262
686.00	0.032288
687.00	0.031022
688.00	0.030488
689.00	0.030496
690.00	0.028907
691.00	0.029808
692.00	0.027539
693.00	0.027581
694.00	0.025471
695.00	0.025037
696.00	0.024655
697.00	0.022379
698.00	0.020391
699.00	0.021040
700.00	0.019174
701.00	0.016831
702.00	0.016555
703.00	0.015649
704.00	0.014896
705.00	0.015160
706.00	0.012760
707.00	0.013304
708.00	0.013078
709.00	0.011988
710.00	0.011999
711.00	0.011381
712.00	0.011273
713.00	0.011360
714.00	0.012104
715.00	0.011094
716.00	0.010477
717.00	0.0099307
718.00	0.010708
719.00	0.010221
720.00	0.010681
721.00	0.010215
722.00	0.010087
723.00	0.011099
724.00	0.011120
725.00	0.011170
