Wavelength (nm)	ZnP, Toluene, SL2
500.00	0.0060523
501.00	0.0066013
502.00	0.0061181
503.00	0.0061994
504.00	0.0056021
505.00	0.0058767
506.00	0.0066536
507.00	0.0059288
508.00	0.0057643
509.00	0.0060303
510.00	0.0058030
511.00	0.0064779
512.00	0.0066334
513.00	0.0072856
514.00	0.0076908
515.00	0.0079723
516.00	0.0074450
517.00	0.0071659
518.00	0.0079094
519.00	0.0089292
520.00	0.0088757
521.00	0.0091101
522.00	0.010506
523.00	0.011839
524.00	0.013171
525.00	0.015239
526.00	0.016020
527.00	0.017549
528.00	0.018828
529.00	0.019021
530.00	0.021632
531.00	0.022833
532.00	0.024281
533.00	0.025119
534.00	0.025993
535.00	0.028448
536.00	0.029768
537.00	0.028264
538.00	0.032394
539.00	0.032245
540.00	0.033711
541.00	0.035079
542.00	0.035851
543.00	0.037323
544.00	0.040429
545.00	0.042205
546.00	0.047693
547.00	0.053578
548.00	0.062663
549.00	0.074484
550.00	0.087821
551.00	0.11227
552.00	0.13453
553.00	0.17708
554.00	0.21649
555.00	0.27875
556.00	0.34009
557.00	0.42656
558.00	0.51201
559.00	0.60946
560.00	0.67763
561.00	0.73129
562.00	0.75239
563.00	0.74297
564.00	0.70657
565.00	0.64587
566.00	0.56899
567.00	0.50447
568.00	0.44183
569.00	0.38233
570.00	0.34094
571.00	0.29836
572.00	0.26393
573.00	0.23813
574.00	0.21827
575.00	0.19791
576.00	0.18346
577.00	0.16892
578.00	0.15893
579.00	0.15679
580.00	0.15452
581.00	0.15590
582.00	0.16430
583.00	0.17246
584.00	0.18074
585.00	0.19372
586.00	0.20919
587.00	0.21628
588.00	0.22786
589.00	0.24098
590.00	0.25929
591.00	0.26878
592.00	0.28737
593.00	0.29659
594.00	0.31660
595.00	0.34161
596.00	0.35592
597.00	0.37702
598.00	0.40294
599.00	0.42071
600.00	0.45928
601.00	0.49225
602.00	0.53351
603.00	0.57882
604.00	0.63866
605.00	0.69219
606.00	0.75515
607.00	0.79724
608.00	0.84377
609.00	0.87827
610.00	0.90797
611.00	0.93440
612.00	0.95844
613.00	0.98183
614.00	0.99652
615.00	1.00000
616.00	0.99683
617.00	0.97526
618.00	0.93522
619.00	0.89851
620.00	0.83440
621.00	0.77070
622.00	0.71528
623.00	0.64730
624.00	0.58626
625.00	0.52527
626.00	0.47635
627.00	0.41966
628.00	0.38138
629.00	0.34055
630.00	0.30242
631.00	0.27530
632.00	0.25309
633.00	0.22438
634.00	0.20532
635.00	0.18758
636.00	0.16960
637.00	0.15524
638.00	0.14533
639.00	0.13084
640.00	0.11931
641.00	0.11102
642.00	0.10647
643.00	0.097453
644.00	0.094243
645.00	0.090643
646.00	0.087426
647.00	0.081791
648.00	0.081866
649.00	0.081408
650.00	0.078697
651.00	0.076632
652.00	0.076562
653.00	0.075571
654.00	0.073723
655.00	0.073020
656.00	0.072915
657.00	0.072019
658.00	0.067959
659.00	0.067376
660.00	0.067906
661.00	0.064578
662.00	0.064819
663.00	0.064574
664.00	0.063168
665.00	0.058315
666.00	0.064430
667.00	0.059690
668.00	0.058029
669.00	0.056827
670.00	0.055614
671.00	0.053585
672.00	0.051081
673.00	0.052440
674.00	0.048909
675.00	0.047511
676.00	0.047771
677.00	0.045141
678.00	0.046096
679.00	0.046257
680.00	0.044877
681.00	0.041694
682.00	0.040699
683.00	0.037515
684.00	0.038442
685.00	0.038005
686.00	0.034671
687.00	0.033440
688.00	0.033528
689.00	0.033909
690.00	0.030401
691.00	0.031037
692.00	0.033172
693.00	0.030500
694.00	0.032093
695.00	0.030401
696.00	0.028038
697.00	0.030554
698.00	0.031853
699.00	0.029168
700.00	0.030120
