Wavelength (nm)	Q05 abs N
300.00	0.036953
300.25	0.039558
300.50	0.036473
300.75	0.037177
301.00	0.028514
301.25	0.029364
301.50	0.034919
301.75	0.036730
302.00	0.038731
302.25	0.037613
302.50	0.039882
302.75	0.043325
303.00	0.032415
303.25	0.036976
303.50	0.038742
303.75	0.036160
304.00	0.035903
304.25	0.035869
304.50	0.044755
304.75	0.035802
305.00	0.038529
305.25	0.041190
305.50	0.038619
305.75	0.038597
306.00	0.038339
306.25	0.041134
306.50	0.042620
306.75	0.033835
307.00	0.041570
307.25	0.038865
307.50	0.041637
307.75	0.040296
308.00	0.041838
308.25	0.044957
308.50	0.033947
308.75	0.039614
309.00	0.042844
309.25	0.038127
309.50	0.040977
309.75	0.047840
310.00	0.050300
310.25	0.047639
310.50	0.046533
310.75	0.054189
311.00	0.043012
311.25	0.031052
311.50	0.053094
311.75	0.047751
312.00	0.044610
312.25	0.040631
312.50	0.050255
312.75	0.044934
313.00	0.050858
313.25	0.050613
313.50	0.056447
313.75	0.061097
314.00	0.055419
314.25	0.044521
314.50	0.054838
314.75	0.048265
315.00	0.059957
315.25	0.051931
315.50	0.054178
315.75	0.051082
316.00	0.059722
316.25	0.055821
316.50	0.054234
316.75	0.057766
317.00	0.055710
317.25	0.054558
317.50	0.058918
317.75	0.056213
318.00	0.056179
318.25	0.049148
318.50	0.058739
318.75	0.067044
319.00	0.053642
319.25	0.055967
319.50	0.052770
319.75	0.062092
320.00	0.058705
320.25	0.050467
320.50	0.059342
320.75	0.064898
321.00	0.065188
321.25	0.064607
321.50	0.052144
321.75	0.052680
322.00	0.065714
322.25	0.064171
322.50	0.060158
322.75	0.056716
323.00	0.065412
323.25	0.059678
323.50	0.069089
323.75	0.063936
324.00	0.061734
324.25	0.056190
324.50	0.059119
324.75	0.065356
325.00	0.070866
325.25	0.068776
325.50	0.062114
325.75	0.059666
326.00	0.062897
326.25	0.071057
326.50	0.069659
326.75	0.064406
327.00	0.065948
327.25	0.065389
327.50	0.068251
327.75	0.070766
328.00	0.064149
328.25	0.069089
328.50	0.061198
328.75	0.065144
329.00	0.063187
329.25	0.068497
329.50	0.067636
329.75	0.064015
330.00	0.065613
330.25	0.068855
330.50	0.072096
330.75	0.071269
331.00	0.072353
331.25	0.064015
331.50	0.074074
331.75	0.068229
332.00	0.064328
332.25	0.060840
332.50	0.061555
332.75	0.063187
333.00	0.070419
333.25	0.068899
333.50	0.075315
333.75	0.075438
334.00	0.067882
334.25	0.068162
334.50	0.063612
334.75	0.064551
335.00	0.073337
335.25	0.072521
335.50	0.076735
335.75	0.070073
336.00	0.074387
336.25	0.069838
336.50	0.070140
336.75	0.064674
337.00	0.063064
337.25	0.069983
337.50	0.069570
337.75	0.067882
338.00	0.069503
338.25	0.068944
338.50	0.066653
338.75	0.072398
339.00	0.067245
339.25	0.065881
339.50	0.066004
