Wavelength (nm)	Q-5, 20910-35-4, MgOEP, toluene.ems
555.00	0.014489
556.00	0.015412
557.00	0.016206
558.00	0.016874
559.00	0.017427
560.00	0.018331
561.00	0.019298
562.00	0.020836
563.00	0.023156
564.00	0.026785
565.00	0.031798
566.00	0.038552
567.00	0.048358
568.00	0.061297
569.00	0.078725
570.00	0.10296
571.00	0.13543
572.00	0.17982
573.00	0.23836
574.00	0.31476
575.00	0.41342
576.00	0.53166
577.00	0.65692
578.00	0.77868
579.00	0.87853
580.00	0.95083
581.00	0.98963
582.00	1.00000
583.00	0.98095
584.00	0.93211
585.00	0.86796
586.00	0.78509
587.00	0.69561
588.00	0.60474
589.00	0.52302
590.00	0.45007
591.00	0.39015
592.00	0.34001
593.00	0.29898
594.00	0.26321
595.00	0.23413
596.00	0.20975
597.00	0.19046
598.00	0.17589
599.00	0.16556
600.00	0.16001
601.00	0.15911
602.00	0.16305
603.00	0.17054
604.00	0.18044
605.00	0.19076
606.00	0.20149
607.00	0.21065
608.00	0.21795
609.00	0.22340
610.00	0.22727
611.00	0.23063
612.00	0.23403
613.00	0.23801
614.00	0.24382
615.00	0.25123
616.00	0.26142
617.00	0.27327
618.00	0.28753
619.00	0.30300
620.00	0.32130
621.00	0.34149
622.00	0.36525
623.00	0.39069
624.00	0.41735
625.00	0.44547
626.00	0.47466
627.00	0.50046
628.00	0.52580
629.00	0.54886
630.00	0.57228
631.00	0.59337
632.00	0.61551
633.00	0.63889
634.00	0.66406
635.00	0.68734
636.00	0.70567
637.00	0.71710
638.00	0.71842
639.00	0.70857
640.00	0.68606
641.00	0.65381
642.00	0.60820
643.00	0.55912
644.00	0.50328
645.00	0.44884
646.00	0.39500
647.00	0.34454
648.00	0.29664
649.00	0.25491
650.00	0.21823
651.00	0.18913
652.00	0.16420
653.00	0.14453
654.00	0.12761
655.00	0.11398
656.00	0.10178
657.00	0.091935
658.00	0.083054
659.00	0.075332
660.00	0.068743
661.00	0.063724
662.00	0.059376
663.00	0.056234
664.00	0.053367
665.00	0.051426
666.00	0.049648
667.00	0.048364
668.00	0.047333
669.00	0.046355
670.00	0.045557
671.00	0.044682
672.00	0.043834
673.00	0.042671
674.00	0.041639
675.00	0.040596
676.00	0.039678
677.00	0.038748
678.00	0.038008
679.00	0.037094
680.00	0.036577
681.00	0.036277
682.00	0.035674
683.00	0.035526
684.00	0.035031
685.00	0.034625
686.00	0.034440
687.00	0.034142
688.00	0.033850
689.00	0.033299
690.00	0.032828
691.00	0.032166
692.00	0.031362
693.00	0.030512
694.00	0.029598
695.00	0.028825
696.00	0.027638
697.00	0.026590
698.00	0.025581
699.00	0.024423
700.00	0.023521
