Wavelength (nm)	Q06 abs N
300.00	0.019564
301.00	0.020613
302.00	0.021638
303.00	0.022774
304.00	0.023975
305.00	0.025281
306.00	0.026673
307.00	0.028142
308.00	0.029696
309.00	0.031352
310.00	0.033004
311.00	0.034618
312.00	0.036167
313.00	0.037591
314.00	0.038892
315.00	0.040125
316.00	0.041187
317.00	0.042208
318.00	0.043266
319.00	0.044221
320.00	0.045216
321.00	0.046244
322.00	0.047205
323.00	0.048201
324.00	0.049206
325.00	0.050220
326.00	0.051018
327.00	0.051614
328.00	0.051827
329.00	0.051580
330.00	0.050808
331.00	0.049647
332.00	0.048106
333.00	0.046336
334.00	0.044535
335.00	0.042670
336.00	0.040867
337.00	0.039228
338.00	0.037735
339.00	0.036445
340.00	0.035352
341.00	0.034467
342.00	0.033769
343.00	0.033188
344.00	0.032892
345.00	0.032657
346.00	0.032551
347.00	0.032551
348.00	0.032625
349.00	0.032913
350.00	0.033167
351.00	0.033412
352.00	0.033766
353.00	0.034227
354.00	0.034779
355.00	0.035433
356.00	0.036060
357.00	0.036840
358.00	0.037651
359.00	0.038429
360.00	0.039301
361.00	0.040492
362.00	0.041766
363.00	0.043288
364.00	0.045135
365.00	0.047353
366.00	0.049991
367.00	0.053096
368.00	0.056670
369.00	0.060764
370.00	0.065662
371.00	0.071029
372.00	0.076879
373.00	0.083019
374.00	0.089683
375.00	0.096441
376.00	0.10293
377.00	0.10900
378.00	0.11427
379.00	0.11866
380.00	0.12217
381.00	0.12547
382.00	0.12910
383.00	0.13375
384.00	0.14069
385.00	0.15104
386.00	0.16649
387.00	0.18718
388.00	0.21280
389.00	0.24180
390.00	0.27712
391.00	0.31896
392.00	0.36982
393.00	0.43004
394.00	0.49931
395.00	0.58422
396.00	0.68884
397.00	0.80860
398.00	0.92110
399.00	0.99249
400.00	1.0000
401.00	0.94897
402.00	0.85522
403.00	0.73621
404.00	0.61265
405.00	0.49446
406.00	0.39133
407.00	0.30351
408.00	0.22930
409.00	0.17439
410.00	0.13240
411.00	0.10129
412.00	0.077613
413.00	0.060598
414.00	0.048672
415.00	0.039476
416.00	0.032795
417.00	0.027762
418.00	0.023961
419.00	0.020971
420.00	0.018667
421.00	0.016761
422.00	0.015301
423.00	0.014113
424.00	0.013269
425.00	0.012432
426.00	0.011674
427.00	0.011083
428.00	0.010562
429.00	0.010052
430.00	0.0096015
431.00	0.0093213
432.00	0.0089734
433.00	0.0086885
434.00	0.0085317
435.00	0.0083452
436.00	0.0080460
437.00	0.0079184
438.00	0.0077500
439.00	0.0076697
440.00	0.0075769
441.00	0.0073844
442.00	0.0074025
443.00	0.0072137
444.00	0.0071422
445.00	0.0070583
446.00	0.0069367
447.00	0.0069720
448.00	0.0067938
449.00	0.0067632
450.00	0.0067864
451.00	0.0066839
452.00	0.0066732
453.00	0.0065753
454.00	0.0065725
455.00	0.0065758
456.00	0.0065029
457.00	0.0064612
458.00	0.0064236
459.00	0.0064023
460.00	0.0063795
461.00	0.0063415
462.00	0.0063498
463.00	0.0062956
464.00	0.0062232
465.00	0.0062097
466.00	0.0061680
467.00	0.0061397
468.00	0.0060552
469.00	0.0060520
470.00	0.0059527
471.00	0.0060627
472.00	0.0060293
473.00	0.0060882
474.00	0.0063308
475.00	0.0064185
476.00	0.0066621
477.00	0.0068945
478.00	0.0070286
479.00	0.0070211
480.00	0.0071640
481.00	0.0072893
482.00	0.0073060
483.00	0.0073802
484.00	0.0074795
485.00	0.0073542
486.00	0.0077263
487.00	0.0080209
488.00	0.0077523
489.00	0.0077231
490.00	0.0077407
491.00	0.0078177
492.00	0.0077964
493.00	0.0078080
494.00	0.0078404
495.00	0.0078636
496.00	0.0079128
497.00	0.0080191
498.00	0.0080042
499.00	0.0080627
500.00	0.0081712
501.00	0.0082603
502.00	0.0083740
503.00	0.0086324
504.00	0.0089381
505.00	0.0092434
506.00	0.0096990
507.00	0.010359
508.00	0.011055
509.00	0.011894
510.00	0.012952
511.00	0.014215
512.00	0.015684
513.00	0.017441
514.00	0.019438
515.00	0.021654
516.00	0.024095
517.00	0.026533
518.00	0.028975
519.00	0.031259
520.00	0.033282
521.00	0.035061
522.00	0.036510
523.00	0.037828
524.00	0.038730
525.00	0.039211
526.00	0.039354
527.00	0.039100
528.00	0.038290
529.00	0.037196
530.00	0.035563
531.00	0.033642
532.00	0.031420
533.00	0.029073
534.00	0.026767
535.00	0.024649
536.00	0.022830
537.00	0.021256
538.00	0.020028
539.00	0.019129
540.00	0.018393
541.00	0.017816
542.00	0.017339
543.00	0.017045
544.00	0.017002
545.00	0.017114
546.00	0.017582
547.00	0.018392
548.00	0.019663
549.00	0.021435
550.00	0.023706
551.00	0.026659
552.00	0.030188
553.00	0.034537
554.00	0.039456
555.00	0.045382
556.00	0.052200
557.00	0.059881
558.00	0.067918
559.00	0.075947
560.00	0.083032
561.00	0.088011
562.00	0.090309
563.00	0.089467
564.00	0.085520
565.00	0.079027
566.00	0.070834
567.00	0.061634
568.00	0.052789
569.00	0.044072
570.00	0.036701
571.00	0.030336
572.00	0.025144
573.00	0.020608
574.00	0.016989
575.00	0.014328
576.00	0.011949
577.00	0.010002
578.00	0.0086115
579.00	0.0075106
580.00	0.0063763
581.00	0.0055509
582.00	0.0049757
583.00	0.0046356
584.00	0.0039907
585.00	0.0035486
586.00	0.0033681
587.00	0.0029886
588.00	0.0027609
589.00	0.0026068
590.00	0.0024050
591.00	0.0021907
592.00	0.0019861
593.00	0.0018256
594.00	0.0017518
595.00	0.0016182
596.00	0.0015481
597.00	0.0013983
598.00	0.0013120
599.00	0.0011979
600.00	0.0011737
601.00	0.0010861
602.00	0.0010387
603.00	0.00096034
604.00	0.00095292
605.00	0.00087358
606.00	0.00083229
607.00	0.00078172
608.00	0.00076827
609.00	0.00072234
610.00	0.00062306
611.00	0.00062028
612.00	0.00059708
613.00	0.00053259
614.00	0.00052656
615.00	0.00050940
616.00	0.00046300
617.00	0.00041012
618.00	0.00038599
619.00	0.00037996
620.00	0.00032243
621.00	0.00033913
622.00	0.00029135
623.00	0.00028114
624.00	0.00026954
625.00	0.00027140
626.00	0.00026166
627.00	0.00019903
628.00	0.00022269
629.00	0.00024264
630.00	0.00024264
631.00	0.00020227
632.00	0.00016145
633.00	0.00021990
634.00	0.00025006
635.00	0.00030016
636.00	0.00032058
637.00	0.00023939
638.00	0.00015449
639.00	0.00026935
640.00	0.00035802
641.00	0.00032476
642.00	0.00012805
643.00	0.00021619
644.00	0.00026908
645.00	0.00032382
646.00	0.00033774
647.00	0.00031083
648.00	0.00026259
649.00	0.00025655
650.00	0.00026862
651.00	0.00025191
652.00	0.00020506
653.00	0.00022037
654.00	0.00020042
655.00	0.00030301
656.00	0.00035034
657.00	0.00026928
658.00	0.00035537
659.00	0.00025284
660.00	0.00024496
661.00	0.00024264
662.00	0.00026073
663.00	0.00029970
664.00	0.00029089
665.00	0.00027511
666.00	0.00027326
667.00	0.00029506
668.00	0.00026815
669.00	0.00032104
670.00	0.00032754
671.00	0.00033913
672.00	0.00033635
673.00	0.00031547
674.00	0.00033681
675.00	0.00037671
676.00	0.00034563
677.00	0.00038321
678.00	0.00041986
679.00	0.00042728
680.00	0.00042403
681.00	0.00047043
682.00	0.00046764
683.00	0.00047367
684.00	0.00046996
685.00	0.00047599
686.00	0.00047924
687.00	0.00046300
688.00	0.00048806
689.00	0.00046672
690.00	0.00046440
691.00	0.00044120
692.00	0.00042543
693.00	0.00041568
694.00	0.00040826
695.00	0.00034656
696.00	0.00039481
697.00	0.00035491
698.00	0.00035444
699.00	0.00036233
700.00	0.00031779
