Wavelength (nm)	Q-7, 17632-18-7, ZnOEP.ems
555.00	0.038685
555.50	0.044548
556.00	0.049563
556.50	0.060282
557.00	0.065156
557.50	0.077299
558.00	0.085943
558.50	0.10372
559.00	0.11392
559.50	0.13441
560.00	0.14947
560.50	0.17997
561.00	0.19581
561.50	0.23093
562.00	0.25503
562.50	0.30356
563.00	0.32853
563.50	0.38106
564.00	0.41642
564.50	0.48212
565.00	0.51653
565.50	0.58463
566.00	0.62648
566.50	0.69824
567.00	0.73570
567.50	0.79818
568.00	0.84018
568.50	0.89627
569.00	0.92121
569.50	0.95791
570.00	0.97555
570.50	0.99443
571.00	1.0000
571.50	0.99448
572.00	0.98732
572.50	0.96011
573.00	0.94577
573.50	0.90482
574.00	0.87941
574.50	0.82144
575.00	0.79423
575.50	0.73853
576.00	0.70320
576.50	0.63989
577.00	0.61101
577.50	0.56020
578.00	0.52860
578.50	0.47598
579.00	0.45293
579.50	0.41175
580.00	0.38772
580.50	0.35133
581.00	0.33475
581.50	0.30665
582.00	0.29152
582.50	0.26345
583.00	0.25359
583.50	0.23160
584.00	0.22277
584.50	0.20317
585.00	0.19720
585.50	0.18319
586.00	0.17733
586.50	0.16680
587.00	0.16169
587.50	0.15358
588.00	0.15025
588.50	0.14588
589.00	0.14424
589.50	0.14053
590.00	0.13962
590.50	0.14002
591.00	0.13849
591.50	0.14072
592.00	0.14118
592.50	0.14206
593.00	0.14414
593.50	0.14681
594.00	0.14810
594.50	0.14920
595.00	0.15231
595.50	0.15351
596.00	0.15512
596.50	0.15649
597.00	0.15722
597.50	0.15863
598.00	0.15936
598.50	0.16007
599.00	0.16055
599.50	0.16193
600.00	0.16300
600.50	0.16396
601.00	0.16432
601.50	0.16497
602.00	0.16662
602.50	0.16892
603.00	0.17099
603.50	0.17346
604.00	0.17581
604.50	0.17927
605.00	0.18126
605.50	0.18534
606.00	0.18763
606.50	0.19290
607.00	0.19443
607.50	0.20066
608.00	0.20391
608.50	0.21004
609.00	0.21210
609.50	0.21837
610.00	0.22251
610.50	0.22957
611.00	0.23299
611.50	0.24050
612.00	0.24576
612.50	0.25080
613.00	0.25585
613.50	0.26242
614.00	0.26698
614.50	0.27447
615.00	0.27868
615.50	0.28495
616.00	0.29123
616.50	0.29931
617.00	0.30283
617.50	0.30972
618.00	0.31611
618.50	0.32357
619.00	0.32776
619.50	0.33743
620.00	0.34091
620.50	0.35228
621.00	0.35788
621.50	0.36649
622.00	0.37203
622.50	0.38138
623.00	0.38709
623.50	0.39189
624.00	0.39690
624.50	0.40149
625.00	0.40414
625.50	0.40246
626.00	0.39975
626.50	0.39760
627.00	0.39257
627.50	0.38498
628.00	0.37759
628.50	0.36347
629.00	0.35722
629.50	0.34288
630.00	0.33431
630.50	0.31516
631.00	0.30936
631.50	0.29149
632.00	0.27997
632.50	0.26106
633.00	0.25311
633.50	0.23566
634.00	0.22517
634.50	0.20945
635.00	0.20195
635.50	0.18553
636.00	0.17641
636.50	0.16245
637.00	0.15506
637.50	0.14287
638.00	0.13578
638.50	0.12634
639.00	0.11991
639.50	0.11186
640.00	0.10612
640.50	0.097813
641.00	0.094161
641.50	0.086936
642.00	0.083755
642.50	0.077182
643.00	0.074169
643.50	0.069363
644.00	0.067087
644.50	0.062266
645.00	0.060847
645.50	0.058127
646.00	0.056814
646.50	0.052766
647.00	0.051623
647.50	0.049215
648.00	0.047685
648.50	0.046007
649.00	0.045129
649.50	0.043377
650.00	0.042656
650.50	0.041488
651.00	0.039939
651.50	0.039283
652.00	0.039619
652.50	0.038284
653.00	0.037731
653.50	0.037231
654.00	0.037413
654.50	0.036072
655.00	0.035624
655.50	0.034861
656.00	0.034542
656.50	0.033408
657.00	0.032660
657.50	0.032003
658.00	0.031178
658.50	0.030783
659.00	0.029891
659.50	0.028466
660.00	0.028200
660.50	0.027822
661.00	0.027336
661.50	0.026458
662.00	0.026438
662.50	0.025862
663.00	0.024848
663.50	0.024939
664.00	0.025050
664.50	0.024246
665.00	0.024132
665.50	0.024058
666.00	0.023304
666.50	0.023075
667.00	0.022433
667.50	0.022482
668.00	0.022433
668.50	0.022157
669.00	0.022427
669.50	0.022169
670.00	0.021765
670.50	0.021873
671.00	0.021596
671.50	0.021129
672.00	0.021125
672.50	0.021012
673.00	0.020662
673.50	0.020238
674.00	0.020303
674.50	0.019552
675.00	0.019614
675.50	0.019080
676.00	0.019547
676.50	0.019304
677.00	0.018166
677.50	0.018672
678.00	0.018496
678.50	0.017967
679.00	0.017655
679.50	0.017559
680.00	0.017056
680.50	0.016993
681.00	0.016277
681.50	0.016455
682.00	0.016075
682.50	0.015641
683.00	0.015616
683.50	0.015042
684.00	0.015165
684.50	0.014440
685.00	0.014622
685.50	0.014093
686.00	0.014453
686.50	0.013840
687.00	0.013575
687.50	0.013890
688.00	0.013226
688.50	0.013390
689.00	0.013147
689.50	0.012794
690.00	0.012740
690.50	0.012356
691.00	0.012217
691.50	0.012153
692.00	0.012539
692.50	0.011287
693.00	0.011445
693.50	0.011475
694.00	0.010933
694.50	0.010591
695.00	0.010390
695.50	0.010038
696.00	0.0099720
696.50	0.0094620
697.00	0.0095170
697.50	0.0089627
698.00	0.0086182
698.50	0.0083318
699.00	0.0082805
699.50	0.0077458
700.00	0.0079199
700.50	0.0073047
701.00	0.0070798
701.50	0.0069749
702.00	0.0069106
702.50	0.0063620
703.00	0.0062004
703.50	0.0060877
704.00	0.0058767
704.50	0.0054969
705.00	0.0054851
705.50	0.0056984
706.00	0.0053379
706.50	0.0048973
707.00	0.0049218
707.50	0.0048412
708.00	0.0047294
708.50	0.0043222
709.00	0.0045089
709.50	0.0038355
710.00	0.0041205
710.50	0.0038427
711.00	0.0038598
711.50	0.0037085
712.00	0.0037376
712.50	0.0032375
713.00	0.0035702
713.50	0.0035843
714.00	0.0039048
714.50	0.0031980
715.00	0.0032370
715.50	0.0033180
716.00	0.0034936
716.50	0.0033077
717.00	0.0030907
717.50	0.0030333
718.00	0.0032057
718.50	0.0028479
719.00	0.0029819
719.50	0.0025690
720.00	0.0030719
720.50	0.0025625
721.00	0.0026600
721.50	0.0026279
722.00	0.0026355
722.50	0.0032340
723.00	0.0022966
723.50	0.0028487
724.00	0.0026336
724.50	0.0022063
725.00	0.0028366
725.50	0.0024167
726.00	0.0026474
726.50	0.0028380
727.00	0.0024842
727.50	0.0024959
728.00	0.0027382
728.50	0.0024031
729.00	0.0021356
729.50	0.0026766
730.00	0.0024013
730.50	0.0024067
731.00	0.0023948
731.50	0.0021465
732.00	0.0025264
732.50	0.0022868
733.00	0.0022964
733.50	0.0025543
734.00	0.0026547
734.50	0.0026903
735.00	0.0024968
735.50	0.0021240
736.00	0.0023511
736.50	0.0017141
737.00	0.0022444
737.50	0.0022146
738.00	0.0028857
738.50	0.0026261
739.00	0.0023567
739.50	0.0027025
740.00	0.0021349
740.50	0.0020383
741.00	0.0019208
741.50	0.0023506
742.00	0.0024108
742.50	0.0022666
743.00	0.0030717
743.50	0.0019323
744.00	0.0019976
744.50	0.0020838
745.00	0.0019393
745.50	0.0018548
746.00	0.0025822
746.50	0.0019874
747.00	0.0020895
747.50	0.0028306
748.00	0.0023039
748.50	0.0020760
749.00	0.0020307
749.50	0.0018628
750.00	0.0020896
