Wavelength (nm) 	Q08 abs N
350.00	0.048013
350.25	0.046420
350.50	0.042834
350.75	0.046667
351.00	0.049868
351.25	0.049027
351.50	0.044474
351.75	0.050407
352.00	0.043875
352.25	0.044867
352.50	0.045700
352.75	0.049157
353.00	0.045391
353.25	0.047304
353.50	0.048270
353.75	0.049935
354.00	0.048125
354.25	0.048097
354.50	0.050488
354.75	0.047803
355.00	0.050909
355.25	0.050465
355.50	0.053022
355.75	0.052000
356.00	0.050187
356.25	0.050134
356.50	0.048452
356.75	0.052831
357.00	0.050602
357.25	0.052049
357.50	0.052751
357.75	0.052398
358.00	0.053190
358.25	0.049594
358.50	0.051905
358.75	0.055809
359.00	0.053267
359.25	0.050411
359.50	0.051160
359.75	0.053884
360.00	0.052715
360.25	0.053963
360.50	0.054318
360.75	0.052602
361.00	0.052110
361.25	0.052575
361.50	0.054845
361.75	0.050968
362.00	0.057251
362.25	0.053644
362.50	0.056508
362.75	0.054543
363.00	0.056488
363.25	0.057187
363.50	0.055009
363.75	0.057980
364.00	0.053601
364.25	0.056540
364.50	0.058848
364.75	0.060263
365.00	0.059207
365.25	0.060313
365.50	0.058223
365.75	0.057659
366.00	0.059948
366.25	0.058285
366.50	0.057521
366.75	0.061350
367.00	0.055563
367.25	0.061789
367.50	0.060718
367.75	0.058271
368.00	0.060548
368.25	0.059873
368.50	0.060430
368.75	0.059279
369.00	0.062066
369.25	0.060606
369.50	0.059527
369.75	0.059465
370.00	0.058589
370.25	0.060867
370.50	0.059776
370.75	0.059897
371.00	0.060179
371.25	0.058832
371.50	0.062728
371.75	0.061463
372.00	0.060731
372.25	0.061225
372.50	0.063591
372.75	0.062254
373.00	0.061268
373.25	0.063935
373.50	0.061224
373.75	0.059664
374.00	0.060610
374.25	0.059471
374.50	0.060451
374.75	0.059903
375.00	0.061426
375.25	0.062541
375.50	0.061575
375.75	0.059174
376.00	0.062696
376.25	0.058709
376.50	0.063188
376.75	0.061096
377.00	0.063442
377.25	0.061224
377.50	0.062206
377.75	0.062993
378.00	0.058872
378.25	0.061484
378.50	0.063720
378.75	0.059754
379.00	0.058661
379.25	0.057304
379.50	0.060561
379.75	0.058441
380.00	0.060556
380.25	0.061147
380.50	0.059983
380.75	0.058890
381.00	0.059757
381.25	0.060526
381.50	0.060676
381.75	0.059474
382.00	0.061139
382.25	0.062239
382.50	0.059148
382.75	0.060278
383.00	0.061709
383.25	0.061297
383.50	0.060817
383.75	0.061694
384.00	0.059403
384.25	0.058590
384.50	0.063260
384.75	0.062320
385.00	0.062900
385.25	0.063778
385.50	0.064540
385.75	0.062554
386.00	0.062125
386.25	0.062690
386.50	0.062163
386.75	0.065370
387.00	0.067677
387.25	0.066707
387.50	0.071131
387.75	0.069742
388.00	0.072932
388.25	0.069682
388.50	0.071844
388.75	0.072054
389.00	0.076588
389.25	0.076252
389.50	0.079551
389.75	0.081484
390.00	0.081067
390.25	0.083033
390.50	0.083440
390.75	0.087797
391.00	0.089545
391.25	0.090746
391.50	0.095604
391.75	0.093691
392.00	0.097824
392.25	0.10063
392.50	0.10396
392.75	0.10660
393.00	0.10912
393.25	0.11113
393.50	0.11277
393.75	0.11808
394.00	0.12135
394.25	0.12590
394.50	0.12664
394.75	0.13138
395.00	0.13686
395.25	0.14116
395.50	0.14539
395.75	0.14655
396.00	0.15318
396.25	0.15464
396.50	0.15941
396.75	0.16255
397.00	0.16575
397.25	0.17000
397.50	0.17070
397.75	0.17520
398.00	0.17976
398.25	0.17911
398.50	0.17971
398.75	0.18412
399.00	0.18492
399.25	0.18753
399.50	0.18817
399.75	0.19387
400.00	0.19421
400.25	0.19422
400.50	0.19559
400.75	0.19962
401.00	0.19923
401.25	0.20073
401.50	0.19927
401.75	0.20428
402.00	0.20342
402.25	0.20539
402.50	0.20843
402.75	0.20756
403.00	0.20646
403.25	0.21060
403.50	0.21119
403.75	0.21348
404.00	0.21550
404.25	0.21816
404.50	0.22225
404.75	0.21887
405.00	0.22537
405.25	0.22705
405.50	0.23008
405.75	0.23348
406.00	0.23935
406.25	0.24230
406.50	0.24376
406.75	0.24982
407.00	0.25839
407.25	0.26138
407.50	0.27192
407.75	0.27866
408.00	0.28416
408.25	0.29316
408.50	0.30108
408.75	0.31253
409.00	0.31964
409.25	0.33038
409.50	0.34032
409.75	0.35272
410.00	0.36642
410.25	0.37914
410.50	0.39346
410.75	0.40940
411.00	0.42620
411.25	0.44277
411.50	0.45931
411.75	0.47972
412.00	0.49779
412.25	0.51814
412.50	0.54138
412.75	0.56046
413.00	0.59035
413.25	0.61415
413.50	0.63578
413.75	0.66292
414.00	0.68820
414.25	0.71313
414.50	0.72302
414.75	0.74021
415.00	0.75967
415.25	0.78591
415.50	0.80343
415.75	0.83172
416.00	0.85104
416.25	0.87823
416.50	0.89646
416.75	0.91425
417.00	0.93261
417.25	0.94595
417.50	0.95922
417.75	0.97339
418.00	0.97911
418.25	0.99018
418.50	0.99295
418.75	0.99887
419.00	0.99904
419.25	1.0000
419.50	0.98762
419.75	0.98324
420.00	0.97093
420.25	0.96439
420.50	0.95020
420.75	0.93244
421.00	0.91605
421.25	0.89868
421.50	0.87780
421.75	0.85539
422.00	0.83358
422.25	0.81022
422.50	0.78136
422.75	0.75822
423.00	0.73036
423.25	0.70481
423.50	0.67975
423.75	0.65362
424.00	0.62698
424.25	0.60365
424.50	0.57740
424.75	0.55184
425.00	0.52961
425.25	0.50809
425.50	0.48484
425.75	0.46180
426.00	0.43866
426.25	0.41782
426.50	0.39482
426.75	0.37600
427.00	0.35688
427.25	0.33837
427.50	0.31863
427.75	0.29885
428.00	0.28536
428.25	0.26642
428.50	0.25095
428.75	0.23516
429.00	0.22012
429.25	0.20785
429.50	0.19360
429.75	0.18171
430.00	0.17109
430.25	0.15743
430.50	0.14346
430.75	0.13811
431.00	0.12697
431.25	0.12039
431.50	0.11257
431.75	0.10389
432.00	0.097931
432.25	0.087631
432.50	0.084576
432.75	0.079929
433.00	0.073777
433.25	0.071491
433.50	0.063455
433.75	0.061756
434.00	0.059657
434.25	0.055739
434.50	0.053265
434.75	0.049841
435.00	0.045549
435.25	0.042270
435.50	0.040463
435.75	0.038177
436.00	0.036278
436.25	0.033974
436.50	0.031823
436.75	0.031188
437.00	0.029748
437.25	0.030725
437.50	0.029320
437.75	0.028056
438.00	0.025440
438.25	0.025233
438.50	0.022915
438.75	0.021989
439.00	0.021486
439.25	0.020769
439.50	0.019723
439.75	0.017527
440.00	0.018238
440.25	0.019505
440.50	0.017717
440.75	0.019554
441.00	0.017202
441.25	0.017768
441.50	0.018935
441.75	0.016549
442.00	0.017389
442.25	0.015168
442.50	0.015961
442.75	0.012744
443.00	0.014517
443.25	0.012856
443.50	0.014233
443.75	0.015323
444.00	0.012719
444.25	0.013874
444.50	0.011839
444.75	0.013143
445.00	0.011115
445.25	0.011143
445.50	0.010815
445.75	0.010189
446.00	0.0084459
446.25	0.010057
446.50	0.011309
446.75	0.0080269
447.00	0.0099959
447.25	0.011507
447.50	0.010492
447.75	0.010142
448.00	0.0090736
448.25	0.010012
448.50	0.0090905
448.75	0.0092703
449.00	0.0087477
449.25	0.0067482
449.50	0.0080518
449.75	0.0093216
450.00	0.0082693
450.25	0.0058099
450.50	0.0082476
450.75	0.0074225
451.00	0.0082235
451.25	0.0078013
451.50	0.0077716
451.75	0.0052713
452.00	0.0071279
452.25	0.0057047
452.50	0.0060442
452.75	0.0061085
453.00	0.0064793
453.25	0.0067795
453.50	0.0062072
453.75	0.0066495
454.00	0.0060001
454.25	0.0055305
454.50	0.0049927
454.75	0.0045753
455.00	0.0051525
455.25	0.0048900
455.50	0.0053868
455.75	0.0059415
456.00	0.0058211
456.25	0.0068116
456.50	0.0059712
456.75	0.0074754
457.00	0.0061293
457.25	0.0081007
457.50	0.0063204
457.75	0.0071520
458.00	0.0051131
458.25	0.0048073
458.50	0.0039035
458.75	0.0033512
459.00	0.0053756
459.25	0.0063461
459.50	0.0054005
459.75	0.0068293
460.00	0.0051019
460.25	0.0052006
460.50	0.0069128
460.75	0.0049036
461.00	0.0048001
461.25	0.0058644
461.50	0.0067956
461.75	0.0060451
462.00	0.0054278
462.25	0.0051107
462.50	0.0066663
462.75	0.0060362
463.00	0.0059608
463.25	0.0046869
463.50	0.0046299
463.75	0.0053154
464.00	0.0037662
464.25	0.0062249
464.50	0.0058075
464.75	0.0040969
465.00	0.0059094
465.25	0.0054206
465.50	0.0044501
465.75	0.0048113
466.00	0.0044228
466.25	0.0044790
466.50	0.0043586
466.75	0.0047038
467.00	0.0062658
467.25	0.0063862
467.50	0.0084973
467.75	0.0060178
468.00	0.0075983
468.25	0.0048876
468.50	0.0065371
468.75	0.0048354
469.00	0.0044621
469.25	0.0052159
469.50	0.0073502
469.75	0.0049919
470.00	0.0061438
470.25	0.0050457
470.50	0.0058355
470.75	0.0058412
471.00	0.0064175
471.25	0.0081072
471.50	0.0086016
471.75	0.0079346
472.00	0.0077492
472.25	0.0069376
472.50	0.0071809
472.75	0.0068774
473.00	0.0057344
473.25	0.0054872
473.50	0.0058757
473.75	0.0065387
474.00	0.0060643
474.25	0.0063878
474.50	0.0063148
474.75	0.0069906
475.00	0.0076199
475.25	0.0080148
475.50	0.0073558
475.75	0.0080879
476.00	0.0079458
476.25	0.0096018
476.50	0.0077419
476.75	0.0081987
477.00	0.0071552
477.25	0.0078575
477.50	0.0089219
477.75	0.0093754
478.00	0.0079121
478.25	0.0070596
478.50	0.0082099
478.75	0.0089620
479.00	0.0067940
479.25	0.0080165
479.50	0.0085751
479.75	0.0096716
480.00	0.0091474
480.25	0.0079426
480.50	0.0079025
480.75	0.0096772
481.00	0.0094573
481.25	0.010092
481.50	0.0084210
481.75	0.0084908
482.00	0.0098217
482.25	0.010840
482.50	0.0086650
482.75	0.0080269
483.00	0.0097800
483.25	0.0096186
483.50	0.0075983
483.75	0.0092743
484.00	0.0078792
484.25	0.010853
484.50	0.0076801
484.75	0.0074152
485.00	0.0085342
485.25	0.0068839
485.50	0.0073245
485.75	0.0085840
486.00	0.0098121
486.25	0.0061285
486.50	0.0072756
486.75	0.0081706
487.00	0.0086369
487.25	0.0085912
487.50	0.0093272
487.75	0.0092462
488.00	0.0093096
488.25	0.011031
488.50	0.0087276
488.75	0.0087453
489.00	0.0085486
489.25	0.0069641
489.50	0.0090744
489.75	0.0073318
490.00	0.0071640
490.25	0.0075292
490.50	0.0091571
490.75	0.0093987
491.00	0.0098321
491.25	0.0078888
491.50	0.0085751
491.75	0.0095777
492.00	0.010417
492.25	0.0094645
492.50	0.010416
492.75	0.0083769
493.00	0.0079795
493.25	0.0089363
493.50	0.0097824
493.75	0.0092165
494.00	0.0091121
494.25	0.010345
494.50	0.0098121
494.75	0.010773
495.00	0.010371
495.25	0.011101
495.50	0.010388
495.75	0.0095103
496.00	0.010357
496.25	0.011010
496.50	0.013020
496.75	0.012861
497.00	0.013052
497.25	0.012910
497.50	0.013486
497.75	0.012977
498.00	0.014650
498.25	0.015113
498.50	0.016223
498.75	0.015540
499.00	0.015441
499.25	0.015274
499.50	0.015281
499.75	0.018835
500.00	0.019773
500.25	0.020299
500.50	0.020623
500.75	0.021147
501.00	0.020976
501.25	0.021207
501.50	0.021832
501.75	0.021059
502.00	0.022792
502.25	0.023822
502.50	0.023687
502.75	0.023933
503.00	0.025289
503.25	0.025074
503.50	0.027613
503.75	0.026287
504.00	0.027328
504.25	0.027649
504.50	0.030114
504.75	0.030664
505.00	0.028088
505.25	0.032014
505.50	0.030252
505.75	0.033527
506.00	0.034215
506.25	0.033894
506.50	0.034234
506.75	0.035283
507.00	0.034966
507.25	0.036729
507.50	0.035126
507.75	0.036534
508.00	0.035888
508.25	0.037320
508.50	0.040099
508.75	0.038003
509.00	0.038859
509.25	0.041265
509.50	0.040504
509.75	0.041192
510.00	0.041691
510.25	0.040590
510.50	0.041194
510.75	0.043316
511.00	0.041020
511.25	0.043681
511.50	0.044059
511.75	0.045301
512.00	0.045312
512.25	0.044334
512.50	0.045722
512.75	0.045559
513.00	0.045073
513.25	0.044134
513.50	0.044430
513.75	0.046220
514.00	0.044247
514.25	0.046860
514.50	0.045155
514.75	0.046091
515.00	0.045687
515.25	0.045103
515.50	0.044222
515.75	0.046500
516.00	0.044871
516.25	0.042575
516.50	0.043132
516.75	0.043878
517.00	0.042661
517.25	0.042476
517.50	0.040167
517.75	0.041676
518.00	0.042314
518.25	0.040867
518.50	0.040521
518.75	0.039923
519.00	0.039670
519.25	0.038312
519.50	0.037931
519.75	0.035105
520.00	0.035970
520.25	0.035679
520.50	0.036487
520.75	0.035556
521.00	0.034010
521.25	0.033640
521.50	0.032188
521.75	0.031890
522.00	0.031723
522.25	0.030398
522.50	0.028331
522.75	0.028916
523.00	0.028587
523.25	0.027973
523.50	0.027670
523.75	0.027226
524.00	0.025951
524.25	0.024634
524.50	0.023701
524.75	0.023035
525.00	0.023288
525.25	0.022954
525.50	0.021567
525.75	0.020555
526.00	0.019504
526.25	0.020614
526.50	0.020118
526.75	0.019821
527.00	0.019069
527.25	0.018889
527.50	0.017068
527.75	0.016593
528.00	0.015869
528.25	0.015494
528.50	0.015457
528.75	0.013960
529.00	0.015708
529.25	0.012982
529.50	0.014205
529.75	0.014136
530.00	0.012545
530.25	0.011757
530.50	0.014749
530.75	0.012520
531.00	0.012227
531.25	0.010478
531.50	0.010446
531.75	0.011166
532.00	0.010768
532.25	0.010177
532.50	0.010751
532.75	0.010665
533.00	0.010037
533.25	0.0095841
533.50	0.0095239
533.75	0.0096291
534.00	0.0082123
534.25	0.010282
534.50	0.0095945
534.75	0.0094757
535.00	0.0083375
535.25	0.0081336
535.50	0.0093650
535.75	0.0099943
536.00	0.0093280
536.25	0.0085976
536.50	0.0098691
536.75	0.0094139
537.00	0.0085045
537.25	0.010382
537.50	0.0099341
537.75	0.0097270
538.00	0.010891
538.25	0.010841
538.50	0.010003
538.75	0.010994
539.00	0.011713
539.25	0.011804
539.50	0.011836
539.75	0.012000
540.00	0.011549
540.25	0.010985
540.50	0.011805
540.75	0.012656
541.00	0.013248
541.25	0.013242
541.50	0.012874
541.75	0.014352
542.00	0.013592
542.25	0.015511
542.50	0.014155
542.75	0.015748
543.00	0.015916
543.25	0.015591
543.50	0.014964
543.75	0.016393
544.00	0.018143
544.25	0.017616
544.50	0.016195
544.75	0.018187
545.00	0.017442
545.25	0.019334
545.50	0.018447
545.75	0.019240
546.00	0.019258
546.25	0.019054
546.50	0.017894
546.75	0.019513
547.00	0.019916
547.25	0.018984
547.50	0.018211
547.75	0.018340
548.00	0.018639
548.25	0.016844
548.50	0.018981
548.75	0.019527
549.00	0.018886
549.25	0.019139
549.50	0.018996
549.75	0.018459
550.00	0.017100
550.25	0.019568
550.50	0.018998
550.75	0.019159
551.00	0.017661
551.25	0.017474
551.50	0.018050
551.75	0.017715
552.00	0.016543
552.25	0.017892
552.50	0.017379
552.75	0.016634
553.00	0.016311
553.25	0.018088
553.50	0.016087
553.75	0.016588
554.00	0.014237
554.25	0.014505
554.50	0.012793
554.75	0.014208
555.00	0.014144
555.25	0.013364
555.50	0.013124
555.75	0.012324
556.00	0.013903
556.25	0.012459
556.50	0.012706
556.75	0.012630
557.00	0.011523
557.25	0.011617
557.50	0.010483
557.75	0.0098482
558.00	0.010094
558.25	0.010170
558.50	0.0092983
558.75	0.010404
559.00	0.0098506
559.25	0.0097695
559.50	0.0092165
559.75	0.0087678
560.00	0.0093425
560.25	0.0076272
560.50	0.0080237
560.75	0.0096226
561.00	0.0070693
561.25	0.0093842
561.50	0.0072563
561.75	0.0074048
562.00	0.0065395
562.25	0.0066463
562.50	0.0079900
562.75	0.0081818
563.00	0.0078495
563.25	0.0057970
563.50	0.0079378
563.75	0.0061085
564.00	0.0037526
564.25	0.0081232
564.50	0.0063685
564.75	0.0079964
565.00	0.0070629
565.25	0.0049373
565.50	0.0072178
565.75	0.0067129
566.00	0.0040777
566.25	0.0061277
566.50	0.0062337
566.75	0.0049646
567.00	0.0059359
567.25	0.0055249
567.50	0.0052078
567.75	0.0046123
568.00	0.0069425
568.25	0.0062658
568.50	0.0051773
568.75	0.0045320
569.00	0.0047969
569.25	0.0044252
569.50	0.0064039
569.75	0.0059447
570.00	0.0060852
570.25	0.0050361
570.50	0.0049462
570.75	0.0067932
571.00	0.0050561
571.25	0.0048218
571.50	0.0049004
571.75	0.0049702
572.00	0.0039452
572.25	0.0052151
572.50	0.0046139
572.75	0.0028062
573.00	0.0056429
573.25	0.0059271
573.50	0.0056212
573.75	0.0056236
574.00	0.0037622
574.25	0.0037044
574.50	0.0048362
574.75	0.0036691
575.00	0.0039589
575.25	0.0051236
575.50	0.0054286
575.75	0.0060707
576.00	0.0049044
576.25	0.0056365
576.50	0.0036651
576.75	0.0051268
577.00	0.0058661
577.25	0.0056236
577.50	0.0055121
577.75	0.0049967
578.00	0.0061582
578.25	0.0058628
578.50	0.0068012
578.75	0.0062546
579.00	0.0049839
579.25	0.0060635
579.50	0.0061414
579.75	0.0060948
580.00	0.0062224
580.25	0.0071255
580.50	0.0066543
580.75	0.0070893
581.00	0.0058339
581.25	0.0071632
581.50	0.0086883
581.75	0.0081248
582.00	0.0080951
582.25	0.0066166
582.50	0.0079354
582.75	0.0089540
583.00	0.0079290
583.25	0.0090688
583.50	0.0084483
583.75	0.010069
584.00	0.0091049
584.25	0.0092125
584.50	0.010195
584.75	0.011617
585.00	0.010425
585.25	0.011216
585.50	0.010714
585.75	0.010640
586.00	0.011704
586.25	0.010288
586.50	0.011850
586.75	0.010674
587.00	0.011615
587.25	0.011621
587.50	0.011929
587.75	0.012215
588.00	0.012696
588.25	0.012323
588.50	0.013170
588.75	0.013442
589.00	0.011576
589.25	0.013829
589.50	0.013602
589.75	0.012685
590.00	0.012536
590.25	0.012830
590.50	0.013641
590.75	0.013729
591.00	0.013729
591.25	0.014383
591.50	0.012399
591.75	0.015999
592.00	0.013823
592.25	0.012856
592.50	0.012817
592.75	0.013680
593.00	0.013109
593.25	0.012478
593.50	0.012099
593.75	0.012984
594.00	0.012895
594.25	0.011008
594.50	0.011027
594.75	0.012113
595.00	0.013024
595.25	0.012307
595.50	0.011984
595.75	0.012211
596.00	0.012169
596.25	0.011834
596.50	0.010362
596.75	0.010764
597.00	0.011857
597.25	0.010819
597.50	0.0099509
597.75	0.011042
598.00	0.010789
598.25	0.011554
598.50	0.010608
598.75	0.011565
599.00	0.010958
599.25	0.011194
599.50	0.010799
599.75	0.0097888
600.00	0.0083648
600.25	0.0088023
600.50	0.0085358
600.75	0.0096050
601.00	0.0092839
601.25	0.0094998
601.50	0.0099798
601.75	0.0075878
602.00	0.0083560
602.25	0.0083584
602.50	0.0089098
602.75	0.0080012
603.00	0.0063228
603.25	0.0087413
603.50	0.0067795
603.75	0.0069152
604.00	0.0063709
604.25	0.0067193
604.50	0.0055763
604.75	0.0054960
605.00	0.0059800
605.25	0.0080100
605.50	0.0060884
605.75	0.0056461
606.00	0.0042623
606.25	0.0058869
606.50	0.0055755
606.75	0.0054462
607.00	0.0043104
607.25	0.0062337
607.50	0.0052103
607.75	0.0046797
608.00	0.0047864
608.25	0.0054976
608.50	0.0056325
608.75	0.0050008
609.00	0.0057184
609.25	0.0052400
609.50	0.0040544
609.75	0.0035013
610.00	0.0043257
610.25	0.0033721
610.50	0.0018446
610.75	0.0044437
611.00	0.0054190
611.25	0.0037855
611.50	0.0046420
611.75	0.0018943
612.00	0.0052119
612.25	0.0031401
612.50	0.0037847
612.75	0.0033440
613.00	0.0025188
613.25	0.0032445
613.50	0.0028118
613.75	0.0038778
614.00	0.0039781
614.25	0.0029691
614.50	0.0024273
614.75	0.0029009
615.00	0.0025951
615.25	0.0038409
615.50	0.0034435
615.75	0.0036177
616.00	0.0023158
616.25	0.0020661
616.50	0.0010724
616.75	0.0015548
617.00	0.0011310
617.25	0.0046275
617.50	0.0014376
617.75	0.0027966
618.00	0.0018534
618.25	0.00096965
618.50	0.0011936
618.75	0.0019024
619.00	0.0029242
619.25	0.0029467
619.50	0.0030374
619.75	0.0030422
620.00	0.00065580
620.25	0.0024386
620.50	0.0024313
620.75	0.0019257
621.00	0.00096162
621.25	0.0015339
621.50	0.0010315
621.75	0.0025461
622.00	0.0022194
622.25	0.0022548
622.50	0.0017868
622.75	0.0014328
623.00	0.00075854
623.25	0.0014834
623.50	0.0017041
623.75	0.0013782
624.00	0.00080189
624.25	0.0023302
624.50	0.0024610
624.75	0.0040303
625.00	0.00034275
625.25	0.0021624
625.50	0.0011615
625.75	0.0023575
626.00	0.0017458
626.25	0.0028905
626.50	0.0014055
626.75	0.0016086
627.00	0.00019907
627.25	0.0016704
627.50	0.00044308
627.75	0.0034740
628.00	0.0012329
628.25	0.0021014
628.50	0.0029555
628.75	0.0012434
629.00	0.0030141
629.25	0.0010868
629.50	0.0020677
629.75	0.0021689
630.00	0.0038007
630.25	0.0026256
630.50	0.0010836
630.75	0.0027059
631.00	0.0043185
631.25	-0.00037646
631.50	0.0027637
631.75	0.0020196
632.00	0.0020790
632.25	0.0021496
632.50	0.0034395
632.75	0.0022740
633.00	0.0024233
633.25	0.0031586
633.50	0.0027564
633.75	0.0027131
634.00	0.0027741
634.25	0.0018133
634.50	0.0029627
634.75	0.0024891
635.00	0.0016519
635.25	0.0026970
635.50	0.0022692
635.75	0.0034941
636.00	0.0027059
636.25	0.0037116
636.50	0.0048996
636.75	0.0024667
637.00	0.0035920
637.25	0.0044509
637.50	0.0052785
637.75	0.0032862
638.00	0.0067530
638.25	0.0051621
638.50	0.0029675
638.75	0.0029081
639.00	0.0062112
639.25	0.0047319
639.50	0.0027909
639.75	0.0045761
640.00	0.0047262
640.25	0.0033424
640.50	0.0047150
640.75	0.0067538
641.00	0.0065459
641.25	0.0061550
641.50	0.0050040
641.75	0.0089909
642.00	0.0056060
642.25	0.0070725
642.50	0.0071616
642.75	0.0064930
643.00	0.0085896
643.25	0.0061743
643.50	0.0079554
643.75	0.0085807
644.00	0.0082549
644.25	0.0076424
644.50	0.0083343
644.75	0.0091763
645.00	0.0077925
645.25	0.0074209
645.50	0.0078969
645.75	0.0094822
646.00	0.0087469
646.25	0.011103
646.50	0.0081746
646.75	0.0074361
647.00	0.0082597
647.25	0.0093826
647.50	0.0097190
647.75	0.0067209
648.00	0.0098659
648.25	0.0084523
648.50	0.0093698
648.75	0.0093650
649.00	0.0083985
649.25	0.0069561
649.50	0.0093024
649.75	0.0088922
650.00	0.0084347
650.25	0.0075003
650.50	0.0062859
650.75	0.0068261
651.00	0.0078037
651.25	0.0079924
651.50	0.0068349
651.75	0.0045962
652.00	0.0046540
652.25	0.0049991
652.50	0.0046315
652.75	0.0050907
653.00	0.0047471
653.25	0.0090311
653.50	0.0021705
653.75	0.0061574
654.00	0.0039195
654.25	0.0038826
654.50	0.0050915
654.75	0.0053788
655.00	0.0043040
655.25	0.0029740
655.50	0.0050369
655.75	0.0059062
656.00	0.0021616
656.25	0.0032694
656.50	0.0013108
656.75	0.0041475
657.00	0.0038393
657.25	0.0012650
657.50	0.0021528
657.75	0.0048354
658.00	0.00097768
658.25	0.0037574
658.50	0.0029186
658.75	0.0027115
659.00	0.0019562
659.25	0.0032782
659.50	0.0023358
659.75	0.0022588
660.00	0.0036522
660.25	-6.1004e-05
660.50	0.0015845
660.75	0.0029900
661.00	0.0020123
661.25	0.0039067
661.50	0.0015636
661.75	0.00033873
662.00	0.00034034
662.25	0.0034299
662.50	-0.00054503
662.75	0.0033761
663.00	0.00088858
663.25	0.0021319
663.50	0.0011783
663.75	0.0018333
664.00	0.0020798
664.25	-0.00018462
664.50	-0.00027612
664.75	0.0015516
665.00	0.0018133
665.25	0.0012249
665.50	0.0013750
665.75	0.0024065
666.00	-0.0013357
666.25	0.00078262
666.50	0.0023647
666.75	0.0023366
667.00	-0.00012522
667.25	0.0018406
667.50	-0.00030021
667.75	0.00019746
668.00	0.00025204
668.25	0.0010804
668.50	0.00040054
668.75	0.0018213
669.00	0.0017386
669.25	0.0023768
669.50	-0.00087654
669.75	0.0025542
670.00	0.0019080
670.25	0.0012129
670.50	0.0022403
670.75	0.0019385
671.00	7.0637e-05
671.25	0.00041820
671.50	0.0024089
671.75	0.00093754
672.00	0.0010604
672.25	0.00078262
672.50	0.00082436
672.75	0.00052255
673.00	0.0025349
673.25	-0.0012361
673.50	0.0015925
673.75	0.0015564
674.00	0.00071038
674.25	0.0017041
674.50	0.00044308
674.75	0.0023061
675.00	0.0018366
675.25	0.0023800
675.50	0.0028158
675.75	-0.00021833
676.00	0.00099453
676.25	-0.00017900
676.50	0.0016094
676.75	0.0015901
677.00	0.00041338
677.25	0.0010250
677.50	0.00075051
677.75	0.00057713
678.00	0.00079868
678.25	0.00010515
678.50	-0.00029940
678.75	0.00055546
679.00	0.0014216
679.25	0.0019232
679.50	0.0027765
679.75	0.00052335
680.00	0.0023222
680.25	0.00059158
680.50	0.0028937
680.75	0.0012610
681.00	-0.00073607
681.25	0.0021721
681.50	0.0011101
681.75	0.00032188
682.00	0.0037566
682.25	0.00052897
682.50	-0.00083480
682.75	0.00029860
683.00	0.0031859
683.25	0.0019602
683.50	0.0013325
683.75	-0.00056028
684.00	0.0014456
