Wavelength (nm)	Q-8, 917-23-7, H2TPP.ems
600.00	0.0047721
601.00	0.0050606
602.00	0.0052927
603.00	0.0056141
604.00	0.0059293
605.00	0.0061305
606.00	0.0064611
607.00	0.0066442
608.00	0.0068940
609.00	0.0070100
610.00	0.0070005
611.00	0.0069207
612.00	0.0069303
613.00	0.0068733
614.00	0.0067696
615.00	0.0067462
616.00	0.0068785
617.00	0.0070110
618.00	0.0072304
619.00	0.0074729
620.00	0.0079645
621.00	0.0087001
622.00	0.0094340
623.00	0.010522
624.00	0.012160
625.00	0.014508
626.00	0.017329
627.00	0.021073
628.00	0.026203
629.00	0.032177
630.00	0.040088
631.00	0.049616
632.00	0.062401
633.00	0.078249
634.00	0.098273
635.00	0.12395
636.00	0.15927
637.00	0.19979
638.00	0.25458
639.00	0.31930
640.00	0.39345
641.00	0.48237
642.00	0.56993
643.00	0.66548
644.00	0.75105
645.00	0.82703
646.00	0.89439
647.00	0.94384
648.00	0.98085
649.00	1.0000
650.00	0.99002
651.00	0.99002
652.00	0.95797
653.00	0.93744
654.00	0.89677
655.00	0.86102
656.00	0.82712
657.00	0.78644
658.00	0.74880
659.00	0.71139
660.00	0.67277
661.00	0.63746
662.00	0.60324
663.00	0.56935
664.00	0.52958
665.00	0.49775
666.00	0.46667
667.00	0.43539
668.00	0.40734
669.00	0.38222
670.00	0.35684
671.00	0.33617
672.00	0.31534
673.00	0.29887
674.00	0.28448
675.00	0.27300
676.00	0.26143
677.00	0.25380
678.00	0.24546
679.00	0.24418
680.00	0.23977
681.00	0.23870
682.00	0.23809
683.00	0.23970
684.00	0.24088
685.00	0.24553
686.00	0.24865
687.00	0.25094
688.00	0.25560
689.00	0.26009
690.00	0.26601
691.00	0.26927
692.00	0.27907
693.00	0.28586
694.00	0.29706
695.00	0.31163
696.00	0.32713
697.00	0.34766
698.00	0.37217
699.00	0.39733
700.00	0.42895
701.00	0.45715
702.00	0.48864
703.00	0.52307
704.00	0.55401
705.00	0.58176
706.00	0.61372
707.00	0.63983
708.00	0.66660
709.00	0.69494
710.00	0.71838
711.00	0.74786
712.00	0.77090
713.00	0.78666
714.00	0.81360
715.00	0.82355
716.00	0.83843
717.00	0.83975
718.00	0.83639
719.00	0.82462
720.00	0.79896
721.00	0.77211
722.00	0.74491
723.00	0.70558
724.00	0.67145
725.00	0.62911
726.00	0.59223
727.00	0.55552
728.00	0.52297
729.00	0.48457
730.00	0.45059
731.00	0.41736
732.00	0.38847
733.00	0.36028
734.00	0.33465
735.00	0.30892
736.00	0.28537
737.00	0.26744
738.00	0.24455
739.00	0.22911
740.00	0.21213
741.00	0.19439
742.00	0.18167
743.00	0.16725
744.00	0.15505
745.00	0.14173
746.00	0.13123
747.00	0.12131
748.00	0.11195
749.00	0.10475
750.00	0.097464
751.00	0.091292
752.00	0.085616
753.00	0.081261
754.00	0.077196
755.00	0.072776
756.00	0.068566
757.00	0.065007
758.00	0.062073
759.00	0.060236
760.00	0.057211
761.00	0.055964
762.00	0.053957
763.00	0.052740
764.00	0.051424
765.00	0.050428
766.00	0.048755
767.00	0.048724
768.00	0.047485
769.00	0.046985
770.00	0.047066
771.00	0.046764
772.00	0.046899
773.00	0.046408
774.00	0.046032
775.00	0.046361
776.00	0.045992
777.00	0.046630
778.00	0.046412
779.00	0.046465
780.00	0.046218
781.00	0.045907
782.00	0.045762
783.00	0.046266
784.00	0.046434
785.00	0.045305
786.00	0.045554
787.00	0.046033
788.00	0.045147
789.00	0.045075
790.00	0.045206
791.00	0.044372
792.00	0.043564
793.00	0.043232
794.00	0.042135
795.00	0.041386
796.00	0.040950
797.00	0.038884
798.00	0.038566
799.00	0.038109
800.00	0.036315
