Wavelength (nm)	Q-13, 4648207, ZnTMP.ems
570.00	0.024579
571.00	0.025493
572.00	0.027145
573.00	0.028769
574.00	0.031595
575.00	0.034355
576.00	0.038618
577.00	0.044432
578.00	0.052557
579.00	0.062675
580.00	0.074846
581.00	0.088574
582.00	0.10535
583.00	0.12161
584.00	0.14115
585.00	0.16040
586.00	0.18020
587.00	0.19709
588.00	0.21327
589.00	0.22613
590.00	0.23718
591.00	0.24495
592.00	0.25127
593.00	0.25600
594.00	0.25718
595.00	0.25783
596.00	0.25629
597.00	0.25445
598.00	0.25151
599.00	0.24817
600.00	0.24272
601.00	0.23702
602.00	0.23092
603.00	0.22413
604.00	0.21732
605.00	0.21281
606.00	0.20702
607.00	0.20392
608.00	0.20044
609.00	0.19880
610.00	0.19767
611.00	0.19831
612.00	0.19961
613.00	0.20294
614.00	0.20671
615.00	0.21209
616.00	0.21833
617.00	0.22650
618.00	0.23508
619.00	0.24446
620.00	0.25694
621.00	0.27026
622.00	0.28600
623.00	0.30248
624.00	0.32102
625.00	0.34262
626.00	0.36831
627.00	0.39486
628.00	0.42914
629.00	0.46271
630.00	0.50444
631.00	0.54376
632.00	0.58690
633.00	0.63389
634.00	0.67982
635.00	0.72451
636.00	0.77352
637.00	0.82108
638.00	0.86566
639.00	0.90217
640.00	0.93975
641.00	0.97068
642.00	0.99146
643.00	1.0000
644.00	0.99649
645.00	0.98612
646.00	0.96265
647.00	0.93206
648.00	0.88999
649.00	0.84522
650.00	0.79102
651.00	0.74456
652.00	0.68927
653.00	0.64042
654.00	0.58918
655.00	0.54931
656.00	0.50842
657.00	0.46551
658.00	0.42737
659.00	0.39344
660.00	0.35795
661.00	0.32835
662.00	0.29874
663.00	0.27575
664.00	0.25082
665.00	0.22768
666.00	0.20695
667.00	0.18984
668.00	0.17332
669.00	0.15917
670.00	0.14395
671.00	0.13241
672.00	0.12140
673.00	0.11137
674.00	0.10160
675.00	0.094964
676.00	0.087961
677.00	0.081604
678.00	0.075991
679.00	0.071521
680.00	0.068870
681.00	0.065069
682.00	0.062462
683.00	0.060177
684.00	0.057657
685.00	0.055940
686.00	0.053684
687.00	0.053042
688.00	0.051868
689.00	0.050940
690.00	0.049758
691.00	0.049636
692.00	0.049265
693.00	0.048732
694.00	0.048036
695.00	0.047807
696.00	0.046693
697.00	0.046450
698.00	0.045924
699.00	0.045771
700.00	0.044862
701.00	0.044737
702.00	0.044130
703.00	0.043536
704.00	0.042461
705.00	0.042365
706.00	0.041361
707.00	0.040472
708.00	0.039505
709.00	0.037616
710.00	0.037237
711.00	0.036019
712.00	0.035132
713.00	0.034149
714.00	0.032192
715.00	0.030792
716.00	0.029757
717.00	0.029086
718.00	0.027281
719.00	0.026160
720.00	0.024725
721.00	0.023468
722.00	0.022007
723.00	0.021040
724.00	0.019867
725.00	0.018599
726.00	0.017267
727.00	0.016902
728.00	0.015722
729.00	0.014684
730.00	0.014345
731.00	0.013228
732.00	0.012637
733.00	0.012191
734.00	0.010889
735.00	0.010599
736.00	0.010640
737.00	0.0096704
738.00	0.0092710
739.00	0.0084862
740.00	0.0083087
741.00	0.0080783
742.00	0.0078722
743.00	0.0080753
744.00	0.0071446
745.00	0.0068056
746.00	0.0065968
747.00	0.0061990
748.00	0.0065123
749.00	0.0059767
750.00	0.0059496
751.00	0.0059231
752.00	0.0056619
753.00	0.0055032
754.00	0.0054834
755.00	0.0049732
756.00	0.0051523
757.00	0.0048518
758.00	0.0051210
759.00	0.0049498
760.00	0.0047565
761.00	0.0047633
762.00	0.0048851
763.00	0.0047472
764.00	0.0046235
765.00	0.0046618
766.00	0.0043499
767.00	0.0047162
768.00	0.0043248
769.00	0.0044087
770.00	0.0040571
771.00	0.0044209
772.00	0.0042267
773.00	0.0045032
774.00	0.0040251
775.00	0.0042011
776.00	0.0037548
777.00	0.0041346
778.00	0.0040460
779.00	0.0041789
780.00	0.0041195
781.00	0.0037394
782.00	0.0037032
783.00	0.0036989
784.00	0.0034979
785.00	0.0037446
786.00	0.0035258
787.00	0.0034923
788.00	0.0033767
789.00	0.0034398
790.00	0.0031383
791.00	0.0033992
792.00	0.0034244
793.00	0.0031953
794.00	0.0031142
795.00	0.0029202
796.00	0.0028382
797.00	0.0027979
798.00	0.0033598
799.00	0.0024117
800.00	0.0026947
