Wavelength (nm)	Q14 abs N
300.00	0.031555
301.00	0.031214
302.00	0.030922
303.00	0.030760
304.00	0.030669
305.00	0.030439
306.00	0.030293
307.00	0.030083
308.00	0.029970
309.00	0.029632
310.00	0.029483
311.00	0.029193
312.00	0.028771
313.00	0.028608
314.00	0.028464
315.00	0.027943
316.00	0.027589
317.00	0.027463
318.00	0.027243
319.00	0.026978
320.00	0.026681
321.00	0.026891
322.00	0.026731
323.00	0.026623
324.00	0.026707
325.00	0.026558
326.00	0.026707
327.00	0.026605
328.00	0.026489
329.00	0.026560
330.00	0.026364
331.00	0.026288
332.00	0.026415
333.00	0.026440
334.00	0.026613
335.00	0.026825
336.00	0.026973
337.00	0.027360
338.00	0.027915
339.00	0.028494
340.00	0.028956
341.00	0.029621
342.00	0.030474
343.00	0.031218
344.00	0.032210
345.00	0.033245
346.00	0.034250
347.00	0.035472
348.00	0.036202
349.00	0.037415
350.00	0.038531
351.00	0.039296
352.00	0.039908
353.00	0.040610
354.00	0.041439
355.00	0.042068
356.00	0.042695
357.00	0.043193
358.00	0.044007
359.00	0.044276
360.00	0.044882
361.00	0.045833
362.00	0.046755
363.00	0.047642
364.00	0.048912
365.00	0.049421
366.00	0.050772
367.00	0.051202
368.00	0.052011
369.00	0.052605
370.00	0.053030
371.00	0.053317
372.00	0.053711
373.00	0.053610
374.00	0.053467
375.00	0.053995
376.00	0.054102
377.00	0.053709
378.00	0.053538
379.00	0.053433
380.00	0.053213
381.00	0.053069
382.00	0.053185
383.00	0.053603
384.00	0.053703
385.00	0.054305
386.00	0.055335
387.00	0.056427
388.00	0.058624
389.00	0.060960
390.00	0.064953
391.00	0.070049
392.00	0.076394
393.00	0.084146
394.00	0.092990
395.00	0.10441
396.00	0.11648
397.00	0.12919
398.00	0.14187
399.00	0.15282
400.00	0.16274
401.00	0.17075
402.00	0.17688
403.00	0.18274
404.00	0.18698
405.00	0.19167
406.00	0.19766
407.00	0.20684
408.00	0.22108
409.00	0.24119
410.00	0.26827
411.00	0.30437
412.00	0.35571
413.00	0.41713
414.00	0.49005
415.00	0.58315
416.00	0.68654
417.00	0.79226
418.00	0.88684
419.00	0.95803
420.00	1.00000
421.00	0.99862
422.00	0.95794
423.00	0.88333
424.00	0.78801
425.00	0.67750
426.00	0.56480
427.00	0.45001
428.00	0.36631
429.00	0.28336
430.00	0.21696
431.00	0.16964
432.00	0.13041
433.00	0.095871
434.00	0.072197
435.00	0.056648
436.00	0.043144
437.00	0.033983
438.00	0.026671
439.00	0.021877
440.00	0.018315
441.00	0.014997
442.00	0.013180
443.00	0.011852
444.00	0.010389
445.00	0.0095784
446.00	0.0088008
447.00	0.0081335
448.00	0.0081538
449.00	0.0077982
450.00	0.0074079
451.00	0.0072036
452.00	0.0071477
453.00	0.0068683
454.00	0.0068930
455.00	0.0066155
456.00	0.0064285
457.00	0.0065804
458.00	0.0064429
459.00	0.0064008
460.00	0.0062490
461.00	0.0062970
462.00	0.0060684
463.00	0.0058068
464.00	0.0060417
465.00	0.0062668
466.00	0.0060229
467.00	0.0059057
468.00	0.0058256
469.00	0.0059977
470.00	0.0066763
471.00	0.0065759
472.00	0.0064780
473.00	0.0067233
474.00	0.0073110
475.00	0.0072150
476.00	0.0080069
477.00	0.0079827
478.00	0.0080880
479.00	0.0083957
480.00	0.0093172
481.00	0.0094226
482.00	0.0094053
483.00	0.0095017
484.00	0.0097451
485.00	0.0098064
486.00	0.0090110
487.00	0.0093518
488.00	0.010063
489.00	0.0092831
490.00	0.0090432
491.00	0.0093607
492.00	0.0094958
493.00	0.0095274
494.00	0.0093736
495.00	0.010075
496.00	0.010677
497.00	0.010756
498.00	0.012386
499.00	0.013974
500.00	0.014765
501.00	0.016661
502.00	0.018567
503.00	0.020170
504.00	0.022796
505.00	0.024928
506.00	0.026680
507.00	0.028548
508.00	0.030704
509.00	0.033009
510.00	0.035099
511.00	0.037497
512.00	0.038744
513.00	0.040397
514.00	0.041123
515.00	0.042611
516.00	0.041681
517.00	0.040858
518.00	0.040991
519.00	0.039356
520.00	0.038208
521.00	0.036571
522.00	0.034224
523.00	0.031542
524.00	0.028916
525.00	0.027164
526.00	0.024386
527.00	0.022263
528.00	0.019951
529.00	0.017419
530.00	0.015688
531.00	0.014661
532.00	0.013140
533.00	0.011522
534.00	0.010642
535.00	0.010408
536.00	0.010333
537.00	0.010476
538.00	0.010406
539.00	0.011013
540.00	0.011560
541.00	0.013358
542.00	0.014374
543.00	0.015332
544.00	0.017311
545.00	0.017848
546.00	0.019376
547.00	0.020404
548.00	0.021238
549.00	0.021737
550.00	0.022406
551.00	0.022210
552.00	0.022006
553.00	0.021607
554.00	0.021027
555.00	0.019995
556.00	0.018782
557.00	0.017141
558.00	0.015777
559.00	0.014352
560.00	0.012382
561.00	0.011377
562.00	0.010175
563.00	0.0089438
564.00	0.0081701
565.00	0.0072566
566.00	0.0062564
567.00	0.0060531
568.00	0.0052567
569.00	0.0049822
570.00	0.0047517
571.00	0.0045430
572.00	0.0044747
573.00	0.0043886
574.00	0.0043298
575.00	0.0045845
576.00	0.0047641
577.00	0.0049070
578.00	0.0049669
579.00	0.0054219
580.00	0.0057712
581.00	0.0060373
582.00	0.0063430
583.00	0.0071373
584.00	0.0077784
585.00	0.0084833
586.00	0.0092480
587.00	0.010103
588.00	0.010853
589.00	0.011475
590.00	0.012025
591.00	0.012498
592.00	0.012474
593.00	0.012678
594.00	0.012677
595.00	0.012415
596.00	0.012230
597.00	0.012104
598.00	0.011505
599.00	0.010951
600.00	0.010574
601.00	0.0095898
602.00	0.0091396
603.00	0.0084427
604.00	0.0078021
605.00	0.0075731
606.00	0.0068505
607.00	0.0063128
608.00	0.0060234
609.00	0.0052627
610.00	0.0049392
611.00	0.0047656
612.00	0.0045702
613.00	0.0040830
614.00	0.0038604
615.00	0.0034236
616.00	0.0032871
617.00	0.0028330
618.00	0.0026416
619.00	0.0025951
620.00	0.0023502
621.00	0.0021905
622.00	0.0019906
623.00	0.0018145
624.00	0.0020698
625.00	0.0019877
626.00	0.0017824
627.00	0.0018289
628.00	0.0019095
629.00	0.0021875
630.00	0.0021425
631.00	0.0024447
632.00	0.0023304
633.00	0.0030546
634.00	0.0031595
635.00	0.0033999
636.00	0.0037135
637.00	0.0038792
638.00	0.0041977
639.00	0.0045380
640.00	0.0051286
641.00	0.0055347
642.00	0.0061960
643.00	0.0071571
644.00	0.0082661
645.00	0.0092588
646.00	0.010642
647.00	0.011207
648.00	0.011999
649.00	0.012815
650.00	0.012056
651.00	0.012346
652.00	0.012453
653.00	0.011585
654.00	0.010831
655.00	0.0095977
656.00	0.0082799
657.00	0.0077239
658.00	0.0067230
659.00	0.0060620
660.00	0.0049446
661.00	0.0044188
662.00	0.0039168
663.00	0.0037951
664.00	0.0022978
665.00	0.0029809
666.00	0.0026574
667.00	0.0017957
668.00	0.0025229
669.00	0.0017844
670.00	0.0014307
671.00	0.0014371
672.00	0.0015969
673.00	0.0012289
674.00	0.00093606
675.00	0.0014594
676.00	0.0010533
677.00	0.00067934
678.00	0.00097266
679.00	0.0011062
680.00	0.00068083
681.00	0.00077382
682.00	0.00091776
683.00	0.00099641
684.00	0.00060268
685.00	0.00079311
686.00	0.00072188
687.00	0.0011122
688.00	0.00087967
689.00	0.00085692
690.00	0.00091628
691.00	0.00081141
692.00	0.00064521
693.00	0.00076986
694.00	0.00086335
695.00	0.00047753
696.00	0.00062147
697.00	0.00050474
698.00	0.00041273
699.00	0.00071892
700.00	0.00073079
