Wavelength (nm)	Q15 abs N
300.00	0.0089302
300.25	0.014126
300.50	0.0068798
300.75	0.014532
301.00	0.0084992
301.25	0.0030505
301.50	0.0084878
301.75	0.0079192
302.00	0.0058791
302.25	0.0066204
302.50	0.010513
302.75	0.0080196
303.00	0.010282
303.25	0.0020112
303.50	0.0061762
303.75	0.0028677
304.00	0.0055535
304.25	0.0032609
304.50	0.0096908
304.75	0.0052560
305.00	0.010280
305.25	0.0053271
305.50	0.0011835
305.75	0.0066835
306.00	0.0024072
306.25	0.0049204
306.50	0.0063352
306.75	0.0090997
307.00	0.011748
307.25	0.0038738
307.50	0.0021122
307.75	0.0092670
308.00	0.0041528
308.25	0.0023282
308.50	0.0015798
308.75	0.0056036
309.00	0.0038890
309.25	0.00040268
309.50	0.0065436
309.75	0.0044761
310.00	0.0091699
310.25	0.0027162
310.50	9.3167e-05
310.75	0.0022396
311.00	0.0014698
311.25	0.0010054
311.50	0.0043633
311.75	0.0014808
312.00	0.0056538
312.25	0.0014987
312.50	0.0011731
312.75	0.0024572
313.00	0.0027949
313.25	0.0044534
313.50	0.0040337
313.75	0.0064628
314.00	0.0010594
314.25	0.0050881
314.50	0.0048210
314.75	0.00082971
315.00	0.0014395
315.25	0.0021121
315.50	0.0069557
315.75	0.0024469
316.00	0.00098005
316.25	0.00093415
316.50	0.0035071
316.75	0.0066503
317.00	0.0041741
317.25	0.010069
317.50	0.0040609
317.75	0.0016855
318.00	0.0024576
318.25	0.0017880
318.50	0.0069565
318.75	0.0085894
319.00	0.0028177
319.25	0.0061916
319.50	0.0040689
319.75	0.0082136
320.00	0.0091589
320.25	0.0068500
320.50	0.0069576
320.75	0.0037571
321.00	0.0014538
321.25	0.012762
321.50	0.0041448
321.75	0.0079240
322.00	0.0060346
322.25	0.0055255
322.50	0.0027319
322.75	0.0068493
323.00	0.013122
323.25	0.00041680
323.50	0.010611
323.75	0.0069387
324.00	0.0081620
324.25	0.014400
324.50	0.014312
324.75	0.0090415
325.00	0.0087373
325.25	0.012953
325.50	0.0083495
325.75	0.010598
326.00	0.016467
326.25	0.015174
326.50	0.014904
326.75	0.013828
327.00	0.013662
327.25	0.016200
327.50	0.0081509
327.75	0.010403
328.00	0.019999
328.25	0.014558
328.50	0.020312
328.75	0.019097
329.00	0.020916
329.25	0.013426
329.50	0.017515
329.75	0.010904
330.00	0.013959
330.25	0.0099758
330.50	0.022719
330.75	0.019002
331.00	0.018178
331.25	0.017619
331.50	0.026587
331.75	0.022468
332.00	0.018376
332.25	0.020820
332.50	0.019297
332.75	0.029871
333.00	0.025823
333.25	0.024330
333.50	0.028200
333.75	0.027899
334.00	0.022249
334.25	0.028594
334.50	0.019624
334.75	0.028937
335.00	0.020519
335.25	0.028725
335.50	0.038117
335.75	0.037761
336.00	0.032374
336.25	0.032025
336.50	0.030828
336.75	0.032179
337.00	0.041005
337.25	0.040950
337.50	0.038204
337.75	0.032799
338.00	0.036118
338.25	0.037650
338.50	0.031269
338.75	0.039846
339.00	0.045702
339.25	0.045865
339.50	0.038229
339.75	0.040110
340.00	0.045459
340.25	0.050908
340.50	0.043179
340.75	0.051285
341.00	0.051457
341.25	0.051682
341.50	0.050400
341.75	0.051599
342.00	0.057887
342.25	0.052040
342.50	0.052639
342.75	0.053305
343.00	0.053054
343.25	0.059079
343.50	0.058878
343.75	0.063929
344.00	0.063301
344.25	0.068117
344.50	0.062488
344.75	0.058359
345.00	0.065030
345.25	0.064145
345.50	0.072074
345.75	0.064502
346.00	0.075015
346.25	0.070894
346.50	0.068277
346.75	0.070895
347.00	0.067728
347.25	0.073222
347.50	0.070599
347.75	0.073914
348.00	0.074607
348.25	0.073965
348.50	0.076770
348.75	0.077900
349.00	0.079845
349.25	0.081813
349.50	0.078062
349.75	0.081108
350.00	0.089832
350.25	0.088486
350.50	0.085376
350.75	0.084692
351.00	0.084593
351.25	0.083647
351.50	0.088589
351.75	0.092187
352.00	0.089968
352.25	0.081424
352.50	0.086066
352.75	0.093185
353.00	0.088352
353.25	0.10245
353.50	0.097172
353.75	0.096867
354.00	0.099855
354.25	0.10710
354.50	0.10614
354.75	0.094400
355.00	0.095438
355.25	0.10154
355.50	0.10069
355.75	0.10393
356.00	0.098169
356.25	0.095540
356.50	0.10436
356.75	0.11155
357.00	0.10436
357.25	0.10758
357.50	0.11144
357.75	0.10735
358.00	0.11372
358.25	0.10577
358.50	0.10717
358.75	0.11617
359.00	0.11348
359.25	0.11405
359.50	0.10832
359.75	0.11144
360.00	0.11392
360.25	0.11081
360.50	0.11654
360.75	0.12498
361.00	0.11284
361.25	0.11422
361.50	0.12317
361.75	0.11458
362.00	0.12755
362.25	0.12318
362.50	0.12092
362.75	0.12467
363.00	0.12073
363.25	0.12352
363.50	0.12792
363.75	0.12357
364.00	0.12415
364.25	0.12391
364.50	0.13205
364.75	0.12849
365.00	0.12764
365.25	0.13216
365.50	0.12970
365.75	0.13358
366.00	0.13178
366.25	0.13340
366.50	0.13433
366.75	0.13100
367.00	0.13572
367.25	0.13443
367.50	0.13429
367.75	0.13753
368.00	0.13823
368.25	0.13731
368.50	0.14170
368.75	0.14056
369.00	0.14279
369.25	0.14376
369.50	0.14374
369.75	0.14173
370.00	0.14237
370.25	0.14407
370.50	0.14485
370.75	0.14768
371.00	0.14838
371.25	0.14679
371.50	0.14726
371.75	0.15077
372.00	0.15119
372.25	0.15164
372.50	0.14977
372.75	0.15294
373.00	0.14765
373.25	0.15279
373.50	0.14946
373.75	0.15209
374.00	0.15162
374.25	0.15273
374.50	0.15524
374.75	0.15408
375.00	0.15473
375.25	0.15625
375.50	0.15697
375.75	0.15644
376.00	0.15896
376.25	0.15618
376.50	0.15472
376.75	0.16055
377.00	0.15960
377.25	0.16035
377.50	0.16358
377.75	0.16259
378.00	0.16147
378.25	0.16473
378.50	0.16466
378.75	0.16445
379.00	0.16770
379.25	0.16903
379.50	0.16785
379.75	0.16911
380.00	0.17176
380.25	0.17282
380.50	0.17229
380.75	0.17143
381.00	0.17408
381.25	0.17629
381.50	0.17392
381.75	0.17547
382.00	0.17933
382.25	0.18125
382.50	0.18241
382.75	0.18375
383.00	0.18240
383.25	0.18395
383.50	0.18646
383.75	0.18536
384.00	0.19288
384.25	0.19079
384.50	0.19274
384.75	0.19030
385.00	0.19392
385.25	0.20183
385.50	0.19825
385.75	0.20150
386.00	0.20158
386.25	0.20446
386.50	0.20707
386.75	0.20677
387.00	0.21060
387.25	0.21432
387.50	0.21513
387.75	0.21463
388.00	0.21783
388.25	0.22147
388.50	0.22114
388.75	0.22834
389.00	0.22998
389.25	0.23182
389.50	0.23706
389.75	0.23576
390.00	0.23804
390.25	0.24303
390.50	0.24357
390.75	0.24817
391.00	0.25058
391.25	0.25595
391.50	0.25950
391.75	0.26330
392.00	0.26758
392.25	0.27080
392.50	0.27615
392.75	0.28158
393.00	0.28517
393.25	0.28907
393.50	0.29527
393.75	0.29892
394.00	0.30284
394.25	0.30819
394.50	0.31219
394.75	0.31912
395.00	0.32107
395.25	0.32589
395.50	0.32922
395.75	0.33621
396.00	0.33797
396.25	0.34278
396.50	0.34918
396.75	0.35437
397.00	0.35830
397.25	0.36520
397.50	0.36556
397.75	0.37111
398.00	0.37596
398.25	0.37894
398.50	0.38406
398.75	0.38760
399.00	0.39113
399.25	0.39649
399.50	0.39789
399.75	0.40413
400.00	0.40788
400.25	0.41146
400.50	0.41704
400.75	0.42174
401.00	0.42187
401.25	0.43157
401.50	0.43467
401.75	0.43717
402.00	0.44395
402.25	0.44816
402.50	0.45338
402.75	0.45392
403.00	0.45940
403.25	0.46291
403.50	0.46991
403.75	0.47620
404.00	0.47972
404.25	0.48652
404.50	0.49245
404.75	0.49807
405.00	0.49873
405.25	0.51065
405.50	0.51304
405.75	0.51692
406.00	0.52633
406.25	0.52950
406.50	0.54081
406.75	0.54676
407.00	0.55161
407.25	0.55877
407.50	0.56383
407.75	0.57502
408.00	0.58322
408.25	0.58782
408.50	0.59835
408.75	0.61058
409.00	0.61618
409.25	0.62421
409.50	0.63358
409.75	0.64332
410.00	0.65498
410.25	0.66051
410.50	0.67275
410.75	0.68100
411.00	0.69351
411.25	0.70309
411.50	0.71269
411.75	0.71998
412.00	0.72449
412.25	0.73108
412.50	0.74133
412.75	0.75328
413.00	0.76136
413.25	0.77220
413.50	0.78223
413.75	0.78871
414.00	0.80458
414.25	0.81612
414.50	0.82993
414.75	0.83915
415.00	0.84946
415.25	0.85737
415.50	0.87397
415.75	0.87823
416.00	0.89187
416.25	0.90181
416.50	0.90993
416.75	0.92383
417.00	0.93204
417.25	0.94354
417.50	0.94503
417.75	0.95388
418.00	0.96047
418.25	0.96203
418.50	0.97162
418.75	0.97984
419.00	0.98786
419.25	0.99015
419.50	0.98923
419.75	0.99434
420.00	0.98921
420.25	0.99368
420.50	0.99591
420.75	1.0000
421.00	0.99810
421.25	0.99163
421.50	0.99089
421.75	0.98654
422.00	0.98401
422.25	0.98167
422.50	0.97875
422.75	0.97087
423.00	0.96440
423.25	0.95616
423.50	0.94532
423.75	0.93403
424.00	0.93042
424.25	0.91954
424.50	0.90930
424.75	0.89985
425.00	0.88937
425.25	0.87921
425.50	0.86978
425.75	0.85413
426.00	0.84546
426.25	0.83548
426.50	0.81952
426.75	0.80642
427.00	0.79414
427.25	0.78098
427.50	0.76452
427.75	0.75053
428.00	0.73761
428.25	0.72593
428.50	0.71001
428.75	0.69608
429.00	0.68279
429.25	0.66555
429.50	0.65085
429.75	0.63526
430.00	0.62360
430.25	0.60922
430.50	0.59315
430.75	0.58073
431.00	0.56779
431.25	0.55412
431.50	0.53953
431.75	0.52296
432.00	0.50770
432.25	0.49111
432.50	0.47497
432.75	0.45944
433.00	0.44641
433.25	0.43620
433.50	0.41939
433.75	0.40677
434.00	0.39276
434.25	0.38184
434.50	0.37126
434.75	0.35888
435.00	0.35093
435.25	0.34033
435.50	0.32884
435.75	0.31937
436.00	0.31064
436.25	0.30073
436.50	0.29485
436.75	0.28280
437.00	0.27856
437.25	0.26978
437.50	0.25954
437.75	0.25372
438.00	0.24930
438.25	0.23961
438.50	0.23498
438.75	0.22945
439.00	0.22342
439.25	0.21504
439.50	0.21037
439.75	0.20419
440.00	0.19960
440.25	0.19249
440.50	0.18811
440.75	0.18357
441.00	0.17996
441.25	0.17481
441.50	0.16895
441.75	0.16589
442.00	0.15994
