Wavelength (nm)	Q-15, 52199-35-6, (o-H2NPh)H2P.ems
620.00	0.010820
621.00	0.011540
622.00	0.012270
623.00	0.013162
624.00	0.014651
625.00	0.016171
626.00	0.018514
627.00	0.021352
628.00	0.024976
629.00	0.029361
630.00	0.034954
631.00	0.041572
632.00	0.050043
633.00	0.060808
634.00	0.074398
635.00	0.092781
636.00	0.11506
637.00	0.14288
638.00	0.17661
639.00	0.21638
640.00	0.26081
641.00	0.31093
642.00	0.36694
643.00	0.42503
644.00	0.48477
645.00	0.54779
646.00	0.60948
647.00	0.67385
648.00	0.73917
649.00	0.80624
650.00	0.86458
651.00	0.91744
652.00	0.96153
653.00	0.98911
654.00	1.0000
655.00	0.99870
656.00	0.98248
657.00	0.95182
658.00	0.91390
659.00	0.86501
660.00	0.81662
661.00	0.76336
662.00	0.71176
663.00	0.66268
664.00	0.61875
665.00	0.57575
666.00	0.53831
667.00	0.50419
668.00	0.47114
669.00	0.44223
670.00	0.41554
671.00	0.39066
672.00	0.36880
673.00	0.34842
674.00	0.32991
675.00	0.31545
676.00	0.30343
677.00	0.29301
678.00	0.28539
679.00	0.27873
680.00	0.27461
681.00	0.27208
682.00	0.27183
683.00	0.27151
684.00	0.27115
685.00	0.27413
686.00	0.27730
687.00	0.28205
688.00	0.28624
689.00	0.29169
690.00	0.29810
691.00	0.30622
692.00	0.31532
693.00	0.32653
694.00	0.33986
695.00	0.35380
696.00	0.37078
697.00	0.39227
698.00	0.41414
699.00	0.43885
700.00	0.46449
701.00	0.49047
702.00	0.51828
703.00	0.54531
704.00	0.57265
705.00	0.60349
706.00	0.63210
707.00	0.66004
708.00	0.69171
709.00	0.72221
710.00	0.74743
711.00	0.77753
712.00	0.80094
713.00	0.82086
714.00	0.83410
715.00	0.84925
716.00	0.85671
717.00	0.85891
718.00	0.85662
719.00	0.84570
720.00	0.83287
721.00	0.81211
722.00	0.79181
723.00	0.76433
724.00	0.73412
725.00	0.70303
726.00	0.67172
727.00	0.63915
728.00	0.60451
729.00	0.56929
730.00	0.53740
731.00	0.50330
732.00	0.47307
733.00	0.43859
734.00	0.40815
735.00	0.38014
736.00	0.35453
737.00	0.33050
738.00	0.30709
739.00	0.28563
740.00	0.26549
741.00	0.24892
742.00	0.23085
743.00	0.21422
744.00	0.19902
745.00	0.18450
746.00	0.17135
747.00	0.15984
748.00	0.14824
749.00	0.13871
750.00	0.12994
751.00	0.12234
752.00	0.11477
753.00	0.10806
754.00	0.10251
755.00	0.096201
756.00	0.091104
757.00	0.087061
758.00	0.082325
759.00	0.079302
760.00	0.075817
761.00	0.073447
762.00	0.071783
763.00	0.069420
764.00	0.066721
765.00	0.064442
766.00	0.063216
767.00	0.062623
768.00	0.060938
769.00	0.059787
770.00	0.058938
771.00	0.059368
772.00	0.057705
773.00	0.057896
774.00	0.056688
775.00	0.055712
776.00	0.056363
777.00	0.055690
778.00	0.056519
779.00	0.055421
780.00	0.055351
781.00	0.054825
782.00	0.054750
783.00	0.054280
784.00	0.053949
785.00	0.053991
786.00	0.053412
787.00	0.053548
788.00	0.053777
789.00	0.051818
790.00	0.051859
791.00	0.051276
792.00	0.049986
793.00	0.050249
794.00	0.049814
795.00	0.048890
796.00	0.048059
797.00	0.046693
798.00	0.046001
799.00	0.044910
800.00	0.044320
