Wavelength (nm)	Q16 abs N
350.00	0.057002
350.25	0.059935
350.50	0.060986
350.75	0.060531
351.00	0.063362
351.25	0.061010
351.50	0.060022
351.75	0.060294
352.00	0.062052
352.25	0.057948
352.50	0.060638
352.75	0.061766
353.00	0.061209
353.25	0.064624
353.50	0.062984
353.75	0.062911
354.00	0.061712
354.25	0.063435
354.50	0.063690
354.75	0.064326
355.00	0.060216
355.25	0.064568
355.50	0.062937
355.75	0.063452
356.00	0.063115
356.25	0.065570
356.50	0.064007
356.75	0.063502
357.00	0.064977
357.25	0.067244
357.50	0.064023
357.75	0.062390
358.00	0.065293
358.25	0.063334
358.50	0.067945
358.75	0.064617
359.00	0.066178
359.25	0.065987
359.50	0.066195
359.75	0.064783
360.00	0.069917
360.25	0.067116
360.50	0.069261
360.75	0.068504
361.00	0.069176
361.25	0.069273
361.50	0.071383
361.75	0.068131
362.00	0.071440
362.25	0.071292
362.50	0.070527
362.75	0.069437
363.00	0.068986
363.25	0.071722
363.50	0.072661
363.75	0.070746
364.00	0.071709
364.25	0.070076
364.50	0.074409
364.75	0.073472
365.00	0.074437
365.25	0.073655
365.50	0.073086
365.75	0.073035
366.00	0.075157
366.25	0.075260
366.50	0.073731
366.75	0.076260
367.00	0.073234
367.25	0.075303
367.50	0.075655
367.75	0.077517
368.00	0.074289
368.25	0.077441
368.50	0.077066
368.75	0.073691
369.00	0.076764
369.25	0.075504
369.50	0.073507
369.75	0.076406
370.00	0.074799
370.25	0.079955
370.50	0.076079
370.75	0.078420
371.00	0.079274
371.25	0.078233
371.50	0.076181
371.75	0.077898
372.00	0.075798
372.25	0.076980
372.50	0.077500
372.75	0.077951
373.00	0.076008
373.25	0.076925
373.50	0.077789
373.75	0.076760
374.00	0.078292
374.25	0.078448
374.50	0.077408
374.75	0.077171
375.00	0.079209
375.25	0.077538
375.50	0.076340
375.75	0.077610
376.00	0.076053
376.25	0.076246
376.50	0.076638
376.75	0.075826
377.00	0.075206
377.25	0.075635
377.50	0.077713
377.75	0.075449
378.00	0.076295
378.25	0.077421
378.50	0.074735
378.75	0.074708
379.00	0.075962
379.25	0.078398
379.50	0.075805
379.75	0.077367
380.00	0.074254
380.25	0.077278
380.50	0.075100
380.75	0.075726
381.00	0.075336
381.25	0.076431
381.50	0.075179
381.75	0.075811
382.00	0.075688
382.25	0.075647
382.50	0.073386
382.75	0.076850
383.00	0.075429
383.25	0.076668
383.50	0.074294
383.75	0.078182
384.00	0.077382
384.25	0.077057
384.50	0.078343
384.75	0.077092
385.00	0.080787
385.25	0.081479
385.50	0.080558
385.75	0.080732
386.00	0.078960
386.25	0.081336
386.50	0.082979
386.75	0.081288
387.00	0.083987
387.25	0.083644
387.50	0.087178
387.75	0.086478
388.00	0.088041
388.25	0.090532
388.50	0.090681
388.75	0.093620
389.00	0.093068
389.25	0.097286
389.50	0.095669
389.75	0.097484
390.00	0.099387
390.25	0.10311
390.50	0.10526
390.75	0.10744
391.00	0.10894
391.25	0.11281
391.50	0.11557
391.75	0.11933
392.00	0.12017
392.25	0.12411
392.50	0.12773
392.75	0.12756
393.00	0.13099
393.25	0.13671
393.50	0.13817
393.75	0.14177
394.00	0.14559
394.25	0.14889
394.50	0.15528
394.75	0.15990
395.00	0.16306
395.25	0.16834
395.50	0.17437
395.75	0.17732
396.00	0.18335
396.25	0.18661
396.50	0.19236
396.75	0.19443
397.00	0.19923
397.25	0.20077
397.50	0.20373
397.75	0.20782
398.00	0.20905
398.25	0.21405
398.50	0.21842
398.75	0.21773
399.00	0.22283
399.25	0.22523
399.50	0.22677
399.75	0.23120
400.00	0.23205
400.25	0.23311
400.50	0.23518
400.75	0.23669
401.00	0.23820
401.25	0.24114
401.50	0.24108
401.75	0.24354
402.00	0.24478
402.25	0.24929
402.50	0.24852
402.75	0.25100
403.00	0.25139
403.25	0.25406
403.50	0.25623
403.75	0.25828
404.00	0.26330
404.25	0.26331
404.50	0.26640
404.75	0.26846
405.00	0.27185
405.25	0.27502
405.50	0.27700
405.75	0.28621
406.00	0.28654
406.25	0.29021
406.50	0.29844
406.75	0.30283
407.00	0.30883
407.25	0.31179
407.50	0.32287
407.75	0.32918
408.00	0.33576
408.25	0.34272
408.50	0.35252
408.75	0.35884
409.00	0.36792
409.25	0.38281
409.50	0.39063
409.75	0.40199
410.00	0.41463
410.25	0.42720
410.50	0.44088
410.75	0.45557
411.00	0.47221
411.25	0.48714
411.50	0.50382
411.75	0.52316
412.00	0.54131
412.25	0.55865
412.50	0.58104
412.75	0.59893
413.00	0.62296
413.25	0.64334
413.50	0.66170
413.75	0.68632
414.00	0.71103
414.25	0.73610
414.50	0.74443
414.75	0.75155
415.00	0.77406
415.25	0.79724
415.50	0.82065
415.75	0.84634
416.00	0.86524
416.25	0.88617
416.50	0.91007
416.75	0.92779
417.00	0.94545
417.25	0.96367
417.50	0.97441
417.75	0.98216
418.00	0.98893
418.25	0.99530
418.50	0.99683
418.75	0.99894
419.00	1.00000
419.25	0.99482
419.50	0.98297
419.75	0.97725
420.00	0.96955
420.25	0.94693
420.50	0.93128
420.75	0.91511
421.00	0.89367
421.25	0.86781
421.50	0.84796
421.75	0.82407
422.00	0.80083
422.25	0.77293
422.50	0.74903
422.75	0.71830
423.00	0.69529
423.25	0.66774
423.50	0.64175
423.75	0.61715
424.00	0.59153
424.25	0.56863
424.50	0.54309
424.75	0.52157
425.00	0.49583
425.25	0.47444
425.50	0.45396
425.75	0.43367
426.00	0.41303
426.25	0.39156
426.50	0.37468
426.75	0.35835
427.00	0.33898
427.25	0.32077
427.50	0.30619
427.75	0.28942
428.00	0.27768
428.25	0.25841
428.50	0.24704
428.75	0.23279
429.00	0.22156
429.25	0.20806
429.50	0.19697
429.75	0.18705
430.00	0.17832
430.25	0.16814
430.50	0.15815
430.75	0.15167
431.00	0.14204
431.25	0.13622
431.50	0.12802
431.75	0.12106
432.00	0.11518
432.25	0.10652
432.50	0.10336
432.75	0.098604
433.00	0.090667
433.25	0.086833
433.50	0.082629
433.75	0.080753
434.00	0.074611
434.25	0.071756
434.50	0.068314
434.75	0.063298
435.00	0.059121
435.25	0.058110
435.50	0.052587
435.75	0.049683
436.00	0.047599
436.25	0.044727
436.50	0.043917
436.75	0.041631
437.00	0.042528
437.25	0.039562
437.50	0.037248
437.75	0.035418
438.00	0.034552
438.25	0.033636
438.50	0.030210
438.75	0.032699
439.00	0.031616
439.25	0.028417
439.50	0.029573
439.75	0.025686
440.00	0.027214
440.25	0.027685
440.50	0.025149
440.75	0.023745
441.00	0.021944
441.25	0.022568
441.50	0.021217
441.75	0.021666
442.00	0.020437
442.25	0.019307
442.50	0.019078
442.75	0.018255
443.00	0.017868
443.25	0.018328
443.50	0.017919
443.75	0.016975
444.00	0.017513
444.25	0.015201
444.50	0.015655
444.75	0.015779
445.00	0.014798
445.25	0.014099
445.50	0.014638
445.75	0.013089
446.00	0.013119
446.25	0.013460
446.50	0.012458
446.75	0.012841
447.00	0.012051
447.25	0.0096455
447.50	0.011844
447.75	0.012770
448.00	0.011678
448.25	0.010525
448.50	0.0097271
448.75	0.010691
449.00	0.0098481
449.25	0.011065
449.50	0.010431
449.75	0.0090650
450.00	0.0091359
450.25	0.0089383
450.50	0.010341
450.75	0.0071126
451.00	0.0089447
451.25	0.0098588
451.50	0.0091548
451.75	0.0076089
452.00	0.0082458
452.25	0.0072417
452.50	0.0077868
452.75	0.0095429
453.00	0.0075082
453.25	0.0075734
453.50	0.0085838
453.75	0.0084692
454.00	0.0075367
454.25	0.0071309
454.50	0.0091416
454.75	0.0076646
455.00	0.0076418
455.25	0.0073740
455.50	0.0079071
455.75	0.0074177
456.00	0.0075317
456.25	0.0083692
456.50	0.0071138
456.75	0.0068619
457.00	0.0066302
457.25	0.0068410
457.50	0.0068473
457.75	0.0062889
458.00	0.0075741
458.25	0.0067979
458.50	0.0067827
458.75	0.0081204
459.00	0.0073284
459.25	0.0070246
459.50	0.0059433
459.75	0.0067359
460.00	0.0065871
460.25	0.0060541
460.50	0.0075063
460.75	0.0067587
461.00	0.0077412
461.25	0.0067232
461.50	0.0078912
461.75	0.0073911
462.00	0.0075956
462.25	0.0055077
462.50	0.0060775
462.75	0.0061826
463.00	0.0073867
463.25	0.0074399
463.50	0.0055508
463.75	0.0068872
464.00	0.0058483
464.25	0.0051956
464.50	0.0063326
464.75	0.0061465
465.00	0.0074101
465.25	0.0057521
465.50	0.0066099
465.75	0.0070796
466.00	0.0059218
466.25	0.0064858
466.50	0.0061009
466.75	0.0065194
467.00	0.0066105
467.25	0.0064643
467.50	0.0069245
467.75	0.0060218
468.00	0.0073766
468.25	0.0070581
468.50	0.0060427
468.75	0.0068650
469.00	0.0075741
469.25	0.0069764
469.50	0.0060041
469.75	0.0053628
470.00	0.0071145
470.25	0.0066656
470.50	0.0064440
470.75	0.0065719
471.00	0.0071866
471.25	0.0071613
471.50	0.0076013
471.75	0.0071898
472.00	0.0064238
472.25	0.0074639
472.50	0.0078976
472.75	0.0073563
473.00	0.0084572
473.25	0.0071379
473.50	0.0069087
473.75	0.0079349
474.00	0.0079242
474.25	0.0084015
474.50	0.0070201
474.75	0.0072765
475.00	0.0086218
475.25	0.0065915
475.50	0.0062940
475.75	0.0078210
476.00	0.0076424
476.25	0.0074240
476.50	0.0062497
476.75	0.0082141
477.00	0.0076861
477.25	0.0086357
477.50	0.0067371
477.75	0.0068384
478.00	0.0076868
478.25	0.0086997
478.50	0.0083097
478.75	0.0077969
479.00	0.0081109
479.25	0.0068511
479.50	0.0074221
479.75	0.0084895
480.00	0.0082799
480.25	0.0083914
480.50	0.0089061
480.75	0.0085382
481.00	0.0092954
481.25	0.0087560
481.50	0.0079318
481.75	0.0080786
482.00	0.0079014
482.25	0.0084363
482.50	0.0072987
482.75	0.0084040
483.00	0.0083762
483.25	0.0077956
483.50	0.0082122
483.75	0.0084407
484.00	0.0086117
484.25	0.0067872
484.50	0.0073398
484.75	0.0077070
485.00	0.0089833
485.25	0.0074607
485.50	0.0078678
485.75	0.0080457
486.00	0.0082977
486.25	0.0080394
486.50	0.0082591
486.75	0.0078083
487.00	0.0075912
487.25	0.0079805
487.50	0.0077013
487.75	0.0076690
488.00	0.0084901
488.25	0.0090333
488.50	0.0085718
488.75	0.0089852
489.00	0.0094290
489.25	0.0080185
489.50	0.0087003
489.75	0.0095505
