Wavelength (nm)	Q-16, 37083-37-7, (ODC)H2P.ems
600.00	0.0028579
601.00	0.0034702
602.00	0.0033574
603.00	0.0043506
604.00	0.0035142
605.00	0.0032091
606.00	0.0040288
607.00	0.0028098
608.00	0.0039406
609.00	0.0036824
610.00	0.0035219
611.00	0.0024380
612.00	0.0026560
613.00	0.0030117
614.00	0.0029069
615.00	0.0033137
616.00	0.0028141
617.00	0.0032645
618.00	0.0029091
619.00	0.0022841
620.00	0.0033445
621.00	0.0031179
622.00	0.0045701
623.00	0.0053133
624.00	0.0068382
625.00	0.0070371
626.00	0.0073350
627.00	0.0099039
628.00	0.012566
629.00	0.012722
630.00	0.015956
631.00	0.018565
632.00	0.022879
633.00	0.025382
634.00	0.032329
635.00	0.036985
636.00	0.045113
637.00	0.054466
638.00	0.063624
639.00	0.076213
640.00	0.089482
641.00	0.10054
642.00	0.11853
643.00	0.13305
644.00	0.14390
645.00	0.14495
646.00	0.15325
647.00	0.14953
648.00	0.15169
649.00	0.15125
650.00	0.14669
651.00	0.13940
652.00	0.14107
653.00	0.13563
654.00	0.13280
655.00	0.13432
656.00	0.13299
657.00	0.13009
658.00	0.12775
659.00	0.12763
660.00	0.12416
661.00	0.12051
662.00	0.11239
663.00	0.11485
664.00	0.11091
665.00	0.10679
666.00	0.10419
667.00	0.10191
668.00	0.098497
669.00	0.099967
670.00	0.10101
671.00	0.10423
672.00	0.10759
673.00	0.10945
674.00	0.11297
675.00	0.11739
676.00	0.12595
677.00	0.12944
678.00	0.14126
679.00	0.14722
680.00	0.15791
681.00	0.17038
682.00	0.18000
683.00	0.19274
684.00	0.20327
685.00	0.21823
686.00	0.23198
687.00	0.24439
688.00	0.24873
689.00	0.25727
690.00	0.26700
691.00	0.27915
692.00	0.28732
693.00	0.30053
694.00	0.32043
695.00	0.34171
696.00	0.37042
697.00	0.40441
698.00	0.43812
699.00	0.48543
700.00	0.52533
701.00	0.57091
702.00	0.60813
703.00	0.63914
704.00	0.68196
705.00	0.70706
706.00	0.74722
707.00	0.77825
708.00	0.80618
709.00	0.83166
710.00	0.87261
711.00	0.90172
712.00	0.94241
713.00	0.96918
714.00	0.98604
715.00	0.99729
716.00	1.0000
717.00	0.99257
718.00	0.95006
719.00	0.92027
720.00	0.84480
721.00	0.78562
722.00	0.71580
723.00	0.64909
724.00	0.57772
725.00	0.52476
726.00	0.46515
727.00	0.42040
728.00	0.37953
729.00	0.35186
730.00	0.31856
731.00	0.28613
732.00	0.26247
733.00	0.23867
734.00	0.21835
735.00	0.20022
736.00	0.18323
737.00	0.16663
738.00	0.14851
739.00	0.13384
740.00	0.12346
741.00	0.11052
742.00	0.097867
743.00	0.090061
744.00	0.079051
745.00	0.070617
746.00	0.066353
747.00	0.057929
748.00	0.059170
749.00	0.050627
750.00	0.049181
751.00	0.046787
752.00	0.045256
753.00	0.041660
754.00	0.040295
755.00	0.039918
756.00	0.037033
757.00	0.039624
758.00	0.036319
759.00	0.044491
760.00	0.040245
761.00	0.040426
762.00	0.038572
763.00	0.033268
764.00	0.034477
765.00	0.035345
766.00	0.032988
767.00	0.030005
768.00	0.027028
769.00	0.026941
770.00	0.030294
771.00	0.031435
772.00	0.028381
773.00	0.028516
774.00	0.031683
775.00	0.027051
776.00	0.025379
777.00	0.026980
778.00	0.028378
779.00	0.031399
780.00	0.030773
781.00	0.026684
782.00	0.028542
783.00	0.029952
784.00	0.028788
785.00	0.026868
786.00	0.033141
787.00	0.029560
788.00	0.025714
789.00	0.027609
790.00	0.025691
791.00	0.028265
792.00	0.030262
793.00	0.028758
794.00	0.018472
795.00	0.018829
796.00	0.020143
797.00	0.017972
798.00	0.018637
799.00	0.022444
800.00	0.016040
