Wavelength (nm)	Q-18, 10319450, N-Confused tetraphenylporphyrin.ems
650.00	0.0023543
651.00	0.0024081
652.00	0.0023651
653.00	0.0023389
654.00	0.0023994
655.00	0.0024257
656.00	0.0027114
657.00	0.0027679
658.00	0.0028585
659.00	0.0032347
660.00	0.0037971
661.00	0.0042806
662.00	0.0044770
663.00	0.0041455
664.00	0.0036885
665.00	0.0029382
666.00	0.0032203
667.00	0.0032373
668.00	0.0029934
669.00	0.0032227
670.00	0.0032202
671.00	0.0032722
672.00	0.0035979
673.00	0.0035871
674.00	0.0037853
675.00	0.0036376
676.00	0.0037721
677.00	0.0039390
678.00	0.0039361
679.00	0.0040289
680.00	0.0042369
681.00	0.0041415
682.00	0.0043856
683.00	0.0047545
684.00	0.0048587
685.00	0.0048827
686.00	0.0049451
687.00	0.0055143
688.00	0.0056566
689.00	0.0059141
690.00	0.0061651
691.00	0.0062306
692.00	0.0069160
693.00	0.0074819
694.00	0.0073669
695.00	0.0083356
696.00	0.0092476
697.00	0.010004
698.00	0.010477
699.00	0.011324
700.00	0.012550
701.00	0.013323
702.00	0.015047
703.00	0.016449
704.00	0.018221
705.00	0.020050
706.00	0.023021
707.00	0.026744
708.00	0.030237
709.00	0.035584
710.00	0.040620
711.00	0.046079
712.00	0.055016
713.00	0.063773
714.00	0.073567
715.00	0.086305
716.00	0.097640
717.00	0.11362
718.00	0.13042
719.00	0.14772
720.00	0.17145
721.00	0.19383
722.00	0.21905
723.00	0.24625
724.00	0.27783
725.00	0.30921
726.00	0.34015
727.00	0.37975
728.00	0.41339
729.00	0.45051
730.00	0.48530
731.00	0.52473
732.00	0.56720
733.00	0.60058
734.00	0.64541
735.00	0.67761
736.00	0.71516
737.00	0.74982
738.00	0.78040
739.00	0.81546
740.00	0.83870
741.00	0.87496
742.00	0.89478
743.00	0.91466
744.00	0.92973
745.00	0.94954
746.00	0.96317
747.00	0.97794
748.00	0.98572
749.00	0.99268
750.00	0.99223
751.00	1.00000
752.00	0.99514
753.00	0.99693
754.00	0.99601
755.00	0.98075
756.00	0.98028
757.00	0.97764
758.00	0.96257
759.00	0.94925
760.00	0.93925
761.00	0.92259
762.00	0.91481
763.00	0.89073
764.00	0.88064
765.00	0.86471
766.00	0.84868
767.00	0.82067
768.00	0.80685
769.00	0.78284
770.00	0.76341
771.00	0.74810
772.00	0.73487
773.00	0.70840
774.00	0.69250
775.00	0.67770
776.00	0.65530
777.00	0.64222
778.00	0.62823
779.00	0.60743
780.00	0.59462
781.00	0.57592
782.00	0.55871
783.00	0.54286
784.00	0.53236
785.00	0.51608
786.00	0.50017
787.00	0.48488
788.00	0.47277
789.00	0.45701
790.00	0.45050
791.00	0.44183
792.00	0.42888
793.00	0.41811
794.00	0.40548
795.00	0.39411
796.00	0.39019
797.00	0.38608
798.00	0.37810
799.00	0.37058
800.00	0.36059
801.00	0.35904
802.00	0.35488
803.00	0.34799
804.00	0.34108
805.00	0.33828
806.00	0.33578
807.00	0.33312
808.00	0.32711
809.00	0.32776
810.00	0.31739
811.00	0.31999
812.00	0.32167
813.00	0.32103
814.00	0.31652
815.00	0.31630
816.00	0.30871
817.00	0.30892
818.00	0.30645
819.00	0.30775
820.00	0.30197
821.00	0.29956
822.00	0.30347
823.00	0.29570
824.00	0.29132
825.00	0.29779
826.00	0.29128
827.00	0.28523
828.00	0.28143
829.00	0.28162
830.00	0.26888
831.00	0.27067
832.00	0.26681
833.00	0.26546
834.00	0.26612
835.00	0.26153
836.00	0.25356
837.00	0.24196
838.00	0.23610
839.00	0.23163
840.00	0.21743
841.00	0.21393
842.00	0.20562
843.00	0.20007
844.00	0.19616
845.00	0.18511
846.00	0.18177
847.00	0.16938
848.00	0.16495
849.00	0.15748
850.00	0.14659
851.00	0.13544
852.00	0.13469
853.00	0.12248
854.00	0.12031
855.00	0.11418
856.00	0.11270
857.00	0.10594
858.00	0.099517
859.00	0.095096
860.00	0.095797
