Wavelength (nm)	Q19 abs N
300.00	0.028163
300.25	0.028647
300.50	0.026506
300.75	0.025590
301.00	0.031587
301.25	0.021605
301.50	0.031231
301.75	0.028295
302.00	0.030697
302.25	0.032413
302.50	0.027217
302.75	0.028308
303.00	0.032678
303.25	0.031386
303.50	0.026258
303.75	0.022673
304.00	0.022562
304.25	0.033025
304.50	0.029621
304.75	0.028966
305.00	0.028843
305.25	0.026930
305.50	0.028219
305.75	0.029338
306.00	0.026355
306.25	0.024725
306.50	0.025747
306.75	0.028610
307.00	0.026249
307.25	0.021376
307.50	0.028963
307.75	0.026656
308.00	0.033780
308.25	0.029579
308.50	0.029060
308.75	0.027205
309.00	0.027003
309.25	0.032689
309.50	0.029483
309.75	0.031171
310.00	0.031851
310.25	0.029013
310.50	0.035661
310.75	0.022355
311.00	0.027669
311.25	0.029222
311.50	0.023755
311.75	0.031222
312.00	0.024752
312.25	0.029514
312.50	0.033670
312.75	0.031092
313.00	0.029857
313.25	0.026688
313.50	0.036256
313.75	0.027527
314.00	0.036009
314.25	0.028267
314.50	0.032044
314.75	0.027820
315.00	0.033326
315.25	0.032903
315.50	0.036422
315.75	0.028006
316.00	0.035321
316.25	0.033947
316.50	0.030955
316.75	0.031523
317.00	0.032775
317.25	0.034826
317.50	0.032193
317.75	0.030494
318.00	0.025052
318.25	0.030369
318.50	0.032341
318.75	0.033409
319.00	0.032762
319.25	0.031695
319.50	0.031458
319.75	0.031516
320.00	0.031924
320.25	0.033312
320.50	0.035046
320.75	0.038290
321.00	0.036695
321.25	0.034108
321.50	0.035803
321.75	0.034339
322.00	0.034903
322.25	0.030885
322.50	0.036299
322.75	0.029984
323.00	0.030679
323.25	0.040905
323.50	0.039978
323.75	0.038612
324.00	0.042110
324.25	0.037305
324.50	0.032073
324.75	0.038768
325.00	0.034128
325.25	0.032351
325.50	0.027194
325.75	0.031265
326.00	0.040459
326.25	0.041255
326.50	0.037390
326.75	0.037502
327.00	0.046609
327.25	0.040794
327.50	0.040525
327.75	0.037527
328.00	0.039962
328.25	0.040242
328.50	0.041480
328.75	0.043798
329.00	0.052581
329.25	0.049600
329.50	0.037744
329.75	0.043668
330.00	0.045417
330.25	0.038064
330.50	0.039984
330.75	0.037606
331.00	0.040511
331.25	0.048640
331.50	0.042729
331.75	0.039242
332.00	0.045674
332.25	0.047553
332.50	0.042830
332.75	0.045970
333.00	0.040140
333.25	0.043626
333.50	0.042509
333.75	0.045964
334.00	0.050686
334.25	0.047708
334.50	0.049103
334.75	0.051729
335.00	0.043872
335.25	0.047717
335.50	0.045582
335.75	0.044847
336.00	0.047318
336.25	0.051479
336.50	0.045254
336.75	0.052315
337.00	0.047990
337.25	0.045548
337.50	0.049119
337.75	0.049021
338.00	0.049448
338.25	0.051939
338.50	0.047985
338.75	0.044687
339.00	0.056749
339.25	0.048135
339.50	0.049535
339.75	0.047029
340.00	0.050197
340.25	0.048560
340.50	0.053129
340.75	0.053680
341.00	0.052368
341.25	0.052417
341.50	0.052711
341.75	0.055708
342.00	0.055896
342.25	0.052120
342.50	0.055638
342.75	0.052164
343.00	0.056103
343.25	0.053217
343.50	0.057096
343.75	0.055617
344.00	0.057126
344.25	0.051841
344.50	0.057921
344.75	0.060987
345.00	0.051826
345.25	0.057409
345.50	0.053941
345.75	0.059186
346.00	0.060290
346.25	0.057530
346.50	0.053570
346.75	0.058748
347.00	0.058345
347.25	0.052071
347.50	0.063875
347.75	0.056016
348.00	0.054399
348.25	0.056941
348.50	0.061046
348.75	0.059743
349.00	0.056361
349.25	0.056669
349.50	0.059338
349.75	0.061989
350.00	0.059860
350.25	0.057889
350.50	0.061081
350.75	0.060987
351.00	0.060692
351.25	0.060403
351.50	0.063155
351.75	0.062393
352.00	0.063347
352.25	0.060746
352.50	0.061444
352.75	0.061143
353.00	0.063257
353.25	0.064531
353.50	0.062358
353.75	0.060304
354.00	0.064497
354.25	0.061166
354.50	0.061113
354.75	0.064599
355.00	0.063329
355.25	0.063581
355.50	0.058270
355.75	0.064691
356.00	0.065052
356.25	0.058696
356.50	0.057496
356.75	0.063063
357.00	0.061715
357.25	0.058366
357.50	0.063639
357.75	0.063123
358.00	0.061472
358.25	0.061375
358.50	0.058325
358.75	0.063316
359.00	0.062482
359.25	0.062243
359.50	0.063326
359.75	0.060869
360.00	0.056778
360.25	0.065192
360.50	0.061818
360.75	0.062096
361.00	0.065888
361.25	0.057717
361.50	0.062216
361.75	0.064346
362.00	0.058862
362.25	0.061007
362.50	0.060901
362.75	0.062900
363.00	0.059253
363.25	0.057005
363.50	0.057009
363.75	0.057744
364.00	0.060612
364.25	0.059369
364.50	0.057400
364.75	0.058421
365.00	0.058589
365.25	0.057613
365.50	0.057328
365.75	0.056359
366.00	0.056595
366.25	0.057150
366.50	0.056612
366.75	0.058510
367.00	0.060021
367.25	0.054064
367.50	0.055158
367.75	0.053726
368.00	0.054955
368.25	0.056559
368.50	0.054210
368.75	0.055112
369.00	0.051761
369.25	0.056002
369.50	0.051787
369.75	0.054233
370.00	0.056498
370.25	0.052870
370.50	0.051065
370.75	0.053083
371.00	0.053548
371.25	0.049798
371.50	0.048247
371.75	0.050881
372.00	0.050270
372.25	0.050108
372.50	0.049816
372.75	0.048221
373.00	0.050118
373.25	0.053264
373.50	0.044882
373.75	0.050411
374.00	0.047387
374.25	0.048225
374.50	0.046502
374.75	0.046828
375.00	0.046225
375.25	0.047472
375.50	0.044545
375.75	0.049592
376.00	0.046870
376.25	0.045056
376.50	0.045565
376.75	0.048264
377.00	0.046161
377.25	0.048811
377.50	0.043347
377.75	0.044266
378.00	0.044426
378.25	0.043313
378.50	0.040008
378.75	0.041871
379.00	0.044721
