Wavelength (nm)	Q-19, H4TPP2+.ems
600.00	0.0021012
601.00	0.0021576
602.00	0.0020873
603.00	0.0020588
604.00	0.0021100
605.00	0.0020607
606.00	0.0020598
607.00	0.0020412
608.00	0.0020915
609.00	0.0020586
610.00	0.0020550
611.00	0.0020786
612.00	0.0020833
613.00	0.0020356
614.00	0.0021114
615.00	0.0021334
616.00	0.0021471
617.00	0.0021831
618.00	0.0022226
619.00	0.0022800
620.00	0.0022951
621.00	0.0023765
622.00	0.0024583
623.00	0.0024561
624.00	0.0026156
625.00	0.0027791
626.00	0.0029368
627.00	0.0030234
628.00	0.0032705
629.00	0.0035387
630.00	0.0039781
631.00	0.0043213
632.00	0.0049132
633.00	0.0055280
634.00	0.0063944
635.00	0.0074434
636.00	0.0088973
637.00	0.010521
638.00	0.012411
639.00	0.014611
640.00	0.017588
641.00	0.020947
642.00	0.025335
643.00	0.029990
644.00	0.035758
645.00	0.042088
646.00	0.050297
647.00	0.058597
648.00	0.069295
649.00	0.081193
650.00	0.096570
651.00	0.11211
652.00	0.13086
653.00	0.15020
654.00	0.17239
655.00	0.19420
656.00	0.21931
657.00	0.24597
658.00	0.27507
659.00	0.30362
660.00	0.33712
661.00	0.36896
662.00	0.40486
663.00	0.43815
664.00	0.47492
665.00	0.50907
666.00	0.54803
667.00	0.58146
668.00	0.61695
669.00	0.65243
670.00	0.68638
671.00	0.72068
672.00	0.75588
673.00	0.78712
674.00	0.81887
675.00	0.84378
676.00	0.87220
677.00	0.89528
678.00	0.91560
679.00	0.93273
680.00	0.94910
681.00	0.96360
682.00	0.97557
683.00	0.98452
684.00	0.99081
685.00	0.99439
686.00	0.99843
687.00	1.00000
688.00	0.99604
689.00	0.99239
690.00	0.98505
691.00	0.97956
692.00	0.97314
693.00	0.96172
694.00	0.94890
695.00	0.93585
696.00	0.92094
697.00	0.90721
698.00	0.88686
699.00	0.87121
700.00	0.85196
701.00	0.83373
702.00	0.81536
703.00	0.79805
704.00	0.77919
705.00	0.76145
706.00	0.74206
707.00	0.72186
708.00	0.70166
709.00	0.68270
710.00	0.66277
711.00	0.64592
712.00	0.62753
713.00	0.61029
714.00	0.59239
715.00	0.57830
716.00	0.56209
717.00	0.54752
718.00	0.53295
719.00	0.51860
720.00	0.50333
721.00	0.49135
722.00	0.47687
723.00	0.46660
724.00	0.45523
725.00	0.44543
726.00	0.43332
727.00	0.42871
728.00	0.41917
729.00	0.41044
730.00	0.40348
731.00	0.39595
732.00	0.38940
733.00	0.38347
734.00	0.37790
735.00	0.37161
736.00	0.36754
737.00	0.36342
738.00	0.35666
739.00	0.35555
740.00	0.35056
741.00	0.34558
742.00	0.34246
743.00	0.33964
744.00	0.33582
745.00	0.33130
746.00	0.32630
747.00	0.32182
748.00	0.31821
749.00	0.31428
750.00	0.31105
751.00	0.30673
752.00	0.30203
753.00	0.29874
754.00	0.29365
755.00	0.28928
756.00	0.28505
757.00	0.27889
758.00	0.27423
759.00	0.26936
760.00	0.26461
761.00	0.26128
762.00	0.25465
763.00	0.25096
764.00	0.24515
765.00	0.24066
766.00	0.23593
767.00	0.23045
768.00	0.22608
769.00	0.21943
770.00	0.21385
771.00	0.21015
772.00	0.20439
773.00	0.19936
774.00	0.19397
775.00	0.19053
776.00	0.18556
777.00	0.17998
778.00	0.17439
779.00	0.17031
780.00	0.16461
781.00	0.16030
782.00	0.15493
783.00	0.15229
784.00	0.14574
785.00	0.14122
786.00	0.13748
787.00	0.13314
788.00	0.12788
789.00	0.12441
790.00	0.12019
791.00	0.11676
792.00	0.11354
793.00	0.10966
794.00	0.10512
795.00	0.10216
796.00	0.097795
797.00	0.095481
798.00	0.092111
799.00	0.089699
800.00	0.085958
