Wavelength (nm)	Q23 ems
600.00	0.0017410
601.00	0.0019070
602.00	0.0019716
603.00	0.0023311
604.00	0.0026128
605.00	0.0028502
606.00	0.0031130
607.00	0.0033842
608.00	0.0033479
609.00	0.0037225
610.00	0.0038873
611.00	0.0045405
612.00	0.0049336
613.00	0.0053386
614.00	0.0057118
615.00	0.0057635
616.00	0.0054549
617.00	0.0051468
618.00	0.0048168
619.00	0.0042115
620.00	0.0037757
621.00	0.0034546
622.00	0.0032260
623.00	0.0030849
624.00	0.0030483
625.00	0.0029016
626.00	0.0029221
627.00	0.0031709
628.00	0.0032518
629.00	0.0033981
630.00	0.0034745
631.00	0.0039290
632.00	0.0040161
633.00	0.0042624
634.00	0.0043761
635.00	0.0047854
636.00	0.0050101
637.00	0.0054790
638.00	0.0059784
639.00	0.0061309
640.00	0.0067441
641.00	0.0073935
642.00	0.0086014
643.00	0.0097529
644.00	0.011559
645.00	0.014652
646.00	0.018617
647.00	0.024382
648.00	0.032029
649.00	0.042544
650.00	0.056375
651.00	0.076635
652.00	0.10330
653.00	0.14267
654.00	0.19440
655.00	0.26813
656.00	0.36125
657.00	0.47570
658.00	0.59710
659.00	0.72786
660.00	0.84503
661.00	0.93785
662.00	0.99059
663.00	1.0000
664.00	0.96389
665.00	0.89532
666.00	0.80151
667.00	0.68970
668.00	0.58591
669.00	0.48250
670.00	0.39880
671.00	0.32491
672.00	0.26561
673.00	0.21378
674.00	0.17706
675.00	0.14436
676.00	0.11734
677.00	0.097792
678.00	0.082807
679.00	0.070148
680.00	0.059751
681.00	0.053187
682.00	0.048545
683.00	0.044641
684.00	0.042596
685.00	0.041263
686.00	0.041035
687.00	0.042384
688.00	0.043811
689.00	0.046673
690.00	0.050175
691.00	0.054002
692.00	0.057610
693.00	0.060358
694.00	0.063409
695.00	0.064208
696.00	0.065420
697.00	0.064799
698.00	0.062804
699.00	0.059573
700.00	0.055611
701.00	0.052125
702.00	0.048249
703.00	0.043266
704.00	0.039297
705.00	0.035994
706.00	0.032952
707.00	0.031674
708.00	0.030251
709.00	0.029354
710.00	0.030670
711.00	0.030715
712.00	0.032620
713.00	0.033802
714.00	0.036357
715.00	0.039777
716.00	0.041746
717.00	0.044329
718.00	0.048245
719.00	0.050624
720.00	0.054100
721.00	0.056110
722.00	0.058811
723.00	0.059670
724.00	0.061297
725.00	0.061653
726.00	0.061459
727.00	0.060348
728.00	0.059822
729.00	0.059351
730.00	0.058201
731.00	0.058433
732.00	0.059887
733.00	0.060584
734.00	0.063498
735.00	0.066010
736.00	0.068539
737.00	0.073359
738.00	0.075412
739.00	0.076303
740.00	0.076881
741.00	0.074930
742.00	0.073453
743.00	0.069410
744.00	0.064144
745.00	0.058269
746.00	0.052234
747.00	0.046020
748.00	0.040957
749.00	0.034954
750.00	0.030500
751.00	0.026836
752.00	0.023088
753.00	0.020266
754.00	0.018110
755.00	0.016249
756.00	0.014122
757.00	0.013007
758.00	0.012315
759.00	0.011413
760.00	0.010119
761.00	0.010049
762.00	0.0095588
763.00	0.0090915
764.00	0.0089869
765.00	0.0085769
766.00	0.0084717
767.00	0.0080030
768.00	0.0086184
769.00	0.0080218
770.00	0.0078200
771.00	0.0082486
772.00	0.0079340
773.00	0.0078824
774.00	0.0083031
775.00	0.0080025
776.00	0.0079964
777.00	0.0078331
778.00	0.0082349
779.00	0.0082379
780.00	0.0078544
781.00	0.0081313
782.00	0.0076961
783.00	0.0077261
784.00	0.0076399
785.00	0.0070732
786.00	0.0072579
787.00	0.0075751
788.00	0.0072508
789.00	0.0069908
790.00	0.0071520
791.00	0.0065896
792.00	0.0067009
793.00	0.0062769
794.00	0.0066490
795.00	0.0063669
796.00	0.0061656
797.00	0.0062653
798.00	0.0056933
799.00	0.0061552
800.00	0.0060305
