Wavelength (nm)	Q24 abs N
350.00	0.043871
351.00	0.043721
352.00	0.043296
353.00	0.043215
354.00	0.042778
355.00	0.042583
356.00	0.042433
357.00	0.042077
358.00	0.041985
359.00	0.041904
360.00	0.041410
361.00	0.041398
362.00	0.040961
363.00	0.040777
364.00	0.040421
365.00	0.040421
366.00	0.040168
367.00	0.039811
368.00	0.039961
369.00	0.039765
370.00	0.040133
371.00	0.040478
372.00	0.040950
373.00	0.041732
374.00	0.042284
375.00	0.043020
376.00	0.043652
377.00	0.044549
378.00	0.044503
379.00	0.044814
380.00	0.044779
381.00	0.044779
382.00	0.044538
383.00	0.044676
384.00	0.044618
385.00	0.045757
386.00	0.046688
387.00	0.048402
388.00	0.050655
389.00	0.052990
390.00	0.056486
391.00	0.060039
392.00	0.064800
393.00	0.070446
394.00	0.076863
395.00	0.084280
396.00	0.092640
397.00	0.10199
398.00	0.11110
399.00	0.11961
400.00	0.12663
401.00	0.13215
402.00	0.13594
403.00	0.13813
404.00	0.13899
405.00	0.13901
406.00	0.13866
407.00	0.13748
408.00	0.13610
409.00	0.13437
410.00	0.13364
411.00	0.13413
412.00	0.13663
413.00	0.14169
414.00	0.14983
415.00	0.16080
416.00	0.17517
417.00	0.19277
418.00	0.21372
419.00	0.23704
420.00	0.26149
421.00	0.28606
422.00	0.31002
423.00	0.33489
424.00	0.36214
425.00	0.39593
426.00	0.43847
427.00	0.49161
428.00	0.55240
429.00	0.61620
430.00	0.67531
431.00	0.71912
432.00	0.74161
433.00	0.73565
434.00	0.70419
435.00	0.65170
436.00	0.58989
437.00	0.52854
438.00	0.47707
439.00	0.44425
440.00	0.43667
441.00	0.46244
442.00	0.52177
443.00	0.61529
444.00	0.73130
445.00	0.85094
446.00	0.94947
447.00	1.0000
448.00	0.99230
449.00	0.92363
450.00	0.81255
451.00	0.67958
452.00	0.54485
453.00	0.42246
454.00	0.31708
455.00	0.23414
456.00	0.16987
457.00	0.12363
458.00	0.089961
459.00	0.066962
460.00	0.050517
461.00	0.039616
462.00	0.031474
463.00	0.026046
464.00	0.022033
465.00	0.019055
466.00	0.016755
467.00	0.015248
468.00	0.013627
469.00	0.012592
470.00	0.011557
471.00	0.010936
472.00	0.010292
473.00	0.0098206
474.00	0.0092571
475.00	0.0089351
476.00	0.0085327
477.00	0.0082337
478.00	0.0080267
479.00	0.0079577
480.00	0.0074287
481.00	0.0075207
482.00	0.0074057
483.00	0.0073022
484.00	0.0071757
485.00	0.0071527
486.00	0.0069917
487.00	0.0069917
488.00	0.0069457
489.00	0.0068422
490.00	0.0070032
491.00	0.0069917
492.00	0.0068882
493.00	0.0069227
494.00	0.0070262
495.00	0.0072792
496.00	0.0072677
497.00	0.0073827
498.00	0.0074517
499.00	0.0074977
500.00	0.0076012
501.00	0.0077047
502.00	0.0076817
503.00	0.0078887
504.00	0.0077967
505.00	0.0077737
506.00	0.0080727
507.00	0.0080267
508.00	0.0081417
509.00	0.0083832
510.00	0.0086017
511.00	0.0088776
512.00	0.0091536
513.00	0.0093031
514.00	0.0096481
515.00	0.010074
516.00	0.010361
517.00	0.010603
518.00	0.010925
519.00	0.011074
520.00	0.011488
521.00	0.011856
522.00	0.012351
523.00	0.012661
524.00	0.013098
525.00	0.013408
526.00	0.013799
527.00	0.014098
528.00	0.014696
529.00	0.015168
530.00	0.015662
531.00	0.016076
532.00	0.016479
533.00	0.016617
534.00	0.016870
535.00	0.016950
536.00	0.016904
537.00	0.016916
538.00	0.016847
539.00	0.016766
540.00	0.016640
541.00	0.016594
542.00	0.016594
543.00	0.016571
544.00	0.016536
545.00	0.016640
546.00	0.016743
547.00	0.017146
548.00	0.017180
549.00	0.017583
550.00	0.017939
551.00	0.018664
552.00	0.019411
553.00	0.020423
554.00	0.021539
555.00	0.022539
556.00	0.023517
557.00	0.024506
558.00	0.025575
559.00	0.027300
560.00	0.028956
561.00	0.031451
562.00	0.033590
563.00	0.035499
564.00	0.037052
565.00	0.038535
566.00	0.040283
567.00	0.042295
568.00	0.044710
569.00	0.047344
570.00	0.049333
571.00	0.051035
572.00	0.051782
573.00	0.052610
574.00	0.053381
575.00	0.054623
576.00	0.055980
577.00	0.057659
578.00	0.058889
579.00	0.059522
580.00	0.059740
581.00	0.059096
582.00	0.058119
583.00	0.057038
584.00	0.055623
585.00	0.054301
586.00	0.052875
587.00	0.051299
588.00	0.049471
589.00	0.047666
590.00	0.045975
591.00	0.044423
592.00	0.043112
593.00	0.042824
594.00	0.043526
595.00	0.045538
596.00	0.048678
597.00	0.052472
598.00	0.056647
599.00	0.061419
600.00	0.066168
601.00	0.071700
602.00	0.078714
603.00	0.088052
604.00	0.10028
605.00	0.11495
606.00	0.12971
607.00	0.14167
608.00	0.14880
609.00	0.15116
610.00	0.15133
611.00	0.15213
612.00	0.15585
613.00	0.16456
614.00	0.17737
615.00	0.19141
616.00	0.20216
