Wavelength (nm)	Q26 abs N
350.00	0.033340
351.00	0.034005
352.00	0.034568
353.00	0.035447
354.00	0.036163
355.00	0.036905
356.00	0.037553
357.00	0.037980
358.00	0.038509
359.00	0.039140
360.00	0.039558
361.00	0.040351
362.00	0.040871
363.00	0.041630
364.00	0.042381
365.00	0.043438
366.00	0.044436
367.00	0.045835
368.00	0.047097
369.00	0.048752
370.00	0.050483
371.00	0.052019
372.00	0.053733
373.00	0.055516
374.00	0.057247
375.00	0.058953
376.00	0.060454
377.00	0.062143
378.00	0.063848
379.00	0.065597
380.00	0.067431
381.00	0.069819
382.00	0.072301
383.00	0.075260
384.00	0.078433
385.00	0.083627
386.00	0.088352
387.00	0.093555
388.00	0.099466
389.00	0.10593
390.00	0.11355
391.00	0.12192
392.00	0.13128
393.00	0.14140
394.00	0.15229
395.00	0.16319
396.00	0.17423
397.00	0.18431
398.00	0.19308
399.00	0.20008
400.00	0.20522
401.00	0.20827
402.00	0.20986
403.00	0.21011
404.00	0.20993
405.00	0.20976
406.00	0.21090
407.00	0.21358
408.00	0.21852
409.00	0.22634
410.00	0.23737
411.00	0.25159
412.00	0.26924
413.00	0.29061
414.00	0.31651
415.00	0.34799
416.00	0.38605
417.00	0.43218
418.00	0.48698
419.00	0.55208
420.00	0.62572
421.00	0.70611
422.00	0.78820
423.00	0.86704
424.00	0.93289
425.00	0.97849
426.00	1.0000
427.00	0.99130
428.00	0.95550
429.00	0.89446
430.00	0.81647
431.00	0.72634
432.00	0.63234
433.00	0.54026
434.00	0.45375
435.00	0.37700
436.00	0.31012
437.00	0.25457
438.00	0.20832
439.00	0.17070
440.00	0.13993
441.00	0.11576
442.00	0.096191
443.00	0.080770
444.00	0.067985
445.00	0.057801
446.00	0.049392
447.00	0.042483
448.00	0.036794
449.00	0.032146
450.00	0.028180
451.00	0.024837
452.00	0.021954
453.00	0.019608
454.00	0.017425
455.00	0.015753
456.00	0.014150
457.00	0.012896
458.00	0.011531
459.00	0.010678
460.00	0.0097572
461.00	0.0089981
462.00	0.0080258
463.00	0.0076420
464.00	0.0069512
465.00	0.0063968
466.00	0.0059192
467.00	0.0054842
468.00	0.0051260
469.00	0.0048616
470.00	0.0045204
471.00	0.0041963
472.00	0.0039575
473.00	0.0037016
474.00	0.0035651
475.00	0.0034201
476.00	0.0032069
477.00	0.0030193
478.00	0.0029340
479.00	0.0028231
480.00	0.0025161
481.00	0.0025246
482.00	0.0024734
483.00	0.0023881
484.00	0.0022261
485.00	0.0021834
486.00	0.0021323
487.00	0.0020640
488.00	0.0021067
489.00	0.0020043
490.00	0.0019702
491.00	0.0018593
492.00	0.0017996
493.00	0.0017911
494.00	0.0016546
495.00	0.0016887
496.00	0.0016035
497.00	0.0015608
498.00	0.0015693
499.00	0.0014158
500.00	0.0013817
501.00	0.0013988
502.00	0.0014158
503.00	0.0014158
504.00	0.0015011
505.00	0.0015693
506.00	0.0017143
507.00	0.0019532
508.00	0.0021152
509.00	0.0025246
510.00	0.0026525
511.00	0.0029681
512.00	0.0033519
513.00	0.0035822
514.00	0.0037187
515.00	0.0039404
516.00	0.0041622
517.00	0.0042645
518.00	0.0045630
519.00	0.0046654
520.00	0.0048445
521.00	0.0050236
522.00	0.0051942
523.00	0.0053136
524.00	0.0055183
525.00	0.0056974
526.00	0.0059533
527.00	0.0059874
528.00	0.0061665
529.00	0.0063030
530.00	0.0064650
531.00	0.0065844
532.00	0.0068403
533.00	0.0069938
534.00	0.0072582
535.00	0.0075311
536.00	0.0078126
537.00	0.0080941
538.00	0.0085546
539.00	0.0086826
540.00	0.0089811
541.00	0.0094331
542.00	0.0099534
543.00	0.010491
544.00	0.011105
545.00	0.011796
546.00	0.012589
