Wavelength (nm)	Q-26, PdTBP(CO2Bu).ems
680.00	0.0016060
681.00	0.0015505
682.00	0.0016468
683.00	0.0015510
684.00	0.0015548
685.00	0.0013191
686.00	0.0013617
687.00	0.0012750
688.00	0.0012795
689.00	0.0011806
690.00	0.0010768
691.00	0.00094342
692.00	0.00087835
693.00	0.00079521
694.00	0.00051248
695.00	0.00032119
696.00	0.00028867
697.00	0.00021134
698.00	4.0003e-05
699.00	5.0448e-05
700.00	0.00010907
701.00	8.1292e-05
702.00	6.6835e-05
703.00	9.3575e-05
704.00	5.4493e-05
705.00	5.3030e-05
706.00	4.2550e-05
707.00	0.00015592
708.00	0.00059648
709.00	0.00091600
710.00	0.0012243
711.00	0.0017101
712.00	0.0023599
713.00	0.0030827
714.00	0.0035494
715.00	0.0045624
716.00	0.0052411
717.00	0.0063653
718.00	0.0071533
719.00	0.0086745
720.00	0.0095843
721.00	0.010856
722.00	0.012363
723.00	0.013917
724.00	0.015770
725.00	0.017467
726.00	0.019492
727.00	0.021192
728.00	0.023855
729.00	0.026530
730.00	0.029084
731.00	0.032368
732.00	0.035739
733.00	0.039676
734.00	0.044597
735.00	0.049719
736.00	0.056004
737.00	0.063815
738.00	0.072152
739.00	0.081547
740.00	0.093325
741.00	0.10595
742.00	0.11962
743.00	0.13678
744.00	0.15641
745.00	0.17881
746.00	0.20340
747.00	0.23043
748.00	0.26135
749.00	0.29461
750.00	0.32864
751.00	0.36545
752.00	0.40520
753.00	0.44595
754.00	0.48957
755.00	0.53025
756.00	0.57807
757.00	0.62472
758.00	0.67284
759.00	0.71590
760.00	0.76195
761.00	0.80473
762.00	0.84553
763.00	0.88200
764.00	0.91220
765.00	0.94051
766.00	0.96549
767.00	0.98115
768.00	0.99106
769.00	1.0000
770.00	0.99397
771.00	0.98894
772.00	0.97462
773.00	0.95611
774.00	0.93116
775.00	0.90106
776.00	0.86638
777.00	0.82959
778.00	0.79019
779.00	0.74836
780.00	0.71107
781.00	0.66840
782.00	0.62961
783.00	0.59016
784.00	0.55483
785.00	0.52028
786.00	0.48620
787.00	0.45763
788.00	0.43021
789.00	0.40392
790.00	0.37941
791.00	0.35698
792.00	0.33865
793.00	0.32023
794.00	0.30429
795.00	0.28743
796.00	0.27366
797.00	0.26238
798.00	0.24856
799.00	0.23983
800.00	0.23126
801.00	0.22153
802.00	0.21228
803.00	0.20665
804.00	0.20082
805.00	0.19556
806.00	0.19032
807.00	0.18437
808.00	0.18127
809.00	0.17751
810.00	0.17327
811.00	0.16823
812.00	0.16433
813.00	0.15924
814.00	0.15612
815.00	0.15250
816.00	0.15075
817.00	0.14453
818.00	0.14104
819.00	0.13559
820.00	0.13097
821.00	0.12792
822.00	0.12259
823.00	0.11657
824.00	0.11336
825.00	0.10765
826.00	0.10348
827.00	0.10044
828.00	0.096434
829.00	0.093244
830.00	0.089861
831.00	0.086266
832.00	0.084015
833.00	0.081402
834.00	0.078615
835.00	0.077177
836.00	0.073673
837.00	0.074081
838.00	0.071450
839.00	0.070739
840.00	0.071885
841.00	0.068726
842.00	0.070417
843.00	0.068676
844.00	0.069211
845.00	0.068333
846.00	0.067963
847.00	0.068484
848.00	0.068777
849.00	0.068374
850.00	0.066011
851.00	0.066506
852.00	0.065485
853.00	0.064537
854.00	0.064402
855.00	0.064618
856.00	0.063431
857.00	0.062970
858.00	0.061067
859.00	0.061749
860.00	0.058769
861.00	0.057620
862.00	0.056615
863.00	0.056737
864.00	0.054085
865.00	0.053793
866.00	0.052525
867.00	0.050650
868.00	0.051313
869.00	0.048904
870.00	0.047833
871.00	0.045875
872.00	0.044419
873.00	0.042208
874.00	0.041741
875.00	0.039557
876.00	0.039367
877.00	0.037088
878.00	0.035408
879.00	0.035784
880.00	0.033905
881.00	0.031475
882.00	0.030628
883.00	0.030365
884.00	0.029326
885.00	0.027604
886.00	0.026274
887.00	0.026216
888.00	0.023330
889.00	0.022304
890.00	0.021385
891.00	0.020104
892.00	0.020255
893.00	0.018912
894.00	0.018567
895.00	0.016614
896.00	0.016226
897.00	0.015534
898.00	0.015777
899.00	0.014050
900.00	0.013843
901.00	0.012672
902.00	0.013188
903.00	0.012466
904.00	0.012011
905.00	0.011542
906.00	0.011357
907.00	0.010884
908.00	0.011021
909.00	0.0094869
910.00	0.0090403
911.00	0.0096867
912.00	0.0092662
913.00	0.0080350
914.00	0.0084183
915.00	0.0084941
916.00	0.0076827
917.00	0.0072271
918.00	0.0068209
919.00	0.0071250
920.00	0.0068822
921.00	0.0067182
922.00	0.0062410
923.00	0.0059180
924.00	0.0060285
925.00	0.0062351
926.00	0.0048348
927.00	0.0051754
928.00	0.0051056
929.00	0.0049247
930.00	0.0041673
931.00	0.0039973
932.00	0.0044487
933.00	0.0043076
934.00	0.0034777
935.00	0.0041127
936.00	0.0037464
937.00	0.0037359
938.00	0.0027321
939.00	0.0033300
940.00	0.0030260
941.00	0.0036181
942.00	0.0033965
943.00	0.0031913
944.00	0.0034980
945.00	0.0023402
946.00	0.0022660
947.00	0.0023120
948.00	0.0022316
949.00	0.0015992
950.00	0.0022750
951.00	0.0019522
952.00	0.0015734
953.00	0.0022220
954.00	0.0012070
955.00	0.0014162
956.00	0.0011199
957.00	0.0017235
958.00	0.00082918
959.00	0.0013589
960.00	0.0019373
961.00	0.00073535
962.00	0.00038682
963.00	0.00043110
964.00	0.00086471
965.00	9.2978e-05
966.00	0.00053194
967.00	0.00076128
968.00	0.00078012
969.00	0.0010396
