Wavelength (nm)	Q28 abs N
350.00	0.042043
350.00	0.042043
350.00	0.042043
351.00	0.041227
352.00	0.040332
353.00	0.039467
354.00	0.038789
355.00	0.038229
356.00	0.037560
357.00	0.037275
358.00	0.036784
359.00	0.036430
360.00	0.036204
361.00	0.035928
362.00	0.035958
363.00	0.035801
364.00	0.035860
365.00	0.035997
366.00	0.036017
367.00	0.036155
368.00	0.036204
369.00	0.036587
370.00	0.037098
371.00	0.037344
372.00	0.037334
373.00	0.037649
374.00	0.037776
375.00	0.038111
376.00	0.038219
377.00	0.038563
378.00	0.038602
379.00	0.038995
380.00	0.039202
381.00	0.039300
382.00	0.039182
383.00	0.039507
384.00	0.039595
385.00	0.039202
386.00	0.039212
387.00	0.038779
388.00	0.038710
389.00	0.038415
390.00	0.038376
391.00	0.037983
392.00	0.037806
393.00	0.037501
394.00	0.037354
395.00	0.036980
396.00	0.036911
397.00	0.036558
398.00	0.036430
399.00	0.036214
400.00	0.036194
401.00	0.036125
402.00	0.036125
403.00	0.036125
404.00	0.036322
405.00	0.036351
406.00	0.036617
407.00	0.036941
408.00	0.037138
409.00	0.037609
410.00	0.038189
411.00	0.038543
412.00	0.039005
413.00	0.039507
414.00	0.040165
415.00	0.040814
416.00	0.041630
417.00	0.042377
418.00	0.043488
419.00	0.044638
420.00	0.045984
421.00	0.047774
422.00	0.049661
423.00	0.051853
424.00	0.054566
425.00	0.057623
426.00	0.061201
427.00	0.065241
428.00	0.069683
429.00	0.074648
430.00	0.079937
431.00	0.085834
432.00	0.091781
433.00	0.097955
434.00	0.10436
435.00	0.11066
436.00	0.11665
437.00	0.12271
438.00	0.12816
439.00	0.13340
440.00	0.13815
441.00	0.14267
442.00	0.14670
443.00	0.15059
444.00	0.15442
445.00	0.15876
446.00	0.16335
447.00	0.16913
448.00	0.17622
449.00	0.18558
450.00	0.19750
451.00	0.21232
452.00	0.23078
453.00	0.25368
454.00	0.28146
455.00	0.31405
456.00	0.35212
457.00	0.39534
458.00	0.44306
459.00	0.49487
460.00	0.54970
461.00	0.60708
462.00	0.66567
463.00	0.72352
464.00	0.77949
465.00	0.83184
466.00	0.87917
467.00	0.91969
468.00	0.95301
469.00	0.97778
470.00	0.99387
471.00	1.0000
472.00	0.99764
473.00	0.98667
474.00	0.96756
475.00	0.94054
476.00	0.90726
477.00	0.86768
478.00	0.82336
479.00	0.77515
480.00	0.72473
