Wavelength (nm)	Q-30, ZnTCPH(CO2Me)Ph.ems
606.00	0.028468
607.00	0.027342
608.00	0.027736
609.00	0.028405
610.00	0.028621
611.00	0.028664
612.00	0.029746
613.00	0.031280
614.00	0.032758
615.00	0.033374
616.00	0.034652
617.00	0.037678
618.00	0.040685
619.00	0.042714
620.00	0.045923
621.00	0.051056
622.00	0.054444
623.00	0.058752
624.00	0.064388
625.00	0.071311
626.00	0.076801
627.00	0.082527
628.00	0.092254
629.00	0.097691
630.00	0.10887
631.00	0.11785
632.00	0.13005
633.00	0.13924
634.00	0.15469
635.00	0.16642
636.00	0.17772
637.00	0.19286
638.00	0.20958
639.00	0.22213
640.00	0.23708
641.00	0.25272
642.00	0.27111
643.00	0.28744
644.00	0.30461
645.00	0.32362
646.00	0.34396
647.00	0.36136
648.00	0.37835
649.00	0.39904
650.00	0.42247
651.00	0.43538
652.00	0.45412
653.00	0.47305
654.00	0.48552
655.00	0.51000
656.00	0.53029
657.00	0.54481
658.00	0.57203
659.00	0.58573
660.00	0.60230
661.00	0.62447
662.00	0.65127
663.00	0.66666
664.00	0.68365
665.00	0.70506
666.00	0.72492
667.00	0.74620
668.00	0.75997
669.00	0.79115
670.00	0.80382
671.00	0.82480
672.00	0.83533
673.00	0.85781
674.00	0.87533
675.00	0.89298
676.00	0.91219
677.00	0.91343
678.00	0.93281
679.00	0.93589
680.00	0.93443
681.00	0.95193
682.00	0.94471
683.00	0.95529
684.00	0.96729
685.00	0.97056
686.00	0.97508
687.00	0.97739
688.00	0.98738
689.00	0.97975
690.00	0.98283
691.00	0.99118
692.00	1.00000
693.00	0.98974
694.00	0.99943
695.00	0.99042
696.00	0.99577
697.00	0.99275
698.00	0.98592
699.00	0.99077
700.00	0.98485
701.00	0.98081
702.00	0.96721
703.00	0.97381
704.00	0.97287
705.00	0.95962
706.00	0.95685
707.00	0.94654
708.00	0.94081
709.00	0.93912
710.00	0.92775
711.00	0.91647
712.00	0.90795
713.00	0.89214
714.00	0.87659
715.00	0.86902
716.00	0.86247
717.00	0.85959
718.00	0.84514
719.00	0.83155
720.00	0.81842
721.00	0.81328
722.00	0.79790
723.00	0.79226
724.00	0.78142
725.00	0.77212
726.00	0.76675
727.00	0.75157
728.00	0.73855
729.00	0.72477
730.00	0.71194
731.00	0.69825
732.00	0.68957
733.00	0.67149
734.00	0.65872
735.00	0.64480
736.00	0.63967
737.00	0.62697
738.00	0.61912
739.00	0.60206
740.00	0.58475
741.00	0.57480
742.00	0.57133
743.00	0.55590
744.00	0.55181
745.00	0.54674
746.00	0.53165
747.00	0.51974
748.00	0.50775
749.00	0.50755
750.00	0.48449
751.00	0.47568
752.00	0.46559
753.00	0.45949
754.00	0.45198
755.00	0.43931
756.00	0.43964
757.00	0.42657
758.00	0.41257
759.00	0.40161
760.00	0.39004
761.00	0.38277
762.00	0.36937
763.00	0.36714
764.00	0.35511
765.00	0.34628
766.00	0.34767
767.00	0.33569
768.00	0.31960
769.00	0.31101
770.00	0.30970
771.00	0.30294
772.00	0.30085
773.00	0.28192
774.00	0.26929
775.00	0.27314
776.00	0.26436
777.00	0.26127
778.00	0.25583
779.00	0.24326
780.00	0.24075
781.00	0.23602
782.00	0.22210
783.00	0.22367
784.00	0.20585
785.00	0.20973
786.00	0.20502
787.00	0.19427
788.00	0.19253
789.00	0.19059
790.00	0.18107
791.00	0.17046
792.00	0.16078
793.00	0.16235
794.00	0.16193
795.00	0.15168
796.00	0.15103
797.00	0.14581
798.00	0.13764
799.00	0.12540
800.00	0.12500
801.00	0.13339
802.00	0.13180
803.00	0.10981
804.00	0.10909
805.00	0.11375
806.00	0.11447
807.00	0.098507
808.00	0.10354
809.00	0.089410
810.00	0.10899
811.00	0.092388
812.00	0.084202
813.00	0.085125
814.00	0.086809
815.00	0.069990
816.00	0.077502
817.00	0.073904
818.00	0.075358
819.00	0.073244
820.00	0.066440
821.00	0.066189
822.00	0.060597
823.00	0.082858
824.00	0.057661
825.00	0.054108
826.00	0.057863
827.00	0.054746
828.00	0.055062
829.00	0.054428
830.00	0.043824
831.00	0.045022
832.00	0.074402
833.00	0.036546
834.00	0.055958
835.00	0.12615
836.00	0.039196
837.00	0.035660
838.00	0.030214
839.00	0.033093
840.00	0.047012
841.00	0.026420
842.00	0.023008
843.00	0.028066
844.00	0.029523
845.00	0.021059
846.00	0.017479
847.00	0.020905
848.00	0.016183
849.00	0.018149
850.00	0.021482
851.00	0.022175
852.00	0.013922
853.00	0.014027
854.00	0.010278
855.00	0.013752
856.00	0.013885
857.00	0.013709
858.00	0.0085946
859.00	0.012434
860.00	0.011061
861.00	0.010509
862.00	0.011486
863.00	0.016117
864.00	0.012168
865.00	0.017165
866.00	0.012174
867.00	0.012512
868.00	0.013770
869.00	0.015429
870.00	0.011174
871.00	0.0084217
872.00	0.010983
873.00	0.012928
874.00	0.012191
875.00	0.0090032
876.00	0.0071362
877.00	0.0055727
878.00	0.00018265
879.00	0.0077950
880.00	0.0031298
