Wavelength (nm)	Q31 abs N
350.00	0.070719
351.00	0.069784
352.00	0.068532
353.00	0.067390
354.00	0.066273
355.00	0.065187
356.00	0.064157
357.00	0.063206
358.00	0.062588
359.00	0.062026
360.00	0.061772
361.00	0.061645
362.00	0.061740
363.00	0.062113
364.00	0.062414
365.00	0.063127
366.00	0.063753
367.00	0.064680
368.00	0.065718
369.00	0.066606
370.00	0.067731
371.00	0.069055
372.00	0.070140
373.00	0.071622
374.00	0.072755
375.00	0.074435
376.00	0.075854
377.00	0.077875
378.00	0.079658
379.00	0.081591
380.00	0.083604
381.00	0.085966
382.00	0.088351
383.00	0.091053
384.00	0.093993
385.00	0.097425
386.00	0.10111
387.00	0.10510
388.00	0.10970
389.00	0.11460
390.00	0.12021
391.00	0.12621
392.00	0.13297
393.00	0.14020
394.00	0.14805
395.00	0.15645
396.00	0.16554
397.00	0.17536
398.00	0.18562
399.00	0.19640
400.00	0.20765
401.00	0.21978
402.00	0.23263
403.00	0.24648
404.00	0.26115
405.00	0.27693
406.00	0.29404
407.00	0.31267
408.00	0.33309
409.00	0.35563
410.00	0.38085
411.00	0.40853
412.00	0.43819
413.00	0.47031
414.00	0.50514
415.00	0.54234
416.00	0.58221
417.00	0.62396
418.00	0.66730
419.00	0.71204
420.00	0.75705
421.00	0.80149
422.00	0.84463
423.00	0.88538
424.00	0.92123
425.00	0.95186
426.00	0.97597
427.00	0.99192
428.00	0.99998
429.00	0.99862
430.00	0.98855
431.00	0.96896
432.00	0.94081
433.00	0.90580
434.00	0.86454
435.00	0.81690
436.00	0.76553
437.00	0.71189
438.00	0.65691
439.00	0.60123
440.00	0.54637
441.00	0.49365
442.00	0.44347
443.00	0.39640
444.00	0.35208
445.00	0.31154
446.00	0.27432
447.00	0.24056
448.00	0.20985
449.00	0.18276
450.00	0.15872
451.00	0.13769
452.00	0.11937
453.00	0.10342
454.00	0.089690
455.00	0.077906
456.00	0.067549
457.00	0.059181
458.00	0.051755
459.00	0.045455
460.00	0.040170
461.00	0.035756
462.00	0.031817
463.00	0.028655
464.00	0.025929
465.00	0.023647
466.00	0.021610
467.00	0.020216
468.00	0.018623
469.00	0.017632
470.00	0.016618
471.00	0.015944
472.00	0.015207
473.00	0.014724
474.00	0.014098
475.00	0.013781
476.00	0.013353
477.00	0.013028
478.00	0.012759
479.00	0.012711
480.00	0.012346
481.00	0.012418
482.00	0.012434
483.00	0.012600
484.00	0.012759
485.00	0.013044
486.00	0.013313
487.00	0.013662
488.00	0.014019
489.00	0.014351
490.00	0.014811
491.00	0.015152
492.00	0.015437
493.00	0.015746
494.00	0.016071
495.00	0.016364
496.00	0.016594
497.00	0.016745
498.00	0.016943
499.00	0.016966
500.00	0.016966
501.00	0.017006
502.00	0.016943
503.00	0.017014
504.00	0.016816
505.00	0.016745
506.00	0.016745
507.00	0.016665
508.00	0.016681
509.00	0.016649
510.00	0.016705
511.00	0.016848
512.00	0.017077
513.00	0.017347
514.00	0.017854
515.00	0.018496
516.00	0.019344
517.00	0.020366
518.00	0.021713
519.00	0.023243
520.00	0.025398
521.00	0.027776
522.00	0.030541
523.00	0.033679
524.00	0.037348
525.00	0.041469
526.00	0.045820
527.00	0.050448
528.00	0.055353
529.00	0.060472
530.00	0.065441
531.00	0.070418
532.00	0.075228
533.00	0.079792
534.00	0.083945
535.00	0.087622
536.00	0.090736
537.00	0.093090
538.00	0.094722
539.00	0.095475
540.00	0.095206
541.00	0.094033
542.00	0.091972
543.00	0.089151
544.00	0.085664
545.00	0.081805
546.00	0.077431
547.00	0.073001
548.00	0.068199
549.00	0.063745
550.00	0.059347
551.00	0.055250
552.00	0.051201
553.00	0.047674
554.00	0.044560
555.00	0.041794
556.00	0.039551
557.00	0.037887
558.00	0.036627
559.00	0.036176
560.00	0.035962
561.00	0.036699
562.00	0.038093
563.00	0.039868
564.00	0.042198
565.00	0.045218
566.00	0.048570
567.00	0.052017
568.00	0.055662
569.00	0.059078
570.00	0.062255
571.00	0.064926
572.00	0.066955
573.00	0.068341
574.00	0.068825
575.00	0.068484
576.00	0.067319
577.00	0.065496
578.00	0.063032
579.00	0.059989
580.00	0.056613
581.00	0.052889
582.00	0.048792
583.00	0.044829
584.00	0.040693
585.00	0.036762
586.00	0.033006
587.00	0.029440
588.00	0.026159
589.00	0.023116
590.00	0.020445
591.00	0.017870
592.00	0.015548
593.00	0.013369
594.00	0.011705
595.00	0.010056
596.00	0.0086774
597.00	0.0074649
598.00	0.0063555
599.00	0.0055393
600.00	0.0046676
601.00	0.0039702
602.00	0.0035344
603.00	0.0029955
604.00	0.0026706
605.00	0.0023298
606.00	0.0020287
607.00	0.0018860
608.00	0.0017672
609.00	0.0015453
610.00	0.0014581
611.00	0.0014185
612.00	0.0012125
613.00	0.0012996
614.00	0.0010777
615.00	0.0011332
616.00	0.0012759
617.00	0.0011491
618.00	0.0012759
619.00	0.0012679
620.00	0.0012679
621.00	0.0013234
622.00	0.0012759
623.00	0.0013234
624.00	0.0014740
625.00	0.0013709
626.00	0.0014264
627.00	0.0013472
628.00	0.0014660
629.00	0.0013789
630.00	0.0014026
631.00	0.0014343
632.00	0.0013393
633.00	0.0011887
634.00	0.0013313
635.00	0.0012521
636.00	0.0011728
637.00	0.0011411
638.00	0.0011966
639.00	0.0010302
640.00	0.0011015
641.00	0.00094302
642.00	0.00078453
643.00	0.00077661
644.00	0.00068151
645.00	0.00069736
646.00	0.00063396
647.00	0.00057849
648.00	0.00047547
649.00	0.00042793
650.00	0.00045170
651.00	0.00034076
652.00	0.00030113
653.00	0.00030113
654.00	0.00020604
655.00	0.00018226
656.00	0.00019019
657.00	0.00016642
658.00	0.00019019
659.00	0.00011887
660.00	7.9246e-05
661.00	4.7547e-05
662.00	0.00015849
663.00	3.9623e-05
664.00	2.3774e-05
665.00	2.0019e-12
666.00	7.9246e-06
667.00	6.3396e-05
668.00	0.00011887
669.00	3.9623e-05
670.00	-3.1698e-05
671.00	-7.9246e-06
672.00	1.5849e-05
673.00	5.5472e-05
674.00	3.9623e-05
675.00	3.1698e-05
676.00	2.0019e-12
