Wavelength (nm)	Q-32, H2TBP(CO2Bu)Ph.ems
615.00	0.00027604
616.00	0.0012653
617.00	0.0020383
618.00	0.0021639
619.00	0.0032825
620.00	0.0049577
621.00	0.0048851
622.00	0.0053889
623.00	0.0067343
624.00	0.0070566
625.00	0.0071451
626.00	0.0066309
627.00	0.0087152
628.00	0.0087531
629.00	0.0083137
630.00	0.0095700
631.00	0.0093832
632.00	0.010588
633.00	0.010531
634.00	0.011046
635.00	0.010293
636.00	0.011613
637.00	0.013121
638.00	0.012491
639.00	0.013649
640.00	0.014085
641.00	0.013694
642.00	0.014817
643.00	0.015489
644.00	0.016083
645.00	0.017881
646.00	0.017233
647.00	0.018732
648.00	0.019375
649.00	0.021177
650.00	0.021810
651.00	0.022436
652.00	0.023169
653.00	0.024343
654.00	0.025832
655.00	0.027668
656.00	0.028619
657.00	0.029767
658.00	0.030584
659.00	0.032416
660.00	0.034010
661.00	0.035826
662.00	0.038625
663.00	0.040849
664.00	0.041415
665.00	0.045116
666.00	0.046868
667.00	0.047745
668.00	0.050566
669.00	0.052648
670.00	0.054713
671.00	0.055909
672.00	0.059474
673.00	0.061583
674.00	0.062303
675.00	0.066191
676.00	0.067914
677.00	0.070164
678.00	0.072283
679.00	0.073922
680.00	0.075605
681.00	0.078582
682.00	0.080628
683.00	0.082031
684.00	0.085735
685.00	0.089266
686.00	0.094219
687.00	0.097139
688.00	0.10233
689.00	0.10819
690.00	0.11507
691.00	0.12513
692.00	0.13024
693.00	0.14276
694.00	0.15309
695.00	0.16936
696.00	0.18419
697.00	0.20229
698.00	0.22175
699.00	0.24449
700.00	0.26692
701.00	0.29035
702.00	0.31846
703.00	0.34782
704.00	0.37950
705.00	0.41064
706.00	0.44752
707.00	0.48109
708.00	0.51991
709.00	0.55261
710.00	0.59238
711.00	0.62532
712.00	0.66448
713.00	0.69801
714.00	0.72697
715.00	0.76081
716.00	0.78628
717.00	0.81988
718.00	0.83674
719.00	0.86459
720.00	0.88709
721.00	0.90328
722.00	0.91779
723.00	0.93435
724.00	0.95468
725.00	0.96033
726.00	0.97390
727.00	0.97843
728.00	0.98268
729.00	0.98662
730.00	0.99152
731.00	0.98947
732.00	0.99782
733.00	1.0000
734.00	0.99300
735.00	0.98511
736.00	0.98059
737.00	0.97816
738.00	0.97461
739.00	0.96955
740.00	0.95249
741.00	0.94879
742.00	0.93801
743.00	0.93222
744.00	0.92095
745.00	0.91513
746.00	0.90286
747.00	0.90078
748.00	0.89799
749.00	0.88636
750.00	0.88347
751.00	0.87683
752.00	0.87427
753.00	0.86382
754.00	0.84610
755.00	0.84930
756.00	0.84670
757.00	0.83253
758.00	0.83375
759.00	0.82326
760.00	0.82066
761.00	0.80866
762.00	0.80776
763.00	0.80042
764.00	0.79808
765.00	0.78687
766.00	0.79335
767.00	0.78904
768.00	0.78056
769.00	0.77790
770.00	0.77501
771.00	0.76809
772.00	0.76004
773.00	0.76347
774.00	0.75518
775.00	0.75692
776.00	0.75850
777.00	0.75359
778.00	0.75271
779.00	0.74908
780.00	0.73612
781.00	0.74202
782.00	0.73571
783.00	0.74191
784.00	0.74880
785.00	0.74727
786.00	0.75591
787.00	0.75345
788.00	0.76049
789.00	0.77116
790.00	0.77275
791.00	0.78628
792.00	0.78798
793.00	0.80612
794.00	0.81351
795.00	0.81352
796.00	0.82454
797.00	0.83501
798.00	0.84238
799.00	0.85113
800.00	0.86472
801.00	0.86586
802.00	0.88156
803.00	0.88656
804.00	0.90296
805.00	0.91428
806.00	0.92083
807.00	0.92533
808.00	0.93088
809.00	0.93950
810.00	0.94594
811.00	0.95285
812.00	0.96328
813.00	0.95104
814.00	0.96062
815.00	0.98205
816.00	0.99316
817.00	0.98842
818.00	0.98280
819.00	0.98559
820.00	0.97824
821.00	0.98314
822.00	0.97586
823.00	0.96400
824.00	0.96052
825.00	0.96679
826.00	0.96632
827.00	0.95165
828.00	0.92783
829.00	0.91801
830.00	0.90237
831.00	0.91773
832.00	0.89181
833.00	0.85420
834.00	0.84416
835.00	0.83289
836.00	0.81820
837.00	0.80798
838.00	0.78886
839.00	0.78233
840.00	0.75406
841.00	0.73672
842.00	0.70696
843.00	0.68796
844.00	0.65660
845.00	0.65735
846.00	0.61953
847.00	0.61135
848.00	0.58524
849.00	0.58583
850.00	0.55114
851.00	0.53935
852.00	0.51898
853.00	0.49234
854.00	0.48215
855.00	0.45789
856.00	0.43599
857.00	0.42503
858.00	0.40416
859.00	0.39647
860.00	0.37685
861.00	0.35706
862.00	0.34279
863.00	0.33293
864.00	0.30972
865.00	0.29981
866.00	0.30190
867.00	0.26804
868.00	0.26114
869.00	0.25552
870.00	0.24229
871.00	0.22533
872.00	0.22409
873.00	0.20408
874.00	0.20357
875.00	0.19429
876.00	0.18210
877.00	0.17025
878.00	0.17168
879.00	0.16683
880.00	0.15389
881.00	0.14235
882.00	0.14313
883.00	0.13268
884.00	0.13065
885.00	0.12797
886.00	0.11998
887.00	0.11472
888.00	0.11016
889.00	0.11188
890.00	0.098245
891.00	0.098972
892.00	0.096765
893.00	0.086123
894.00	0.093235
895.00	0.088548
896.00	0.086907
897.00	0.083192
898.00	0.075178
899.00	0.072825
900.00	0.071571
901.00	0.074554
902.00	0.066745
903.00	0.068199
904.00	0.059749
905.00	0.061455
906.00	0.064116
907.00	0.061951
908.00	0.060313
909.00	0.058796
910.00	0.057325
911.00	0.058839
912.00	0.057057
913.00	0.051673
914.00	0.049534
915.00	0.050031
916.00	0.054804
917.00	0.052926
918.00	0.041574
919.00	0.048252
920.00	0.047569
921.00	0.049756
922.00	0.050843
923.00	0.046916
924.00	0.050060
925.00	0.048447
926.00	0.050046
927.00	0.050211
928.00	0.041099
929.00	0.037597
930.00	0.049684
931.00	0.043668
932.00	0.048028
933.00	0.044747
934.00	0.039006
935.00	0.042579
936.00	0.037432
937.00	0.040858
938.00	0.036684
939.00	0.036829
940.00	0.044452
941.00	0.034989
942.00	0.036460
943.00	0.036210
944.00	0.036000
945.00	0.030926
946.00	0.031605
947.00	0.031960
948.00	0.035672
949.00	0.034073
950.00	0.037169
951.00	0.029872
952.00	0.030255
953.00	0.028775
954.00	0.030608
955.00	0.025219
956.00	0.025101
957.00	0.027267
958.00	0.023354
959.00	0.027618
960.00	0.024670
961.00	0.021151
962.00	0.019638
963.00	0.029666
964.00	0.020699
965.00	0.020724
966.00	0.023682
967.00	0.020528
968.00	0.018914
969.00	0.019851
970.00	0.016079
971.00	0.017492
972.00	0.017968
973.00	0.016092
974.00	0.018801
975.00	0.012860
976.00	0.012595
977.00	0.015179
978.00	0.010602
979.00	0.013608
980.00	0.015900
981.00	0.0099811
982.00	0.013759
983.00	0.0080242
984.00	0.012076
985.00	0.0093654
986.00	0.0093671
987.00	0.0055042
988.00	0.0053796
989.00	0.0059046
990.00	0.010700
991.00	0.0079598
992.00	0.012992
993.00	0.0026200
994.00	0.0056090
995.00	0.0040369
996.00	0.0080106
997.00	0.0071698
998.00	0.0076843
999.00	0.0035014
1000.0	0.0062537
