Wavelength (nm)	Q33 abs N
350.00	0.045447
351.00	0.044349
352.00	0.043493
353.00	0.042567
354.00	0.041741
355.00	0.041107
356.00	0.040371
357.00	0.039737
358.00	0.039082
359.00	0.038589
360.00	0.037824
361.00	0.037491
362.00	0.036746
363.00	0.036333
364.00	0.035820
365.00	0.035497
366.00	0.034954
367.00	0.034641
368.00	0.034178
369.00	0.033846
370.00	0.033393
371.00	0.033161
372.00	0.032728
373.00	0.032013
374.00	0.031963
375.00	0.031338
376.00	0.030996
377.00	0.030482
378.00	0.030472
379.00	0.030080
380.00	0.029596
381.00	0.028891
382.00	0.028710
383.00	0.028297
384.00	0.028197
385.00	0.027854
386.00	0.027623
387.00	0.027230
388.00	0.026928
389.00	0.026555
390.00	0.026303
391.00	0.026203
392.00	0.025911
393.00	0.025991
394.00	0.025608
395.00	0.025770
396.00	0.025830
397.00	0.025830
398.00	0.026052
399.00	0.026142
400.00	0.026374
401.00	0.026545
402.00	0.026626
403.00	0.026736
404.00	0.026716
405.00	0.026827
406.00	0.026887
407.00	0.026908
408.00	0.027089
409.00	0.027119
410.00	0.027320
411.00	0.027320
412.00	0.027683
413.00	0.027713
414.00	0.028106
415.00	0.028217
416.00	0.028619
417.00	0.028851
418.00	0.029475
419.00	0.029788
420.00	0.030301
421.00	0.030966
422.00	0.031761
423.00	0.032345
424.00	0.033161
425.00	0.033876
426.00	0.034833
427.00	0.035568
428.00	0.036535
429.00	0.037199
430.00	0.038005
431.00	0.038901
432.00	0.039757
433.00	0.040553
434.00	0.041590
435.00	0.042647
436.00	0.043886
437.00	0.045135
438.00	0.046736
439.00	0.048659
440.00	0.050905
441.00	0.053483
442.00	0.056796
443.00	0.060290
444.00	0.064349
445.00	0.068961
446.00	0.073835
447.00	0.079061
448.00	0.084680
449.00	0.090521
450.00	0.096341
451.00	0.10203
452.00	0.10756
453.00	0.11274
454.00	0.11749
455.00	0.12169
456.00	0.12562
457.00	0.12920
458.00	0.13257
459.00	0.13580
460.00	0.13907
461.00	0.14305
462.00	0.14772
463.00	0.15349
464.00	0.16088
465.00	0.17046
466.00	0.18216
467.00	0.19691
468.00	0.21467
469.00	0.23643
470.00	0.26225
471.00	0.29272
472.00	0.32750
473.00	0.36782
474.00	0.41256
475.00	0.46226
476.00	0.51595
477.00	0.57343
478.00	0.63316
479.00	0.69391
480.00	0.75406
481.00	0.81098
482.00	0.86375
483.00	0.90917
484.00	0.94720
485.00	0.97547
486.00	0.99347
487.00	1.0000
488.00	0.99568
489.00	0.97974
490.00	0.95382
491.00	0.91758
492.00	0.87315
493.00	0.82130
494.00	0.76418
495.00	0.70314
496.00	0.63976
497.00	0.57615
498.00	0.51326
499.00	0.45288
500.00	0.39544
501.00	0.34242
502.00	0.29407
503.00	0.25030
504.00	0.21120
505.00	0.17694
506.00	0.14730
507.00	0.12165
508.00	0.10004
509.00	0.082042
510.00	0.066957
511.00	0.054883
512.00	0.044973
513.00	0.037018
514.00	0.030744
515.00	0.025719
516.00	0.021721
517.00	0.018771
518.00	0.016314
519.00	0.014602
520.00	0.013132
521.00	0.012044
522.00	0.011319
523.00	0.010695
524.00	0.010131
525.00	0.0098789
526.00	0.0096472
527.00	0.0095264
528.00	0.0093351
529.00	0.0091941
530.00	0.0093653
531.00	0.0093854
532.00	0.0094458
533.00	0.0093753
534.00	0.0095063
535.00	0.0095163
536.00	0.0097177
537.00	0.0097379
538.00	0.0097882
539.00	0.0099594
540.00	0.010030
541.00	0.0099997
542.00	0.010201
543.00	0.010231
544.00	0.010302
545.00	0.010423
546.00	0.010503
547.00	0.010805
548.00	0.010956
549.00	0.011047
550.00	0.011319
551.00	0.011440
552.00	0.011702
553.00	0.011933
554.00	0.012054
555.00	0.012346
556.00	0.012457
557.00	0.012719
558.00	0.012910
559.00	0.013081
560.00	0.013172
561.00	0.013262
562.00	0.013333
563.00	0.013434
564.00	0.013484
565.00	0.013494
566.00	0.013524
567.00	0.013544
568.00	0.013544
569.00	0.013494
570.00	0.013585
571.00	0.013474
572.00	0.013504
573.00	0.013544
574.00	0.013585
575.00	0.013645
576.00	0.013595
577.00	0.013575
578.00	0.013605
579.00	0.013756
580.00	0.013776
581.00	0.013847
582.00	0.014008
583.00	0.014108
584.00	0.014259
585.00	0.014572
586.00	0.014864
587.00	0.015186
588.00	0.015558
589.00	0.016082
590.00	0.016384
591.00	0.017220
592.00	0.018116
593.00	0.019143
594.00	0.020120
595.00	0.021218
596.00	0.022446
597.00	0.023876
598.00	0.025306
599.00	0.027079
600.00	0.028901
601.00	0.031067
602.00	0.033040
603.00	0.035356
604.00	0.037622
605.00	0.040019
606.00	0.042395
607.00	0.044822
608.00	0.047280
609.00	0.049586
610.00	0.051992
611.00	0.054389
612.00	0.056544
613.00	0.058820
614.00	0.061086
615.00	0.062959
616.00	0.064882
617.00	0.066614
618.00	0.068135
619.00	0.069706
620.00	0.070914
621.00	0.071831
622.00	0.072334
623.00	0.072697
624.00	0.072666
625.00	0.072123
626.00	0.071267
627.00	0.070028
628.00	0.068457
629.00	0.066242
630.00	0.064167
631.00	0.061781
632.00	0.059293
633.00	0.056746
634.00	0.054339
635.00	0.051992
636.00	0.049747
637.00	0.047793
638.00	0.046071
639.00	0.044692
640.00	0.043403
641.00	0.042496
642.00	0.042053
643.00	0.041821
644.00	0.041811
645.00	0.042345
646.00	0.043272
647.00	0.044450
648.00	0.046101
649.00	0.048297
650.00	0.051006
651.00	0.054047
652.00	0.057491
653.00	0.061609
654.00	0.065950
655.00	0.070824
656.00	0.075919
657.00	0.081256
658.00	0.086674
659.00	0.092162
660.00	0.097500
661.00	0.10277
662.00	0.10744
663.00	0.11172
664.00	0.11557
665.00	0.11842
666.00	0.12065
667.00	0.12161
668.00	0.12192
669.00	0.12093
670.00	0.11905
671.00	0.11584
672.00	0.11177
673.00	0.10681
674.00	0.10117
675.00	0.094851
676.00	0.088235
677.00	0.081357
678.00	0.074489
679.00	0.067631
680.00	0.060955
681.00	0.054721
682.00	0.048740
683.00	0.043131
684.00	0.038146
685.00	0.033433
686.00	0.029415
687.00	0.025760
688.00	0.022446
689.00	0.019466
690.00	0.017039
691.00	0.015025
692.00	0.013222
693.00	0.011621
694.00	0.010262
695.00	0.0092646
696.00	0.0082173
697.00	0.0075224
698.00	0.0069081
699.00	0.0062737
700.00	0.0057299
701.00	0.0054077
702.00	0.0049545
703.00	0.0048337
704.00	0.0046222
705.00	0.0044208
706.00	0.0042597
707.00	0.0041791
708.00	0.0039677
709.00	0.0039677
710.00	0.0038972
711.00	0.0037058
712.00	0.0035749
713.00	0.0036152
714.00	0.0035145
715.00	0.0036655
716.00	0.0035246
717.00	0.0034742
718.00	0.0034339
719.00	0.0032930
720.00	0.0034339
721.00	0.0032627
722.00	0.0032023
723.00	0.0031520
724.00	0.0031620
725.00	0.0031419
726.00	0.0030714
727.00	0.0029808
728.00	0.0030311
729.00	0.0028197
730.00	0.0029002
731.00	0.0027492
732.00	0.0026182
733.00	0.0026887
734.00	0.0025377
735.00	0.0026283
736.00	0.0024873
737.00	0.0023464
738.00	0.0023564
739.00	0.0022960
740.00	0.0022457
741.00	0.0020241
742.00	0.0020342
743.00	0.0019335
744.00	0.0018630
745.00	0.0017522
746.00	0.0018932
747.00	0.0017321
748.00	0.0015810
749.00	0.0017019
750.00	0.0015810
751.00	0.0014904
752.00	0.0013998
753.00	0.0012789
754.00	0.0012487
755.00	0.0013897
756.00	0.0012588
757.00	0.0010977
758.00	0.0012386
759.00	0.0010674
760.00	0.0010473
761.00	0.0010977
762.00	0.0010977
763.00	0.00098688
764.00	0.0011379
765.00	0.0010070
766.00	0.00087611
767.00	0.00079554
768.00	0.00078547
769.00	0.00083583
770.00	0.00077540
771.00	0.00066463
772.00	0.00066463
773.00	0.00060320
774.00	0.00053372
775.00	0.00072505
776.00	0.00036253
777.00	0.00053372
778.00	0.00067470
779.00	0.00061428
780.00	0.00066463
781.00	0.00056393
782.00	0.00061428
783.00	0.00064449
784.00	0.00065456
785.00	0.00058407
786.00	0.00062435
787.00	0.00055386
788.00	0.00063442
789.00	0.00056393
790.00	0.00057400
791.00	0.00055386
792.00	0.00060320
793.00	0.00057400
794.00	0.00066463
795.00	0.00057400
796.00	0.00065456
797.00	0.00068477
798.00	0.00058407
799.00	0.00061428
800.00	0.00045316
